label	description
AWS Greengrass	"Change User portal URL for AWS SSO Directory
I want to change the url, or at least change the component preceding ""*.awsapps.com/start"" for one of my directories."
AWS Greengrass	"Re: Change User portal URL for AWS SSO Directory
If anyone could assist on renaming my SSO directory URL it would be great. There isn't any cli commands to do so."
AWS Greengrass	"Renamed AWS Accounts not showing correctly in console
Hi,
Im repurposed and renamed 2 of my accounts but dont see the title reflected in SSO. Is there some other way of renaming the AWS Accounts under SSO?

Thanks"
AWS Greengrass	"Re: Renamed AWS Accounts not showing correctly in console
Having the same issue. Must just be a hidden property somewhere. Hopefully they fix this soon since they've been rolling out other improvements lately."
AWS Greengrass	"Re: Renamed AWS Accounts not showing correctly in console
Thanks a lot. We have added this feature request to our backlog and will prioritize it for future releases."
AWS Greengrass	"Users can only sign in once to the user portal link. Must reset password.
We're using AWS SSO using the AWS SSO directory with AWS organizations. Currently users have can only login once using the user portal URL. After that they have to reset their password. 100% reproducible. Super inconvenient. It's as if all passwords are one time use only.

Has anyone seen this or know why?

Not using any VPN or proxies. Tried different browsers from different locations.

Edited by: jamesfauna on Feb 5, 2019 11:39 AM

Edited by: jamesfauna on Feb 5, 2019 11:39 AM"
AWS Greengrass	"Re: Users can only sign in once to the user portal link. Must reset password.
Thanks a lot. Could you reach out to AWS Support to help with your specific issue?"
AWS Greengrass	"Use CLI to retrieve credential from SSO
Hello,
Is there a way to retrieve a credential from SSO using a cli utility?

I do see the option to get the credential after signing in to the login page, and to copy-paste it into the shell, and that's nifty but not really usable for programmatic access.

Ideally, to me, there would be a utility that worked with the credential_process option of the AWS config file. I do see that a SAML identity provider is created in the configured accounts, so I had hopes that SSO would expose a SAML authentication endpoint, and that `awsprocesscreds` would handle it, but I'm not seeing a way to make that work currently. I opened an issue there also. Linking it here in case the SSO team was unaware of such utilities.

https://github.com/awslabs/awsprocesscreds/issues/26"
AWS Greengrass	"Re: Use CLI to retrieve credential from SSO
Thanks a lot for your feedback regarding using SSO to retrieve the password for CLI access. We have added this feature to our backlog and will consider it for future prioritization."
AWS Greengrass	"Re: Use CLI to retrieve credential from SSO
+1 for interest on this feature. Is there any new progress on it? Thanks."
AWS Greengrass	"Enforce TOTP MFA & Strong Password Policies w/ Rotation
It was incredibly exciting to see the release of the AWS SSO managed directory, a free AWS alternative to Microsoft Active Directory.

Announcement: https://aws.amazon.com/about-aws/whats-new/2018/10/now-you-can-create-and-manage-users-within-aws-single-sign-on/
Blog Post: https://aws.amazon.com/blogs/security/how-to-create-and-manage-users-within-aws-sso/

According to https://aws.amazon.com/directoryservice/pricing/, AWS managed AD costs $288-$432/mo minimum. For my organization, any flat monthly rate above the cost of a t3.nano requires good justification for approval. That much money did not justify moving away from IAM users.

Because of this huge reduction in price, I am sure some organizations will use AWS SSO right now. However, my organization will not be comfortable using this service for two reasons.

1) MFA - Specifically, Time-based One-Time Passwords cannot be configured and required for all users.
2) Password policies cannot be tailored. We use a password manager, so it is no problem to enforce 30-90 day rotation and 16+ character passwords.

When will these two enhancements to AWS SSO built-in directory be released?"
AWS Greengrass	"Re: Enforce TOTP MFA & Strong Password Policies w/ Rotation
Thanks a lot for your feedback. We have added these features to our backlog and will consider these for future prioritization. 

Regarding 1) Just to clarify that you are referring to a time-based one-time MFA code that can configure for your users?
Regarding 2) You want the capability to the interval after which the password expires requiring the user to reset the password.

Thanks a lot and we appreciate your feedback."
AWS Greengrass	"Re: Enforce TOTP MFA & Strong Password Policies w/ Rotation
1) We wouldn't mind supplying the QR code to our users from an admin interface. However, it would be nice to have users manage their own TOTP device. Until the device is configured correctly, the user should not be able to do anything besides login to configure the TOTP device.
2) A custom password policy is less important than #1, but I imagine this could be done similar to the IAM User password policy capability.

Thanks."
AWS Greengrass	"Re: Enforce TOTP MFA & Strong Password Policies w/ Rotation
Looks like OTP is now configurable in the AWS SSO console.  https://aws.amazon.com/blogs/security/add-a-layer-of-security-for-aws-sso-user-portal-sign-in-with-context-aware-email-based-verification/ 

Looks like AWS is moving in the right direction, as always. This is good enough to answer my question."
AWS Greengrass	"SSO Start Page - UI Modification
Is it possible to customize the UI of the login page for AWS SSO."
AWS Greengrass	"Re: SSO Start Page - UI Modification
Thanks a lot for your feedback. We have added your request to customize the SSO Start page to our feature backlog and will consider it for future prioritization. 

What type of modifications would you want to do for the Start Page? Are you looking to have your own logo? Anything else?"
AWS Greengrass	"When will we see AWS Single Sign-On in EU ?
Hi there..

With the newly build-in directory in AWS Single Sign-On, the service really got interesting, but with the GDPR regulation we still cannot use it here in EU.
AWS Single Sign-On has been out since 2017, when can we expect to see it ""Over here"" ?

Looking forward..
David"
AWS Greengrass	"Re: When will we see AWS Single Sign-On in EU ?
Thanks a lot David. We have added your request to our feature back log and will update the thread once the service is available in EU region."
AWS Greengrass	"Customer Managed Policies in SSO
I've come across what seems to be a surprising omission from SSO: Customer Managed Policies.

From my understanding the most custom Permission Set you can create is by using 10 AWS Managed Policies alongside the 1 inline IAM policy.

The problem with this is the permissions we require do not always fit into managed policies and having to 'complete' them by an additional inline policy seems 'hacky' and a poor way to manage permissions when trying to give 'least privilege where possible'.

We could live with the inline policy creator however the byte limit severely limits the kind of policies you can create.

Is there anything in the pipeline to be able to add Customer Managed Policies to Permission Sets, or at least the ability to increase the inline policy byte limit?"
AWS Greengrass	"Re: Customer Managed Policies in SSO
Thank you for your feedback. We will consider your inputs while planning the future roadmap of the product.
-Anand Murugesan"
AWS Greengrass	"Re: Customer Managed Policies in SSO
Disregard this.  I see custom policies are supported now.

Edited by: JGardner123 on Jan 15, 2019 9:23 AM"
AWS Greengrass	"MFA Prompt moved?
It seems that our MFA prompt is no longer on the main SSO login page. Our users used to see three fields (Username+Password+MFA). Now they just see (UserName+Password).

Our users are still prompted for MFA, but as a second step, after the user authenticates against our directory.

Was this a design change? I don't see this as configurable anywhere. Our directory still has MFA enabled and I can't see any obvious settings to configure this.

Someone over in infosec escalated this without trying to login - ""oh heck, who disabled mfa?"""
AWS Greengrass	"Re: MFA Prompt moved?
like it never disappeared, the MFA prompt is back on the SSO Login page."
AWS Greengrass	"How to use AWS SSO with Amazon RedShift
Hi

I see that AWS SSO service for AWS organizations support SAML. Also Amazon Redshift supports SAML. But I can't find any documentation how to use AWS SSO service with redshift.

Is it possible to use AWS SSO with Amazon Redshift?

Best
Steffen"
AWS Greengrass	"How to change default directory alias in AWS SSO?
AWS SSO doesn't allow changing directory alias. How can I do that? Is it possible to remove default directory or remove/disable whole SSO and configure it from the beginning or maybe from CLI?"
AWS Greengrass	"Re: How to change default directory alias in AWS SSO?
The default alias for your directory is your directory's id (format ""d-""). You can change the directory alias by navigating to the directory tab. Note that you can change the directory alias only once. Once you change the directory alias, you cannot change it again. Please let us know if you have issues"
AWS Greengrass	"Re: How to change default directory alias in AWS SSO?
In addition, you can also change the default directory to use a Microsoft AD (AWS Managed Microsoft AD or AD Connector ) directory by choosing ""Change Directory"" in the Directory tab in the AWS SSO Console."
AWS Greengrass	"Re: How to change default directory alias in AWS SSO?
Ok, I thought there is a posibility to release given alias because I wanted to use this alias for my Microsoft AD Directory."
AWS Greengrass	"General Question about AWS Single Sign On
If I enable AWS Single Sign On in my master account and root org, if I determine this service is not for me, can it be disabled and/or removed?"
AWS Greengrass	"Re: General Question about AWS Single Sign On
Yes, you can disable SSO by navigating to the AWS Organizations console and choose Settings. You can disable AWS Single Sign-On by choosing the Disable button next to AWS Single Sign-On. Here is the deep link to the settings page: https://console.aws.amazon.com/organizations/home?region=us-east-1#/organization/settings"
AWS Greengrass	"How do I add a new SSO connector for Tallyfy?
AWS offers a list of pre-existing apps as connectors - such as Salesforce, Box, etc.

I want to have  https://tallyfy.com as a default listing on this directory - how do I build a connector such that it's published in that listing?

Edited by: amitarelli on Nov 6, 2018 2:06 AM"
AWS Greengrass	"AWS SSO for applications that need AccessKey / Secret Access key
Hi,

maybe a stupid question, but i couldn´t find a definitive answer: What is the intended way to use AWS SSO with an application that needs AccessKey and SecretAccessKey as credentials to login? 

There are some descriptions about how to do it with a script that gets (temporary) credentials using a script, saving them in the current users credentials files and going ahead from there:
https://aws.amazon.com/de/blogs/security/how-to-implement-a-general-solution-for-federated-apicli-access-using-saml-2-0/ 

https://aws.amazon.com/de/blogs/big-data/connect-to-amazon-athena-with-federated-identities-using-temporary-credentials/

I wonder if this is the only / intended way to go, or if there is something more ""elegant"" that i keep on missing? Is there any way of getting non-temporary credentials this way, or do i have to manually create IAM-users if i want permanent ones?

Thank you"
AWS Greengrass	"AWS SSO login with UPN suffix
Currenty we have AWS SSO connected to AWS AD (domain.com), and AWS AD has a two way trust with other AD domains (e.g. corp.trusteddomain.com).

When we assign username@corp.trusteddomain.com to an account and permission set, the console lists the user as : corp.trusteddomain.com\username. 

In the user portal for AWS accounts, it's possible to logon as corp.trusteddomain.com\username but not as username@corp.trusteddomain.com (authentication fails) or with the AD UPN suffix defined for that user (username@trusteddomain.com).

Most users are familiar with username@trusteddomain.com as a universal way to login, since it's also often their email. Is there any way to allow UPN login?"
AWS Greengrass	"AWS Console display suggestions for AWS SSO Federated access
When using AWS SSO to login, the ""AWS console"" user is displayed as:

AWSReservedSSO_Administrat...

You need to hover with the mouse to get a tooltip and see the full permissionset name, account and user name:

AWSReservedSSO_AdministratorAccess_13109712941410932/user@fqdn @awsaccountnameor#

From a customer's standpoint, the most relevant info is user@fqdn, permissionset and aws account name or number. AWSReservedSSO and the number string are not as relevant yet they take up most of the screen real estate in the navbar. It would save time if the relevant info was always visible. Also, when frequently switching between multiple accounts, it's helpful to know at a glance which account you're in to avoid mistakes. 

Would it be possible to display the info like this instead:

user@fqdn @awsaccountname /AdministratorAccess"
AWS Greengrass	"Why should we use Federation with AWS Single Sign on Endpoint
Hi,

We have Ping federation configured on-prem which is directly send the SAML assertion to the AWS sign in endpoint for SAML (https://signin.aws.amazon.com/saml). The endpoint uses the AssumeRoleWithSAML API to request temporary security credentials and then constructs a sign-in URL for the AWS Management Console using those credentials.

It's simple and straightforward. 

I see, there's another option where we can use AWS Single Sign-on (SSO) endpoint. The endpoint requests temporary security credentials on behalf of the user and creates a console sign-in URL.
AWS sends the sign-in URL back to the client as a redirect.

My question's why should we use AWS SSO endpoint integration with Ping federate when we can get the same functionality with AWS sign-in endpoint with SAML (https://signin.aws.amazon.com/saml).

Please check the following links and guide us which option's best.

AWS SSO endpoint:- https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles_providers_enable-console-saml.html

AWS Sign-in endpoint with SAML:
https://aws.amazon.com/blogs/security/how-to-establish-federated-access-to-your-aws-resources-by-using-active-directory-user-attributes/"
AWS Greengrass	"We were unable to sign you in
Suddenly getting an issue signing in, nothing has changed in my set up, any ideas?

https://xyz.awsapps.com/start/error/400.html

We were unable to sign you in.
This is due to an error with how single sign-on was originally configured.
Please contact your system administrator and ask them to verify that all attribute mappings are valid.
Try signing in again


Joe"
AWS Greengrass	"Re: We were unable to sign you in
Seems to have resolved itself, curious what the issue was? Nothing reported on aws status page."
AWS Greengrass	"Connect non-org account to AWS SSO as a custom SAML app. Attributes help
I have an account that is not part of my org but I would like to add it as a custom SAML 2.0 app in my AWS SSO. Is this possible? 

https://docs.aws.amazon.com/singlesignon/latest/userguide/manage-your-accounts.html  states that it is possible:

""You can also connect an AWS account that is not part of your organization by setting up the account as a custom SAML application in AWS SSO. In this scenario, you provision and manage the IAM roles and trust relationships that are required to enable SSO access. For more information on how to do this, see Add and Configure a Custom SAML 2.0 Application.""

I have all this set up but I can't seem to find the proper attribute mappings for the assertion. Anyone have any info or advice?"
AWS Greengrass	"Re: Connect non-org account to AWS SSO as a custom SAML app. Attributes help
A big thank you to Jose Eduardo at AWS Support for the help. 

""Assuming that you have already created the application in SSO and the role to be assumed in the other account, the following three attributes are needed when configuring access to an AWS account as a Custom SAML application in AWS SSO:

User attribute in the application: Subject
Maps to this string value or user attribute in AWS SSO: $null
Format: persistent

User attribute in the application: https://aws.amazon.com/SAML/Attributes/Role
Maps to this string value or user attribute in AWS SSO: arn:aws:iam::012345678910:role/NAME-OF-YOUR-ROLE,arn:aws:iam::012345678910:saml-provider/NAME-OF-IDENTITY-PROVIDER
Format: unspecified

User attribute in the application: https://aws.amazon.com/SAML/Attributes/RoleSessionName
Maps to this string value or user attribute in AWS SSO: $null
Format: unspecified

Note that if you use the user attribute $null as a mapping value then the user must have a value configured in the email address field in Active Directory. Alternatively, you can also specify other supported attributes. For more information about supported attributes in AWS SSO please see link [1] in the references below.

Finally, please note that the attributes above are case-sensitive, therefore, they must be set exactly to https://aws.amazon.com/SAML/Attributes/Role and https://aws.amazon.com/SAML/Attributes/RoleSessionName. For more information about the required attributes in SAML responses for authentication to AWS please see link [2] in the references below.""

References:

[1] Supported AWS SSO Attributes
https://docs.aws.amazon.com/singlesignon/latest/userguide/attributemappingsconcept.html

[2] Configuring SAML Assertions for the Authentication Response
https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles_providers_create_saml_assertions.html"
AWS Greengrass	"Re: Connect non-org account to AWS SSO as a custom SAML app. Attributes help
Hey ITGuyDennis,

Just adding a link to another thread which you asked this on. I provided the answer there, the same as you have posted here, but with the formatting fixed so that NULL isn't displayed. Just for anyone who comes here to find the solution:

https://forums.aws.amazon.com/thread.jspa?threadID=282953"
AWS Greengrass	"Use SSO to access accounts outside of an Organization
The AWS SSO FAQ mentions that SSO allows access to accounts within your Organization.

Is SSO able to allow access to accounts in an org AND accounts in another org or not in any org?"
AWS Greengrass	"Re: Use SSO to access accounts outside of an Organization
AWS SSO can be setup in your AWS Organization. Then, AWS SSO provides single sign-on access to all the accounts managed with in your AWS Organization. I want to learn more about your use case that would require you to manage SSO to accounts managed outside your AWS Organization."
AWS Greengrass	"Re: Use SSO to access accounts outside of an Organization
I work for an MSP.

We currently use Switch Role but SSO has all the links to account consoles in the SSO GUI and Switch Role we need to manage those Switch Role URLs manually.

Edited by: velvetpixeldevcam on May 29, 2018 4:30 PM"
AWS Greengrass	"Re: Use SSO to access accounts outside of an Organization
Understood. AWS SSO does not have support for managed service providers use cases at this time. I appreciate your feedback. We will consider your inputs while planning for future releases of AWS SSO.
--Anand Murugesan

Edited by: anandmataws on May 29, 2018 4:35 PM"
AWS Greengrass	"Re: Use SSO to access accounts outside of an Organization
Thanks for the confirmation"
AWS Greengrass	"Re: Use SSO to access accounts outside of an Organization
I just wanted to tag on to this question. I have an account that is not part of my org but I would like to add it as a custom SAML 2.0 app in my AWS SSO. Is this possible? The documentation at https://docs.aws.amazon.com/singlesignon/latest/userguide/manage-your-accounts.html states that it is possible:

""You can also connect an AWS account that is not part of your organization by setting up the account as a custom SAML application in AWS SSO. In this scenario, you provision and manage the IAM roles and trust relationships that are required to enable SSO access. For more information on how to do this, see Add and Configure a Custom SAML 2.0 Application.""

I have all this set up but I can't seem to find the proper attribute mappings for the assertion. Anyone have any info or advice?"
AWS Greengrass	"Re: Use SSO to access accounts outside of an Organization
Hey ITGuyDennis,

Indeed this is possible. It can be achieved by configuring a Custom SAML 2.0 Application, but bear the following in mind:


Users will only be able to assume a single role within the target AWS account
Unlike the AWS Accounts application, you will not be able to obtain temporary credentials for programmatic use via the app in the SSO User Portal.


The steps below are how I achieved this in my own environment:

1) Create a new Custom SAML 2.0 application.
2) Download the 'AWS SSO SAML metadata' file.
3) Go to your target account and create an Idp in IAM, uploading the metadata file which you downloaded.
4) Create an IAM Role to allow for federated access with SAML - Select the Idp which you just created, allow for Console access, attach the IAM Policies you wish.
5) Go back to the account where you're configuring the SSO application.
6) For 'Application Metadata' select to manually enter the data.
7) Enter the following:
	i) Application ACS URL - https://signin.aws.amazon.com/saml
	ii) Application SAML audience - urn:amazon:webservices
	iii) Leave 'Application start URL' blank.
8) In Attribute Mappings, enter the following (user attribute - map string value - format):
	i) Subject - $\{user:email\} - persistent
	ii) https://aws.amazon.com/SAML/Attributes/RoleSessionName - $\{user:email\} - unspecified
	iii) https://aws.amazon.com/SAML/Attributes/Role - arn:aws:iam::account_number:saml-provider/Idp_name,arn:aws:iam::account_number:role/role_name - unspecified
9) Assign a user to access the application and save the changes.

N.B. Remember to remove the '\' from the user attributes above. I had to put those in so that the values weren't show as null.

I hope that this helps.

Regards,
Ciarán C

Edited by: CiaranC-AWS on Aug 20, 2018 5:34 AM - Has to reformat the user attributes as they were coming up as '$null' when saved."
AWS Greengrass	"Removing CLI option from SSO Portal
Hi,

AWS SSO dashboard shows ""Management Console | Command Line access"". Is there a way I can hide or not show CLI option?

Thanks
Bala

Edited by: ACN-Bala on May 7, 2018 5:43 AM"
AWS Greengrass	"Re: Removing CLI option from SSO Portal
You cannot hide the CLI option from the user portal. May I ask what is the motivation for that?
Thanks,
Anand Murugesan."
AWS Greengrass	"Re: Removing CLI option from SSO Portal
Its just that I want to limit users to have access through Console only.

Thanks
Bala"
AWS Greengrass	"Re: Removing CLI option from SSO Portal
I understand. If the user can perform an operation through Console, the same operation can be performed through API route as well. Users have the same permission immaterial of the route the use to access those API/features. Would you please elaborate what is your thought when you said you wanted to not provide access to your users from the command line/programmatic access. I am trying to understand the benefits/need for that setup. 
Thanks,
Anand Murugesan."
AWS Greengrass	"Re: Removing CLI option from SSO Portal
I think this option would be handy to stop those who may be inexperienced with CLI attempting something which could potentially bring down an account."
AWS Greengrass	"How to enable Master account for AWS SSO
Hi,

As part of testing, I have been able to create an AWS Organizations with different OUs and AWS SSO enabled for the member accounts with AWS Microsoft AD directory services.

But for the master account I was not able to assign users, the ""Assign Users"" option is greyed out. So, I added IAM Roles for directory users and groups, from the ""AWS Management Console"" option under my instance of Directory Service. With this I am able to SSO into master account as well, but the URL is different i.e I have to use https://myportal.awsapps.com/console.

For all the rest of the member accounts, I use the https://myportal.awsapps.com/start, as this lists all the member accounts, and when you select any of them, it shows the corresponding roles, f more than 1 created.

My question is - how do I enable Master account to show up in the common URL -
https://myportal.awsapps.com/start, rather than using two URLs - one for Master account and another for all the member accounts.

Request clarity and addition info on this requirement of mine.

Thanks
Bala"
AWS Greengrass	"Re: How to enable Master account for AWS SSO
Thank you for sharing your feedback. We are aware of the request to enable SSO access to master accounts. Currently AWS SSO does not support SSO access to master accounts. We are looking to enable this in the future.

Edited by: anandmataws on May 2, 2018 10:24 AM"
AWS Greengrass	"Re: How to enable Master account for AWS SSO
Thanks Anand for the clarification."
AWS Greengrass	"Re: How to enable Master account for AWS SSO
We recently launched a feature to enable single sign-on to master account. You can find more details here: https://aws.amazon.com/about-aws/whats-new/2018/07/aws-single-sign-on-streamlines-access-to-aws-organizations-master-account-resources/

Please let us know if you have additional questions."
AWS Greengrass	"OpenVPN integration
Any chance of adding OpenVPN integration to SSO? This would be a crucial piece for our organisation.

Many thanks,
B"
AWS Greengrass	"AWS SSO - Error when saving attribute mapping.
I'm trying to set up a SSO from AWS SSO to QuickSight. I'm getting the attached error when saving the attribute mapping. Any ideas whats going on here?"
AWS Greengrass	"Office 365 Sign-In Issue
We're trialing AWS SSO as an identity provider for Office 365 using a test tenant. Federation has been configured successfully as per AWS SSO guidelines.

A user can sign in to the AWS SSO portal and then click on Office 365 icon to launch the app. The sign-in process works successfully and the user is logged in to the Office 365 portal.

However, if a user who has not logged in to AWS SSO goes directly to the Office 365 portal, the sign in request is automatically redirected to AWS SSO and once credentials are entered, an error is displayed.

<URL> - https://portal.sso.us-east-1.amazonaws.com/saml/assertion/Nzg0ODMzNTMwNjkyX2lucy0yZGIwMDVhNDVhMjY2NGQ1

403
Please contact your System Administrator
No access

Something went wrong and we could not sign you in to the application. 

This message is received by any user attempting to sign in from Outlook 2016 or iOS native mail client on the sign in page.

However if the user once again navigates to portal.office.com and tries to sign, the process is successful. The difference being, the user is already signed on to AWS SSO.

Can anyone assist with further troubleshooting on this error. 

Thanks
Kasun"
