question,answer
Q: What is Amazon RDS on VMware?,"
A: Amazon RDS on VMware is a service currently in preview that delivers AWS-managed relational databases in on-premises VMware environments. Managing relational databases is complex and time-consuming, and RDS on VMware makes it easy to set up, scale, and operate relational databases in your VMware vSphere clusters. RDS on VMware uses the same simple interface as <a href=""/rds/"">Amazon RDS</a>, which you can use to manage databases both on-premises and in AWS.
"
Q: Which relational database engines does Amazon RDS on VMware support?,"
A: Amazon RDS on VMware will support Microsoft SQL Server, MySQL, PostgreSQL, and MariaDB database engines, with Oracle to follow in the future. We add engines based on customer demand, so please let us know if you’re interested in using RDS on VMware with another database engine.  
"
Q: What does Amazon RDS on VMware manage on my behalf?,"
A: Amazon RDS on VMware automates the provisioning of new database instances on-premises; the patching of the on-premises operating systems and database engines; online backups based on retention policies of databases both on-premises and in AWS; point-in-time restore from on-premises and cloud backups; read replica creation on-premises and in AWS; and storage, CPU, and memory scaling of your databases, all through a dedicated VPN tunnel.
"
Q: Can I keep all of my data in Amazon RDS on VMware on-premises?,"
A: Yes, this is Amazon RDS on VMware’s default behavior. Unless you explicitly enable one of the hybrid cloud features for a given database, all of its data stays in your data center.
"
Q: What hybrid capabilities does Amazon RDS on VMware support?,"
A: Although Amazon RDS on vSphere keeps all of your data in your data center by default, it also makes it simple to take advantage of AWS scale for disaster recovery, backup retention, and migration. Per-database backup retention policies allow you to specify how long to keep daily snapshots on-premises, if and when to replicate them to AWS, and how long to retain them in the cloud. AWS-based RDS read replicas of your on-premises RDS on VMware databases can be used for disaster recovery or easy migration with single-click read replica promotion, or to provide geo-proximal replicas of your database in any AWS region.
"
Q: Does Amazon RDS on VMware support Amazon Aurora?,"
A: We don’t have plans to support Amazon Aurora on-premises at this time. Aurora’s database architecture is built for the cloud, where storage is distributed across hundreds or thousands of nodes in a region to provide very high availability and durability. This cannot be easily replicated on-premises.
"
Q: Can Amazon RDS on VMware reduce the time it takes me to provision a database for my users?,"
A: Yes. Amazon RDS on VMware will typically have a new database server built, running, and listening for connections in under 10 minutes, depending on your environment and storage requirements. You can also create new, completely independent databases from the backup of a master database, from any point in time, or as a asynchronously replicating read replica.
"
Q: Can Amazon RDS on VMware help me move to the cloud?,"
A: Yes. With Amazon RDS on VMware’s single-click read replica promotion feature, you can move your on-premises workload to AWS without reconfiguring your application and with minimal interruption. Moving to the cloud is as simple as creating a read replica of your database in an AWS Region and a single click to promote the read replica to the primary instance.
"
Q: What AWS Regions is Amazon RDS on VMware available in?,"
A: Amazon RDS on VMware will be available in us-east-1 (Northern Virginia), us-west-2 (Oregon), eu-central-1 (Frankfurt), and ap-northeast-1 (Tokyo).
"
Q: What do I need before I get started with Amazon RDS on VMware?,"
A: To get started, you need a VMware vSphere 6.5+ cluster with active VMware support and outbound connectivity to the Internet, administrative privileges to the cluster, and an AWS account in good standing. 
"
Q: How do I get started with Amazon RDS on VMware?,"
A: Amazon RDS on VMware is currently in preview and you can register to participate <a href=""https://aws.amazon.com/rds/vmware/"">here</a>. If you are selected for participation in the preview, we will reach out to you with further instructions.
"
Q: Where do I go to create or manage a database?,"
A: You can create, modify, and manage your Amazon RDS on VMware databases through the RDS Console, APIs, and CLI.
"
Q: Can I use my own Microsoft SQL Server and Oracle licenses with Amazon RDS on VMware?,"
A: Yes. You will be required to use your own Microsoft SQL Server and Oracle licenses to use Amazon RDS on VMware for those commercial databases.
"
