label	description

Amazon SNS	['use', 'sns', 'instances', 'vpc', 'tried', 'subscribe', 'http', 'endpoint', 'vpc', 'sns', 'topic', 'using', 'console', 'got', 'message', 'back', 'subscriber', 'endpoint:', 'http://100234144:9013/foo', 'message:', 'authorized', 'subscribe', 'internal', 'endpoints', 'service:', 'amazonsns', 'status', 'code:', '403', 'error', 'code:', 'authorizationerror', 'request', 'id:', '7a320845182853e082c146e987305010']

Amazon SNS	['use', 'sns', 'instances', 'vpc', 'derricklucid:', 'reaching', 'http', 'endpoint', 'used', 'internal', 'http', 'endpoint', 'mean', 'different', 'things', 'different', 'internal', 'networks', 'sns', 'recognized', 'amazon', 'internal', 'http', 'endpoint', 'failed', 'sns', 'permission', 'use', 'publish', 'http', 'endpoint', 'instead', 'best', 'liang']

Amazon SNS	['use', 'sns', 'instances', 'vpc', 'use', 'publish', 'http', 'endpoint', 'instead', 'clarify', 'let', 'walk', 'example', 'little', 'explicitly', 'machine', 'vpc', 'one', 'network', 'interface', 'ip', 'address', 'interface', '10014070', 'example', 'sns', 'pubsub', 'service', 'idea', 'one', 'node', 'publishes', 'notification', 'topic', 'several', 'nodes', 'subscribe', 'topic', 'sns', 'send', 'notification', 'machine', '10014070', 'needs', 'subscribe', 'sns', 'topic', 'receive', 'notifications', 'another', 'node', 'publishes', 'another', 'machine', 'public', 'ip', 'address', 'subscribe', 'topic', 'fine', 'receive', 'notifications', 'trouble', 'machine', 'private', 'vpc', 'address', 'possible', 'words', 'sns', 'send', 'notifications', 'machines', 'vpc', 'without', 'second', 'public', 'network', 'interface', 'edited', 'by:', 'derricklucid', 'nov', '2015', '8:51']

Amazon SNS	['use', 'sns', 'instances', 'vpc', 'problem', 'well', 'would', 'like', 'use', 'internal', 'ec2', 'ips', 'sns', 'http', 'endpoints', 'apparently', 'allow', 'however', 'want', 'expose', 'sns', 'endpoints', 'outside', 'world', 'way', 'use', 'internal', 'ip', 'addresses', 'sns', 'edited', 'by:', 'bosschaertd', 'nov', '11', '2015', '7:08']

Amazon SNS	['use', 'sns', 'instances', 'vpc', 'similar', 'problem', 'guys', 'resolve', 'issue', 'subscribing', 'public', 'dns', 'works', 'since', 'vpc', 'instance', 'would', 'use', 'private', 'ip']

Amazon SNS	['use', 'sns', 'instances', 'vpc', 'solution', 'yet', 'may', 'resort', 'publishing', 'sqs', 'queue', 'per', 'vpc', 'machine', 'polling', 'queue', 'get', 'notifications']

Amazon SNS	['use', 'sns', 'instances', 'vpc', 'contacting', 'us', 'time', 'sns', 'support', 'vpc', 'endpoints', 'take', 'feature', 'request', 'approach', 'using', 'sqs', 'polling', 'machine', 'within', 'vpc', 'work', 'george']

Amazon SNS	['use', 'sns', 'instances', 'vpc']

Amazon SNS	['use', 'sns', 'instances', 'vpc', 'major', 'gap', 'sns', 'make', 'sure', 'dev', 'team', 'aware', 'customer', 'pain', 'point', 'ideally', 'able', 'allow', 'sns', '`connect`', 'vpc', 'send', 'messages', 'internal', 'machines']

Amazon SNS	['use', 'sns', 'instances', 'vpc', 'exposing', 'sns', 'endpoints', 'internet', 'madness', 'amazon', 'requiring', 'users', 'insecure', 'way', 'go']

Amazon SNS	['use', 'sns', 'instances', 'vpc']

Amazon SNS	['use', 'sns', 'instances', 'vpc', 'problem', 'update', 'br', 'arvin']

Amazon SNS	['use', 'sns', 'instances', 'vpc', 'mean', 'would', 'great', 'vpc', 'endpoint', 'sns', 'exists', 's3', 'buckets', '=>', 'https://forumsawsamazoncom/threadjspathreadid=180310', 'advance', 'edited', 'by:', 'steph', 'apr', '24', '2017', '1:57', 'added', 'endpoint', 'comment', 'edited', 'by:', 'steph', 'apr', '24', '2017', '1:59']

Amazon SNS	['use', 'sns', 'instances', 'vpc']

Amazon SNS	['use', 'sns', 'instances', 'vpc', '2017', 'resolution', 'issue', 'using', 'lambda', 'function', 'behind', 'vpc', 'due', 'redis', 'connectivity']

Amazon SNS	['use', 'sns', 'instances', 'vpc', 'inability', 'subscribe', 'internal', 'endpoint', 'currently', 'impacting', 'architecture', 'aws', 'sns', 'team', 'help', 'fix', 'gaps']

Amazon SNS	['use', 'sns', 'instances', 'vpc', 'believe', '2018', 'lucky', 'year', 'finally', 'see', 'official', 'doc', 'resolution', 'issue', 'use', 'amazon', 'virtual', 'private', 'cloud', 'amazon', 'vpc', 'host', 'aws', 'resources', 'establish', 'private', 'connection', 'vpc', 'amazon', 'sns', 'connection', 'publish', 'messages', 'amazon', 'sns', 'topics', 'without', 'sending', 'public', 'internet', 'https://docsawsamazoncom/sns/latest/dg/snsvpchtml']

