name,ID
Performance Insights,forumID=250
AWS Solutions,forumID=226
Amazon Web Services,categoryID=3
Analytics,categoryID=30
Amazon Athena,forumID=242
AWS Data Pipeline,forumID=151
Amazon Elastic MapReduce,forumID=52
Amazon Elasticsearch Service,forumID=200
Amazon Kinesis,forumID=169
Alexa Top Sites,forumID=13
Alexa Web Information Service,forumID=14
Amazon CloudSearch,forumID=137
AWS Glue,forumID=262
Amazon QuickSight,forumID=246
Amazon Managed Streaming for Kafka (Amazon MSK),forumID=315
Application Integration,categoryID=44
Amazon Simple Queue Service,forumID=12
Amazon Simple Notification Service,forumID=72
Amazon MQ,forumID=279
Amazon Simple Workflow Service,forumID=133
AWS Step Functions,forumID=237
AR & VR,categoryID=45
Amazon Sumerian,forumID=300
Business Productivity,categoryID=28
Alexa for Business,forumID=273
Amazon WorkMail,forumID=191
Compute,categoryID=20
AWS Batch,forumID=240
AWS Elastic Beanstalk,forumID=86
Amazon Elastic Compute Cloud (EC2),forumID=30
Amazon Elastic Container Service (Amazon ECS),forumID=187
AWS Lambda,forumID=186
Amazon Lightsail,forumID=231
Amazon Linux,forumID=228
FPGA Development,forumID=243
AWS Serverless Application Repository,forumID=287
Amazon EKS,forumID=303
Amazon Elastic Inference,forumID=326
Customer Engagement,categoryID=38
Amazon Connect,forumID=249
Amazon Simple Email Service,forumID=90
Database,categoryID=26
Amazon Aurora PostgreSQL-compatible Edition,forumID=227
Amazon Relational Database Service,forumID=60
Amazon DynamoDB,forumID=131
Amazon Redshift,forumID=155
Amazon SimpleDB,forumID=38
Amazon ElastiCache,forumID=127
AWS Schema Conversion Tool,forumID=208
Amazon RDS Database Preview Environment,forumID=301
Amazon Neptune,forumID=253
Amazon DocumentDB,forumID=332
Desktop & App Streaming,categoryID=37
Amazon AppStream 2.0,forumID=233
Amazon WorkSpaces,forumID=164
Developer Tools,categoryID=21
AWS CodeCommit,forumID=189
AWS CodeDeploy,forumID=179
AWS CodePipeline,forumID=197
AWS CodeBuild,forumID=230
AWS X-Ray,forumID=241
AWS CodeStar,forumID=248
AWS Cloud9,forumID=268
Game Development,categoryID=35
Amazon GameLift,forumID=220
Internet of Things,categoryID=32
AWS IoT,forumID=210
AWS Greengrass,forumID=254
AWS IoT Device Management,forumID=286
Amazon FreeRTOS,forumID=276
AWS IoT Analytics,forumID=298
AWS IoT 1-Click,forumID=294
AWS IoT Device Defender,forumID=307
AWS IoT Things Graph,forumID=317
AWS IoT SiteWise,forumID=336
AWS IoT Events,forumID=334
Machine Learning,categoryID=36
Amazon Rekognition,forumID=234
Amazon Polly,forumID=235
Amazon Machine Learning,forumID=194
Amazon Lex,forumID=251
AWS Deep Learning AMIs,forumID=263
Amazon SageMaker,forumID=285
AWS DeepLens,forumID=275
Amazon Comprehend,forumID=281
Amazon Transcribe,forumID=278
Amazon Translate,forumID=267
Amazon Comprehend Medical,forumID=319
AWS DeepRacer,forumID=318
Amazon Textract,forumID=338
Management Tools,categoryID=24
AWS CloudFormation,forumID=92
AWS OpsWorks,forumID=153
Amazon CloudWatch,forumID=138
AWS CloudTrail,forumID=168
AWS Config,forumID=184
AWS Service Catalog,forumID=198
AWS Resource Groups,forumID=272
AWS Systems Manager,forumID=185
Tagging in AWS,forumID=218
AWS Auto Scaling,forumID=291
