label,description
Amazon Lambda,API Reference     
Amazon Lambda,"This section contains the AWS Lambda API Reference documentation. When making the API calls, you will need to authenticate your request by providing a signature. AWS Lambda supports signature version 4. For more information, see Signature Version 4 Signing Process in the Amazon Web Services General Reference.     "
Amazon Lambda,     
Amazon Lambda,"For an overview of the service, see What Is AWS Lambda?.     "
Amazon Lambda,     
Amazon Lambda,You can use the AWS CLI to explore the AWS Lambda API. This guide provides several tutorials that use the AWS CLI.     
Amazon Lambda,     
Amazon Lambda,Topics     
Amazon Lambda,     
Amazon Lambda,Actions     
Amazon Lambda,     
Amazon Lambda,Data Types     
Amazon Lambda,     
Amazon Lambda,Certificate Errors When Using an SDK     
Amazon Lambda,"Because AWS SDKs use the CA certificates from your computer, changes to the certificates on the AWS servers can cause connection failures when you attempt to use an SDK. You can prevent these failures by keeping your computer's CA certificates and operating system up-to-date. If you encounter this issue in a corporate environment and do not manage your own computer, you might need to ask an administrator to assist with the update process. The following list shows minimum operating system and Java versions:     "
Amazon Lambda,     
Amazon Lambda,Microsoft Windows versions that have updates from January 2005 or later installed contain at least one of the required CAs in their trust list.     
Amazon Lambda,     
Amazon Lambda,"Mac OS X 10.4 with Java for Mac OS X 10.4 Release 5 (February 2007), Mac OS X 10.5 (October 2007), and later versions contain at least one of the required CAs in their trust list.     "
Amazon Lambda,     
Amazon Lambda,"Red Hat Enterprise Linux 5 (March 2007), 6, and 7 and CentOS 5, 6, and 7 all contain at least one of the required CAs in their default trusted CA list.     "
Amazon Lambda,     
Amazon Lambda,"Java 1.4.2_12 (May 2006), 5 Update 2 (March 2005), and all later versions, including Java 6 (December 2006), 7, and 8, contain at least one of the required CAs in their default trusted CA list.     "
Amazon Lambda,     
Amazon Lambda,"When accessing the AWS Lambda management console or AWS Lambda API endpoints, whether through browsers or programmatically, you will need to ensure your client machines support any of the following CAs:     "
Amazon Lambda,     
Amazon Lambda,Amazon Root CA 1     
Amazon Lambda,     
Amazon Lambda,Starfield Services Root Certificate Authority - G2     
Amazon Lambda,     
Amazon Lambda,Starfield Class 2 Certification Authority     
Amazon Lambda,     
Amazon Lambda,"Root certificates from the first two authorities are available from Amazon Trust Services, but keeping your computer up-to-date is the more straightforward solution. To learn more about ACM-provided certificates, see AWS Certificate Manager FAQs.     "
Amazon Lambda,"In this Getting Started exercise you create a Lambda function using the AWS Lambda console. Next, you manually invoke the Lambda function using sample event data. AWS Lambda executes the Lambda function and returns results. You then verify execution results, including the logs that your Lambda function created and various CloudWatch metrics.     "
Amazon Lambda,     
Amazon Lambda,To create a Lambda function     
Amazon Lambda,     
Amazon Lambda,Open the AWS Lambda console.     
Amazon Lambda,     
Amazon Lambda,Choose Create a function.     
Amazon Lambda,     
Amazon Lambda,"For Function name, enter my-function.     "
Amazon Lambda,     
Amazon Lambda,Choose Create function.     
Amazon Lambda,     
Amazon Lambda,"Lambda creates a Node.js function and an execution role that grants the function permission to upload logs. Lambda assumes the execution role when you invoke your function, and uses it to create credentials for the AWS SDK and to read data from event sources.     "
Amazon Lambda,     
Amazon Lambda,Use the Designer     
Amazon Lambda,The Designer lets you configure triggers and view permissions.     
Amazon Lambda,"Choose Amazon CloudWatch Logs to view the log-related permissions that the execution role grants the function. When you add a trigger or configure features that require additional permissions, Lambda modifies to the function's execution role or resource-based policy to grant the minimum required access. To view these policies, choose the key icon.     "
Amazon Lambda,     
Amazon Lambda,"Choose my-function in the designer to return to the function's code and configuration. For scripting languages, Lambda includes sample code that returns a success response. You can edit your function code with the embedded AWS Cloud9 editor as long as your source code doesn't exceed the 3 MB limit.     "
Amazon Lambda,     
Amazon Lambda,Invoke the Lambda Function     
Amazon Lambda,Invoke your Lambda function using the sample event data provided in the console.     
Amazon Lambda,     
Amazon Lambda,To invoke a function     
Amazon Lambda,     
Amazon Lambda,"In the upper right corner, choose Test.     "
Amazon Lambda,     
Amazon Lambda,"In the Configure test event page, choose Create new test event and in Event template, leave the default Hello World option. Enter an Event name and note the following sample event template:     "
Amazon Lambda,     
Amazon Lambda,{     
Amazon Lambda,"  ""key3"": ""value3"",     "
Amazon Lambda,"  ""key2"": ""value2"",     "
Amazon Lambda,"  ""key1"": ""value1""     "
Amazon Lambda,}     
Amazon Lambda,"You can change key and values in the sample JSON, but don't change the event structure. If you do change any keys and values, you must update the sample code accordingly.     "
Amazon Lambda,     
Amazon Lambda,Choose Create and then choose Test. Each user can create up to 10 test events per function. Those test events are not available to other users.     
Amazon Lambda,     
Amazon Lambda,AWS Lambda executes your function on your behalf. The handler in your Lambda function receives and then processes the sample event.     
Amazon Lambda,     
Amazon Lambda,"Upon successful execution, view results in the console.     "
Amazon Lambda,     
Amazon Lambda,"The Execution result section shows the execution status as succeeded and also shows the function execution results, returned by the return statement.     "
Amazon Lambda,     
Amazon Lambda,The Summary section shows the key information reported in the Log output section (the REPORT line in the execution log).     
Amazon Lambda,     
Amazon Lambda,The Log output section shows the log AWS Lambda generates for each execution. These are the logs written to CloudWatch by the Lambda function. The AWS Lambda console shows these logs for your convenience.     
Amazon Lambda,     
Amazon Lambda,Note that the Click here link shows logs in the CloudWatch console. The function then adds logs to Amazon CloudWatch in the log group that corresponds to the Lambda function.     
Amazon Lambda,     
Amazon Lambda,Run the Lambda function a few times to gather some metrics that you can view in the next step.     
Amazon Lambda,     
Amazon Lambda,Choose Monitoring. This page shows graphs for the metrics that Lambda sends to CloudWatch.     
Amazon Lambda,"For more information on these graphs, see Monitoring Functions in the AWS Lambda Console.     "
Amazon Lambda,AWS Lambda Concepts     
Amazon Lambda,"AWS Lambda lets you run functions in a serverless environment to process events in the language of your choice. Each instance of your function runs in an isolated execution context and processes one event at a time. When it finishes processing the event, it returns a response and Lambda sends it another event. Lambda automatically scales up the number of instances of your function to handle high numbers of events.     "
Amazon Lambda,     
Amazon Lambda,"Function – A script or program that runs in AWS Lambda. Lambda passes invocation events to your function. The function processes an event and returns a response. For more information, see Working with Lambda Functions.     "
Amazon Lambda,     
Amazon Lambda,"Runtimes – Lambda runtimes allow functions in different languages to run in the same base execution environment. You configure your function to use a runtime that matches your programming language. The runtime sits in-between the Lambda service and your function code, relaying invocation events, context information, and responses between the two. You can use runtimes provided by Lambda, or build your own. For more information, see AWS Lambda Runtimes.     "
Amazon Lambda,     
Amazon Lambda,"Layers – Lambda layers are a distribution mechanism for libraries, custom runtimes, and other function dependencies. Layers let you manage your in-development function code independently from the unchanging code and resources that it uses. You can configure your function to use layers that you create, layers provided by AWS, or layers from other AWS customers. For more information, see AWS Lambda Layers     "
Amazon Lambda,     
Amazon Lambda,"Event source – An AWS service, such as Amazon SNS, or a custom service, that triggers your function and executes its logic. For more information, see AWS Lambda Event Source Mapping.     "
Amazon Lambda,     
Amazon Lambda,"Downstream resources – An AWS service, such as DynamoDB tables or Amazon S3 buckets, that your Lambda function calls once it is triggered.     "
Amazon Lambda,     
Amazon Lambda,"Log streams – While Lambda automatically monitors your function invocations and reports metrics to CloudWatch, you can annotate your function code with custom logging statements that allow you to analyze the execution flow and performance of your Lambda function to ensure it's working properly.     "
Amazon Lambda,     
Amazon Lambda,"AWS SAM – A model to define serverless applications. AWS SAM is natively supported by AWS CloudFormation and defines simplified syntax for expressing serverless resources. For more information, see What Is AWS SAM? in the AWS Serverless Application Model Developer Guide.     "
