label	description
AWS IoT	"Is AWS IoT Core the right choice?
Hey guys,

I just want to do a simple IoT thing the other way round. What you can find on YouTube etc. are tutorials that setup a Raspberry Pi to send sensor data to the AWS cloud. I want to go the other way round: I have a mobile application and if an event is triggered here (click on a dedicated button), it should trigger an event on the Pi to execute some Python code.

Is AWS IoT Core the right product for it or must I go with API Gateway WebSockets instead? Unfortunately I wasn't able to find a good example online for this (from my point of view) standard IoT scenario.

Thanks a lot for ya help!"
AWS IoT	"AWSIoTPythonSDK.exception.AWSIoTExceptions.DiscoveryDataNotFoundException
Hi, Help needed to resolve an error, I am trying to publish values to a topic, using basicdiscovery.py for greengrass.

Greengrass core is installed inside Raspberry Pi.

I have registered two devices to my greengrass group, which are executed using windows machine,as explained  here

https://docs.aws.amazon.com/greengrass/latest/developerguide/device-group.html

when i execute basicdiscovery.py as a publisher,  i have the following error

2019-02-27 11:38:56,771 - AWSIoTPythonSDK.core.greengrass.discovery.providers - DEBUG - Receiving discover response header...
2019-02-27 11:38:56,883 - AWSIoTPythonSDK.core.greengrass.discovery.providers - DEBUG - Receiving discover response body...
Error in discovery!
Type: <class 'AWSIoTPythonSDK.exception.AWSIoTExceptions.DiscoveryDataNotFoundException'>
Error message: No discovery data found

6/10 retries left

Backing off...

Both my greengrass core device and windows system is connected to the same network,Is this something to do with my resources in thing policy.

Thanks."
AWS IoT	"Subscribe to shadow events of thing groups / thing types
Hi.

I am in scenario where I want to subscribe to shadow updates of a group of things.
For example:
`$aws/thinggroup/groupName/shadow/update/documents`

This does not work, and I can only use the following:

`$aws/things/+/shadow/update/documents`

Which will subscribe to ALL things, which is not what I want.

Is it possible to subscribe to only a subset of things shadow updates, whether it be thing group, thing type or just possibly a prefix in the thing name (for example, $aws/things/vehicle-*/shadow/update/documents)?

I didn't find a way so far to do that except republishing to another topic, which mean creating a rule and publishing an extra message..."
AWS IoT	"Connect to AWS Greengrass MQTT Broker without AWS IoT SDK
Hello everyone,
we're working on a IoT project trying to connect a Siemens PLC (S7 1200) with Greengrass Core installed on a Raspberry via MQTT. The Siemens PLC has a MQTT Publisher but it seems that it cannot be extended, that means it can be configured only with a specific server endpoint and TLS certificate. Is there any way to directly connect to the Greengrass MQTT Broker without using the AWS IoT SDK? Probably the Siemens MQTT Publisher could work directly publishing messages on a AWS IoT topic, skipping Greengrass, but it's not what we're looking for.

Thank you!"
AWS IoT	"IoT Publish delayed?
Hi,
I am currently developing a solution that will make an intesive use of IoT platform and need basically to publish MQTT messages to thing groups.

Everything seems to work fine, but from time to time messages are taking a lot of time to arrive to my thing, about several minutes. Note that same event is received inmediately on AWS MQTT client if I subscrive on the same group topic.

Is there any way to flush IoT broker?
Any suggestion?

Thanks,
Oscar."
AWS IoT	"Notification of lifecycle events to Lambda within short timeframe
Hello,

We have a use case where we are required:

1) to be notified of lifecycle events (https://docs.aws.amazon.com/iot/latest/developerguide/life-cycle-events.html#connect-disconnect) at a Lambda function no later than ~20 seconds after the the device subscribes or disconnects.  
2) to ensure lifecycle events are delivered in the order they occurred.  if necessary, we can rely on the timestamps in the message to perform ordering ourselves, if they are ordered correctly with relation to other events.

Can we rely on delivery of lifecycle events to the Lambda within the above tolerances assuming we have setup the IoT rules correctly?"
AWS IoT	"Sending SNS using IoT rule with attributes
Hi,

I'm trying to use a rule to send an SNS notification from IoT, using attributes to filter the topic subscription in SNS.

I've set my SQL in IoT rules as follows:
SELECT * as Message, ""String"" as Topic.DataType, topic(2) as Topic.StringValue FROM 'myTopic/subTopic/Test'

When I catch the posted message in a seperate topic, I can see that the message being sent to SNS is:
{""Message"":{""default"":""This is the default Message"",""APNS_SANDBOX"":""{\""aps\"" : { \""alert\"" : \""Test Message\"", \""badge\"" : 0, \""content-available\"" : 1,\""category\"" :\""myCategory\"",\""sound\"" :\""default\""}}""},""Topic"":{""DataType"":""String"",""StringValue"":""12345""}}

If I clear all Subscription Filters in SNS, the message arrives fine. But as soon as I apply the filter, it stops working.

My SNS Topic Subscription Policy is set to:
{""Topic"" : }

Any ideas what I'm doing wrong?

Edited by: Needlerp on Jul 26, 2018 6:25 AM"
AWS IoT	"Re: Sending SNS using IoT rule with attributes
Hi Needlerp,

Did you figure out the problem? If not I'm happy to help. A couple questions first of all:

1) Is your SNS action Message Format set to ""JSON""?
2) Is your filter {""Topic"" : } complete?

Thanks,
Brendan"
AWS IoT	"Re: Sending SNS using IoT rule with attributes
Thanks. I managed to get this sorted by re-posting to a Lamda script and running the notification from there."
AWS IoT	"Re: Sending SNS using IoT rule with attributes
I'm glad you got it working!

Please let us know if you'd like help implementing this natively in the Rules Engine.

Thanks,
Brendan"
AWS IoT	"Re: Sending SNS using IoT rule with attributes
I would definitely like some help implementing it natively in the rules engine! How can I set SNS message attributes without having to use a lambda? Is there an example anywhere?"
AWS IoT	"How to partition Iot access with Cognito?
Currently I have the following policy which almost does the trick:
{
  ""Version"": ""2012-10-17"",
  ""Statement"": [
    {
      ""Effect"": ""Allow"",
      ""Action"": \[""iot:Connect""],
      ""Resource"": \[""arn:aws:iot:eu-west-1:929242459730:client/${iot:ClientId}""]
    },
    {
      ""Effect"": ""Allow"",
      ""Action"": \[""iot:Subscribe""],
      ""Resource"": \[""arn:aws:iot:eu-west-1:929242459730:topicfilter/myapp/${cognito-identity.amazonaws.com:sub}/*""]
    },
    {
      ""Effect"": ""Allow"",
      ""Action"": \[""iot:Receive""],
      ""Resource"": \[""*""]
    },
    {
      ""Effect"": ""Allow"",
      ""Action"": \[""iot:Publish""],
      ""Resource"": \[""arn:aws:iot:eu-west-1:929242459730:topic/myapp/${cognito-identity.amazonaws.com:sub}/*""]
    }
  ]
}


but unfortunately I still need to attach every individual user from the identity pool as a principal to this policy. I'm trying to make this universal, so when a new user registers she automatically gets access to communicate with her own things.

Please help."
AWS IoT	"Re: How to partition Iot access with Cognito?
Anyone?"
AWS IoT	"Re: How to partition Iot access with Cognito?
Hi Rosen

Thnx for reaching out and sorry for the delay in reply.

The policy you gave in the example is a great way to partition access via cognito. Although, you can attach this policy to the pool level(to the role attached to the pool), rather than attaching it to individual cognito users.

That said, if you are using un-authenticated cognito pool you need not attach any policy to individual cognito IDs.

But in case you are using authenticated cognito pool, you still need a policy at individual cognito ID.

We understand your pain point in having to attach this policy to individual cognito IDs(in case of authenticated pool). This is done to give fine grain access control at individual cognito id level. To address the pain point of attaching policy to the individual cognito IDs, we recommend our customers to use AWS Lambda functions. So the flow in this case will be:

1. Cognito pool policy should have permission to call lambda(in addition to your policy)
2. Device gets credentials from cognito.
3. Calls lambda using those credentials.
4. Lambda code retrieves the cognito Id through which lambda was triggered.
5. Lambda code attaches policy to the cognito Id.
6. Your device is ready for using AWS IoT now.

Hope this helps.

Thnx
Ashutosh"
AWS IoT	"Re: How to partition Iot access with Cognito?
I'm attempting to build something similar where I have a consumer product communicating with IoT and then end users (people that bought the product) using a mobile app and authenticating via cognito. I have not found a way to give those users access to their product and only there product. 

When you say: ""We understand your pain point in having to attach this policy to individual cognito IDs(in case of authenticated pool). This is done to give fine grain access control at individual cognito id level ....  5. Lambda code attaches policy to the cognito Id"" 

How does that happen? I've been unable to find any SDK documentation that shows how to attach a policy to a cognito Id other than the original one from the authenticated IAM role. I'd like the device to do this by invoking a lambda during the commissioning process where the user is directly connected to it via wifi (to ensure physical access to the product)

Edited by: bennybtl on Aug 7, 2017 12:15 PM"
AWS IoT	"Re: How to partition Iot access with Cognito?
@bennybtl,
I have a similar project. I want to use AWS IoT to be the back-end for an IoT controller and use AWS Cognito for user management. Were you able to find a sutable solution?

Maybe this will help you. It partially solves my problem and I'm hoping for help from AWS or forum to help me figure out the remaining bits.

This is what I have so far:
1. Created a test ""thing"" based this article: https://docs.aws.amazon.com/iot/latest/developerguide/iot-sdk-setup.html
2. Created a user Cognito User Pool using the AWS Web Console.
3. Created 3 test users.
4. Added an Attribute Key to MyRpi called owner and value that matched the sub of one of the Cognito Users
5. Created this Policy under AwsIoT -> Secure -> Policies...
{
  ""Version"": ""2012-10-17"",
  ""Statement"": [
    {
      ""Effect"": ""Allow"",
      ""Action"": ""iot:*"",
      ""Resource"": ""arn:aws:iot:us-east-1:5822116XXXXX:thing/*"",
      ""Condition"": {
        ""StringEquals"": {
          ""cognito-identity.amazonaws.com:sub"": ""${iot:Connection.Thing.Attributes[owner]}""
        }
      }
    }
  ]
}

7. Created a test Android app using the Amplify API https://aws-amplify.github.io/docs
8. The user can log in using the Android App, then tn I attach the policy (above policy called demo-sub-policy)...
private fun attachPolicy() {
        val identiyId = AWSMobileClient.getInstance().identityId
 
        val attachPolicyReq = AttachPolicyRequest()
        attachPolicyReq.policyName = ""demo-sub-policy""
        attachPolicyReq.target = identiyId
        val iotAndroidClient = AWSIotClient(AWSMobileClient.getInstance())
        iotAndroidClient.setRegion(Region.getRegion(""us-east-1""))
        iotAndroidClient.attachPolicy(attachPolicyReq)
    }


This works! Only the user with the matching sub can connect to the thing and interact with its shadow through the MQTT API. I think I could do something similar for a Thing Group. So a user could own a house full of IoT device. 

However, there is still a problem. I want the owner of a device (or a group of devices) to be able to share access to their things with other users. My first Idea was to create a Cognito User Group and Thing Group for each ""house"", but it appears that you can only have 20 User Groups per Cognito User Pool. That will not scale very well.

The other problem is how to set this up as each user receives and registers their things. I think the AWS API is rich enough to do this on the Android and iOS apps as part of the on-boarding. But I'm nervous about granting too many permissions."
AWS IoT	"Confusion about device security for IAM access to AWS IoT
I wish to securely provision devices on AWS IoT core by using self-signed certificates and Just-In_Time_Provisioning.

I have followed the documentation on how to implement this and all is well.

However, when I simply create a ""thing"" via the CLI on AWS IoT core, we can communicate with it without any CA or device certificates registered.  Why is this? This defeats the purpose of using AWS IoT. 

I am using IAM access to AWS however, and I know this is related to having IAM access. 

How do I get normal access to AWS IoT so as to enforce these security requirements of devices needing certificates etc. in order to ex ? I'm confused here."
