label	description
AWS Import Export Snowball	"EC2 File Gateway with ephemeral storage after stop/start cycle
Hello,

I'm trying to use a File Gateway for our latest project.  I'm launching an i3.4xlarge and using the NVME SSD ephemeral storage for the cache.  It sets up okay and we can create and mount the share.  If I stop and start the File Gateway instance, this is no longer the case -- I can access the instance, but the File Gateway is marked offline and I cannot mount the share.  This is not the case when using an EBS volume for the cache, instead of the ephemeral storage.

I'm aware of the requirements around preventing data loss when using ephemeral storage on a gateway, but in this instance I don't care -- I specifically care about what appears to be a loss of configuration across stop/start cycles.  Is there a solution to this please?

Thanks!"
AWS Import Export Snowball	"Failed to set local disks when trying to setup a new disk for upload buffer
I have a storage gw with 2TB cache and 1Tb upload buffer (working fine)
I turned off vm and increased the size to 3tb cache and 2.7TB upload disks on the VM. 
Went back to AWS console and saw both disks: cache disk is showing the updated disk (3TB) -- good there, but I won't be able to save the upload buffer disk. I keep getting ""Failed to set local disks"" when I hit Save.

I deleted both disk and re-add them to VM (just to test it out). same issue as above.

Any suggestion?

Thanks

Edited by: risabeast on Feb 25, 2019 11:19 AM"
AWS Import Export Snowball	"Issues connecting to AWS Storage Gateway Tape Library
Hello,

We use Veeam to backup our HyperV setup.  We would like to store a copy on AWS via the AWS storage gateway.  Our gateway is running on an EC2 instance.  

We are unable to connect to the AWS storage gateway via ISCSI.  We have set up port forwarding correctly in our router, and tested by firing up another EC2 Windows 2012 r2 server with StarWind.  We are able to connect to the ISCSI on the starwind EC2 instance, but not the AWS storage gateway instance.  

We have gone through the documentation and can't seem to figure out why we cant connect to the AWS storage gateway via ISCSI to our HyperV server.  veeam tech support was not much help either, they referenced the video of how to do it, but it simply does not work.  Do we need additional ports besides 3260 between our network and AWS?

Sorry if I am restating a previous issue, as this is my first attempt with AWS storage gateway.
Thanks - Steve"
AWS Import Export Snowball	"Remote shut down (not stop) gateway appliance VM?
Hi,
Is there a way to remotely shut down the appliance virtual machine? I know I can stop the gateway but I have a peculiar VMware situation in which the host is inaccessible but the VM is running. SSH appears to be disabled on the appliance (unless there's a way to use a key file?). I'd prefer to shut down the VM rather than abruptly cycling the host.
Thanks"
AWS Import Export Snowball	"Storage Gateway Requires 3MB more ram than provided on a T3 Medium
Hi there. 

Recently noticed our storage gateway had gone offline, after further investigation the gateway will not start on the T3.Medium it is running on as it requires 3900MB of RAM and the T3 only reports 3887MB. 

Can this requirement please be adjusted 3MB down so that it can start on a T3 Medium and we can continue to use our gateway. 
	#######################################################################
	##  SYSTEM RESOURCE CHECK FAILURE: 1 ERROR FOUND!
	##  https://forums.aws.amazon.com/ Memory Check: System memory 3887 MiB (3900 MiB required)
	#######################################################################"
AWS Import Export Snowball	"Prevent deletion of files through shared folder
Hi! I'm new to AWS and Storage Gateway, and need some help here.

So, we need to set up a File Gateway. Files are going to be kept on S3 IA 2 months and then they will be transfered to Glacier.

1. We want to make sure that no user can delete files from cache disk, so they're not deleted from S3. The shared folder which Gateway presents might be write-only.

2. And if, for example, a user moves a file to a wrong folder, we want to grant permission to that user to delete or move that file to another folder inside the Gateway. If it's not possible, we can do this by AWS console.

Which is the best way can we address first point?
We can use Versioning if it's the only way.

Thanks so much for the help.

Edited by: mborb on Feb 15, 2019 7:51 AM"
AWS Import Export Snowball	"Re: Prevent deletion of files through shared folder
In order to meet your use case #1, you need extended ACL support that allows a user ""Write"" but no ""Delete"" access. Currently File Gateway only supports basic POSIX ""rwx"" permissions. 

Until File Gateway adds support for extended ACL, your only option is to use versioning on your S3 bucket."
AWS Import Export Snowball	"DNS Problems with File Storage Gateway (Join Domain)
Hi There,

I recently created an file gateway in AWS, and now trying to add SMB shares.  Instructions explain adding to the domain, but I get an error ""The gateway cannot connect to the specified domain"".  This is in a VPC that has a site to site VPN so all ports are open.  A forum post indicated that this was because my VPC uses the default DNS servers in DHCP.  I tried changing the DHCP option to include my domain name and DNS servers.  

By doing that, I lose connectivity to the gateway itself.  When SSH to the gateway instance it can't resolve the 3 endpoints anymore (due to the early DNS server change).

 client-cp.storagegateway.ca-central-1.amazonaws.com:443
https://forums.aws.amazon.com/
        proxy-app.storagegateway.ca-central-1.amazonaws.com:443
https://forums.aws.amazon.com/
        dp-1.storagegateway.ca-central-1.amazonaws.com:443

Is there any easy way around this?"
AWS Import Export Snowball	"Re: DNS Problems with File Storage Gateway (Join Domain)
It appears like you DNS server can either resolve the hosts in the internet (client-cp.storagegateway.ca-central-1.amazonaws.com) or your internal domain controller. In order for this configuration to work, your DNS server should be able to resolve both set of hostnames.

Alternately, you can use the AWS CLI to invoke JoinDomain operation by specifying the IP address of your DomainController using the parameter ""--domain-controllers"". 

https://docs.aws.amazon.com/cli/latest/reference/storagegateway/join-domain.html

Please let us know if this addresses your scenario."
AWS Import Export Snowball	"Storage Gateway - why are virtual tapes so big?
I work for a very small cost sensitive organization with only about 5 TB of data to be backed up. Currently I am using Backup Exec 20, which only natively provides access to S3 Infrequent Access. Apparently for Glacier access I need to use the Storage Gateway.

And yet it does not appear that the Storage Gateway is going to significantly reduce our costs, and may in fact cost more, depending on how many restores need to be done. I am looking very specifically at the virtual tape size, which seems to be locked at a minimum size of 100 gigabytes per tape?

So if I am reading this correctly, if we need to do a restore of a single 100 kilobyte Word document from a virtual tape in Glacier, the gateway needs to download a 100 gig tape so that Backup Exec can restore from that tape. Looking at the cost calculator, this costs US$0.25 for a slow bulk retrieval plus US$9.00 for the data transfer out.

So this one tiny restore job will whack us for $9.25 for the job. Having to do multiple occasional small restores like this can become expensive very quickly.

It would be much less expensive for us to do restores if the virtual tapes could be 1 gigabyte or 500 megabytes each. The tape software is not going to care that I need 5000 or 10000 of these small virtual tapes to do a full data backup.

With a virtual tape size of 500 meg, it now fits within the monthly free tier for transfer out, and so a few restores here and there would not cost us much at all.

So why is there minimum virtual tape size of 100 gig?  Is there some way to muck around in the Storage Gateway virtual machine configuration to allow for much smaller virtual tapes?

Edited by: Jibby on Feb 15, 2019 9:10 AM"
