label	description
Product Advertising API	"Keep alive message timeout
Today i was testing the publish message from AWS server to my device. What i found was that if the device connect to the AWS server and never send any communication message for about 5 minutes to the AWS server and send the message after 5 minutes from the AWS server then the device did not receive any messages.

Default keep alive message is set to every 10 minutes.  But interesting part is that the server send the message after receiving the keep alive message that send from the device.

If i set 5 minutes keep alive message then it is fine. Is there any particular reason?"
Product Advertising API	"Cognito user enable MFA
How can I enable SMS MFA for cognito user? I have tried several APIs from Python and Golang and all of them are implementation of AdminSetUserMFAPreference. I call it like that for Golang:
enableMFAStatus, err := cogIProv.AdminSetUserMFAPreferenceWithContext(ctx, &cip.AdminSetUserMFAPreferenceInput{
		UserPoolId: aws.String(userPoolID),
		Username:   aws.String(username),
		SMSMfaSettings: &cip.SMSMfaSettingsType{
			Enabled:      aws.Bool(true),
			PreferredMfa: aws.Bool(true),
		},
	})

And the next way for Python:
response = self.cognitoClient.admin_set_user_mfa_preference(
                        SMSMfaSettings={
                            'Enabled': True,
                            'PreferredMfa': True
                        },
                        UserPoolId=self.userPoolID,
                        Username=userID,
                    )

And I receive success result and no errors but nothing changes. Maybe there are other ways to enable SMS MFA for user? Please help me."
Product Advertising API	"VMware-Go-KCL: Kinesis Client Library for Go
Discover how VMware-Go-KCL delivers the Go/Kubernetes community and Go native language implementation of Kinesis Client Library withoutthe resource overhead of installing Java-based MultiLangDaemon.

https://blogs.vmware.com/opensource/2018/09/13/vmware-go-kcl-kinesis-client-library/
https://github.com/vmware/vmware-go-kcl

Edited by: puzzle2 on Oct 7, 2018 4:27 PM"
Product Advertising API	"Getting NextToken in cloudWatchLogs go sdk
I am trying to describe all log groups in my lambda log group, I have to pass ""NextToken"", which I don't have.
svc.DescribeLogGroups(&cloudwatchlogs.DescribeLogGroupsInput{
		Limit:              aws.Int64(1),
		LogGroupNamePrefix: aws.String(""prefix""),
		NextToken:          aws.String(""nextToken"")
})

what should my log prefix and nextToken be,  if I have to  get all log groups

Edited by: krazybee on Jul 24, 2018 4:57 AM"
Product Advertising API	"Gorilla/mux cannot return a value for path parameter.
Hi,
I’ve been using multiplexer from Gorilla/mux for a while and happy about it. Until suddenly it’s not working anymore when I redeployed my app to AWS Beanstalk.
Every time that I try to access a path with parameter, the value of the parameter is always empty. But that’s not the case if the path doesn’t have a parameter.

For example, given the URL of http://www.mydomain.net/myresource/{id}, the value of {id} is empty.
But it works if I have a path without parameter like the following example:
http://www.mydomain.net/myresource.

This is only happening if I do deployment from AWS CodePipeline which kicks of CodeBuild, and deploys directly to AWS Beanstalk. If I build from my local box and deploy it to AWS Beanstalk it will work. I can also run it it in my local box.
It seems there is something not right in AWS CodeBuild. I run dep, so the package that’s put in the vendor folder is the same version as what I have in my local box, and I have double checked to make sure they are identical.  Out of curiosity, I have also tried to update using other multiplexer and it gave the same result.  No error whatsoever, and I check the length of mux.Vars is 0

My question, what steps that I need to do to troubleshooting this?  I've been stuck with this for two days already.

Thanks

Edited by: edisonltan on Jul 6, 2018 7:31 PM"
Product Advertising API	"403 Access Denied using Go rdsutils example
I have been struggling with this for a while now.  I am trying to get this simple example to work locally on my laptop: https://github.com/aws/aws-sdk-go/blob/master/example/service/rds/rdsutils/authentication/iam_authentication.go
sess := session.Must(session.NewSession())
creds := stscreds.NewCredentials(sess, ""arn:aws:iam::12345678910:role/my-rds-role"")
authToken, err := rdsutils.BuildAuthToken(dbEndpoint, region, dbUser, creds)

I simply want to connect to my Postgres RDS db instance using the Go SDK.  I am able to connect to it via pgAdmin.

I have created an IAM user, stored that user's creds locally using the 'aws configure' via CLI.  
I have created a policy to allow AssumeRole and assigned it to that user.

When I run the sample code, I can see it gets my creds and signs the request.  But, when it calls out to POST https://sts.amazonaws.com I always get a 403 Access Denied response: AccessDenied: Access denied
	status code: 403, request id: af2d97d6-27e7-11e9-bef0-114765d449cd

I am assuming this is the step where it wants to verify that my user, as defined by my locally stored creds, has access to assume the role ARN that I pasted into the example code

Can someone please help me figure this out?  Is there a way to get more info about the 403?  Does this not work when running from my local machine?  Can I debug this access endpoint in Postman?  Am I missing a key IAM policy?  Thanks for any guidance."
Product Advertising API	"Re: 403 Access Denied using Go rdsutils example
I was able to figure this out, finally.  I came across Jeff's answer here: https://forums.aws.amazon.com/thread.jspa?threadID=234281
My problem was that I needed to add my account as principal to the role's trust relationships policy.
{
            ""Effect"": ""Allow"",
            ""Principal"": {
                ""AWS"": ""12345678910""
            },
            ""Action"": ""sts:AssumeRole""
        }

I am now able to generate auth tokens in my local dev environment."
Product Advertising API	"How can a Lambda assume an IAM role and connect to Postgres a RDS on AWS
We have a SAM-generated API-Gateway - Lambda integration stack that needs to access an RDS Database (Postgres).

SAM is creating the necessary CF template with the custom role and attendant policies for our functions: ('AWSLambdaVPCAccessExecutionRole' & 'AmazonRDSReadOnlyAccess')

We've configured the functions that need to connect to the DB with the subnetIDs and security Group of the DBs VPC and are attempting to connect using **IAM authentication**.

We've created the PG user account in the target DB with rds_admin role grant as per: https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/UsingWithRDS.IAMDBAuth.DBAccounts.html

What we are not able to do is to connect to the RDS DB using the AWS SDK for **Go**.

It looks like the role ARN is a requirement to do so:

from the docs, link here:
https://docs.aws.amazon.com/sdk-for-go/api/service/rds/rdsutils/
    authToken, err := BuildAuthToken(dbEndpoint, awsRegion, dbUser, awsCreds)
    
    // Create the MySQL DNS string for the DB connection
    // user:password@protocol(endpoint)/dbname?<params>
    connectStr = fmt.Sprintf(""%s:%s@tcp(%s)/%s?allowCleartextPasswords=true&tls=rds"",
       dbUser, authToken, dbEndpoint, dbName,
    )
    
    // Use db to perform SQL operations on database
    db, err := sql.Open(""mysql"", connectStr)

..except we'd use a Postgres connection string.

But without creating a 'long-form' CFN template and passing the roleARN as an environment variable to our lambda function we can't work out how to configure the SDK to assume the same role as the executing lambda function.

If anyone can help work this out with me I'd be very grateful! 

Thanks in advance"
Product Advertising API	"CloudHSM SDK
Are there any guides that describe how to get started developing applications using the CloudHSM SDK? Particularly the Go version

I'm stuck at the first hurdle: how to I develop code on my laptop to run against an HSM that is tucked away in the private subnet of a VPC?

Edited by: longwave on Dec 7, 2018 1:41 AM

Edited by: longwave on Dec 7, 2018 1:42 AM"
Product Advertising API	"Keep alive message timeout
Today i was testing the publish message from AWS server to my device. What i found was that if the device connect to the AWS server and never send any communication message for about 5 minutes to the AWS server and send the message after 5 minutes from the AWS server then the device did not receive any messages.

Default keep alive message is set to every 10 minutes.  But interesting part is that the server send the message after receiving the keep alive message that send from the device.

If i set 5 minutes keep alive message then it is fine. Is there any particular reason?"
