label	description
Ruby Development	"AWS Cognito Authentication of user not working
Hello 

I have created the cognito user Pool and trying to  Register my user through simple HTML Registration page where my user is sign up but after sign up I am getting verification code. and I need to Authenticate that user so that after authentication I will be able to verify my user through the OTP code sent on my Registered mail Id.
so below is the code to sign up user and its authentication  but in my case my user is not getting Authenticated I have did the authentication process similar to the process given in AWS Tutorial: Integrating User Pools for JavaScript Apps for Authenticating the User please Let me know where I am going Wrong.

Code:

<!DOCTYPE html>

<html lang=""en"">
  <head>
    <meta charset=""utf-8"">
	<!-- Javascript SDK-->
  <script src=""https://code.jquery.com/jquery-1.11.3.min.js""></script> 
  <script src=""js/amazon-cognito-auth.min.js""></script>
  <script src=""https://sdk.amazonaws.com/js/aws-sdk-2.7.16.min.js""></script> 
  <script src=""js/amazon-cognito-identity.min.js""></script>  
  <script src=""js/config.js""></script>
  <script src=""lib/AuthenticationDetails.js""></script>
  <script src=""lib/AuthenticationHelper.js""></script>
   <script src=""lib/CognitoJwtToken.js""></script>
  <script src=""lib/CognitoIdToken.js""></script> 

  </head>


  <body>

    <h1 class=""h3 mb-3 font-weight-normal"" id=""titleheader"">Register an Account</h1>

	<input type=""personalname"" class=""form-control"" id=""personalnameRegister"" placeholder=""Name"" pattern="".*"" required>
    <input type=""email"" class=""form-control"" id=""emailInputRegister"" placeholder=""Email"" pattern="".*"" required>
	<input type=""password"" class=""form-control"" id=""passwordInputRegister"" placeholder=""Password"" pattern="".*"" required>
    <input type=""password"" class=""form-control"" id=""confirmationpassword"" placeholder=""Confirm Password"" pattern="".*"" required>
	<button id=""mainbutton"" class=""btn btn-lg btn-primary btn-block"" type=""button"" onclick=""registerButton()"" >Register</button>

	<script>

		var username;
		var password;
		var personalname;
		var poolData;

	  function registerButton() {

		personalnamename =  document.getElementById(""personalnameRegister"").value;	
		username = document.getElementById(""emailInputRegister"").value;

		if (document.getElementById(""passwordInputRegister"").value != document.getElementById(""confirmationpassword"").value) {
			alert(""Passwords Do Not Match!"")
			throw ""Passwords Do Not Match!""
		} else {
			password =  document.getElementById(""passwordInputRegister"").value;	
		}

		var authenticationData = 
		{
			Username : 'username',
			Password : 'password',
       };

		poolData = {
				UserPoolId : _config.cognito.userPoolId, // Your user pool id here
				ClientId : _config.cognito.clientId // Your client id here
			};		
		var userPool = new AmazonCognitoIdentity.CognitoUserPool(poolData);
		var userData = {
        Username : 'username',
        Pool : userPool
    };
		var cognitoUser = new AmazonCognitoIdentity.CognitoUser(userData);
		var authenticationDetails = new AmazonCognitoIdentity.AuthenticationDetails(authenticationData);

		var attributeList = [];

		var dataEmail = {
			Name : 'email', 
			Value : username, //get from form field
		};

		var dataPersonalName = {
			Name : 'name', 
			Value : personalname, //get from form field
		};

		var attributeEmail = new AmazonCognitoIdentity.CognitoUserAttribute(dataEmail);
		var attributePersonalName = new AmazonCognitoIdentity.CognitoUserAttribute(dataPersonalName);


		attributeList.push(attributeEmail);
		attributeList.push(attributePersonalName);

		userPool.signUp(username, password, attributeList, null, function(err, result){
			if (err) {
				alert(err.message || JSON.stringify(err));
				return;
			}
			cognitoUser = result.user;
			console.log('user name is ' + cognitoUser.getUsername());
			//change elements of page
			document.getElementById(""titleheader"").innerHTML = ""Check your email for a verification link"";

		});

		cognitoUser.authenticateUser(authenticationDetails, {
        onSuccess: function (result) {

            var accessToken = result.getAccessToken().getJwtToken();
            console.log(accessToken+""accessToken"");
             var idToken = result.idToken.jwtToken;
        },

        onFailure: function(err) {
            alert(err);
        },

    });

	  }

	</script>

 </body>

</html>


Thanks In advance."
Ruby Development	"Resend Temporary Password from client-side
I working on a scenario when the user never got (or lost) the email with the temporary password. Now common sense will drive the user to the ""forgot password"" process. But here, he'll get an error saying ""User password cannot be reset in the current state."" What now? I'm trying to find a way to re-send the email with the temporary password FROM the client-side. 

I know there's the option of AdminCreateUser with ""MessageAction"": ""RESEND"" but that involves the back-end and I would prefer keeping this logic in a component in client-side (where the rest of the authentication logic already is). 

I've been trying with the method ""resendConfirmationCode"" of CognitoUser but I get a ""NotAuthorizedException"" error with the message ""Can't resend confirmation code for this user""

Every other post I've read regarding this very scenario ultimately proposes the AdminCreateUser option without even trying to explain why ""resendConfirmationCode"" doesn't work.  

Even if it can't be done, any help with this issue will be greatly appreciated.

Edited by: jrojas on Dec 6, 2018 11:32 AM"
Ruby Development	"Signiature Version 4 Test Suite Inconsistency
The AWS Signature Version 4 Test Suite from Amazon consists of 24 tests.  Each test consists of 5 files:
(1) Request (.req) , (2) Canonical Request (.creq), (3) String to Sign (.sts), (4) the correct Authorization header
(.authz) and, finally, (5) the Signed Request (.sreq)  showing the original request with the Authorization header in
context.

In 22 of the 24 tests, in accordance with the specification, the last line of the String to Sign file is the SHA-256 digest
of the Canonical Request file.  This is no surprise.  The spec says that the last line of the String to Sign is supposed to be a hash of the Canonical Request, and in the test suite, SHA-256 is the chosen hash in all cases.

In 2 of the tests, this is not the case.  Those two tests are (1) post-x-www-form-urlencoded-parameters; and (2) post-x-www-form-urlencoded.   

Why is this?  Is it an error in the test suite?  

This is not just nit-picking.  I happen to have a use-case which is similar to the two test suite examples.  My code works for ALL the test suite examples, except for the two cases which are similar to my actual use case, and I cannot get my code to work.   It is a common case.  So I would really appreciate an answer soon."
Ruby Development	"Lambda function : ""Unexpected token  < error""
I have written a lambda function javascript code for my alexa skill.But when I try compiling the code it shows error :
Response:
{
  ""errorMessage"": ""Unexpected token <""errorType"": ""SyntaxError"",
  ""stackTrace"": [
    ""                                                              ^"",
    """",
    ""SyntaxError: Unexpected token <"",
    ""createScript (vm.js:80:10)"",
    ""Object.runInThisContext (vm.js:139:10)"",
    ""Module._compile (module.js:616:28)"",
    ""Object.Module._extensions..js (module.js:663:10)"",
    ""Module.load (module.js:565:32)"",
    ""tryModuleLoad (module.js:505:12)"",
    ""Function.Module._load (module.js:497:3)"",
    ""Module.require (module.js:596:17)"",
    ""require (internal/module.js:11:18)""
  ]
}

I am hereby attaching my javascript code and screenshots of aws console.
Looking forward for help.
Thank you."
Ruby Development	"Re: Lambda function : ""Unexpected token  < error""
You dont need the <script> tag on the js file.
As it is already a js file, everything inside is seen as javascript, so the error is most probably the interpreter complaining that there is ""<"" which is not valid

hope this helps,
RT"
Ruby Development	"NodeJS Lambda functions and source code comments
Do commented lines within Lambda code cause any performance degradation? of any kind?

Edited by: leforge on Dec 5, 2018 8:40 AM"
Ruby Development	"Re: NodeJS Lambda functions and source code comments
No performance degradation as comment lines are ignored.
RT"
Ruby Development	"3rd Party cookies disabled (Brave Browser) preventing Cognito login
When using the Brave Browser with 3rd party cookies disabled, login on my site does not work when using Cognito. I am using the aws amplify cognito react library to connect.

I get a 307 internal redirect with the first OPTIONS request and it does not return any access control headers in the response. When cookies are allowed, I get the correct 200 response. 

Here's some sample javascript I run in console mimicking the request. It works only if third party cookies are allowed. 

await fetch(""https://cognito-idp.us-east-1.amazonaws.com/"", {""credentials"":""omit"",""referrer"":""https://+mysite.com+/login"",""referrerPolicy"":""no-referrer-when-downgrade"",""body"":null,""method"":""OPTIONS"",""mode"":""cors""});

Am I setting something up incorrectly?  Thanks for all the help!

Edited by: DSB on Dec 5, 2018 5:54 PM"
Ruby Development	"Socket.IO-Redis-Adapter With Elasticache Redis Fails WSS Upgrade Header
We have a websockets server and I'm currently working on migrating our services to Elastic Beanstalk. The servers were previously located on Heroku and were using a separate redis instance (also provided by Heroku) for maintaining websockets connections between multiple server instances.

I have created an elasticache redis instances on AWS which is able to connect successfully, however the websockets upgrade http request always returns a 400.

What's puzzling is that when I connect to the Heroku-generated redis, the request passes and a websockets connection is successfully established.

I've gone through security groups to enable all connections from everywhere on all ports and made sure ssl was properly configured to isolate the problem, but it still doesn't establish a successful connection.

I'm not sure if this is a limitation of elasticache now, so I'm hoping someone with more experience on AWS could shed some light on this."
Ruby Development	"AWS SDK SQS - Include custom header
I am using the AWS SDK SQS behind a router, to get through the router I need to include a custom header in the REQUEST.

I've seen this documentation (https://docs.aws.amazon.com/AWSJavaScriptSDK/latest/AWS/Request.html#build-event) that talks about the .on ('build') event in REQUEST, however, using the SQS service is not working, no error has been thrown and the custom header is not included in the REQUEST.

Is it possible include a custom header using AWS SDK with SQS service ?
How make to make this work?

Edited by: neias on Nov 29, 2018 3:17 AM (clarifications)"
