question,answer
Q: What is Amazon RDS?,"
Amazon Relational Database Service (Amazon RDS) is a managed service that makes it easy to set up, operate, and scale a <a href=""/dms/"">relational database</a> in <a adhocenable=""false"" href=""/what-is-cloud-computing/"">the cloud</a>. It provides cost-efficient and resizable capacity, while managing time-consuming database administration tasks, freeing you up to focus on your applications and business.
Amazon RDS gives you access to the capabilities of a familiar MySQL, MariaDB, Oracle, SQL Server, or PostgreSQL database. This means that the code, applications, and tools you already use today with your existing databases should work seamlessly with Amazon RDS. Amazon RDS can automatically back up your database and keep your database software up to date with the latest version. You benefit from the flexibility of being able to easily scale the compute resources or storage capacity associated with your relational database instance. In addition, Amazon RDS makes it easy to use replication to enhance database availability, improve data durability, or scale beyond the capacity constraints of a single database instance for read-heavy database workloads. As with all Amazon Web Services, there are no up-front investments required, and you pay only for the resources you use.
"
Q: Which relational database engines does Amazon RDS support?,"
Amazon RDS supports Amazon Aurora, MySQL, MariaDB, Oracle, SQL Server, and PostgreSQL database engines.
"
Q: What does Amazon RDS manage on my behalf?,"
Amazon RDS manages the work involved in setting up a relational database: from provisioning the infrastructure capacity you request to installing the database software. Once your database is up and running, Amazon RDS automates common administrative tasks such as performing backups and patching the software that powers your database. With optional <a href=""#36"">Multi-AZ deployments</a>, Amazon RDS also manages synchronous data replication across Availability Zones with automatic failover.
Since Amazon RDS provides native database access, you interact with the relational database software as you normally would. This means you're still responsible for managing the database settings that are specific to your application. You'll need to build the relational schema that best fits your use case and are responsible for any performance tuning to optimize your database for your application’s workflow.
"
Q: When would I use Amazon RDS vs. Amazon EC2 Relational Database AMIs?,"
Amazon Web Services provides a number of database alternatives for developers. Amazon RDS enables you to run a fully featured relational database while offloading database administration. Using one of our many relational database AMIs on <a adhocenable=""false"" href=""/ec2/"">Amazon EC2</a> allows you to manage your own relational database in the cloud. There are important differences between these alternatives that may make one more appropriate for your use case. See <a href=""/running_databases/"">Cloud Databases with AWS</a> for guidance on which solution is best for you.
"
Q: How do I get started with Amazon RDS?,"
To sign up for Amazon RDS, you must have an Amazon Web Services account. <a adhocenable=""false"" href=""https://portal.aws.amazon.com/gp/aws/developer/registration/index.html"" target=""_blank"">Create an account</a> if you do not already have one. After you are signed up, please refer to the <a href=""http://aws.amazon.com/documentation/rds/"">Amazon RDS documentation</a>, which includes our <a adhocenable=""false"" href=""http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_GettingStarted.html"">Getting Started Guide</a>.
Amazon RDS is part of the <a href=""/free/"">AWS Free Tier</a> so that new AWS customers can get started with a managed database service in the cloud for free.
"
Q: What is a database instance (DB instance)?,"
You can think of a DB instance as a database environment in the cloud with the compute and storage resources you specify. You can create and delete DB instances, define/refine infrastructure attributes of your DB instance(s), and control access and security via the <a href=""https://console.aws.amazon.com/"">AWS Management Console</a>, <a href=""http://docs.aws.amazon.com/AmazonRDS/latest/APIReference/Welcome.html"">Amazon RDS APIs</a>, and <a href=""http://docs.aws.amazon.com/cli/latest/reference/rds/index.html"">AWS Command Line Interface</a>. You can run one or more DB instances, and each DB instance can support one or more databases or database schemas, depending on engine type.
"
Q: How do I create a DB instance?,"
DB instances are simple to create, using either the <a href=""https://console.aws.amazon.com/"">AWS Management Console</a>, <a adhocenable=""false"" href=""http://docs.aws.amazon.com/AmazonRDS/latest/APIReference/Welcome.html"">Amazon RDS APIs</a>, or <a adhocenable=""false"" href=""http://docs.aws.amazon.com/cli/latest/reference/rds/index.html"" target=""_blank"">AWS Command Line Interface</a>. To launch a DB instance using the AWS Management Console, click ""RDS,"" then the <b>Launch DB Instance"
Q: How do I access my running DB instance?,"
Once your DB instance is available, you can retrieve its endpoint via the DB instance description in the <a href=""https://console.aws.amazon.com/"">AWS Management Console</a>, <a href=""http://docs.aws.amazon.com/AmazonRDS/latest/APIReference/API_DescribeDBInstances.html"">DescribeDBInstances API</a> or <a href=""http://docs.aws.amazon.com/cli/latest/reference/rds/describe-db-instances.html"">describe-db-instances command</a>. Using this endpoint you can construct the connection string required to connect directly with your DB instance using your favorite database tool or programming language. In order to allow network requests to your running DB instance, you will need to authorize access. For a detailed explanation of how to construct your connection string and get started, please refer to our <a adhocenable=""false"" href=""http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_GettingStarted.html"">Getting Started Guide</a>.
"
Q: How many DB instances can I run with Amazon RDS?,"
By default, customers are allowed to have up to a total of 40 Amazon RDS DB instances. Of those 40, up to 10 can be Oracle or SQL Server DB instances under the ""License Included"" model. All 40 can be used for Amazon Aurora, MySQL, MariaDB, PostgreSQL and Oracle under the ""BYOL"" model. Note that RDS for SQL Server has a limit of 30 databases on a single DB instance.
If your application requires more DB instances, you can request additional DB instances via <a href=""https://aws.amazon.com/contact-us/request-to-increase-the-amazon-rds-db-instance-limit/"">this request form</a>.
"
Q: How do I import data into an Amazon RDS DB instance?,"
There are a number of simple ways to import data into Amazon RDS, such as with the mysqldump or mysqlimport utilities for MySQL; Data Pump, import/export or SQL Loader for Oracle; Import/Export wizard, full backup files (.bak files) or Bulk Copy Program (BCP) for SQL Server; or pg_dump for PostgreSQL. For more information on data import and export, please refer to the <a adhocenable=""false"" href=""http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/MySQL.Procedural.Importing.html"" target=""_blank"">Data Import Guide for MySQL</a> or the <a adhocenable=""false"" href=""http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Oracle.Procedural.Importing.html"" target=""_blank"">Data Import Guide for Oracle</a> or the <a adhocenable=""false"" href=""http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/SQLServer.Procedural.Importing.html"" target=""_blank"">Data Import Guide for SQL Server</a> or the <a adhocenable=""false"" href=""http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/PostgreSQL.Procedural.Importing.html"" target=""_blank"">Data Import Guide for PostgreSQL</a>.
In addition, <a href=""/dms/"">AWS Database Migration Service</a> can help you migrate databases to AWS easily and securely. 
"
