label	description
AWS CodeBuild	"Unable to delete secondary artifact from project
In my CodeBuild project I want to delete secondary artifact. I go to Artifacts page, and click Remove artifact next to Artifact 2 (1)

Then i have only primary artifact, so I click Update artifacts (2)

I can see success page, but Secondary artifact is still there (3)

Is it a bug, or am I missing something?

Edited by: ggertz on Feb 22, 2019 7:47 AM"
AWS CodeBuild	"Re: Unable to delete secondary artifact from project
Hi,

We've identified the issue and are working on a fix. As a workaround, you could use SDK/CLI to delete secondary artifacts. We will post an update to this thread once the fix is rolled out. Thanks for bringing this to our attention.

Regards,
Kaixiang"
AWS CodeBuild	"Re: Unable to delete secondary artifact from project
This issue should be fixed now. Could you please give it a try?"
AWS CodeBuild	"Cron Trigger CLI
I am working on creating our entire CodeBuild environment through the CLI
It looks like it is not currently possible to create Cron triggers through the CLI and those have to be created via the console?
If this is correct, is this going to change?"
AWS CodeBuild	"Re: Cron Trigger CLI
CodeBuild build triggers are simply CloudWatch event rules.

When creating build triggers through the console, what is actually being created is a CloudWatch event rule. You can create CloudWatch event rules using the CLI, for example:

```
aws events put-rule \
    --name run-codebuild \
    --schedule-expression 'rate(1 hour)' \
    --role-arn arn:aws:iam::000000000000:role/service-role/AWS_Events_Invoke_CodeBuild_124052220

aws events put-targets \
    --rule run-codebuild \
    --targets '
[
    {
        ""Id"": ""some_id"",
        ""Arn"": ""arn:aws:codebuild:us-east-1:000000000000:project/some-codebuild-project"",
        ""RoleArn"": ""arn:aws:iam::000000000000:role/service-role/codebuild-some-codebuild-project-service-role""
    }
]
'
```

If the CW event rule is associated with a CodeBuild project, that event rule will show up under the project's build triggers."
AWS CodeBuild	"Cannot create project from Bitbucket repo
Hey guys,

I'm trying to create a project for a Bitbucket repo and it's failing with the message Invalid source: source location must be a valid git location


I've successfully created projects for other repos in the same Bitbucket account. The difference with this repo in particular is that its name ends with -git.

Does anyone know if there is some kind of regex in Codebuild side that could be messing with the repo location?

Thanks!"
AWS CodeBuild	"Re: Cannot create project from Bitbucket repo
Thanks for reporting this issue. We'll get this fixed soon."
AWS CodeBuild	"Re: Cannot create project from Bitbucket repo
@subinataws, do you have news regarding this fix?

Thanks!"
AWS CodeBuild	"Re: Cannot create project from Bitbucket repo
Can you please give this a try now?"
AWS CodeBuild	"Re: Cannot create project from Bitbucket repo
It's working now. Thanks a lot!"
AWS CodeBuild	"Private Github Repo through CLI/SDK
I am trying to figure out how to create a project using a private Github project using the CLI/SDK (Ruby in this case).

Through the Console I am able to use the GitHub account I already linked.

For source I am doing:
source: { # required
          type: ""GITHUB"",
          location: OURGITHUBURL,
          git_clone_depth: 1,
          buildspec: ""builder.yml"",
          auth: {
            type: ""OAUTH"", # required, accepts OAUTH
            resource: ""String"",
          },
          report_build_status: false,
          insecure_ssl: false,
        },


In the UI it says ""Public Repository"" when I run this, but it does pull just fine. But I worry that either that is a bug or some other change my break this.
So I am not stuck, but worried about leaving it in a weird state."
AWS CodeBuild	"Re: Private Github Repo through CLI/SDK
Hi,

Thanks for using CodeBuild. This is not a bug. CodeBuild will use the OAuth credential you set up in the console to pull source code if it's a GitHub repo. In the SDK/CLI, there's no difference for public and private. You will always put your source location in the `location` field. However, in the console, there's no good way to tell if the source location is a public one or private one. It's might be a little bit confused sometimes. I will forward your feedback to the service team and see if we could make the console experience better. Please let me know if you have further questions. Thanks.

Regards,
Kaixiang"
AWS CodeBuild	"Re: Private Github Repo through CLI/SDK
Thanks for the reply.
So that is good to know.
However is there additional configuration I have to do so the job is triggered automatically with a new push? When I setup a job manually it works if I choose it from the dropdown, but not when I am setting it through the CLI."
AWS CodeBuild	"Re: Private Github Repo through CLI/SDK
If you want to trigger builds on push event, you will need to do the following setup.

Create a webhook either through console or API and configure your filter groups to listen on push event only. (otherwise a pull request will also trigger a build, which you may not want to)

https://docs.aws.amazon.com/codebuild/latest/APIReference/API_CreateWebhook.html
https://docs.aws.amazon.com/codebuild/latest/userguide/sample-github-pull-request.html 

After those two steps your build will be auto triggered when a push is made."
AWS CodeBuild	"Is it possible to use an encrypted file system with CodeBuild?
We're finding CodeBuild to be an ideal option for running an ETL orchestration script with steps to run/monitor a Glue job, import resulting files into a destination system, etc. In order to import the files, they must be copied from S3 into the local filesystem. The import tool doesn't know how to access S3 objects directly. These files include sensitive data that must be encrypted at rest in all situations.

Is there any way to have a CodeBuild Ubuntu Docker image use an encrypted file system? Going in I thought that should be easy...just have it mount an encrypted EBS volume...but it's not looking as simple as I'd hoped.

Any thoughts are greatly appreciated!"
AWS CodeBuild	"Re: Is it possible to use an encrypted file system with CodeBuild?
You can mount an EFS volume to CodeBuild container (https://docs.aws.amazon.com/codebuild/latest/userguide/sample-efs.html). EFS supports encryption at rest. From your build container you can access the mounted EFS volume securely.

Let us know if that doesn't work for your use case."
AWS CodeBuild	"Build for CodeBuild fails
Hello,

My build fails in CodeBuild.  I don't know where to get additional information.  I attached an image of the build output.

Where can I get more information about this error?  What does this error mean?

Here is the error message in the build output:
COMMAND_EXECUTION_ERROR: Error while executing command: aws cloudformation package --template-file template.yaml --s3-bucket $DeploymentBucketName --output-template-file output.yaml. Reason: exit status 2

buildspec.yaml
====================================
version: 0.1
phases:
  install:
    commands:
      - npm install
  build:
    commands:
      - echo ""Nothing to build here as it's node!""    
  post_build:
    commands:
      - aws cloudformation package --template-file template.yaml 
                                        --s3-bucket $DeploymentBucketName
                                        --output-template-file output.yaml
artifacts:
  type: zip
  files:
    - template.yaml
    - output.yaml

template.yaml
====================================
AWSTemplateFormatVersion: '2010-09-09'
Transform: AWS::Serverless-2016-10-31
Resources:
  HelloWorld:
    Type: AWS::Serverless::Function
    Properties:
      Handler: index.handler
      Runtime: nodejs6.10
      CodeUri: ./ 
      Events:
        MyTimeApi:
          Type: Api
          Properties:
            Path: / 
            Method: GET

Thanks,
-JT

Edited by: jt972 on Feb 19, 2019 8:15 AM"
AWS CodeBuild	"Re: Build for CodeBuild fails
Hi,

I'm Kaixiang from AWS CodeBuild team. Can you provide the complete build log? In that way we can better help you diagnose what happened. 

Best,
Kaixiang"
AWS CodeBuild	"Re: Build for CodeBuild fails
It turns out I did not set the DeploymentBucketName env variable."
AWS CodeBuild	"Re: Build for CodeBuild fails
Thanks for the update. Good to know that you are unblocked. 

I noticed that you are still using buildspec 0.1. We would strongly recommend using the latest version of buildspec v0.2. Migrating to latest version will ensure you have access to all the latest features in CodeBuild.

https://docs.aws.amazon.com/codebuild/latest/userguide/build-spec-ref.html#build-spec-ref-syntax"
AWS CodeBuild	"set -o pipefail doesn't work?
I'm using image aws/codebuild/docker:17.09.0 in CodeBuild.

As part of a buildspec.yml, I'm trying to use bash's pipefail option, but it's erroring out:

[Container] 2019/02/15 15:07:29 Running command /bin/bash -x
 [Container] 2019/02/15 15:07:29 Running command set -o pipefail
/codebuild/output/tmp/script.sh: 4: set: Illegal option -o pipefail
 [Container] 2019/02/15 15:07:29 Command did not exit successfully set -o pipefail exit status 2
[Container] 2019/02/15 15:07:29 Phase complete: BUILD Success: false
[Container] 2019/02/15 15:07:29 Phase context status code: COMMAND_EXECUTION_ERROR Message: Error while executing command: set -o pipefail. Reason: exit status 2


Can you tell me why this wouldn't work, and if there are any suggested workarounds?

FWIW, when I download and build this Dockerfile: https://github.com/aws/aws-codebuild-docker-images/tree/master/ubuntu/docker/17.09.0 , set -o pipefail works fine in the local container. It only seems to not-work in the context of CodeBuild.

Thanks in advance.

Edited by: jrobison-sb on Feb 15, 2019 11:41 AM"
AWS CodeBuild	"Re: set -o pipefail doesn't work?
Hi,

CodeBuild executes commands using /bin/sh and each command will be executed individually, which means your `/bin/bash -x` will not change the following commands to run in bash. As a workaround, you could put all your bash commands in a file and run it in a single command.

Best,
Kaixiang"
AWS CodeBuild	"CodeBuild is not authorized to perform: sts:AssumeRole
I am trying to switch from creating CodeBuild jobs manually to creating them using the CLI. 
However I am running into issues doing this.
Command I am running:
aws codebuild create-project --name ""PROJECTNAME"" --region ""us-east-1"" --source type=GITHUB,location=""GITHUBURL"",gitCloneDepth=1 --artifacts type=NO_ARTIFACTS --environment type=LINUX_CONTAINER,image=aws/codebuild/docker:18.09.0,computeType=BUILD_GENERAL1_SMALL --service-role SERVICE_ROLE


For this the `SERVICE_ROLE` is a role that I am currently using in another CodeBuild job. But when I try to run it from the CLI I am getting:
An error occurred (InvalidInputException) when calling the CreateProject operation: CodeBuild is not authorized to perform: sts:AssumeRole on [ARNTO_SERVICE_ROLE]


I tried adding the permission for `sts:AssumeRole` to that service role, but that did not fix the issue.
The CLI is using an admin role and should any rights necessary for it to be able to do this."
AWS CodeBuild	"Re: CodeBuild is not authorized to perform: sts:AssumeRole
Hi jonwis, I am Yong from AWS CodeBuild team.

Do you still see this error? My suggestion is to follow this troubleshooting guide. https://docs.aws.amazon.com/codebuild/latest/userguide/troubleshooting.html#troubleshooting-assume-role

If you still see the same error, can you please run the command with debug logging turned on and private message me the entire response payload? I can then help troubleshoot on our side.

aws codebuild --debug create-project ..."
AWS CodeBuild	"Allow CodeBuild service in Ireland region to access internal GitHub Enterpr
Hi all,

We have our application code hosted within GitHub Enterprise and this sits behind an on-premise firewall that is managed by another IT team. 

This application code needs to be called by AWS CodeBuild within the eu-west-1 (Ireland) region. Using the AWS documentation (https://aws.amazon.com/blogs/developer/querying-the-public-ip-address-ranges-for-aws/), we have utilised the AWS PowerShell module and ran:

Get-AWSPublicIpAddressRange | Where {$_.Service -like
""Code*""}

This outputs all the source IpPrefixes that CodeBuild uses with each region. The source IpPrefix we took was:

34.250.63.248/29  Ipv4            eu-west-1      CODEBUILD

Taking into account that these IPs change several times a week, we added this range to the firewall, however CodeBuild still failed on the DOWNLOAD_SOURCE phase stating a network issue. 

We then allowed any on our firewall and the network issue went away, the new error was:

YAML_FILE_ERROR: YAML file does not exist 

Since we don't have a buildspec.yml file, this was expected. We then saw on the logs that AWS came from multiple IPs which were:

52.19.218.84 
63.34.252.53 
63.35.64.61    

As per the doc linked above, the IPs changed.

What is the best way we can allow access to AWS CodeBuild since the IPs change? Can we create a physical NAT GW, stick an Elastic IP on, put this in a private subnet and then attach this to a CodeBuild project so it always goes outbound with that Elastic IP?

Kind regards,
amoncadot"
AWS CodeBuild	"Re: Allow CodeBuild service in Ireland region to access internal GitHub Enterpr
Hi amoncadot,

I can confirm that the published ip-range is correct. In eu-west-1, CodeBuild has only 8 public ips: 34.250.63.248 - 34.250.63.255

We CodeBuild do not own the other Amazon ip(s) listed in your post. This could be related to how the on-premise firewall is set up (e.g. proxy)."
AWS CodeBuild	"YAML location change temporary
Sirs, on February 7 I realized that the YAML location temporarily changed to:

YAML location is /codebuild/readonly/src/buildspec.yml

On February 8 he returned to:

YAML location is /codebuild/output/srcXXXXXXXXX/src/buildspec.yml


It seemed like a symbolic link. Does anyone know what happened?
Thanks."
AWS CodeBuild	"Re: YAML location change temporary
Please don't rely on the explicit path, format, or length of the source directory for your builds in AWS CodeBuild. CodeBuild's source directory is available in $CODEBUILD_SRC_DIR. We would strongly recommend using this pre-configured environment variable instead."
AWS CodeBuild	"Permission error when trying codebuild local, works in the cloud
Hi. When trying to run our codebuild project locally, which works fine in the aws service, I am getting the following permission denied errors..

$ docker run -it -v /var/run/docker.sock:/var/run/docker.sock -e ""IMAGE_NAME=ae3d6c1b2d7a"" -e ""ARTIFACTS=/home/user/output"" -e ""SOURCE=/home/user/project"" amazon/aws-codebuild-local:latest
Removing agent-resources_build_1 ... done
Removing agent-resources_agent_1 ... done
Removing network agent-resources_default
Removing volume agent-resources_source_volume
Removing volume agent-resources_user_volume
Creating network ""agent-resources_default"" with the default driver
Creating volume ""agent-resources_source_volume"" with local driver
Creating volume ""agent-resources_user_volume"" with local driver
Creating agent-resources_agent_1 ... done
Creating agent-resources_build_1 ... done
Attaching to agent-resources_agent_1, agent-resources_build_1
agent_1  | touch: cannot touch '/codebuild/output/log': Permission denied
agent_1  | tail: cannot open '/codebuild/output/log' for reading: No such file or directory
agent_1  | mkdir: cannot create directory '/codebuild/input/bin': Permission denied
agent-resources_agent_1 exited with code 1
Stopping agent-resources_build_1 ... done
Aborting on container exit...


Can anyone help me out here? It looks like the local codebuild service runs a couple of containers, one of which (the agent_1 container) should have a /codebuild/output/ directory which I suspect it does not, however I am not sure if this is supposed to be the mounted directory in my home directory it is having issues with or not.

Thanks
Matt."
AWS CodeBuild	"Re: Permission error when trying codebuild local, works in the cloud
Hi! Could you please tell us more about your environment (OS & Docker version)?"
AWS CodeBuild	"Re: Permission error when trying codebuild local, works in the cloud
Sure, I am running linux, CentOS 7. Docker version 1.13.1, build 94f4240/1.13.1

What else do you need to know?

(do you prefer to keep the thread here or on the git issue?)"
AWS CodeBuild	"Re: Permission error when trying codebuild local, works in the cloud
Looks like selinux was the issue and needed to provide the correct permission for the container to run and use my hosts files.

Thanks for helping"
