label	description
AWS CodeDeploy	"AWS CodeDeploy with Autoscaling Launch Templates with Spot and On-Demand In
Hello! It is possible to configure an autoscaling group to use Launch Template instead of Launch Configuration. I want to use it because when I configure an autoscaling group using Launch Configuration I can not set mixed instances policy (ondemand + spot instances).

I have created launch template (name 'test') with such configuration:

        AMI Ubuntu 16, 
        some security groups and IAM Role with EC2, AutoScaling and CodeDeploy full access 
        and all other settings in default *Not specified* state.
    
        Launch Template ID lt-0e1111
        Default Version Number 1
        Launch Template Name test
        Owner arn:aws:iam::11111111:user/itsp
        Version  1 (Default)
        Name  test
        Created by arn:aws:iam::179961111910:user/itsp
        Description Not specified
        Date Created February 8, 2019 at 12:47:54 AM UTC+3
        AMI ID ami-0bf1924ed30c48a6a
        Availability Zone Not specified
        Security Groups Not specified
        Instance Type t2.nano
        Key pair name itsp
        Security Group Ids sg-07e746cf0e4935b84,sg-0a45f7e6ac321614d,sg-27bf6d4b
    
        Advanced Details:
        Purchasing option Not specified
        Spot request type Not specified
        Spot interruption behavior Not specified
        IAM Instance Profile Not specified
        Stop - Hibernate behavior Not specified
        Monitoring Not specified
        EBS-optimized instance Not specified
        Tenancy Host ID Not specified
        RAM Disk ID Not specified
        User Data Not specified
        Elastic Inference Accelerator Not specified
        Maximum Spot price Not specified
        Spot expiry date -
        Spot block duration Not specified
        Shutdown behavior Not specified
        Termination Protection Not specified
        Placement Group Name Not specified
        Tenancy Not specified
        Tenancy Affinity Not specified
        Kernel ID Not specified
        Elastic Graphics Not specified 


Then I am creating an AutoScaling group with that launch template. Here is my autoscaling group configuration:

    Launch Template test
    Launch Template Version 1
    Launch Template Description -
    Instance Types -
    Spot Diversity 0
    Optional On-Demand Base 0
    On-Demand Percentage 0%
    Desired Capacity 1 
    Min 1 
    Max 1
    Availability Zone(s) eu-central-1a
    Subnet(s) subnet-53075e38
    Classic Load Balancers -
    Target Groups -
    Health Check Type EC2
    Health Check Grace Period 300
    Instance Protection - 
    Termination Policies Default
    Suspended Processes -
    Placement Groups -
    Default Cooldown 300
    Enabled Metrics -
    Creation Time Fri Feb 08 00:50:16 GMT+300 2019
    Service-Linked Role arn:aws:iam::11111111111:role/aws-service-role/autoscaling.amazonaws.com/AWSServiceRoleForAutoScaling 


Such configuration appears to be set when I choose 

    *Fleet Composition - Adhere to the launch template
    The launch template determines the instance type and purchase option (On-Demand or Spot).* 


option and my lauch template configuration is described above.

So there are no spots in my autoscaling group.

Then I configure a CodeDeploy application 'Application' and DeploymentGroup 'DG_TEST' inside of it with such configuration:

   Deployment type Blue/green
    Service role ARN arn:aws:iam::11111111111111:role/CodeDeployRole
    Deployment configuration CodeDeployDefault.AllAtOnce
    Rollback enabled -
    Environment configuration: Amazon EC2 Auto Scaling groups -> Name 'test' 



Ok, after everything is set up I set desired instances count to 1 in my Autoscaling group and new on-demand instance spawns in my 'test' group.

I am now starting a blue-green deployment with AWS CLI command:

    aws deploy create-deployment --application-name Application --s3-location bucket=codedeploybucket,key=application,bundleType=zip --deployment-group-name DG_TEST 


And I can see new autoscaling group with same lauch template appears in my green fleet.

So we just checked all our services are working as expected.


Now I want to tweak my autoscaling group configuration a little to mix ondemand and spot instances in it:

    Fleet Composition - Combine purchase options and instances
    Choose a mix of On-Demand Instances and Spot Instances and multiple instance types. Spot Instances are automatically launched at the lowest price available.
    Instance Types:
    t2.nano (1vCPUs, 0.5GiB)
    t2.small (1vCPUs, 2GiB)
    t2.micro (1vCPUs, 1GiB)
    Maximum Spot Price - Use default (recommended)
    Spot Allocation Strategy - Diversify Spot Instances across your 2 lowest priced instance types per Availability Zone
    Optional On-Demand Base - Designate the first 0 instances as On-Demand
    On-Demand Percentage 50% On-Demand and 50% Spot
    Desired Capacity 1
    Min 1
    Max 1 


I save it and try same AWS CLI command

    aws deploy create-deployment --application-name Application --s3-location bucket=codedeploybucket,key=application,bundleType=zip --deployment-group-name DG_TEST 


And now I have my deployment failed with such comment:

    The following validation error occurred: Valid requests must contain either LaunchTemplate, LaunchConfigurationName, InstanceId or MixedInstancesPolicy parameter. (Service: AmazonAutoScaling; Status Code: 400; Error Code: ValidationError; Request ID: 11111114-2b2b-11e9-93b7-11111111111) 



Another strange thing is that if I configure my Launch Templae to use spots only:

    Launch Template ID lt-00dc4c187d1111159
    Default Version Number   1
    Launch Template Name test2
    Owner
    arn:aws:iam::179961111910:user/itsp
    Version     1 (Default)
    Name  test2
    Created by  arn:aws:iam::179961111910:user/itsp
    Description Not specified
    Date Created    February 8, 2019 at 1:14:13 AM UTC+3
    AMI ID    ami-0bf1924ed30c48a6a
    Availability Zone    Not specified
    Security Groups   Not specified
    Instance Type    t2.micro
    Key pair name    itsp
    Security Group Ids    sg-0a45f7e6ac321614d,sg-07e746cf0e4935b84,sg-27bf6d4b
 
    Advanced details
    Purchasing option    spot
    Spot request type    one-time
    Spot interruption behavior    Not specified
    IAM Instance Profile    CodeDeployRole (arn:aws:iam::1111111111:instance-profile/CodeDeployRole)
    Stop - Hibernate behavior    Not specified
    Monitoring    Not specified
    EBS-optimized instance   Not specified
    Tenancy Host ID    Not specified
    RAM Disk ID    Not specified
    User Data    Not specified
    Elastic Inference Accelerator    Not specified
    Maximum Spot price    Not specified
    Spot expiry date    -
    Spot block duration    Not specified
    Shutdown behavior    Not specified
    Termination Protection    Not specified
    Placement Group Name    Not specified
    Tenancy    Not specified
    Tenancy Affinity    Not specified
    Kernel ID    Not specified
    Elastic Graphics    Not specified 


and use that option in my autoscaling group:

    *Fleet Composition - Adhere to the launch template
        The launch template determines the instance type and purchase option (On-Demand or Spot).* 


Then after same deployment command I receive another error in CodeDeploy (failed deployment reason):

    The IAM role arn:aws:iam::179966034910:role/CodeDeployRole does not give you permission to perform operations in the following AWS service: AmazonAutoScaling. Contact your AWS administrator if you need help. If you are an AWS administrator, you can grant permissions to your users or groups by creating IAM policies. 


And that is definitely not the case because my role for CodeDeploy have full EC2, Autoscaling and CodeDeploy access.


Am I doing something wrong or that are bugs? How can I configure mixed autoscaling group (ondemand+spot instances) with codedeploy using launch templates? Thanks in advance!"
AWS CodeDeploy	"Re: AWS CodeDeploy with Autoscaling Launch Templates with Spot and On-Demand In
I'm running into the same issue,  I believe that the B/G Deploys don't support launch templates yet, which is unfortunate."
AWS CodeDeploy	"CodeDeploy/CodePipeline undiagnosable error message
I'm using CodePipeline to compile and release my code, but without any clear error message my deployments have been failing and I'll I've been given is an error message like

Action execution failed
InternalError. Error reference code: d0cf4553-6c45-4147-b1b5-c1ce6d35ac64

This has more or less stopped me in my tracks with using CodePipeline.

This has been with no change to my buildspec.yaml, or any configuration, but I'm unable to move further with this I can't seem to find how to use that Error Reference Code to get any further information.

Anyone here able to help?"
AWS CodeDeploy	"An error occurred (ThrottlingException) when calling the GetDeployment oper
Hi All,

I have been running multiple CodeDeploy Deployments for a few weeks now.
Lately I have been noticing the following error on deployment failure.

Failed to deploy application revision.
An error occurred (ThrottlingException) when calling the GetDeployment operation (reached max retries: 4): Rate exceeded


Application Name: ADJUSTit
Deployment Group: ADJUSTit-UAT-Client
Failed Deployment ID: d-24FPANM5M 
Successful Deployment ID: d-1PS0CAS4M

Is there an Account/User based service limit happening?
Or maybe its dynamic throttling?

Any help would be awesome.

Thanks,
Adan Rehtla

Edited by: AdanRehtla on May 23, 2017 3:54 PM"
AWS CodeDeploy	"Re: An error occurred (ThrottlingException) when calling the GetDeployment oper
Hi Adan, 

We do have account based limits on concurrent deployments. However, throttling could be due to various reasons. How many concurrent deployments are you running? Have you recently increased the number of concurrent deployment runs?"
AWS CodeDeploy	"Re: An error occurred (ThrottlingException) when calling the GetDeployment oper
We have been increasing the number of deployments as the project development grows.
We deploy to 4 environments, and each can have 3+ deployment pipelines each.
Just now we had 8 concurrent deployments via BitBucket Pipelines, 2 of which had this error.
Is there a way to increase this limit?

Edited by: AdanRehtla on Feb 14, 2019 2:00 PM"
AWS CodeDeploy	"BlockTraffic/AllowTraffic durations
Hello

I've been playing with using CodeDeploy to push our applications live, but it always takes ages doing the BlockTraffic and AllowTraffic steps.

The load balancer I'm using it with has connection draining set to 60s, but the block and allow traffic steps both take (reasonably reliably) 4m25 (265s) to complete which really does drag out the process.

Is there a way to modify this timeout that I've missed?  Can I set the timeout on these steps in the appspec.yml even though these stages aren't documented for the hooks in that file?

Thanks

James

Edited by: jameseogden on Apr 28, 2017 5:59 AM"
AWS CodeDeploy	"Re: BlockTraffic/AllowTraffic durations
I'm having this exact issue and was working on this yesterday 4/27. I wonder if it's a coincidence/service issue?

Currently I have a classic ELB with two EC2 nodes. So, If I do a CodeDeploy OneAtATime, the whole process takes up to 25 minutes.

-m"
AWS CodeDeploy	"Re: BlockTraffic/AllowTraffic durations
I have the same issue.  BlockTraffic and AllowTraffic take upwards of 5 minutes.  At first I thought it was due to the fact that my load balancer's Connection Draining was set to 300 seconds.  However, I disabled Connection Draining and got the same results.  I then enabled Connection Draining and set timeout to 5 seconds and still got the same results.

UPDATE: CodeDeploy is dependent on the ELB Health Check settings.  My settings had been:

Timeout	5 seconds
Interval	30 seconds
Unhealthy threshold	2
Healthy threshold	10

As a result, BlockTraffic and AllowTraffic were taking more than five minutes (30s interval * 10 healthy thresholds). After adjusting the settings to the following, BlockTraffic and AllowTraffic took about 20 seconds.

Timeout	2 seconds
Interval	5 seconds
Unhealthy threshold	2
Healthy threshold	2

Edited by: krao411 on May 3, 2017 7:05 PM"
AWS CodeDeploy	"Re: BlockTraffic/AllowTraffic durations
Yes CodeDeploy depends on the ELB Health Check settings that you have configured your ELB with. After an instance is bound to the ELB, CodeDeploy wait for the status if the instance to be healthy (""inService"") behind the load balancer. This health check is done by ELB and depends on the health check configuration you have set."
