label	description
AWS CodePipeline	"CodePipeline setup an ECR event in CloudWatch but event is in CloudTrail
I am setting up a really simple CodePipeline.

I have an ECR docker registry, I have ECS with Fargate as the cluster, and I have a CodePipeline. 

What I want to do is when I put a new image with the tag ""deploy"" on my docker registry. I want to trigger the CodePipeline to start the deployment. Right now I have to manually go to the CodePipeline page and click on ""Release Change"". I don't want to do that. I was researching this a bit more and I saw there are specific CloudWatch events that CodePipeline is looking for to trigger the build. 

I took a look at my CloudWatch events are and sure enough CodePipeline had defined one. Please see the rule below. 

The problem is I never see this event occurring in CloudWatch it seems the ""putImage"" event is only in CloudTrail. I don't want to integrate with CloudTrail if I can avoid it since it will make this more complex then it needs to be. 

Rules > codepipeline-thx-deploy-556745-rule
{
  ""source"": [
    ""aws.ecr""
  ],
  ""detail"": {
    ""eventName"": [
      ""PutImage""
    ],
    ""requestParameters"": {
      ""repositoryName"": [
        ""thx""
      ],
      ""imageTag"": [
        ""deploy""
      ]
    }
  }
}"
AWS CodePipeline	"Re: CodePipeline setup an ECR event in CloudWatch but event is in CloudTrail
By default CloudTrail should log ""management events"" via CloudTrail event history without any extra configuration: https://docs.aws.amazon.com/awscloudtrail/latest/userguide/view-cloudtrail-events.html

So, your CloudWatch event rule will use CloudTrail data but you shouldn't need to configure anything in CloudTrail to make it work. In other words, it will use CloudTrail but shouldn't add any extra complexity."
AWS CodePipeline	"Re: CodePipeline setup an ECR event in CloudWatch but event is in CloudTrail
Hi Tim,
Thanks for replying. 

Here is what I am doing:
1. I am pushing a docker image to ECS
2. I am going to CloudWatch > Events > Rules > click on ""Show metrics for rule""
I don't see anything. The rule is active. 
Would have expected the build to be triggered but it not being triggered. 

When I go to CloudTrail I see this:
2018-11-29, 04:42:16 PM
	
ThxDockerRepo
	
PutImage
	
	
 
AWS access key
 
<Removed>
 
AWS region
 
us-east-1
 
Error code
 
Event ID
 
0fea429d-0e37-42d7-8d68-d495464f5f46
 
Event name
 
PutImage
 
Event source
 
ecr.amazonaws.com
 
Event time
 
2018-11-29, 04:42:16 PM
 
Read only
 
false
 
Request ID
 
a403b5b3-f41f-11e8-9b02-2bf0c2c2ecf0
 
Source IP address
 
AWS Internal
 
User name
 
ThxDockerRepo


Because nothing shows up in CloudWatch I think that is the reason behind why it won't automatically trigger the build.

I don't know exactly how this works but could this be because CloudWatch is looking for an source value of:
aws.ecr
And CloudTrail has an event source value of: 
ecr.amazonaws.com

I don't know if this is a bug I could be doing something wrong, but I was expecting the CloudWatch metric to pick up the putImage. 

Also, someone may want to update the document here: 
https://docs.aws.amazon.com/codepipeline/latest/userguide/pipelines-about-starting.html
If ECR is suppose to be support.

Edited by: PankilSmile on Nov 29, 2018 2:10 PM
Message quota reached trying to edit this message instead."
AWS CodePipeline	"Re: CodePipeline setup an ECR event in CloudWatch but event is in CloudTrail
Hello, 

Thank you for your valuable feedback on the AWS CodePipeline User Guide.

Thank you for your input regarding needed updates for ECR source change detection. This has now been corrected. This change detection methods table has been updated for ECR: https://docs.aws.amazon.com/codepipeline/latest/userguide/pipelines-about-starting.html#change-detection-methods

Thank you again for pointing out this issue, and sorry for any confusion while the information was missing."
AWS CodePipeline	"Re: CodePipeline setup an ECR event in CloudWatch but event is in CloudTrail
No problem."
AWS CodePipeline	"I can't use aws pipeline (Frankfurt) with aws deployment (Stockholm)
Hi All,
I'm working as a dev-op engineer in Stockholm based company and now we are in process of migrating our servers from Frankfurt Region to Stockholm Region so far we are going good.
During the process I learn we don't have code-commit,code-pipeline and code-build in Stockholm Region but Codedeploy available, so I thought it's no problem because we can use already setupped Pipeline in Frankfurt Region with  Stockholm Region code deploy. But from the console, I can't select the Stockholm Region. I can see all of the other regions can someone help me with this?

Thanks!"
AWS CodePipeline	"Re: I can't use aws pipeline (Frankfurt) with aws deployment (Stockholm)
Hi, CodePipeilne is not available in Stockholm yet, therefore, cross-region action in Stockholm not available neither.
We understand that it is important to support pipeline in Stockholm and we are working on it.

Edited by: jayzaws on Feb 27, 2019 11:52 AM"
AWS CodePipeline	"Github MonoRepo as source
We use the monorepo approach for storing our source in github. 
Is it currently possible to have CodePipeline trigger only on a commit to a particular subfolder.
This is something that is currently possible with TeamCity by setting a filter on the Source Repository but I've seen no example of this with CodePipeline."
AWS CodePipeline	"Re: Github MonoRepo as source
Hello,

Unfortunately, CodePipeline doesn't support this as of now. Thanks for bringing this to our attention, I've conveyed this feature request to the service team, however, we don't have any ETA for this feature.

As a workaround you can get a list of files changed in commit using GitHub API [1], [2] or command line (if you are using webhooks [3] and git pull method):
git diff-tree --no-commit-id --name-only -r  <commit_id>


Then you can check which folders have changed and implement a custom logic (in CodeBuild or Lambda actions) based on this.

Also, consider using submodules for your project [4] and have custom pipelines for all required sub-repositories.

Best,
Ruslan.

[1] https://developer.github.com/v3/git/commits/#get-a-commit
[2] https://developer.github.com/v3/repos/contents/#get-contents
[3] https://aws.amazon.com/blogs/devops/integrating-git-with-aws-codepipeline/
[4] https://git-scm.com/book/en/v2/Git-Tools-Submodules"
AWS CodePipeline	"Re: Github MonoRepo as source
+1 on this being a valueable feature."
AWS CodePipeline	"Re: Github MonoRepo as source
+1 for mono repo support

We have code for Lambda functions and front end apps (hosted in S3) all in one repo. Ideally a commit would trigger a rebuild and deploy of all the lambda functions and front end apps"
AWS CodePipeline	"Re: Github MonoRepo as source
+1 for mono repo support"
AWS CodePipeline	"Re: Github MonoRepo as source
+1"
AWS CodePipeline	"Re: Github MonoRepo as source
Monorepo will be critical for our team as well. We will use lambda events as a workaround in the meantime. Is there anywhere we can track progress for this feature request?"
AWS CodePipeline	"Re: Github MonoRepo as source
+1 The need for monorepo support is strong."
AWS CodePipeline	"Re: Github MonoRepo as source
How is it that you suggest the use of submodules when you lack fundamental support for it?

See https://forums.aws.amazon.com/thread.jspa?threadID=248267"
AWS CodePipeline	"Re: Github MonoRepo as source
+1 monorepo support is needed"
AWS CodePipeline	"CodePipeline ECS blue/green deployment action fails with an InternalError
I have been trying to build a CodePipeline pipeline that would build and push a Docker image to ECR, and deploy it using CodeDeploy and ECS blue/green deployment in a single pipeline – as opposed to splitting building and deployment to two separate pipelines, where the latter is triggered from ECR source. After some trial and error it seemed that things were starting to work out, but then the deployment action started failing with just

Action execution failed
InternalError. Error reference code: f1618295-2d5b-4cf2-8306-de4df828639c.

The pipeline consists of 4 stages:

1. Source: a CodeCommit repository
2. Build: compiles a JAR that is available as an artifact
3. Image: builds a Docker image that contains the JAR artifact and pushes the image to ECR – produces imageDetail.json containing just the image URI as an artifact
4. Deploy: the ECS blue/green CodeDeploy deployment action

The JAR is built just fine and the image pushed to ECR, and the CodeDeploy deployment works, if initiated by updating the ECS service manually. I have tried removing and rebuilding the pipeline and deployment app/group. I also built a separate pipeline, with an ECR source in case my own imageDetail.json was flawed, but still the deployment action dies of an internal error.

My question is: is there a way to debug such internal errors, other than start from scratch and hope?

The source contains the following for use with the deployment:

appspec.yaml:
version: 0.0
Resources:
  - TargetService:
      Type: AWS::ECS::Service
      Properties:
        TaskDefinition: <TASK_DEFINITION>
        LoadBalancerInfo:
          ContainerName: ""DemoContainer""
          ContainerPort: 8080


taskdef.json:
{
  ""executionRoleArn"": ""arn:aws:iam::...:role/ecsTaskRole"",
  ""containerDefinitions"": [
    {
      ""name"": ""DemoContainer"",
      ""image"": ""<IMAGE>"",
      ""essential"": true,
      ""portMappings"": [
        {
          ""hostPort"": 0,
          ""protocol"": ""tcp"",
          ""containerPort"": 8080
        }
      ],
      ""logConfiguration"": {
        ""logDriver"": ""awslogs"",
        ""options"": {
          ""awslogs-group"": ""/ecs/DemoTask"",
          ""awslogs-region"": ""eu-west-1"",
          ""awslogs-sream-prefix"": ""ecs""
        }
      }
    }
  ],
  ""requiresCompatibilities"": [
    ""EC2""
  ],
  ""cpu"": ""256"",
  ""memory"": ""512"",
  ""family"": ""DemoTask""
}


The image details are produced using:

version: 0.2
 
phases:
 pre_build:
   commands:
     - echo Logging in to Amazon ECR...
     - $(aws ecr get-login --no-include-email --region eu-west-1)
     - ...
     - REPOSITORY_URI=...
     - IMAGE_TAG=build-$(echo $CODEBUILD_BUILD_ID | awk -F"":"" '{print $2}')
 build:
   commands:
     - echo Build started on `date`
     - echo Building the Docker image...
     - docker build -t test:latest .
     - docker tag test:latest $REPOSITORY_URI:latest
     - docker tag test:latest $REPOSITORY_URI:$IMAGE_TAG
     - printf '{""ImageURI"":""%s""}' $REPOSITORY_URI:$IMAGE_TAG > imageDetail.json
 post_build:
   commands:
     - echo Build completed on `date`
     - echo Pushing the Docker image...
     - docker push $REPOSITORY_URI:latest
     - docker push $REPOSITORY_URI:$IMAGE_TAG
artifacts:
     files: imageDetail.json


Edited by: IljaE on Dec 10, 2018 11:47 PM

Edited by: IljaE on Dec 12, 2018 12:18 AM

Edited by: IljaE on Dec 14, 2018 3:45 AM"
AWS CodePipeline	"Re: CodePipeline ECS blue/green deployment action fails with an InternalError
Found the culprit: the awslogs-stream-prefix log configuration option seems incompatible with the EC2 ECS cluster I've running; the container instances are old. After removing said option the deployment action succeeds. Seems I've some more reading to do about the options and their usage.

Registering a task definition and running a deployment based on it manually provided better error messages that lead to this conclusion."
AWS CodePipeline	"Re: CodePipeline ECS blue/green deployment action fails with an InternalError
hi,

i came across a similar issue today. my ecs service is configured with bluegreen deployment model and i can successfully trigger the new service deployment with an updated version of task definition related to my ecs service. however, when i config the deploy phase with ecs for my pipeline, i came across the issue similar to you:
Action execution failed:
InternalError. Error reference code: a0572548-f3bb-4e9e-b9cd-7ef4d08d9389.

any suggestion on this or where i can find the debug log info for this issue?"
AWS CodePipeline	"Re: CodePipeline ECS blue/green deployment action fails with an InternalError
@xiaoyzhu I'm having the same issue as you. When I update the fargate task, it deploys fine, but when CodePipeline tries to deploy using ECS Blue/Green, I get InternalError. Error reference code: 0d3cd84c-5650-417a-b9c9-fb44adbed969.


Any ideas of what that means or how to diagnose?"
AWS CodePipeline	"Re: CodePipeline ECS blue/green deployment action fails with an InternalError
I have some additional information that helped resolve this for me. I hope it helps someone else searching for this issue.

I needed to update my buildspec.yaml file with the following details:

version: 0.2
### Defines the steps used by AWS CodeBuild
 
phases:
  pre_build:
    commands:
      - echo Build started on `date`
      - echo Logging in to Amazon ECR...
      - aws --version
      - $(aws ecr get-login --region $AWS_DEFAULT_REGION --no-include-email)
      - COMMIT_HASH=$(echo $CODEBUILD_RESOLVED_SOURCE_VERSION | cut -c 1-7)
      - IMAGE_TAG=${COMMIT_HASH:=latest}
  build:
    commands:
      - echo Building the Docker image...
      - docker build -t $REPOSITORY_URI:latest -t $REPOSITORY_URI:$IMAGE_TAG -f Dockerfile .
  post_build:
    commands:
      - echo Pushing the Docker images to container registry...
      - docker push $REPOSITORY_URI:latest
      - docker push $REPOSITORY_URI:$IMAGE_TAG
      - echo Writing image definitions file...
      - printf '{""ImageURI"":""%s""}' $REPOSITORY_URI_WEB:$IMAGE_TAG > imageDetail.json
      - echo Build completed on `date`
artifacts:
  files:
    - appspec.yaml
    - taskdef.json
  secondary-artifacts:
    DefinitionArtifact:
      files:
        - appspec.yaml
        - taskdef.json
    ImageArtifact:
      files:
        - imageDetail.json


Note the ""secondary-artifacts"" portion, where I define the ImageArtifact (build image definition) separately from the task/app definition files.

Then, when defining the CodeBuild stage in CodePipeline, make sure to specify DefinitionArtifact
 and ImageArtifact
 as Output artifacts for the stage.

The taskdef.json file should have ""image"": ""<IMAGE1_NAME>"",
 specified in the container definition. This placeholder will be replaced by CodeDeploy ECS Blue/Green when it is part of a CodePipeline.

For what it's worth, my appspec.yaml file looks like:
version: 0.0
 
Resources:
  - TargetService:
      Type: AWS::ECS::Service
      Properties:
        TaskDefinition: <TASK_DEFINITION>
        LoadBalancerInfo:
          ContainerName: ""web""
          ContainerPort: 80
        PlatformVersion: ""LATEST""


Again, the <TASK_DEFINITION>
 placeholder is replaced by CodePipeline. 

Finally, I used the following configuration for CodeDeploy as part of my CodePipeline deployment stage:
Action Provider:
  Amazon ECS (Blue/Green)
Input Artifacts:
  DefinitionArtifact
  ImageArtifact
Amazon ECS Task Definition:
  DefinitionArtifact: taskdef.json
Amazon CodeDeploy AppSpec file:
  DefinitionArtifact: appspec.yaml
Dynamically update task definition image:
  ImageArtifact
  IMAGE1_NAME"
AWS CodePipeline	"Re: CodePipeline ECS blue/green deployment action fails with an InternalError
Apologies, there was a slight bug in the buildspec.yaml above. This is what it should be:

version: 0.2
### Defines the steps used by AWS CodeBuild
 
phases:
  pre_build:
    commands:
      - echo Build started on `date`
      - echo Logging in to Amazon ECR...
      - aws --version
      - $(aws ecr get-login --region $AWS_DEFAULT_REGION --no-include-email)
      - COMMIT_HASH=$(echo $CODEBUILD_RESOLVED_SOURCE_VERSION | cut -c 1-7)
      - IMAGE_TAG=${COMMIT_HASH:=latest}
  build:
    commands:
      - echo Building the Docker image...
      - docker build -t $REPOSITORY_URI:latest -t $REPOSITORY_URI:$IMAGE_TAG -f Dockerfile .
  post_build:
    commands:
      - echo Pushing the Docker images to container registry...
      - docker push $REPOSITORY_URI:latest
      - docker push $REPOSITORY_URI:$IMAGE_TAG
      - echo Writing image definitions file...
      - printf '{""ImageURI"":""%s""}' $REPOSITORY_URI:$IMAGE_TAG > imageDetail.json
      - echo Build completed on `date`
artifacts:
  files:
    - appspec.yaml
    - taskdef.json
  secondary-artifacts:
    DefinitionArtifact:
      files:
        - appspec.yaml
        - taskdef.json
    ImageArtifact:
      files:
        - imageDetail.json"
AWS CodePipeline	"Not setting executable bit/permissions from git on script files
I've got a project in Github that I deploy to Elastic Beanstalk via ""eb deploy"" and it properly sets the executable bit on the script files when it deploys them to the server.

When I deploy the same repo to the same Elastic Beanstalk servers with CodePipeline, the executable bit is NOT set on the files. They are all 644 rather than 755.

Anyone else have this issue?

Seems like I shouldn't have to write some post-deploy script to chmod +x fix this. It should be respecting the file permissions stored in git."
