label	description
AWS IoT Analytics	"Change User portal URL for AWS SSO Directory
I want to change the url, or at least change the component preceding ""*.awsapps.com/start"" for one of my directories."
AWS IoT Analytics	"Re: Change User portal URL for AWS SSO Directory
If anyone could assist on renaming my SSO directory URL it would be great. There isn't any cli commands to do so."
AWS IoT Analytics	"Renamed AWS Accounts not showing correctly in console
Hi,
Im repurposed and renamed 2 of my accounts but dont see the title reflected in SSO. Is there some other way of renaming the AWS Accounts under SSO?

Thanks"
AWS IoT Analytics	"Re: Renamed AWS Accounts not showing correctly in console
Having the same issue. Must just be a hidden property somewhere. Hopefully they fix this soon since they've been rolling out other improvements lately."
AWS IoT Analytics	"Re: Renamed AWS Accounts not showing correctly in console
Thanks a lot. We have added this feature request to our backlog and will prioritize it for future releases."
AWS IoT Analytics	"Users can only sign in once to the user portal link. Must reset password.
We're using AWS SSO using the AWS SSO directory with AWS organizations. Currently users have can only login once using the user portal URL. After that they have to reset their password. 100% reproducible. Super inconvenient. It's as if all passwords are one time use only.

Has anyone seen this or know why?

Not using any VPN or proxies. Tried different browsers from different locations.

Edited by: jamesfauna on Feb 5, 2019 11:39 AM

Edited by: jamesfauna on Feb 5, 2019 11:39 AM"
AWS IoT Analytics	"Re: Users can only sign in once to the user portal link. Must reset password.
Thanks a lot. Could you reach out to AWS Support to help with your specific issue?"
AWS IoT Analytics	"Use CLI to retrieve credential from SSO
Hello,
Is there a way to retrieve a credential from SSO using a cli utility?

I do see the option to get the credential after signing in to the login page, and to copy-paste it into the shell, and that's nifty but not really usable for programmatic access.

Ideally, to me, there would be a utility that worked with the credential_process option of the AWS config file. I do see that a SAML identity provider is created in the configured accounts, so I had hopes that SSO would expose a SAML authentication endpoint, and that `awsprocesscreds` would handle it, but I'm not seeing a way to make that work currently. I opened an issue there also. Linking it here in case the SSO team was unaware of such utilities.

https://github.com/awslabs/awsprocesscreds/issues/26"
AWS IoT Analytics	"Re: Use CLI to retrieve credential from SSO
Thanks a lot for your feedback regarding using SSO to retrieve the password for CLI access. We have added this feature to our backlog and will consider it for future prioritization."
AWS IoT Analytics	"Re: Use CLI to retrieve credential from SSO
+1 for interest on this feature. Is there any new progress on it? Thanks."
AWS IoT Analytics	"Enforce TOTP MFA & Strong Password Policies w/ Rotation
It was incredibly exciting to see the release of the AWS SSO managed directory, a free AWS alternative to Microsoft Active Directory.

Announcement: https://aws.amazon.com/about-aws/whats-new/2018/10/now-you-can-create-and-manage-users-within-aws-single-sign-on/
Blog Post: https://aws.amazon.com/blogs/security/how-to-create-and-manage-users-within-aws-sso/

According to https://aws.amazon.com/directoryservice/pricing/, AWS managed AD costs $288-$432/mo minimum. For my organization, any flat monthly rate above the cost of a t3.nano requires good justification for approval. That much money did not justify moving away from IAM users.

Because of this huge reduction in price, I am sure some organizations will use AWS SSO right now. However, my organization will not be comfortable using this service for two reasons.

1) MFA - Specifically, Time-based One-Time Passwords cannot be configured and required for all users.
2) Password policies cannot be tailored. We use a password manager, so it is no problem to enforce 30-90 day rotation and 16+ character passwords.

When will these two enhancements to AWS SSO built-in directory be released?"
AWS IoT Analytics	"Re: Enforce TOTP MFA & Strong Password Policies w/ Rotation
Thanks a lot for your feedback. We have added these features to our backlog and will consider these for future prioritization. 

Regarding 1) Just to clarify that you are referring to a time-based one-time MFA code that can configure for your users?
Regarding 2) You want the capability to the interval after which the password expires requiring the user to reset the password.

Thanks a lot and we appreciate your feedback."
AWS IoT Analytics	"Re: Enforce TOTP MFA & Strong Password Policies w/ Rotation
1) We wouldn't mind supplying the QR code to our users from an admin interface. However, it would be nice to have users manage their own TOTP device. Until the device is configured correctly, the user should not be able to do anything besides login to configure the TOTP device.
2) A custom password policy is less important than #1, but I imagine this could be done similar to the IAM User password policy capability.

Thanks."
AWS IoT Analytics	"Re: Enforce TOTP MFA & Strong Password Policies w/ Rotation
Looks like OTP is now configurable in the AWS SSO console.  https://aws.amazon.com/blogs/security/add-a-layer-of-security-for-aws-sso-user-portal-sign-in-with-context-aware-email-based-verification/ 

Looks like AWS is moving in the right direction, as always. This is good enough to answer my question."
AWS IoT Analytics	"SSO Start Page - UI Modification
Is it possible to customize the UI of the login page for AWS SSO."
AWS IoT Analytics	"Re: SSO Start Page - UI Modification
Thanks a lot for your feedback. We have added your request to customize the SSO Start page to our feature backlog and will consider it for future prioritization. 

What type of modifications would you want to do for the Start Page? Are you looking to have your own logo? Anything else?"
AWS IoT Analytics	"When will we see AWS Single Sign-On in EU ?
Hi there..

With the newly build-in directory in AWS Single Sign-On, the service really got interesting, but with the GDPR regulation we still cannot use it here in EU.
AWS Single Sign-On has been out since 2017, when can we expect to see it ""Over here"" ?

Looking forward..
David"
AWS IoT Analytics	"Re: When will we see AWS Single Sign-On in EU ?
Thanks a lot David. We have added your request to our feature back log and will update the thread once the service is available in EU region."
AWS IoT Analytics	"Customer Managed Policies in SSO
I've come across what seems to be a surprising omission from SSO: Customer Managed Policies.

From my understanding the most custom Permission Set you can create is by using 10 AWS Managed Policies alongside the 1 inline IAM policy.

The problem with this is the permissions we require do not always fit into managed policies and having to 'complete' them by an additional inline policy seems 'hacky' and a poor way to manage permissions when trying to give 'least privilege where possible'.

We could live with the inline policy creator however the byte limit severely limits the kind of policies you can create.

Is there anything in the pipeline to be able to add Customer Managed Policies to Permission Sets, or at least the ability to increase the inline policy byte limit?"
AWS IoT Analytics	"Re: Customer Managed Policies in SSO
Thank you for your feedback. We will consider your inputs while planning the future roadmap of the product.
-Anand Murugesan"
AWS IoT Analytics	"Re: Customer Managed Policies in SSO
Disregard this.  I see custom policies are supported now.

Edited by: JGardner123 on Jan 15, 2019 9:23 AM"
AWS IoT Analytics	"MFA Prompt moved?
It seems that our MFA prompt is no longer on the main SSO login page. Our users used to see three fields (Username+Password+MFA). Now they just see (UserName+Password).

Our users are still prompted for MFA, but as a second step, after the user authenticates against our directory.

Was this a design change? I don't see this as configurable anywhere. Our directory still has MFA enabled and I can't see any obvious settings to configure this.

Someone over in infosec escalated this without trying to login - ""oh heck, who disabled mfa?"""
AWS IoT Analytics	"Re: MFA Prompt moved?
like it never disappeared, the MFA prompt is back on the SSO Login page."
AWS IoT Analytics	"How to use AWS SSO with Amazon RedShift
Hi

I see that AWS SSO service for AWS organizations support SAML. Also Amazon Redshift supports SAML. But I can't find any documentation how to use AWS SSO service with redshift.

Is it possible to use AWS SSO with Amazon Redshift?

Best
Steffen"
AWS IoT Analytics	"How to change default directory alias in AWS SSO?
AWS SSO doesn't allow changing directory alias. How can I do that? Is it possible to remove default directory or remove/disable whole SSO and configure it from the beginning or maybe from CLI?"
AWS IoT Analytics	"Re: How to change default directory alias in AWS SSO?
The default alias for your directory is your directory's id (format ""d-""). You can change the directory alias by navigating to the directory tab. Note that you can change the directory alias only once. Once you change the directory alias, you cannot change it again. Please let us know if you have issues"
AWS IoT Analytics	"Re: How to change default directory alias in AWS SSO?
In addition, you can also change the default directory to use a Microsoft AD (AWS Managed Microsoft AD or AD Connector ) directory by choosing ""Change Directory"" in the Directory tab in the AWS SSO Console."
AWS IoT Analytics	"Re: How to change default directory alias in AWS SSO?
Ok, I thought there is a posibility to release given alias because I wanted to use this alias for my Microsoft AD Directory."
