label	description
AWS IoT Device Management	"AWS Shield as a DDoS Service?
Hi,

We are currently hosting some of our services on AWS, and some of our infrastructure on other places.
For one of our servers hosted elsewhere (serving raw TCP traffic, not HTTP/S), we would like to be able to benefit from AWS shield standard protection.
Does AWS Shield Standard protection apply to non-HTTP ports of EC2 instances?
Does it make sense to create an EC2 instance and put a reverse TCP proxy on it? Assuming 2TB of traffic per month, what setup / costs should we be looking at?

Edited by: tacticsoft on Dec 5, 2018 11:58 PM"
AWS IoT Device Management	"Shield Standard:  What does it protect
The FAQ and Info online aren't too clear about what services Shield Standard actually protect; I see mention of load balancers, etc. but little specifics.

I'm specifically interested in knowing if Shield Standard protects Elastic IPs allocated in VPCs, and what types of protection are in place (Protection against SYN floods, UDP Floods, ICMP Floods, etc.).

Is there more detailed info available?"
AWS IoT Device Management	"Re: Shield Standard:  What does it protect
AWS Shield Standard defends against most common, frequently occurring network and transport layer DDoS attacks that target your web site or applications. On Amazon EC2, your traffic levels are inspected by an auto-mitigation system that can engage when a well-defined DDoS attack signature is detected or at high levels of traffic, given your choice of instance type. UDP reflection attacks, like DNS reflection, NTP reflection, SSDP reflection, etc. are examples of common DDoS attack vectors that can be mitigated by this system.

For improved DDoS resilience across a wide range of attack vectors, like SYN floods or web application layer attacks, consider using Amazon CloudFront or Application Load Balancer (ALB) with AWS WAF. You can also use a Classic Load Balancer for non-web use cases and Amazon Route 53 to also protect against DNS query floods.

You can learn more about these recommendations in the AWS Best Practices for DDoS Resiliency which is available at https://d0.awsstatic.com/whitepapers/Security/DDoS_White_Paper.pdf . This paper provides a prescriptive reference architecture you can use to help make your applications more DDoS resilient.

I will reach out to you directly to answer any follow-up questions you might have. I am interested to learn about your application and provide tailored recommendations.

Thanks, Jeff
AWS DDoS Response Team"
AWS IoT Device Management	"Re: Shield Standard:  What does it protect
So... more specifically, I'm interested in:  knowing if Shield Standard protects Elastic IPs allocated in VPCs

That is, is it in effect if I'm not using CloudFront or ELBs?  The documentation only mentions these specifically as protected services."
AWS IoT Device Management	"Re: Shield Standard:  What does it protect
Yes. AWS Shield Standard provides protection for EIP's in VPC.

Thanks, Jeff
AWS DDoS Response Team"
AWS IoT Device Management	"Re: Shield Standard:  What does it protect
Thanks, that was the primary question I had.  Thanks again, have a Happy New Year!"
AWS IoT Device Management	"Re: Shield Standard:  What does it protect
Hello Jeffrey and other AWS employees,

Can AWS Shield Standard prevent a volumetric attack from saturating the bandwidth of a small EC2 instance and what will happen if a UDP attack hits a small instance while all UDP is blocked in the security group? Will you ever nullroute the IP, if a huge attack hits us? Layer 7 is not an issue since we'll have efficient rate limits.

I've read the relevant DDoS resiliency whitepaper and your previous answers. It does not answer my question, unfortunately. I need an answer for EC2 only, please.

Thanks in advance."
AWS IoT Device Management	"Re: Shield Standard:  What does it protect
AWS Shield Advanced is available for Elastic IP Addresses (EIP's) which allows you to protect Amazon EC2 instances or Network Load Balancers (NLB's). To learn more about AWS Shield Advanced for EIP, see our What's New announcement at https://aws.amazon.com/about-aws/whats-new/2017/11/aws-shield-adds-advanced-ddos-protection-for-ec2-and-network-load-balancer/ .

Thanks, Jeff
AWS DDoS Response Team"
AWS IoT Device Management	"Is AWS Shield Standard automatically enabled for a AWS Beanstalk App?
I'm about to deploy a web app in production using AWS BeanStalk on a single instance (basic tier).

Will my app be automatically protected through AWS Sheild Standard?"
AWS IoT Device Management	"Re: Is AWS Shield Standard automatically enabled for a AWS Beanstalk App?
AWS Shield Standard automatically protects every AWS resource type in every AWS region against common DDoS attacks. No action is required on your part.

Thanks, Jeff
AWS DDoS Response Team"
