label	description
AWS Step Functions	"How to know whats going on with State machine?
Hi all,
In my use case, I am calling step function in three different way:

1. It is associated with method in API Gateway, so end user can invoke step function simply by clicking button on the web page.

2. State machine is also called in response to S3 event, so end user can upload file from web page, and thus invoke SF.

3. Finally, I am calling SM from another Lambda.

Now, the problem is - how to inform end user what is going on? 

Except in case 3. where I can periodically call DescribeExecution (and thus paying double - for Lambda that wait for SM to finish, AND for SM itself), I have no idea how to inform end user what happens? Was there an error? Did the action end successfully? Because of, all I am getting as output is ""executionARN"" and ""startDate"". State machine runs asynchronously, and thus completely out of my control.

Also, is there a way to get output from State Machine?"
AWS Step Functions	"Re: How to know whats going on with State machine?
Any help?"
AWS Step Functions	"Re: How to know whats going on with State machine?
Have you tried using iterator here?

https://docs.aws.amazon.com/step-functions/latest/dg/tutorial-create-iterate-pattern-section.html"
AWS Step Functions	"Cannot trap lambda TooManyRequestsException
I am trying to properly handle a TooManyRequestsException thrown by a lambda function in my retry logic for a task, by appropriately setting a value in the ""ErrorEquals"" array.  I am unable to trap the error with anything other than using a type of ""States.ALL"".  I have tried ""States.Runtime"", ""UnhandledError"", ""HandledError"".  Could someone direct me to the appropriate value I should use to capture this error state?

Example of the error from lambda as reported in the Step Functions admin panel:
error: States.Runtime
cause: TooManyRequestsException: Rate Exceeded. (Service: AWSLambda; Status Code: 429; Error Code: TooManyRequestsException; Request ID: 66e83b98-e424-11e6-ae0c-416ccd2c66a3)

Example Step Functions Task Setup:
""Task1"": {
  ""Type"": ""Task"",
  ""Resource"": ""lambda_arn_here"",
  ""End"": true,
  ""TimeoutSeconds"": 300,
  ""Retry"": [{
    ""ErrorEquals"": ,
    ""IntervalSeconds"": 1,
    ""BackoffRate"": 1.5,
    ""MaxAttempts"": 10
  }]
}"
AWS Step Functions	"Re: Cannot trap lambda TooManyRequestsException
I think you need Lambda.TooManyRequestsException

Edited by: simbamford on Feb 21, 2019 1:23 AM"
AWS Step Functions	"State Machine for summing two numbers
Hi all,

Trivial scenario: the web application user enters two numbers on the web page, and press Submit button. The summing is done by State machine. The question is - how to take result and return it as HTTP response to the end user?
OR, if that is not possible in the same request/response sequence, how to take and push result to the user who called the operation?

P.S. Anyone experienced """"Your message quota has been reached. Please try again later"" when posting more than one thread per day here? Cannot believe that my quota is only one msg/day? Is there any way to increase that?

Edited by: Cvele on Feb 17, 2019 3:26 AM

Edited by: Cvele on Feb 17, 2019 3:28 AM"
AWS Step Functions	"Re: State Machine for summing two numbers
Anyone?"
AWS Step Functions	"Ability to time out executions waiting at a particular step for too long
It would be great if I could set a timeout for executions in an activity step that were never picked up by a worker.  Maybe all my workers went down or are busy, I would like to fail the execution after an amount of time less than the default 1 year."
AWS Step Functions	"Manual approvals using lambda functions made easy in Guflow
Latest release of Guflow: https://github.com/gurmitteotia/guflow will now let you easily implement support for manual approvals using serverless lambda functions. Here is a very simple example showing ""WaitForAnySignal"" API:
    [WorkflowDescription(""1.0"")]
    public class ExpenseWorkflow : Workflow
    {
        public ExpenseWorkflow()
        {
            ScheduleLambda(""ApproveExpense"")
              .OnCompletion(e=>e.WaitForAnySignal(""Accepted"", ""Rejected""))
              .WithInput(_=>new{Id});  //Send workflow id to lambda functions to send signals to this workflow.
            ScheduleLambda(""SubmitToAccount"").AfterLambda(""ApproveExpense"")
              .When(_=>Signal(""Accepted"").IsTriggered());
            ScheduleLambda(""SendRejectEmail"").AfterLambda(""ApproveExpense"")
              .When(_=>Signal(""Accepted"").IsTriggered());
        }
    }

Other APIs that you can use for waiting for signals are: WaitForAllSignals and WaitForSignal. These APIs will help you to move your workers from activities to serverless lambda functions. 

You can call these APIs anywhere in workflow e.g. in the following example ""ApproveExpense"" is a child workflow:
    [WorkflowDescription(""1.0"")]
    public class ExpenseWorkflow : Workflow
    {
        public ExpenseWorkflow()
        {
            ScheduleChildWorkflow<ApproveExpense>()
              .OnCompletion(e=>e.WaitForAnySignal(""Accepted"", ""Rejected""));
            ScheduleLambda(""SubmitToAccount"").AfterLambda(""ApproveExpense"")
              .When(_=>Signal(""Accepted"").IsTriggered());
            ScheduleLambda(""SendRejectEmail"").AfterLambda(""ApproveExpense"")
              .When(_=>Signal(""Accepted"").IsTriggered());
        }
    }

You can find the detailed document about signal supports in Guflow here: https://github.com/gurmitteotia/guflow/wiki/Workflow-signals

Other interesting examples of manual approvals using lambda functions can be found here: https://github.com/gurmitteotia/guflow-samples/tree/master/ServerlessManualApproval

Edited by: Gurmit S. on Feb 7, 2019 4:30 AM"
AWS Step Functions	"Can we increase the size limit of input parameter?
We received the following error while executing the step function:
“An error occurred (ValidationException) when calling the StartExecution operation: 1 validation error detected: Value at 'input' failed to satisfy constraint: Member must have length less than or equal to 32768: ClientError”

Is it possible to increase the limit of 32,768?"
AWS Step Functions	"Use StringEquals to compare to null?
Hi Team,

Would it be possible to enable support for comparison of a string value to null? Currently, if I specify the condition as ""StringEquals"": null, the state machine fails to be created, and statelint says that ""StringEquals should be non-null"". There are some situations where null comparison is useful. Are there any workarounds for that at the moment?

Thanks"
AWS Step Functions	"Re: Use StringEquals to compare to null?
+1  I'm running into the same situation.  Sometimes I want to check for the existence of NULL with a Choice."
AWS Step Functions	"Re: Use StringEquals to compare to null?
+1, I am also badly required for validating null. We have many integrations and having dynamic behavior , expect null values and during the case I need to drive the flows."
AWS Step Functions	"Re: Use StringEquals to compare to null?
+1 I am in a similar situation and it does not make sense to send the request to a lambda function to do the check required

Edited by: danishsaj on Jan 23, 2019 3:21 PM"
