label	description
AWS Training & Certification	"crowd-semantic-segmentation customoization
Hi, 
This is my first time testing the semantic segmentation hit and I would like to know if there is any way to customize the colors of the labels in the hit. I'm making this question because let's say I have an object that is predominantly purple. I would like the color of the label to be of the same tone so to be more intuitive for the turkers to use it. 

I tried to modify the JSON for the label but it just gives me the following error, wich is frustrating:
We found some potential errors with your usage of Crowd HTML Elements.
 
(Element type CROWD-SEMANTIC-SEGMENTATION): Error reading attribute value:
[   ...
      ^
Detailed error message: Bad array at line 1 column 6 of the JSON5 data. Still to read: """"
(Element type CROWD-SEMANTIC-SEGMENTATION): attributes should NOT have additional properties


Thanks,

A"
AWS Training & Certification	"Re: crowd-semantic-segmentation customoization
Hello,

Thank you for your interest. 

I private messaged you with my contact information so we can discuss this further.

Thanks again,
Sam"
AWS Training & Certification	"Having issues with URL link
Has anyone seen this before?

When I try to link to the website using the following tag:
<a href=""#"" target=""_blank"">${url}</a>


It's taking the url and appending it to this url string:
https://requester.mturk.com/hit_templates/928615000/${url}

It started happening only today. I used the exact same tag and everything yesterday and it worked as intended (only linking to the website in the CSV file.

Here is a gif showing the error occurring in action as well:
https://info.filevine.com/hubfs/mturk-error.gif

Any thoughts on how I can resolve this?"
AWS Training & Certification	"Approve rejected assignments using the Command Line Tools v1.3.4
We're using the Amazon Mechanical Turk Command Line Tools v1.3.4 (not the newer AWS CLI).  Is there any way of using these tools to approve work that has been rejected (i.e., overriding the rejection)?  The approveWork.sh and reviewResults.sh scripts don't let us do this; they complain that approving works only for assignments with a status of ""Submitted"".

According to https://docs.aws.amazon.com/AWSMechTurk/latest/RequesterUI/ReversingRejectedAssignment.html  it is possible to override rejections using the web interface, though HITs created with the Command Line Tools don't show up in the web interface, so we can't use this option."
AWS Training & Certification	"HITs go from Assignable to Unassignable automatically
I'm writing to you seeking to get the right answer of what going on.

I'm a developer and I'm using the aws-sdk version ^2.396.0 to create Custom HITs.

On the sandbox(worker and requester) everything is working as  expected. The HIT published directly and it becomes assignable. on the other hand, on live server. The created HITs status became unassailable directly and number of assignments pending is 1. I created 9 HITs only one becomse assignable and the others becomes unassignable all has same HITTypeId. 
It's wired what is happening?

on other time I created two HITs they become unassinable and after ~4h they become assignable.
I'm not able to find the HITS on the worker website.

If you need more information please let me know."
AWS Training & Certification	"HIT status bug?
I am seeing a problem here with HIT status -- by the way, is there a better place to report possible bugs to the Mechanical Turk development team than this forum?Here is what I did. 1) I created a HIT using the CreateHIT API (from Perl using REST). The HIT ID number is  XYJ6TYY4PAYW3JYZSZQZ. I actually created a bunch of HITs at the same time.2) I waited a while, until all the other HITs in the group were showing ""Reviewable"" status (as a response to GetHIT). This one showed status ""Unassignable"", which seemed to indicate that someone had accepted the assignment, but it continued for a long time (much longer than the other HITs took to finish). The web Requester interface (requester.mturk.com) showed it as having no assignments, and the www.mturk.com home page did not show it as a HIT when I searched for it.3) Using the Requester web interface, I added a new assignment to the HIT. The status showed ""Assignable"" for a while. I searched for and then answered the questions from the mturk.com home page. The web interface showed there was one response pending review. But GetHIT status still showed ""Unassignable"".4) I expired the HIT from the web interface. The GetHIT status still shows ""Unassignable"" rather than ""Reviewable"".  The web interface shows there is one assigment pending review and that the HIT is expired.So... what can I do? GetReviewableHITs seems to have a bug (see previous post from late December), so I cannot find the complete list of reviewable HITs using that API. But it looks like there is a problem using GetHIT to find the HIT status too -- I need to wait for the status to go to ""Reviewable"", but it doesn't seem reliable. I need to have a reliable way to find out if a whole list of HITs have completed, so that I can read their answers and process the results. What API can I use, that will work? Thanks!"
AWS Training & Certification	"Re: HIT status bug?
Hi Steve,When a HIT is created you can set the amount of time that a worker has to complete it.  This time allotted is independent of the HIT expiration date.  For example, if I have a HIT that has an Expiration timeframe of one day and specify that a Worker can work on an assignment for 5 days, it is possible for that assignment to be accepted by the worker and essentially unavailable for the full 5 days.  If the Worker returns that Assignment before the 1 day HIT expiration is up, another worker can accept it.  During that time the HIT will be unavailable, since nobody can work on it.  If the HIT expires and then the assignment is returned, then the HIT should become reviewable.  The HIT won't become reviewable until all associated assignments are actually submitted.  A HIT will also become reviewable after it is expired and there are no assignments being worked on.In your case, it appears that a worker has accepted your assignment but not submitted it yet.Please let us know if this is still an issue for you.Thanks,- Isaac"
AWS Training & Certification	"Re: HIT status bug?
Thanks, that is helpful. I will test further..."
AWS Training & Certification	"Re: HIT status bug?
Hi I seem to be having the same problem - a HIT is stuck in the status Unassignable.  Here's the description from my ruby-aws log:

Dispatching call to GetHIT (try 1)
Validating response: \{:HIT=>{:NumberOfAssignmentsPending=>1, :HITStatus=>""Unassignable"", :Description=>""Please read the requirements and find an unregistered dot-com domain 
name"", :CreationTime=>Mon Feb 15 18:05:09 UTC 2010, :HITId=>""BH2ZHCZGJRAYV5RTCJFZ"", :NumberOfAssignmentsCompleted=>7, :HITReviewStatus=>""NotReviewed"", :Keywords=>""category, 
website"", :Expiration=>Tue Feb 16 18:05:09 UTC 2010, :MaxAssignments=>100, :HITTypeId=>""YK8Z57YJ127ZXD09JWQZ"", :NumberOfAssignmentsAvailable=>23, :RequesterAnnotation=>""http
://ring3software.com/whois/hit.php?order=51"", :NumberOfSimilarHITs=>0, :AssignmentDurationInSeconds=>3600, :AutoApprovalDelayInSeconds=>172800, :Reward=>{:FormattedPrice=>""$
0.01"", :Amount=>0.01, :CurrencyCode=>""USD""}, :Question=>""<?xml version=\""1.0\""?>\n<ExternalQuestion xmlns=\""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/
2006-07-14/ExternalQuestion.xsd\"">\n  <ExternalURL>http://ring3software.com/whois/hit.php?order=51</ExternalURL>\n    <FrameHeight>450</FrameHeight>\n</ExternalQuestion>\n\n
"", :Title=>""Think of a unique domain name - $10.00 bonus paid to best name"", :Request=>{:IsValid=>""True""}}, :OperationRequest=>{:RequestId=>""cad316b1-1cb0-4dc6-8774-8bc3b59f
003d""}}

You can see the HIT expires Tue Feb 16 18:05:09 UTC 2010, and the assignment duration is one hour. Even if a user started the HIT a second before expiration, they should be timed out after an hour.   The current time is Tue 16 Feb 2010 23:10:39 UTC, which is about four hours beyond when the HIT expired.

How can NumberOfAssignmentsPending still be 1 this long after the HIT expired?"
AWS Training & Certification	"Re: HIT status bug?
Hi I have exactly same issue.

 I'm a developer and I'm using the aws-sdk version ^2.396.0 to create Custom HITs.

On the sandbox(worker and requester) everything is working as  expected. The HIT published directly and it becomes assignable. on the other hand on live server. The created HITs status became unassailable directly and number of assignments pending is 1. Why this happened this is what I don't expect. I target your service so that it's the fastest in word. Please explain why this happen on Live only. 

If you need more information please let me know."
AWS Training & Certification	"Our HITs not showing in Mechanical Turk
Over the past few days we have experienced problems with HITs not showing in Mechanical Turk, but when we look at GetHIT, it looks fine and Assignable.

It seems after some time, the HITs finally show up, but it is not acceptable that we have no programmatic feedback that a HIT or group is not available for workers for any length of time.

It also doesn't seem that this is an issue with all our HITs or all the time.

Is there a known bug or issue?  How do we resolve this and prevent it from happening again?"
AWS Training & Certification	"Re: Our HITs not showing in Mechanical Turk
I just started to see the same issue.  I get a HIT Id back (13ZG8TZG7IDP2DTRRXFY1IT1UUIPC9 is one example) but the HITs are not showing up.  Is there a queueing issue?"
AWS Training & Certification	"Re: Our HITs not showing in Mechanical Turk
Here is a current example,  of a HIT that looks good to us but is not viewable in MTurk.  If any MTurk tech people want to take a look that would be very welcomed...

HIT ID: 1O8EY0POX6KHH082L2IDX4ICEHSILS
HIT TYPE ID:  14FHQZ0UQH6F0DXTSK6O3YIT1X0BOG

A dump of the GetHIT response shows HITStatus = Assignable.

Manually going to the HIT group URL https://www.mturk.com/mturk/preview?groupId=14FHQZ0UQH6F0DXTSK6O3YIT1X0BOG shows:

""Your request was not completed successfully.
Please try it again. If you continue to receive this message, please try your request again later.""

This is not acceptable as we need fast turnaround on HITs like these and we don't even know that they are ""failing"" until a human takes the time to look for it.

Any ideas what is wrong with this HIT?  Any way to detect and/or avoid this issue?  it doesn't seem to be happening with all HITs."
AWS Training & Certification	"Re: Our HITs not showing in Mechanical Turk
Here is another one:

HIT ID: 1XNT8NX23CU9YMV6YX8X61JO0VQLPA
HIT Type ID:  1T2K2T9L4BLVTCG8QVFYLNIW1RA5NV

https://www.mturk.com/mturk/preview?groupId=1T2K2T9L4BLVTCG8QVFYLNIW1RA5NV"
AWS Training & Certification	"Re: Our HITs not showing in Mechanical Turk
I think I see what is happening.  If I use an old HITTypeId, the HITs go up fine.  However, if I use the exact same job (except different a HITTypeId that is new) the job does not appear.  For example

This works:
1PB9X2R3L92KKGIV8PK899GUM4ROYE

This doesn't:
1KQU8WYALEK30DRIWYVYBRSX9Z00TI"
