label	description
Alexa Web Information Service	"Increasing API Throttling Limit
Is there any way to increase the throttling limit for the AWIS API?"
Alexa Web Information Service	"Upgrading to v4 - Totally Lost
I've been using alexa web info service on my website for some 12 years now. Which is to say, I initially set up the service 12 years ago  

Today I got the mail that v2 is being shut down and I have to move to v4 apis. Super.

There was a link to some sample code in that email. But it appears that the sample PHP code linked-to is still v2 code? 

Also when I log in to the web services console, I can't even find Alexa Web Info Service in the list of services. The whole amazon web services system is so confusing and disorganized. I know I still use AWIS. My lookup tool still works and it shows up in my billing info. But that's all I can see. 

Is it hiding in plain sight? I cant find any info on what i actually need to do to upgrade my API calls here. There's also a link to alexa.com but I'm unable to log in to that site. 

And of course I can't reply to this amazon email to ask ""WTF?"""
Alexa Web Information Service	"Re: Upgrading to v4 - Totally Lost
Hi,

  I apologize for the inconvenience, however we've been sending notifications about V4 migration since late 2017.

You can find the V4 sample code here:
https://aws.amazon.com/awis/getting-started/#awis_sample_code

If you need further assistance that would require troubleshooting your code changes or other information that is not appropriate to publish in this open forum, please open a support ticket at https://alexa.zendesk.com/hc/en-us/requests/new if you have specific questions regarding your account.

Note that before you can submit a request you will need an alexa.com account. If you don't have one, you can register here http://www.alexa.com/register

Regards,
Francisco"
Alexa Web Information Service	"Re: Upgrading to v4 - Totally Lost
The sample code you just sent me appears to be v2 code, not v4 code (for PHP). Can you confirm this? 

Also are you saying i need to sign up for an account on alexa.com even though I'm already up and running on an existing amazon account?"
Alexa Web Information Service	"Re: Upgrading to v4 - Totally Lost
Hi John,

I checked the sample code, and it's SigV4. However I found out there is an un-used variable ($SigVersion = '2' which is confusing and I'll remove it. But it can't be safely ignored.

Regarding the need to open an account on alexa.com, it is only if you need to create a support ticket should you need specific assistance with your code. We understand the migration can be troublesome for some customers and we can help to ease that migration if needed.

Regards,
Francisco"
Alexa Web Information Service	"Re: Upgrading to v4 - Totally Lost
You know what would be really helpful? A procedural-style PHP sample script, in addition to the object-oriented-style PHP sample script. For those of us that don't really write OOP code. It's not easy trying to make heads or tails of that example script"
Alexa Web Information Service	"Re: Upgrading to v4 - Totally Lost
New question. The same code uses the following two values:

$ServiceEndpoint = ""awis.us-west-1.amazonaws.com""
$ServiceRegion = ""us-west-1""

I assume I'm probably supposed to change those to ""my"" server, but how do I know what values to use there?"
Alexa Web Information Service	"Re: Upgrading to v4 - Totally Lost
For anyone that is interested, I made a much simper, procedural, non-OOP PHP function for making these APIv4 calls:

http://www.whatsmyip.org/lib/amazon-aws-apiv4/"
Alexa Web Information Service	"Re: Upgrading to v4 - Totally Lost
Does anyone have a very basic (c# ideally - or Python) example of V4 running in a lambda? The AWS C# libraries don't have helper functions that I could find. I was able to setup IAM and write a python script that successfully brings back traffic results from AWIS. However, I want to create a lambda to call the traffic requests instead and take advantage of the lambda concurrency ability.

Also - I checked GitHub and StackOverflow already

Edited by: BD357 on Feb 8, 2019 10:36 AM

Edited by: BD357 on Feb 8, 2019 10:36 AM"
Alexa Web Information Service	"Re: Upgrading to v4 - Totally Lost
Ok - I found enough of an example in the v4 signature in c# here: https://forums.aws.amazon.com/thread.jspa?messageID=821345󈡡

This code worked for me and I added my business logic around it to call AWIS successfully."
Alexa Web Information Service	"Re: Upgrading to v4 - Totally Lost
The link doesn't work. Could you please update the link or write the code you used.
many thanks"
Alexa Web Information Service	"Re: Upgrading to v4 - Totally Lost
I cannot edit it now - but just remove the last spurious character from the link"
Alexa Web Information Service	"Re: Upgrading to v4 - Totally Lost
Thank you, that's great. Can you please send a sample code how you're calling this class. I think I am making a mistake but couldn't figure out.
Many thanks"
Alexa Web Information Service	"I want make a site like this
I want a site like this www.alexarankcheck.com but his site down now.

I want  check  

yesterday rank 
7-day avg rank
1 month avg rank
3 month avg rank

Any guys help ?"
Alexa Web Information Service	"Re: I want make a site like this
Hi Tonybro,

You can access that data using the UrlInfo Response group in our AWIS API. More info is available in the technical documentation here: https://docs.aws.amazon.com/AlexaWebInfoService/latest/ApiReference_UrlInfoAction.html. You can also learn more about the API in general (pricing, getting started) here: https://aws.amazon.com/awis/.

Note that when using the data you must adhere to the AWS customer agreement and service terms here: 
http://aws.amazon.com/agreement/ 
http://aws.amazon.com/serviceterms/ (Please see section 5)

Cheers,
Debbie
Alexa"
Alexa Web Information Service	"Sign v4 error The request signature we calculated does not match the signat
Hi,

I'm struggling with signing v4 with C#.

I'm getting following error. Anyone has an idea?

    <aws:UrlInfoResult>
      <aws:Alexa>
        <aws:Request>
          <aws:Errors>
            <aws:Error>
              <aws:ErrorCode><![CDATA[""The request signature we calculated does not match the signature you provided. Check your AWS Secret Access Key and signing method. Consult the service documentation for details.

The Canonical String for this request should have been
'GET
/api
Action=UrlInfo&ResponseGroup=RelatedLinks%2CCategories%2CRank%2CRankByCountry%2CRankByCity%2CUsageStats%2CContactInfo%2CLinksInCount%2CAdultContent%2CSpeed%2CLanguage%2CKeywords%2COwnedDomains%2CLinksInCount%2CSiteData&Url=www.siteprice.org
host:awis.us-west-1.amazonaws.com
x-amz-date:20190220T233609Z

host;x-amz-date
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'

The String-to-Sign should have been
'AWS4-HMAC-SHA256
20190220T233609Z
20190220/us-west-1/awis/aws4_request
9f3983e5b073197efaaebc49c1fb9b57f9105bab2a3fc76f5c5ba99d4055ecba'
""]]></aws:ErrorCode>
            </aws:Error>
          </aws:Errors>
        </aws:Request>
      </aws:Alexa>
    </aws:UrlInfoResult>"
Alexa Web Information Service	"Re: Sign v4 error The request signature we calculated does not match the signat
This is my code by the way.

   public class AmazonAWISNew
    {
        private static readonly string DATEFORMAT_AWS = ""yyyyMMdd\'T\'HHmmss\'Z\'"";
        private static readonly string DATEFORMAT_CREDENTIAL = ""yyyyMMdd"";
        public string amzDate;
        public string dateStamp;

        public string AWSAccessKeyId { get; set; }
        public string AWSSecret { get; set; }

        public AmazonAWISNew()
        {
            AWSAccessKeyId = ""XXX"";
            AWSSecret = ""ZZZ"";
            amzDate = DateTime.Now.ToUniversalTime().ToString(DATEFORMAT_AWS, CultureInfo.InvariantCulture);
            dateStamp = DateTime.Now.ToUniversalTime().ToString(DATEFORMAT_CREDENTIAL, CultureInfo.InvariantCulture);
        }

        public static bytehttps://forums.aws.amazon.com/ key)
        {
            var algorithm = ""HmacSHA256"";
            var kha = KeyedHashAlgorithm.Create(algorithm);
            kha.Key = key;

            return kha.ComputeHash(Encoding.UTF8.GetBytes(data));
        }

        public static byte[] GetSignatureKey(string key, string dateStamp, string regionName, string serviceName)
        {
            var kSecret = Encoding.UTF8.GetBytes((""AWS4"" + key).ToCharArray());
            var kDate = HmacSHA256(dateStamp, kSecret);
            var kRegion = HmacSHA256(regionName, kDate);
            var kService = HmacSHA256(serviceName, kRegion);
            var kSigning = HmacSHA256(""aws4_request"", kService);

            return kSigning;
        }

        public static string MakeRequest(string requestUrl, string authorization, string amzDate)
        {
            var request = (HttpWebRequest)WebRequest.Create(requestUrl);
            request.Method = ""GET"";
            request.Accept = ""application/xml"";
            request.ContentType = ""application/json"";
            request.Headers.Add(""X-Amz-Date"", amzDate);
            request.Headers.Add(""Authorization"", authorization);

            using (var response = (HttpWebResponse)request.GetResponse())
            {
                using (var dataStream = response.GetResponseStream())
                {
                    using (var reader = new StreamReader(dataStream))
                    {
                        return reader.ReadToEnd();
                    }
                }
            }
        }

        public string UrlInfo(string domain)
        {
            // calculate the signature
            var sig2 = GetSignatureKey(AWSSecret, dateStamp, ""us-west-1"", ""awis"");
            var signature = Convert.ToBase64String(sig2);

            string url = ""https://awis.amazonaws.com/api?Action=UrlInfo&ResponseGroup=RelatedLinks%2CCategories%2CRank%2CRankByCountry%2CRankByCity%2CUsageStats%2CContactInfo%2CLinksInCount%2CAdultContent%2CSpeed%2CLanguage%2CKeywords%2COwnedDomains%2CLinksInCount%2CSiteData&Url="" + domain;

            string auth = ""AWS4-HMAC-SHA256 Credential="" + AWSAccessKeyId + ""/"" + dateStamp + ""/us-west-1/awis/aws4_request, SignedHeaders=host;x-amz-date, Signature="" + signature;
            return MakeRequest(url.ToString(), auth, amzDate);

        }

    }"
Alexa Web Information Service	"Call to get UrlInfo always returns a 204
Hi, I am trying to get a simple call to UrlInfo working, so far without success. Here is my call:

http://awis.amazonaws.com?AWSAccessKeyId=XXXX&Action=UrlInfo&ResponseGroup=Rank%2CRankByCountry&SignatureMethod=HmacSHA256&SignatureVersion=2&Timestamp=2019-02-15T10%3A31%3A09.262Z&Url=bbc.co.uk&Signature=XXXX

I am using the Amazon Awis class mentioned in the last answer here: https://forums.aws.amazon.com/thread.jspa?messageID=466227

My requests always return a 204 code with (obviously) no body - where am i going wrong please?"
