label	description
Alexa for Business	"Terms of Use & Privacy Policy
Hi, Could you point me to the ""Terms of Use"" and ""Privacy Policy"" documents of Alexa for Business. Thanks."
Alexa for Business	"Re: Terms of Use & Privacy Policy
Thanks for your interest in Alexa for Business.

The Alexa for Business service terms are included in the AWS service terms 
https://aws.amazon.com/service-terms 

We also have a whitepaper available that provides an overview of Alexa system, security features of Echo hardware, and data use within the Alexa cloud. 
https://d1.awsstatic.com/product-marketing/A4B/White%20Paper%20-%20Alexa%20Privacy%20and%20Data%20Handling%20Overview.pdf"
Alexa for Business	"Resolve Room API
I am not sure which set of credentials I should be sending over when making a call to the Resolve Room service. The response I receive with every set of credentials I have tried is ""Exception: ValidationException: Skill ID is invalid, not registered or is owned by a different account""; should the access key and secret key be credentials associated with the AWS/Alexa for Business account where the skill is deployed or should it be associated with the developer account who created the app.  If I am to use the developer account credentials, how does one associate an AWS access key and secret key with a developer login?"
Alexa for Business	"Re: Resolve Room API
Access to resolveRoom API is a bit special. You must use the AWS credentials from the account where you run your Lambda function, but there is an additional authorization that is put in place when you import the skill as private skill to your AWS account.

When you import a skill as private skill, we will look at the AWS account id where you run the Lambda function and automatically put in authorization in place for the resolveRoom API.

1. Are you using an Lambda endpoint for your skill?

2. Did you make this skill already a private skill and published it to your AWS account?"
Alexa for Business	"Re: Resolve Room API
Hi Milo,

I am not using a Lambda endpoint.  Is an absolute requirement?

My skill is private and published to an AWS account as a private skill, I can use AWS Alexa for Business and see the skill.  The skill works as expected via a shared device as expected (w/o ResolveRoom), so I believe I have the skill/Alexa For Business set up correctly.

James"
Alexa for Business	"Re: Resolve Room API
No, Lambda is not an absolute requirement. We only need to manually your AWS account id and skill id to call this API.

Can you send me a private message with this info?"
Alexa for Business	"Re: Resolve Room API
I have similar problems and have a couple of questions:

Does what you wrote mean that this manual process is required every time a new Alexa For Business AWS account wants to use the skill with a Resolve Room call?
What about when I want the skill to be public and still use Resolve Room is that possible?

Can you help me too with enabling Resolve Room for my skill?"
Alexa for Business	"Re: Resolve Room API
No, it is a one time action to whitelist a skill and the AWS account id from where the skill is calling the API. Once the whitelist is in place, you can use the skill in as many Alexa for Business setup as you like.

You can also use it for skills that will be published in the public Alexa skills store.

Please send me a private message with skill id and AWS account id and I will get you whitelisted.
We will update documentation to make this process more transparent for customers not using Lambda in their skill.

Thanks,

Milo"
Alexa for Business	"Re: Resolve Room API
Hi Milo,

I sent you a PM to whitelist my skill, can you take a look?

Thanks"
Alexa for Business	"Echo Dot showing Offline with Alexa for Business
i have bought Alexa echo dot 3rd generation. I linked with personal amazon account, and used for some days then unlinked with that, now i need to connect with Alexa for business. I had connected with Alexa for business account,it is showing device is offline.What could be the reason? has anyone knows plz let me know!

Edited by: madan535 on Nov 9, 2018 5:25 AM"
Alexa for Business	"Re: Echo Dot showing Offline with Alexa for Business
Are you connecting device in a country outside the US?

If this is the case, the device could automatically to a different Alexa Service endpoint. As Alexa for Business is only deployed in the US, the service can't monitor and manage devices connected to Alexa Service endpoints."
Alexa for Business	"Re: Echo Dot showing Offline with Alexa for Business
So can't we develop skill from outside US? If we can develop can you please assist on how to proceed with Alexa for Business skill development.

Thanks"
Alexa for Business	"Re: Echo Dot showing Offline with Alexa for Business
Please send me a private message and I can follow-up."
Alexa for Business	"Re: Echo Dot showing Offline with Alexa for Business
we have the same problem, trying to setup a meeting room in Bangalore ( india) office. Console linking goes fine with service account and email id with device. Device continues to be offline and is not able to sync up. Can we not use this facility outside USA ?"
Alexa for Business	"Re: Echo Dot showing Offline with Alexa for Business
Hi Milo, 

We're in the United Kingdom (small little island in what is currently ""Europe"")  and looking at using Echo devices to integrate with a third party room management skill called ""Teem"". However I'm concerned about the lack of support for Echo devices outside the US, which I believe is even further restricted to certain states in the US?

Our test device hasn't been used for a while and is now in the offline state, and we therefore can't update it etc. Is this likely to happen quite a lot? If so then these devices aren't FFP for us.

I'm really surprised. - Well, honestly only half surprised, about the lack of support outside the US. Will this ever change, or are these devices just going to kept as a consumer device outside the US?

I'd appreciate an idea of what we can and can't expect by using these devices in the UK. Currently our project is on hold, pending the outcome to these concerns.

i really can't use these devices if I can't put a half decent SLA around them.

Many thanks, 

John"
Alexa for Business	"Our Organization wants to implement Alexa for Business In India
Hi,

In Our Organization, we want to implement Alexa for Business in our conference rooms.

I have got to seen in A4B faqs is A4B is currently available in US only.

Is there any workaround to implement A4B in India?

Our organization has around 300 conference rooms and additional 300 rooms will be added in future coming 1-2 years.

for now we need around 300 shared devices to be placed at 300 conference rooms. Please do take this request as highest priority and revert me if you have any workaround.

If you Can provide service for us in India location it will be great. 

Thanks,
AmPasham"
Alexa for Business	"Re: Our Organization wants to implement Alexa for Business In India
AmPasham@ - sending you a private message to discuss."
Alexa for Business	"Re: Our Organization wants to implement Alexa for Business In India
my team also wanted to deploy in Bangalore ( India ) office.. had posted here earlier unfortunately cannot see my comment. can we get any help..."
Alexa for Business	"Shared Device connected to VOIP
Hi,

I'm working on a project to enable hands-free communication at our work place, both out of practicality as well as the need to have operators not touch shared electronics (clean room environment).  I was wondering if the shared devices can be paired with VOIPs to allow hands-free answering of the phone for the room the Alexa device is in like you can with an Echo Connect for your personal account.

Since Echo to Echo calling is not enabled for A4B I'm hoping that it will be possible to connect them to VOIPs, otherwise I may have to pursue different options."
Alexa for Business	"Alexa for business API on Amazon echo shared device
Hi,

Could we call Alexa for business APIs on shared Amazon echo devices (and not just third-party AVS devices)? If so, how does the authentication work?

Any pointers are appreciated.

thanks,
Rajeev"
Alexa for Business	"Re: Alexa for business API on Amazon echo shared device
Thanks for your interest in Alexa for Business.

What Alexa for Business APIs are you specifically referring to?
The Alexa for Business APIs (https://docs.aws.amazon.com/a4b/latest/APIReference/Welcome.html) available in the AWS SDK/CLI use standard AWS security credentials. 

Most of these APIs are independent of the device type.

-Milo"
Alexa for Business	"Alexa on prem with Amazon Outpost
Is it possible to run the Alexa cloud service entirely on prem using the new Amazon outposts?  For example, is the following workflow possible: 

1) User says an Alexa command 
2) Voice audio goes to the Amazon Outpost on-site 
3) Alexa software and associated services running on the outpost determines the intent and action
4) The desired action gets sent back to the Alexa-enabled device.

I'm interested in a solution where we can guarantee that voice audio never goes into the cloud."
Alexa for Business	"Re: Alexa on prem with Amazon Outpost
bump"
Alexa for Business	"Re: Alexa on prem with Amazon Outpost
+1"
