label	description
Amazon AppStream 2.0	"No emails coming from Appstream
Everything was working great until today, noone is able to receive emails from Appstream, several users on different domains. I checked my account by resending the email about stack assignment, which was working before, but now I also dont get the emails. 
Im not sure how to troubleshoot an Amazon service that worked until recently, seems like the emailing is all done under the hood. Any suggestions other than opening a Support case (did that and am waiting)? TIA...

Edited by: chrisg-florida on Feb 25, 2019 11:41 AM"
Amazon AppStream 2.0	"My Files Displays Wrong Times
For me,
When I go to My Files, the file times are wrong.
I think this got broken when Regional settings were implemented.
The used to be correct even though the files when view for Windows Explorer were showing non-localized dates.
So -- likes we may have fixed something that was broken and broke something that was working.
Alas, the perils of software development.
Assume this will be fixed pretty soon.
Paul"
Amazon AppStream 2.0	"File and Folder Names Upcased Sometimes
Wonder if anyone else has experienced upcasing of file and folder names.

My apps are MS Windows Explorer and MS Visio.

This is not happening all the time but may be consistent during a session.
Logging out and back in may fix the problem, but not always.
It appears to have improved with last release, but is still there.  May have been fixed for MS Windows Explorer.

For MS Windows Explorer, both folder and file names are upcased and I think, but am not positive, that all of them are or none of them are.

For MS Visio, symptom is that while the filename is mixed case it appears upcased in the Visio window shown in the filename at the top of the window.  I am running VB within Visio and I think the VB API returns upcased file and path names.  I'm pretty sure that if the filename appears correct, the API will also return correct file and path.

My workaround is to keep logging out/in until it works.  Pretty painful.

I can't yet provide an always fails scenario.

Anybody have any thoughts.

Thanks.

Paul"
Amazon AppStream 2.0	"7 Minute Fleet Outage When InUseCapacity goes to 0
I am using default settings is setting up fleet.
Running along fine with ActualCapacity and InUseCapacity = 1.
On logout of the one active session both ActualCapacity and InUseCapacity go to 0.
On logout shouldn't ActualCapacity stay at 1?
There is a 7 minute delay before ActualCapacity goes to 1 and I can login again.
Anyone else experiencing something similar and is there a fix.
Especially frustrating since this means after last user logs out no one can login for 7 minutes.
Thanks.
Paul"
Amazon AppStream 2.0	"Re: 7 Minute Fleet Outage When InUseCapacity goes to 0
Hi PaulV45 -

Each AppStream instance is dedicated to a single user. At the end of their streaming session, the streaming instance is terminated. If the scaling policies and fleet size stipulate it, a new streaming instance will then be provisioned. Depending on the size and contents of your image, it can take a few minutes to create the new instance and make it available.

In your case, since your fleet size is set to 1 instance, ActualCapacity will go to 0 as there are no remaining usable instances available. After a few minutes (7 minutes for your image), a new instance is made available.

You can mitigate this gap by using a scale-out policy such that when capacity utilization is >= 100%, a new instance is created. Please keep in mind you are charged for running instances. If you use an on demand fleet, the unused instances are charged at a lower stopped instance rate until it is powered on for a user to stream from.

Hope this helps.

Murali"
Amazon AppStream 2.0	"Re: 7 Minute Fleet Outage When InUseCapacity goes to 0
Hi Murali,

Thanks for explanation.  While I'm not quite sure I got it all, I submit there is case that in fact is not handled properly.  Here's are two scenarios.

Normal:

Start point -- running along with ActualCapacity=1, InUseCapacity=0.
User logs in in -- ActualCapacity=1, InUseCapacity=1.
Scaling kicks in -- ActualCapacity=3, InUseCapacity=1.
User logs out -- Actual Capacity=3, InUseCapacity=0.
After a while scaling takes to ActualCapacity=1
Now back at start point -- ActualCapacity=1, InUseCapacity=0.

Life is wonderful!

Problem: 

Start point -- running along with ActualCapacity=1, InUseCapacity=0.
User logs in in -- ActualCapacity=1, InUseCapacity=1.
User logs out before scaling kicks in.





Should take to ActualCapacity=1, InUseCapacity=0. (i.e. back to start point)
Actually takes to ActualCapacity=0, InUseCapacity=0 and 7 minute delay before anyone can login.







The end result is a pretty ugly UX particularly when a demo situation

Attached is a screenshot which while your explanation may cover,  I'm hoping the team finds difficult to call ""works as desired.""

Thanks for looking at this with me.

Paul"
Amazon AppStream 2.0	"Safari / Webkit support
Hi,

Are the plans for Safari/Webkit support? As Safari is widely used on macOS and supports HTML5 pretty well, I was a bit surprised it didn't work when I tested it.
We want to use AppStream 2.0 through a custom app in macOS using the built in webkit engine, so just using Chrome or Firefox isn't that trivial.

Regards,
Jarle"
Amazon AppStream 2.0	"Re: Safari / Webkit support
Hi Jarle - Safari support for AppStream 2.0 is on our roadmap. I will update you on this thread once the feature is available.

Thanks,
Sahil"
Amazon AppStream 2.0	"Re: Safari / Webkit support
Hi Sahil,

Is there any update on support for Safari browsers on Apple devices? I too was surprised that Safari was not supported. We have been following the updates to AppStream 2 and experimenting with it since we discovered it at the end of last year and are very impressed so far. However, we have a huge number of Mac users around the world. It would be great not to have to inform them they need to download Chrome or Firefox.

Also, I was hoping there was a way to access the service on tablets and was informed about the Amazon AppStream Basic Client by an Amazon employee. However, this appears to be only applicable for AppStream 1 (I notice it was last updated in 2015, so before AppStream 2) and does not work when I have tried it on an iPad and iPhone. It just says 'connecting' against a black screen. Is there another option?

Thanks,

Alex"
Amazon AppStream 2.0	"Re: Safari / Webkit support
From: 
https://aws.amazon.com/appstream2/
""Amazon AppStream 2.0 is a fully managed, secure application streaming service that allows you to stream desktop applications from AWS to any device running a web browser, without rewriting them.""

any device running a web browser

Please advise any browser that runs on iOS on an iPad that is supported by AppStream 2.0

Thanks, Virginia"
