label	description
Amazon CloudSearch	"Coutrywise Breakup
Does the data, showcase country or statewise breakup ?"
Amazon CloudSearch	"How ""intelligent"" is Amazon search
Hi,

I am wondering if I have a document in Amazon Search and its all about a ""Javascript programmer"" and someone enters in ""JS Developer"". 

Is amazon search intelligent enough to return matches based on that search? 

The actual document itself may never have ""JS"" or ""Developer"" in the content but its clear that ""Javascript Programmer"" is a valid result for a ""JS Developer"" search."
Amazon CloudSearch	"searching for an exact string not returning exact results
We are doing a simple exact string search for a particular code in our CloudSearch records.  This seems to generally work.

But in the event where we are searching for a particular result, i.e.:

 (term field=stdcode 'CC.1.2.8.A')

We are getting results where stdcode is CC.1.2.8.A but also CC.1.2.8.B, CC.1.2.8.C, etc.  The search seems to be ignoring the last (.A) part of the string.  The results in ""run a test search"" even only boldface the CC.1.2.8.

Further evidence that this appears to be a bug:  searching for CC.1.2.8.B works, CC.1.2.8.C works, etc.  ONLY fails for A.  The "".A"" seems to be ignored when the other letters are not.

Any ideas?

Just to clarify:

searching for CC.1.2.8.A returns anything with CC.1.2.8 (incorrect)
searching for CC.1.2.8.B only returns CC.1.2.8.B (correct)
searching for CC.1.2.8.C only returns CC.1.2.8.C (correct)
searching for CC.1.2.8.D only returns CC.1.2.8.D (correct)
etc."
Amazon CloudSearch	"Cloudsearch Expression - Radius based search
I have used haversin method in cloudsearch expression to sort results based on distance
http://search-coursera-courses-ttta3hjjy7jepitjpzvrt64ug4asdsadaswcax.us-west-2.cloudsearch.amazonaws.com/2013-01-01/search?q=English&expr.distance=haversin(50.05830,-84.40570,location.latitude,location.longitude)&sort=distance%20asc&return=distance

How to limit the number of results to a maximum distance (radius)?

1. Searching is supported only within rectangular area and based on distance. Radius/Circle based search is not supported.
https://docs.aws.amazon.com/cloudsearch/latest/developerguide/searching-locations.html
2. Filter query can be run only on indexed fields and not on expressions.

What is the way to search based on a point and radius in one shot?"
Amazon CloudSearch	"CloudFormation
Is there any plans for a CloudFormation integration to cloudsearch ?"
Amazon CloudSearch	"Re: CloudFormation
+1"
Amazon CloudSearch	"Re: CloudFormation
same issue here, I cant find any resources on creating cloudsearch resources from cloudformation templates.
any help available on this ?  or is it that we can only create these resources using SDK and CLI ?
Any help Appreciated 
Thanks in Advance."
Amazon CloudSearch	"Unable to change the Desired Instance Type..  Never changes after indexing
Hi there,

I'm not sure if anyone has experienced any issues with changing the ""Desired Instance Type"" in us-east-1.  We've got a little over 3 million documents and when changing it from ""Default"" to ""search.m3.medium"" and Indexing it........it never changes it to the ""search.m3.medium"" and always reports 1 instance of search.m1.small.

I've tried multiple ways of initiating the reindexing from the Console and the CLI as well.  Whenever it finishes...it's the same result.  I don't have an issue doing this with a dev cluster in us-west-2.

Can someone offer any suggestions or someone from AWS be able to look into it?

Thanks!"
Amazon CloudSearch	"Re: Unable to change the Desired Instance Type..  Never changes after indexing
The usual reason for that is that the domain won't fit on a m3.medium. 

While an m3 has more compute power and RAM, it has an small SSD, while the m1.small has an HDD with more capacity."
Amazon CloudSearch	"Re: Unable to change the Desired Instance Type..  Never changes after indexing
Hi Tom,

Thanks for the quick response.  We weren't able to locate any product pages/documentation that explains any of this.  Do you happen to have the link for it so we have it for future reference?  I found something that covers the previous generation m1/m2 instance types.

As well, are there any areas where we might get notified if there's not enough space by chance?

Thanks again!"
Amazon CloudSearch	"Sporadic 504 errors during batch uploads
I have 5 m3.medium instances configured for my domain, which works just fine normally. Once a day I upload lots of documents: 5-5MB files in parallel. Of almost 100 uploads, 12 of them failed with a 504 error. From reading the AWS docs and FAQs, it seems like increasing the instance type to m3.large may help.

Would it work to increase the instance type to m3.large without rebuilding the index, run my uploads, and then decrease the instance type back down to m3.medium?

Rebuilding the index takes a couple of hours, so it's not like I can just quickly flip it to large and back just while I upload, unless the rebuild isn't necessary.

Thanks!"
Amazon CloudSearch	"SERVERLESS  LAB4   ISSUE  ---  WRITING  TO  S3  BUCKET
In  the  SERVERLESS  lab-4  process,  the  CLOUD-WATCH indicates  the  activity  completed,
see  below  the  entries  from  the  CLOUD-WATCH  service produced  from  the  CUSTOM AUTHORIZER, but   the  task  of  writing  to  the  bucket  is  not  working.

The IAM  USER  is  defined  for  the  use  of  the  bucket, coping the  name of  the  bucket
into  the JSON  part  of  the  definition brought  down  from  IAM  USER,    and  the  bucket
name  is  defined  in  the  LAMBDA  ENVIRONMENT VARIABLES area.

How  could  i  track activity  after  the  API  task from  the  CUSTOM  AUTHORIZER,  to  see
why  the  S3  bucket  isnt  being  written  to  for  the  purpose  of  trouble-shooting

just  realized  that  attachments  cannot  be  inserted  into   the  post,  therefore not attached

E-MAILS  to  A CLOUD  GURU  showing  CLOUD-WATCH  activity  that  i  referenced  above

Edited by: dapdnp on Aug 1, 2018 10:50 AM"
Amazon CloudSearch	"Re: SERVERLESS  LAB4   ISSUE  ---  WRITING  TO  S3  BUCKET
i  was  able  to make  it  work, the lab-4,  by making the upload-policy  item  a  separate   API  from  the  user-profile item, which  were  together originally
in the same API,  which  i  guess  made the entire
process  confuse.
thanks to  everyone"
Amazon CloudSearch	"Re: SERVERLESS  LAB4   ISSUE  ---  WRITING  TO  S3  BUCKET
resolved"
Amazon CloudSearch	"Re: SERVERLESS  LAB4   ISSUE  ---  WRITING  TO  S3  BUCKET
resolved"
Amazon CloudSearch	"Multiple Matches on the same field on different indexes - AWS CloudSearch
Hi There,

I'm unable to write a structured query for the following scenario with cloudsearch
Following is the data and requirement. 

[
 {
    ""type"": ""add"",
    ""id"": ""asdfasdf1"",
    ""version"": 1,
    ""lang"": ""en"",
    ""fields"": {
      ""vendorname"": ""vendor1"",	
      ""bookname"": ""book1"",
	  ""price"": 20
    }
  },
 {
    ""type"": ""add"",
    ""id"": ""asdfasdf2"",
    ""version"": 1,
    ""lang"": ""en"",
    ""fields"": {
      ""vendorname"": ""vendor1"",	
      ""bookname"": ""book2"",
	  ""price"": 30
    }
  },
 {
    ""type"": ""add"",
    ""id"": ""asdfasdf3"",
    ""version"": 1,
    ""lang"": ""en"",
    ""fields"": {
      ""vendorname"": ""vendor2"",	
      ""bookname"": ""book1"",
	  ""price"": 18
    }
  },
 {
    ""type"": ""add"",
    ""id"": ""asdfasdf4"",
    ""version"": 1,
    ""lang"": ""en"",
    ""fields"": {
      ""vendorname"": ""vendor3"",	
      ""bookname"": ""book1"",
	  ""price"": 15
    }
  },
 {
    ""type"": ""add"",
    ""id"": ""asdfasdf5"",
    ""version"": 1,
    ""lang"": ""en"",
    ""fields"": {
      ""vendorname"": ""vendor3"",	
      ""bookname"": ""book2"",
	  ""price"": 25
    }
  },
 {
    ""type"": ""add"",
    ""id"": ""asdfasdf6"",
    ""version"": 1,
    ""lang"": ""en"",
    ""fields"": {
      ""vendorname"": ""vendor3"",	
      ""bookname"": ""book3"",
	  ""price"": 10
    }
  },
]

vendorname and bookname are Type text indexes.

Brief:
Vendor1 is selling book1 & book2
Vendor2 is selling book1
vendor3 is selling book1,book2 & book3

Query:
I need to get Vendor names and Price who are selling book1 and book2.

Expected result: Vendor1, Vendor3

I tried the following but didn't work.
1. (and (phrase field=bookname 'book1') (phrase field=bookname 'book2'))
2. (and (term field=bookname 'book1') (term field=bookname 'book2'))

Thanks for any support."
Amazon CloudSearch	"Cannot start cloudwatch in EC2
Hi,

I managed to setup cloudwatch agent on ubuntu before.
Now I want to setup it on other server. But I don'w know which setup is wrong.
What I did:
1. I have a IAM Role with correct policy, which I used for my first EC2 server
2. I install cloudwatch agent on new server
3. I create config.json with sudo /opt/aws/amazon-cloudwatch-agent/bin/amazon-cloudwatch-agent-config-wizard

4. This is my config.json
{
	""metrics"": {
		""append_dimensions"": {
			""AutoScalingGroupName"": ""${aws:AutoScalingGroupName}"",
			""ImageId"": ""${aws:ImageId}"",
			""InstanceId"": ""${aws:InstanceId}"",
			""InstanceType"": ""${aws:InstanceType}""
		},
		""metrics_collected"": {
			""mem"": {
				""measurement"": [
					""mem_used_percent""
				],
				""metrics_collection_interval"": 60
			},
			""swap"": {
				""measurement"": [
					""swap_used_percent""
				],
				""metrics_collection_interval"": 60
			}
		}
	}
}

But when I run sudo /opt/aws/amazon-cloudwatch-agent/bin/amazon-cloudwatch-agent-ctl -a fetch-config -m ec2 -c /opt/aws/amazon-cloudwatch-agent/bin/config.json -s
 
it returns error /opt/aws/amazon-cloudwatch-agent/bin/config-downloader --output-file /opt/aws/amazon-cloudwatch-agent/etc/amazon-cloudwatch-agent.json --download-source /opt/aws/amazon-cloudwatch-agent/bin/config.json --mode ec2 --config /opt/aws/amazon-cloudwatch-agent/etc/common-config.toml
downloadLocation /opt/aws/amazon-cloudwatch-agent/bin/config.json is malformated.


5. When I tried to start the agent with sudo /opt/aws/amazon-cloudwatch-agent/bin/amazon-cloudwatch-agent-ctl -m ec2 -a start
amazon-cloudwatch-agent start/running, process 29253

I got this error in amazon-cloudwatch-agent.log
2018-08-14T11:12:07Z I! Tags enabled: host=tkm-ncds.net
2018-08-14T11:12:07Z I! Agent Config: Interval:1m0s, Quiet:false, Hostname:""tkm-ncds.net"", Flush Interval:1s
2018-08-14T11:12:07Z E! ec2tagger: Unable to initialize EC2 Instance Tags : +AuthFailure: AWS was not able to validate the provided access credentials"
Amazon CloudSearch	"Integrating Cloud Search with my website
Hello,

I am trying to use CloudSearch to provide search results for content within my website.  I followed the steps to create a test domain using the predefined IMDB content, and it's working great from within the developer console.  

However, I am trying to use JavaScript to pull down search results and provide them to the user, and the browser is blocking the request because of its cross-domain nature.  

I'm sure there's a resource out there to help me integrate the search the way I want, but I haven't been able to find it.  Can someone point me in the right direction?

Thanks,"
Amazon CloudSearch	"Re: Integrating Cloud Search with my website
Hello,

As I read more of the CloudSearch documentation, I see that there is an API that I can use.  Can I make calls to it from PHP?  How do I use the API in conjunction with my website?

Thanks!"
Amazon CloudSearch	"Fuzzy search on text with special/language chars
Dear AWS-Team,

I discovered a strange behavior on our CloudSearch index resulting in a not consistant output.

Beside others we have the following two entries in the index (Fields are set to ""German"" language):

knieprothese
hüftprothese

Queries:

knieprothese => Result: knieprothese => OK
knieprotese~2 => Result: knieprothese => OK

hüftprothese => Result: hüftprothese => OK
hüftprotese~2 => No Result => NOK => Expected => Result: hüftprothese 
huftprotese~2 => Result: hüftprothese => OK, but errr why...?

Do you have an explanation for this behavior and maybe an idea to come around it? 

Thanks alot!

Finn"
Amazon CloudSearch	"Re: Fuzzy search on text with special/language chars
Hallo AWS-Team,

any idea to come around this problem?

Thanks,
Finn"
