label	description
Amazon DynamoDB	"DocumentDB - 2dsphere indexes
Are there any plans to include 2dsphere indexes in future DocumentDB updates? This is required for geospatial querying.

https://docs.aws.amazon.com/documentdb/latest/developerguide/mongo-apis-index.html#mongo-apis-indexes"
Amazon DynamoDB	"Re: DocumentDB - 2dsphere indexes
Thank you for the feedback. Please continue to check the AWS What's New page for future releases: https://aws.amazon.com/new/"
Amazon DynamoDB	"Bug in DynamoDb Update Item with Condition Check
I have ran into some weird behavior by dynamodb when I try to update an attribute and I include a conditional check for that same attribute.

I attempt to update an attribute value, from ACTIVE to PAUSED
SET attributeName = attributeValue

, with the condition that the attribute is not EXPIRED
attributeName (enter less/large then symbols here) :attributeCheckValue


The expected behavior is to update the value, with no exceptions thrown.

The actual behavior that the value IS successfully updated, BUT a condition exception is also thrown:
com.amazonaws.services.dynamodbv2.model.ConditionalCheckFailedException: The conditional request failed (Service: AmazonDynamoDBv2; Status Code: 400; Error Code: ConditionalCheckFailedException; Request ID: Q3R06LPMHOJ88OCCKO6IDHC9VNVV4KQNSO5AEMVJF66Q9ASUAAJG)

I have repeated this many times, and I keep getting the same behavior.

Perhaps AWS could look into this by referring to the above request id.

Edited by: JOHN TSIOKOS on Feb 26, 2019 1:54 AM

Edited by: JOHN TSIOKOS on Feb 26, 2019 1:55 AM

Edited by: JOHN TSIOKOS on Feb 26, 2019 1:56 AM"
Amazon DynamoDB	"Exporting Table to CSV without AWS Data Pipeline
My home AWS Region is eu-north-1 (Stockholm), and I have a DynamoDB table with the following statistics. As you can see, the average record size is only ~100 bytes.

Table name	BreakoutMoves
Primary partition key	OriginalState (String)
Primary sort key	Move (Number)
Read/write capacity mode	Provisioned
Provisioned read capacity units	30 (Auto Scaling Disabled)
Provisioned write capacity units	50 (Auto Scaling Disabled)
Storage size (in bytes)	1.74 GB
Item count	11,320,384
Region	EU North (Stockholm)

I would like to export table contents to S3 with the ultimate aim of training a SageMaker machine learning model with it. For this reason, CSV export format would be preferred, but JSON is also ok. I am planning to use XGBoost algorithm, so libsvm format is also an option.

With these data sizes, I believe creating a AWS Data Pipeline would be the recommended option. However, AWS Data Pipeline service is unavailable in my region, as is SageMaker. I plan to use eu-west-1 region for SageMaker service. At this stage, a one-time export is enough, I am not planning on setting up a regular data transfer schedule just yet.

Question: Given these item counts, data sizes and RCUs, what option do you recommend for getting the data out and preparing it for model training?"
Amazon DynamoDB	"Re: Exporting Table to CSV without AWS Data Pipeline
For those who may be interested, here are some statistics for the brute force approach.

With a single-threaded java program performing scan operation on the forementioned table, I was able to scan (load) 2521 items per second, which translates to data rate of 400 kB per second. Throttling is the main constraint here; the throughput was remarkably better for the first 30 seconds, when the throughput burst to ten times the steady-state rate.

The table was downloaded in an hour and a half. This performance was feasible for the one-time operation, but I am leaving the question unanswered, as this option may not be satisfactory in all situations."
Amazon DynamoDB	"Sporadic no response from dynamodb request
Hi dynamodb experts 

I have an infrequent issue:
Sometimes (one of thousands or more of requests) a dynamodb call (no matter which table or what kind of request, get, query, put, del, etc...) is not responding (in time).

I call dynamodb from my lambda functions and track it like this (I track the calls with iopipe):
  const ddb = new AWS.DynamoDB.DocumentClient({ region: settings.region });
 
  const params = {
    TableName: 'my-table-for-user-projects',
    Key: {
      projectId: projectId,
      userId: userId
    }
  };
 
  settings.track('database').start();
  ddb.get(params, (err, ret) => {
    settings.track('database').end();
    if (err) return callback(err);
    callback(null, ret.Item);
  });


in iopipe I see ""NO TRACE END DETECTED"" for my custom metric and also for the dynamodb call, i.e:

REQUEST HEADERS
Authorization
AWS4-HMAC-SHA256 Credential=ASIA************G3Y/20190222/eu-west-1/dynamodb/aws4_request, SignedHeaders=host;x-amz-content-sha256;x-amz-date;x-amz-security-token;x-amz-target, Signature=ca368c**************************************************bb6ac670
Content-Length
160
Content-Type
application/x-amz-json-1.0
Host
dynamodb.eu-west-1.amazonaws.com
User-Agent
aws-sdk-nodejs/2.406.0 linux/v8.10.0 exec-env/AWS_Lambda_nodejs8.10 callback
X-Amz-Content-Sha256
132956**************************************************220b3d9f
X-Amz-Date
20190222T145758Z
X-Amz-Target
DynamoDB_20120810.GetItem
x-amz-security-token
FQoGZXIvY*****************************************************xsfm9zKPPyv+MF
No Response Headers


Has there been any internal changes to dynamodb? Or any known network issues? Not resolving the correct dns name or similar?

Maybe other useful hints: Have these timeouts since 1-2 weeks and I switched the dynamodb plan to on-demand since last month. And also important: seems there are no big workload peaks when the timeouts are triggered (no special dynamodb capacity increase and no throttled request).

I hope anyone can help, because my customers starts to notice it. 

Have a nice day."
Amazon DynamoDB	"Re: Sporadic no response from dynamodb request
Hi adrai,

I am not sure if this is the case for your but we have encountered a similar problem recently. Basically, we were experiencing an unexpected delay (100ms to 300ms, depending on the memory allocated for the corresponding Lambda) for some dynamodb calls we made in our Python function and this was happening randomly. 

In our case since we had a bigger timeout value set in our Lambda, functions didn't timeout. However, we were using Thundra to monitor our Lambda function and it has an AWS SDK integration shows the individual dynamodb call's duration. We saw in the Thundra console that some random dynamodb calls experience an extra latency.

We eventually found out the reason was the connection timeout value that AWS SDK uses while making API calls. It was set to the 60s by default for Python AWS SDK. Basically, whenever there is a gap between two dynamodb calls greater than the 60s, AWS SDK creates a new connection and that was causing unexpected latency I have mentioned above. As long as the time between two dynamodb calls does not exceed the 60s, AWS SDK uses the same connection, so there is no extra latency for creating a new connection. Also, note that this is not something related to cold-start. Even if your Lambda is warm, once the connection that AWS SDK uses to make API calls is timed out; same latency is occurring again.

I don't know if this was the exact issue you faced with, but maybe that gives you a clue about one of the possible causes. Also, I suggest you have a look at Thundra (https://www.thundra.io). It helps a lot to deal with that kind of problems."
Amazon DynamoDB	"Re: Sporadic no response from dynamodb request
Thanks for your reply.
I see the same stuff you mentioned for thundra also in iopipe...
See screenshot here: https://twitter.com/adrirai/status/1099224045365669888
My setup with lambda + dynamodb is like for more than 2 years now... and the timeouts just appeared a couple of weeks ago... (but as said, really just very rare. Perhaps some dynamodb nodes react differently?)"
Amazon DynamoDB	"Increasing capacity unit settings takes long (>30min) times
Setting provisioned capacity, RCU:7000, WCU:4000 takes more than 30 minutes.
The table status keeps ""Updating""
Is it usual, intended behavior?"
Amazon DynamoDB	"Dynamo Db issue with migrating the existing table to global table
Hi,

Can anybody help me with an issue in regards to dynamodb recently launched global tables?

Use case:

I have an existing dynamodb table approx 8gb in size, i have want convert it into global table without any downtime to my application. Is it possible and how?

Thanks in advance!!"
