label	description
Amazon Elastic Compute Cloud (EC2)	"T3a availability, any ETA ?
I have to buy new 1year reserved small ec2 instances.
Should I wait for the t3a ? Will it be available in few weeks or few months ?

Thanks if you have an idea about that !"
Amazon Elastic Compute Cloud (EC2)	"Re: T3a availability, any ETA ?
Hi wilkaws,

Thanks for your interest in the T3a instances. We will offer them for customers in the near future. In the meantime, have you considered purchasing a convertible RI the existing T3 instance type? That would provide you with the cost savings of using an RI along with the flexibility to convert your RI over to T3a once it launches."
Amazon Elastic Compute Cloud (EC2)	"m5a instances unreliable and repeated failures
Hi,

We have 2 M5a.2xlarge instances along with 8 m5.2xlarge instances. All of the 10 servers have identical role and configurations. However, we are seeing 1) unexplained bursty spikes (Cpu > 60-70%) and 2) instance failures that require a stop/start (status check failing and instances unreachable for 15-20 minutes) with the m5a.2x instances.

Since the load, role and configurations are almost same across the m5.2x and the m5a.2x and the m5.2x instances are performing well, we have no reason to believe that the issue is with our code/architecture.

Is there any known technical issue that is causing the m5a to fail frequently? Has anyone else been facing issues with the m5a instances?"
Amazon Elastic Compute Cloud (EC2)	"Re: m5a instances unreliable and repeated failures
Hi prashantmehta,

There are no known technical issues with M5a that would be causing the failures you described. Can you provide more details about type of application you are running? How many times have you experienced the status check failures and unreachable issue? Does the stop/start remediate the issues you described?"
Amazon Elastic Compute Cloud (EC2)	"EC2 instance shows status check fail during couple out instances.
Hi, 

I have status check failures couple of times this week. 
id: i-b1c7d047

Initial troubleshoots: 
 - Checked the perfomance metrics of the instance, not more than 50 %. 
 - ELB access logs shows 504.
Digging more on the logs

Meanwhile,
I was wondering if there might be a reason, why I receive these failures? 
Is it common of this failure occurrence. Do other's have similar experiences? 

Thank you,"
Amazon Elastic Compute Cloud (EC2)	"Re: EC2 instance shows status check fail during couple out instances.
Hi there ,
It had happened due to system status check failure.
I would ask you to make use of Autoscaling group behind ELB so that these events can be handled automatically"
Amazon Elastic Compute Cloud (EC2)	"Re: EC2 instance shows status check fail during couple out instances.
SatyamSinha-AWS wrote:
Hi there ,
It had happened due to system status check failure.
I would ask you to make use of Autoscaling group behind ELB so that these events can be handled automatically

as in post https://forums.aws.amazon.com/thread.jspa?messageID=886201&#886201:
We have the same situation , and looking at the situation during the 504 errors they happens when the Target group contains one or more instances in draining state.
I think ALB needs some time to understand that an instance is not available. But this is not the right behaviour"
Amazon Elastic Compute Cloud (EC2)	"ssh - Operation timed out
I created a new instance but unable to ssh into it. It's consistently saying operation timed out
Instance id is i-b82520d7

Can someone please take a look."
Amazon Elastic Compute Cloud (EC2)	"Re: ssh - Operation timed out
You must have, but just suggesting, try restarting and reconnecting to the new public dns. (Based on my experience)."
Amazon Elastic Compute Cloud (EC2)	"Re: ssh - Operation timed out
I have already tried that number of times, but it doesn't work."
Amazon Elastic Compute Cloud (EC2)	"Re: ssh - Operation timed out
Hi,

Though you have stopped the instance, I can see the security group associated with the instance does not have a rule to allow inbound external traffic on port 22. Please modify your security group to see if this resolves your issue.

Regards,
Zach"
Amazon Elastic Compute Cloud (EC2)	"Re: ssh - Operation timed out
How should I modify the security group? I had just selected the default one.

Also I have started the server. Can you please take a look again"
Amazon Elastic Compute Cloud (EC2)	"Re: ssh - Operation timed out
Thanks. It's working now.
I added two security groups that were created during instance launch to my instance. That made it work."
Amazon Elastic Compute Cloud (EC2)	"Re: ssh - Operation timed out
FAIL FAIL FAIL

ssh: connect to host ec2-50-18-71-58.us-west-1.compute.amazonaws.com port 22: Operation timed out

I've tried everything under the sun. On Monday using Amazons Linux AMI and us east dc. I had no problems. But I need more feature AMI and switched to unbuntu AMI on us west dc. FAIL FAIL FAIL time after time. created installed 5 times and pem file. I'm not doing anything special, using default security. ssh keeps timing out on port 22.   

chmod 400 awsrevist (success) 

ssh -i awsrevist2.pem ubuntu@ec2-50-18-71-58.us-west-1.compute.amazonaws.com

Any ideas?"
Amazon Elastic Compute Cloud (EC2)	"Re: ssh - Operation timed out
clive boulton,

You are not publicly allowing SSH, the way you setup your security groups as they are now only allow other instances in your ""default"" security group access.

You need to specify the correct source address or 0.0.0.0/0 to be able to connect to this instance from anywhere."
Amazon Elastic Compute Cloud (EC2)	"Re: ssh - Operation timed out
Thanks Luke, 

I found the security, its blank, I still don't know what to set in the security... (I'll try 22)? 

Why on Monday using Amazons Linux AMI was default security all set. Today using Ubuntu AMI default security needs a custom setup. I'm a beginner is it always this different? 

THX"
Amazon Elastic Compute Cloud (EC2)	"Re: ssh - Operation timed out
Hi Luke

Could you help me fix the similar Operation timed out problem.
My instance ID is i-cdfd06c3 and 	i-cdfd06c3. I just running there two instance, but can't connect them with ssh. All of them return timed out problem. I opened the 22 port and checked my VPC but can't find the reason.

Thanks you!

Leo"
