label	description
Amazon Elasticsearch Service	"Pass query string parameters to Elasticsearch AWS VPC
Good day,

I'm having problems with passing query string parameters in the URI to Elasticsearch Service hosted in a VPC. 
I've got no problems when the URI contains API function (such as /_search) but when I include: 
/_search*?search_type=dfs_query_then_fetch*

I've got this kind of error.
Unsuccessful low level call on POST:******

Audit trail of this API call:

 - [1] PingFailure: Node: https:<domain>/<_index1>%2C<_index2>/<_document>/_search?search_type=dfs_query_then_fetch/ Exception: PipelineException Took: 00:00:00.3528982

OriginalException: Elasticsearch.Net.ElasticsearchClientException: One or more errors occurred. ---> System.AggregateException: One or more errors occurred. ---> Elasticsearch.Net.PipelineException: Failed to ping the specified node. ---> Elasticsearch.Net.PipelineException: An error occurred trying to read the response from the specified node.

   at Elasticsearch.Net.RequestPipeline.Ping(Node node)
   --- End of inner exception stack trace ---
   at Elasticsearch.Net.RequestPipeline.Ping(Node node)
   at Elasticsearch.Net.Transport`1.Ping(IRequestPipeline pipeline, Node node)
   at Elasticsearch.Net.Transport`1.Requesthttps://forums.aws.amazon.com/(HttpMethod method, String path, PostData data, IRequestParameters requestParameters)
   --- End of inner exception stack trace ---
   --- End of inner exception stack trace ---

Audit exception in step 1 PingFailure:

Elasticsearch.Net.PipelineException: An error occurred trying to read the response from the specified node.
   at Elasticsearch.Net.RequestPipeline.Ping(Node node)

Request:

<Request stream not captured or already read to completion by serializer. Set DisableDirectStreaming() on ConnectionSettings to force it to be set on the response.>

Edited by: MartinSarte on Feb 27, 2019 1:19 AM"
Amazon Elasticsearch Service	"Cluster Upgrade from 6.0 to 6.4 stuck at 77.03% for hours
I started a cluster upgrade from 6.0 to 6.4 about 36 hours ago.
For the last 8 hours or so the upgrade has been stuck at 77.03%
Is there a way to know what is going on?"
Amazon Elasticsearch Service	"Re: Cluster Upgrade from 6.0 to 6.4 stuck at 77.03% for hours
The cluster finally upgraded sometime during the second night.
I had to delete and recreate the Kibana patterns, other than that no data loss and the cluster was otherwise responsive during the upgrade."
Amazon Elasticsearch Service	"How to make a search by both category and query?
Here is query that gets composed inside Elasticpress WP plugin. Need to additionally specify the category in some way. Please advice

var query = {
post_filter: {
bool: {
must: [
{
terms: {
post_status: 
}
},
{
terms: {
'post_type.raw': 
}
}
]
}
},
query: {
query_string: {
fields: ,
query: ""test""
}
},
sort: [
{
_score: {
order: 'desc'
}
}
]
}

Edited by: ofesak on Feb 26, 2019 2:08 AM"
Amazon Elasticsearch Service	"Two domains stuck in ""being deleted"" state in US-East-1
I have two Elasticsearch domains that I have chosen to delete half a day ago in the North Virginia region, but they remain in the ""Being deleted"" state, racking up fees unnecessarily.

If anyone from support could look into this, I'd be most appreciative."
Amazon Elasticsearch Service	"Stuck at processing for more than 48 hours
My domain is stuck at Processing state for more than 48 hours. When I check the domain configurations under the storage configs I can see ""Storage configuration is Processing"".
Is there anything that can be done to speed up the process right now (i know reducing shards can make this faster, but I cannot do this right now) or to see how much more time will it take? I need to deploy new features in our application but the ppipeline will always fail because I cannot update my Cloudformation Stack due to the fact that my domain is stucked (I can try some workarounds in my deployment pipeline but I really need the domain to be working normally again).

Thank you

EDIT: Added some outputs made for debugging

Edited by: Esbrito on Feb 25, 2019 5:01 AM

Edited by: Esbrito on Feb 25, 2019 6:55 AM"
Amazon Elasticsearch Service	"7.0.0 Beta 1 - sharing blog updates
The Elastic Stack 7.0.0-beta1 is here, with many new features and improvements like faster search with block-max WAND, custom result scoring with script_score query, the new Maps app for ad-hoc visual geospatial analysis, new design and navigation in Kibana (including dark mode), and much more.

Link to the official blog post: https://www.elastic.co/blog/elastic-stack-7-0-0-beta1-released

Full disclosure, I work for Elastic (makers of Elasticsearch / ELK Stack)."
Amazon Elasticsearch Service	"Does elasticsearch encryption at rest ensures manual snapshots be encrypted
I am taking snapshots of my indexes into my s3 bucket. I am not sure if these snapshots are encrypted or not. 

Can someone clarify if snapshot encryption is part of Encryption provided by aws. Also provide the links which talks about the same.

If they are encrypted how can I verify this.

thanks"
Amazon Elasticsearch Service	"Can we ""push back"" Kinesis failed records from S3 backup to ElasticSearch?
Hi, here's my setup:
 - I have a Simple Email Service's configuration set that sends all events to a Firehose stream.
 - This Kinesis Firehose delivery stream is configured with a S3 backup that receives failed records only.
 - This stream delivers events into an ElasticSearch

I recently discovered while troubleshooting an email issue using Kibana that my ES had not received any events since for a month. After some investigation, i found out that my ES was out of disk space. Added a CloudWatch alarm now to prevent this issue back and scaled-up my storage.

I see that my S3 bucket has a ""folder"" named elasticsearch-failed with subfolders structured like years/month/days/hours.

If i click onto those items named ses-events-stream-1-YYYY-MM-DD-HH-MM-SS-GUID i dont see the json i thought i would see (the event) but more like a json containing raw data.

I dont know how to ""use/exploit"" those items. Is is possible to just push them back into the elasticsearch somehow and just flush the S3 bucket content just like if i have not had this storage issue?

Edited by: perreaultd on Feb 20, 2019 4:31 AM"
Amazon Elasticsearch Service	"unable to access Elastic Search/Kibana  from my browser
Hello All,

I created a new Elastic Search Domain and added the below-given policy

{

""Version"": ""2012-10-17"",

""Statement"": [

{

""Effect"": ""Allow"",

""Principal"": {

""AWS"": ""arn:aws:iam::xxxxxxxxxxxx:user/elastic-user""

},

""Action"": ""es:*"",

""Resource"": ""arn:aws:es:us-east-1:xxxxxxxxxxxx:domain/xxxxdomain/*""

}

]

}

Here are the policy and group attached to the user

{ ""Version"": ""2012-10-17"", ""Statement"":  }

Now when I try to access Elastic Search or Kibana, I get the following error

{""Message"":""User: anonymous is not authorized to perform: es:ESHttpGet""}
How do I access Elastic Search or Kibana dashboard with the user I created for this domain"
