label	description
Amazon RDS Database Preview Environment	"What is meant that database instances are deleted after 60 days?
I'm building an RDS Postgres 11 DB for eventual delivery to a client and am comfortable working within the preview environment because of the benefits of Postgres 11 and the delivery not being immediate.

I'm currently testing the database to monitor performance on several queries.  I'm just confused by the message that ""database instances are automatically deleted after 60 days.""  Does that mean that 60 days after I first setup the database, it will automatically be deleted even though I would still like to test it?  This is concerning because my testing is ongoing.

Also, are there any resources to better understand how I will eventually migrate out of the preview environment once Postgres 11 RDS is available for production?

Thank you!"
Amazon RDS Database Preview Environment	"Re: What is meant that database instances are deleted after 60 days?
I'd like to know this as well. Thanks for asking this question. +1"
Amazon RDS Database Preview Environment	"I am stuck at create database
Hi, I'm trying to create a SQL Express database on RDS, but after filling all the form and send, it stuck at create database status
Does anyone know what could it be"
Amazon RDS Database Preview Environment	"When is Postgres 11 slated for release on RDS?
We've been using PG11 dev preview and its been great so far! We want to run PG11 in us-west-2. I assume that means we have to wait for GA? Is there an expected timeline for it?"
Amazon RDS Database Preview Environment	"Re: When is Postgres 11 slated for release on RDS?
AWS generally won't publicly give date guidance, but historically they wait for the first minor release after GA and then it takes from a couple of weeks to a couple of months to be made available on RDS.  The reason for not releasing the initial GA of a major release into production is that generally one or more very serious production-impacting bugs is found in that major release and fixed in the first minor release.

I don't know if the existence of the Preview Environment will change the RDS' teams overall approach.  On the one hand it reduces pressure to make the new major release available in the production environment because in the first few months most demand is for development use of the new release.  On the other hand, it increases the number of customers like you who have been doing development on beta releases and are ready to go into production as soon as the major release goes GA.  And on the third (for you scifi fans) hand, the Preview Environment gives the RDS team a far greater confidence level on the quality of the GA version and on RDS' readiness to support it.  In other words, both RDS and customer readiness to support the major release GA is much higher than in the past.  But giving the major release some bake time before putting it into production is probably still the better course of action.

For details of why waiting to weed out serious problems makes sense in the RDS environment even more so than for an individual customer, see https://hal2020.com/2018/01/20/challenges-of-hyperscale-computing-part-2/ and https://hal2020.com/2018/08/25/challenges-of-hyperscale-computing-part-3/"
Amazon RDS Database Preview Environment	"Re: When is Postgres 11 slated for release on RDS?
11.2 was released today, (February 14th 2019).

Let's go AWS"
Amazon RDS Database Preview Environment	"Cannot Connect From T2.micro windows 2012 instance to RDS SQL Express 2014
Hi, Greetings,

I cannot connect to RDS SQL Server 2014 Express instance from EC2 Windows 2012 server instance. 
1. I cannot connect through UDL file, and not through my asp.net mvc web application.

Windows EC2 Instnace ID: i-0fe6390a77605e7f2
Availaibility Zone: us-east-2c

RDS SQL Server Instnace ID: tandt-201901-2
RDS SQL Server Zone: us-east-2c

I am able to connect to this RDS SQL Server through following on port 1433 :
1. SQL Server Management Studio from my development laptop
2. UDL File from my development laptop
3. Asp.NET MVC 4 Entity framework Web App from my development laptop.

Detailed Error Message from asp.net mvc web application is pasted below:

[Win32Exception (0x80004005): The wait operation timed out]
 
[SqlException (0x80131904): A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: TCP Provider, error: 0 - The wait operation timed out.)]
   System.Data.ProviderBase.DbConnectionPool.TryGetConnection(DbConnection owningObject, UInt32 waitForMultipleObjectsTimeout, Boolean allowCreate, Boolean onlyOneCheckConnection, DbConnectionOptions userOptions, DbConnectionInternal& connection) +345
   System.Data.ProviderBase.DbConnectionPool.TryGetConnection(DbConnection owningObject, TaskCompletionSource`1 retry, DbConnectionOptions userOptions, DbConnectionInternal& connection) +156
   System.Data.ProviderBase.DbConnectionFactory.TryGetConnection(DbConnection owningConnection, TaskCompletionSource`1 retry, DbConnectionOptions userOptions, DbConnectionInternal oldConnection, DbConnectionInternal& connection) +258
   System.Data.ProviderBase.DbConnectionInternal.TryOpenConnectionInternal(DbConnection outerConnection, DbConnectionFactory connectionFactory, TaskCompletionSource`1 retry, DbConnectionOptions userOptions) +312
   System.Data.SqlClient.SqlConnection.TryOpenInner(TaskCompletionSource`1 retry) +202
   System.Data.SqlClient.SqlConnection.TryOpen(TaskCompletionSource`1 retry) +413
   System.Data.SqlClient.SqlConnection.Open() +128
   System.Data.EntityClient.EntityConnection.OpenStoreConnectionIf(Boolean openCondition, DbConnection storeConnectionToOpen, DbConnection originalConnection, String exceptionCode, String attemptedOperation, Boolean& closeStoreConnectionOnFailure) +40
 
[EntityException: The underlying provider failed on Open.]
   System.Data.EntityClient.EntityConnection.OpenStoreConnectionIf(Boolean openCondition, DbConnection storeConnectionToOpen, DbConnection originalConnection, String exceptionCode, String attemptedOperation, Boolean& closeStoreConnectionOnFailure) +208
   System.Data.EntityClient.EntityConnection.Open() +128
   System.Data.Objects.ObjectContext.EnsureConnection() +83
   System.Data.Objects.ObjectQuery`1.GetResults(Nullable`1 forMergeOption) +48
   System.Data.Objects.ObjectQuery`1.System.Collections.Generic.IEnumerable<T>.GetEnumerator() +40
   System.Linq.Enumerable.First(IEnumerable`1 source) +212


Your urgent help is required to solve this issue."
Amazon RDS Database Preview Environment	"sqlplus into Oracle RDS from onprem Windows/Unix
I am reviewing this document on how to connect to Oracle RDS 
https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_GettingStarted.CreatingConnecting.Oracle.html
Most of the doc describes how to create the Oracle DB instance and finally the bit I am after is listed as 
PROMPT>sqlplus 'mydbusr@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=endpoint) (PORT=1521))(CONNECT_DATA=(SID=ORCL)))'
So PROMPT> say is my onprem Windows (laptop actually). How can this work without providing the ssh key? I have sqldeveloper connected using ssh, that I get it. 
Am I missing something?
I have a Windows server running Oracle GoldenGate, the source is my Unix server within my company's intranet. So I merely create a TNS service hqeast and connect as sqlplus ggsuser@hqeast.
However, AWS Oracle instance is public facing so I can't see how this will work.
sqlplus 'mydbusr@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=endpoint) (PORT=1521))(CONNECT_DATA=(SID=ORCL)))'
If this should work can someone please explain to me how it resolves the security?
Thanks
regards
Keith"
Amazon RDS Database Preview Environment	"ERROR 1227 (42000) at line 1126
Hello,
I'm trying to import a database without success:

ERROR 1227 (42000) at line 1126: Access denied; you need (at least one of) the SUPER privilege(s) for this operation
mysqldump: Got errno 32 on write

How can I solve this problem?

Thank you

Regards"
Amazon RDS Database Preview Environment	"Production RDS instance in stopping state more than 3hours
Hi Team,
we have just initated the stop for patching activity in Production RDS instance. Still its in stopped state for more than 3 hours... Events logs says backup running and rebooting again.

CPUs are going up and down. Can you please check

Edited by: rramesh05 on Dec 22, 2018 5:59 AM"
