label	description
Amazon Relational Database Service	"Clusters section in RDS is not visible
Hi there,
I have created an Amazon Aurora cluster and I want to see it's details. In the docs, they say that I can find that in the section ""Clusters"" of RDS.

In the left menu I just have:
Dashboard
Databases
Performance Insights
Snapshots
Automated backups
Reserved instances
Subnet groups
Parameter groups
Option groups
Events
Event subscriptions

I don't know why is not being displayed, because in ""Databases"" I can see the master and the read replica.

Many thanks in advance,
Victor.

Edited by: victornubapp on Feb 28, 2019 6:10 AM"
Amazon Relational Database Service	"MySQL RDS T3 Instances?
I see other databases like Oracle and MariaDB are supporting the new T3 instances. Any news on when MySQL RDS will have support for T3?"
Amazon Relational Database Service	"Re: MySQL RDS T3 Instances?
Check today. I saw t3 instances available just now even though I haven't seen an AWS announcement yet! :-O
(Specifically for MariaDB RDS instances.)

Edited by: Gethin on Feb 21, 2019 10:06 AM"
Amazon Relational Database Service	"Re: MySQL RDS T3 Instances?
Amazon RDS for MySQL and MariaDB Now Support T3 Instance Types. 

https://forums.aws.amazon.com/ann.jspa?annID=6601"
Amazon Relational Database Service	"Re: MySQL RDS T3 Instances?
Sure that was published...but as of 5 minutes ago, there were no instances available in us-east-1 for either t3-large or t3-medium; mysql 5.7.

Might be nice to actually have the instances available before you say it's ""supported""

dbm

Edited by: davidmcl-prostudio on Feb 23, 2019 7:32 AM... added mysql 5,7"
Amazon Relational Database Service	"Re: MySQL RDS T3 Instances?
Perhaps they're just extremely popular at the time you looked?  
A call to support could confirm if this is the case."
Amazon Relational Database Service	"Re: MySQL RDS T3 Instances?
I took a look at there is definitely capacity available for those instance types in us-east-1. Are you trying to launch in a specific AZ? If so, can you try another AZ or let the API select an AZ?

Brian"
Amazon Relational Database Service	"Re: MySQL RDS T3 Instances?
I'm not trying to launch a new instance.

It's an existing instance in us-east-1e; all I'm doing is a modify of the instance type.

There is no option to change availability zone, and I wouldn't want to anyway.

Still comes up with the same error, as of the date-time on the screenshot image.

Thanks,
David

Edited by: davidmcl-prostudio on Feb 25, 2019 6:10 PM ... that date/time is Central US"
Amazon Relational Database Service	"Re: MySQL RDS T3 Instances?
The T3 is a VPN-only instance family. If you try to convert a EC2-Classic network instance to a T3 you will get an insufficient capacity error because there are no EC2-Classic T3s available.  It’s a confusing error message to be sure, and I wish RDS would catch the EC2 error and return something more intelligent.

So, are you trying to convert something like a T1 EC2-Classic instance to the T3?"
Amazon Relational Database Service	"Re: MySQL RDS T3 Instances?
If you had bothered to look at the attached image, you would have seen that I was trying to modify a T2.large to a T3.large...both requiring VPC

dbm"
Amazon Relational Database Service	"Running util.checkForServerUpgrade on a RDS instance
Hi all!

We have not been able to find a way to run the util.checkForServerUpgrade() against an MySQL RDS instance ( https://dev.mysql.com/doc/mysql-shell/8.0/en/mysql-shell-utilities-upgrade.html ), as it errors out with:

 MySQL  JS > util.checkForServerUpgrade('root@rdsinstance.region.rds.amazonaws.com:3306', {""password"":""rootPassword"", ""targetVersion"":""8.0.11""})
Util.checkForServerUpgrade: The upgrade check needs to be performed by user with ALL privileges. (LogicError)


As the account we would need this ran on is under basic support plan, would we be able to request AWS to run this for us? 

Alternatively, is there a way to be able to run this command or does anyone know of an alternative?

Thank you"
