label	description
Amazon Simple Email Service	"All verfied domains and emails have vanished from my account
At somepoint this morning all of the verified domains and emails vanished from my account resulting in my client not being able to send emails through our system.

I'd like to know how in hell something like this can happen??"
Amazon Simple Email Service	"How do I tell Amazon SES their IP addresses are blacklisted
Is there an official way to tell Amazon SES about blacklisting, and ask them to talk to the other company involved? 

I have had emails disappear this week and last week (Ironport doesn't even send proper bounces back to to my SNS endpoint) and discovered through https://mxtoolbox.com that Amazon's IP 54.240.3.26 is blacklisted by SORBS and Suomispam at the moment.

How do I inform Amazon of this? The documentation (below) doesn't mention the process.
Thank you.

https://docs.aws.amazon.com/ses/latest/DeveloperGuide/blacklists.html
We don't monitor blacklists that are unlikely to impact delivery across the entire Amazon SES service, or that don't have a measurable impact on delivery to major email providers. The blacklists offered by SORBS fall into this category. When one of our IP addresses appears on a blacklist in this category, we'll ask the provider to remove our IP addresses on a case-by-case basis."
Amazon Simple Email Service	"How to get specific email record using aws-sdk cloudwatch for a custom
I send an email using Amazon SES with an Open and Click events. I want to retrieve particular email records based on the events. When the user opens the emails by 4 times, then the record count for the particular email open event to 4. Just like that, I want the records for the total clicks, send, delivery, and bounce details for multiple emails. I tried Cloudwatch functions such as listMetrics, getMetricData, getMetricStatistics. But the functions did not return the outputs that I expected."
Amazon Simple Email Service	"Status Code: 400; Error Code: MessageRejected; ----what is the reason?
I used to send mail successfully after you moved my account out of the sandbox. But recently I again cannot send emails, my logs below:


2019-02-20T21:09:39.920837+08:00Asia/Shanghai   Error message: Email address is not verified. The following identities failed the check in region US-WEST-2: 18600397802@163.com  (Service: AmazonSimpleEmailService; Status Code: 400; Error Code: MessageRejected; Request ID: c7a3561a-3510-11e9-a1b9-edb5e6ebb43c)

How to fix this?

more details for this issue:
https://console.aws.amazon.com/support/cases#/5786351521/en"
Amazon Simple Email Service	"Re: Status Code: 400; Error Code: MessageRejected; ----what is the reason?
Hello,

After checking your sending account in US-WEST-2, the email identity you mentioned is NOT verified.

You can double confirm this from SES Console too.

So it's possible you or somebody else removed the identity, we recommend to enable CloudTrail to trace all the API calls you will be able to track who deleted the identity.

Thanks for using SES!"
Amazon Simple Email Service	"Re: Status Code: 400; Error Code: MessageRejected; ----what is the reason?
Given the truth that I have been moved out of the sandbox, Do I still need to add those email addresses I am sending mail to(for example, the mail address I mentioned) as verified email addresses?

If so, what is the purpose of the sandbox? I think after I am out of the sandbox, I can send emails to any address(even unverified, like the address I mentioned) from my verified address(hanzhaogang@gamil.com, hanzhaogang@foxmail.com)

What is more, I used to send emails to unverified addresses successfully, after I was moved out of the sandbox."
Amazon Simple Email Service	"Re: Status Code: 400; Error Code: MessageRejected; ----what is the reason?
I am sure that after I was removed from the sandbox, I can send mails to unverified addresses."
Amazon Simple Email Service	"Viewing What E-Mail Addresses An SES Mailing Were Sent To...
Hello!

Is there a way to view what E-Mail addresses an SES mailing were sent to?  I recently lost my entire list (hard drive crash) and am looking to recover the data.

Thanks!"
Amazon Simple Email Service	"Re: Viewing What E-Mail Addresses An SES Mailing Were Sent To...
Hello todd,

As far as I am concerned you won't be able to unless you setup Cloudwatch

I know it does not help for this time but for the next time you can use the following links:
https://aws.amazon.com/about-aws/whats-new/2016/11/amazon-ses-now-provides-fine-grained-email-sending-metrics/
https://docs.aws.amazon.com/ses/latest/DeveloperGuide/monitor-sending-activity.html"
Amazon Simple Email Service	"Amazon SES not working with Google
So this is my funnel so far for email marketing: SendHippo > Amazon SES via API > Gmail hosting example@busness.com email address. 

SendHippo is essentially like MailChimp which requests emails being sent, I have put in my Amazon SES API information and the From: email is always the marketing email I have created from my Gsuite account. 

Now this worked awesome for the first 300 emails but now SendHippo has hit me with the Send Limit Error which basically for them just means it's come back as can not send. 

My send limit is 50,000 a day, 14 emails a second. I have been taken out of sandbox mode already. My email has been verified through Amazon SES already. 

Is there anything I'm missing? Please let me know if it's an issue with Gmail bottle capping my limit."
