label	description
Amazon Simple Notification Service	"Limit Increase: SNS Text Messaging
Hi guys,

It is very urgent request as our application is in Production since yesterday, users are not able to register our app. I logged a ticket yesterday but still no response from the support team. I have to log a new one today. Can you please escalate this ticket for us? It has been 2 days but no response. 

We logged two tickets:
Case ID
5710267551

Case ID
5704644231

Thank you"
Amazon Simple Notification Service	"Re: Limit Increase: SNS Text Messaging
How long did you end up waiting?"
Amazon Simple Notification Service	"How long to process limit increase request
We have a long history with AWS, running multiple accounts.  I urgently need a limit request granted so we can continue to send internal SMS messages using SNS and have not seen any progress on the ticket. Case ID is 5605914481.

Thank you"
Amazon Simple Notification Service	"Re: How long to process limit increase request
Care to share how long this request took in your case?"
Amazon Simple Notification Service	"Cannot create IAM roles on application endpoints
Whenever I try to create IAM roles on an application endpoint on SNS (clicking on the ""Create IAM Roles"" button on the modal), the brwoser inspector throws an error. I tried this on several browsers, and it doesn't seem to work anywhere.

ReferenceError: _isDesktop is not defined
    at l.o.loadIAMRole (sns-tail.201811051036.min.js:2)
    at angular.min.js:198
    at f (angular.min.js:214)
    at l.$eval (angular.min.js:125)
    at l.$apply (angular.min.js:126)
    at HTMLButtonElement.<anonymous> (angular.min.js:215)
    at HTMLButtonElement.dispatch (jquery.min.js:3)
    at HTMLButtonElement.v.handle (jquery.min.js:3)


Steps followed:

Enter AWS SNS Console > Applications > Choose an application > Platform Application Actions > Delivery Status > Create IAM Roles.

Am I the only one having this issue? Is this a bug?

Edited by: kyngo on Nov 8, 2018 3:02 AM"
Amazon Simple Notification Service	"Re: Cannot create IAM roles on application endpoints
Hello,

Thank you for posting your query.

I have tried to create an IAM role using the same steps but was not able to reproduce the mentioned error on Chrome (Version 70.0.3538.102 (Official Build) (64-bit)) on Mac OSX.

Can you please let me know if you are able to save the IAM configuration or also getting an error in the AWS console when creating a role?"
Amazon Simple Notification Service	"Re: Cannot create IAM roles on application endpoints
I tried on Chrome, Firefox and Safari on macOS, didn't work.

I can create roles from the IAM console without a problem.

When I press the ""Create IAM Roles"" button on SNS, no fields are filled, and the error reported above shows up. Looks like an AngularJS error. Gonna try again in case it works in other browsers/OSes.

UPDATE: 
Forgot to mention, this happened on the us-east-1 region.
Screenshots showing the error:

Chrome: https://i.imgur.com/29I6hpr.png
Firefox: https://i.imgur.com/LJn2RpY.png
Safari: https://i.imgur.com/7WQYv63.png

Edited by: kyngo on Nov 19, 2018 12:09 AM

Edited by: kyngo on Nov 19, 2018 12:11 AM"
Amazon Simple Notification Service	"Re: Cannot create IAM roles on application endpoints
I've been facing the same issue."
Amazon Simple Notification Service	"Re: Cannot create IAM roles on application endpoints
We are facing this issue in US-East-1 as well."
Amazon Simple Notification Service	"Re: Cannot create IAM roles on application endpoints
Same for me, looks like JS is broken on that page.

Just workarounded the problem by manually creating the roles.
Looks like that the role names must be hardcoded to SNSMobileAppFailureFeedback and SNSMobileAppSuccessFeedback"
Amazon Simple Notification Service	"Re: Cannot create IAM roles on application endpoints
I tested eu-west-1 as well, doesn't work either. Gonna try Yury1's suggestion."
Amazon Simple Notification Service	"Re: Cannot create IAM roles on application endpoints
I have the same problem as of today!

Attached is error in console and chrome version."
Amazon Simple Notification Service	"Re: Cannot create IAM roles on application endpoints
I'm also facing the same issue as of today ! tried chrome and firefox (on mac and on windows) with the same problem."
