label	description

Amazon Simple Storage Service (S3)	"S3 console shows Error in Access row
Also it can't generate an URL for 'Download As'. It shows ""An error occurred generating the download link for this object."". This happens for all AWS accounts we have and for different people."

Amazon Simple Storage Service (S3)	"Re: S3 console shows Error in Access row
Hi,

I understand that you are seeing Error in the in the S3 console and 'Download As' option is throwing error. This usually happens when you do not proper permissions to access the bucket or object.

Please ensure that you have all the necessary permissions. If you still see the same issue, please share the bucket name, object name and requester IAM ARN with me over private message to troubleshoot further.

Thanks,"

Amazon Simple Storage Service (S3)	"Re: S3 console shows Error in Access row
RGumber, I've sent requested information via PM several days ago."

Amazon Simple Storage Service (S3)	"where do I get the canonical user id
Hi,
I am setting up a new bucket and need to assign specific IAM users to the bucket.
It is asking for the canonical user id.
How do I get the canonical user id for all my IAM users?
This is so confusing.

Thanks"

Amazon Simple Storage Service (S3)	"Re: where do I get the canonical user id
Hello nicolas_briant, 

Thank you for your post, I trust you are well. 

Regarding the Canonical User ID, you can find it in two ways:

1) Logging in as root. In the top right of the console, choose your account name or number. Then choose My Security Credentials. You will see the Canonical User ID in the Account Identifiers section. 

Finding Your Account Canonical User ID:

http://docs.aws.amazon.com/general/latest/gr/acct-identifiers.html#FindingCanonicalId

2) By using a ListBuckets API call. When you perform a GET operation on the S3 service to get a listing of all the buckets you own, the response contains an Owner ID element which is your canonical user id. For example:

aws s3api list-buckets --output text

list-buckets: 

http://docs.aws.amazon.com/cli/latest/reference/s3api/list-buckets.html

Best regards. 

Jayd J."

Amazon Simple Storage Service (S3)	"Re: where do I get the canonical user id
Thanks Jayd. I was missing ""Logging in as root"".
Regards,
Nicolas"

Amazon Simple Storage Service (S3)	"Re: where do I get the canonical user id
I wanted to post the following, but I wasn't allowed because my forum account had just been created in the past hour.  (Some kind of spam prevention?)

I'm pretty new to using AWS.  I can't find my canonical ID and I don't understand your instructions for looking up my ID.  I have access to the AWS console via my personal account.  Isn't there a way to see my own canonical ID via the web interface, without using a CLI?

I've created an S3 bucket under my organization's account.  I want to grant myself and another user access to the bucket, but I need our two canonical IDs to do so.

I'd appreciate step-by-step instructions for getting the IDs.  Assume I know nothing about AWS.

Thanks in advance.

While I'd still like to have explicit step-by-step instructions for finding canonical IDs, the delay in forum posting inspired me to try a different approach.  Or rather, the same approach over again.

That is, when I was creating the S3 bucket, I had entered my email address as one to be granted access to it.  The bucket was created, but I received an error message that I couldn't be granted access by email address for some reason.  (It was unclear as to why.)

For some reason, I decided to try using my email address again.  This time it worked and my canonical ID was automatically substituted!  I entered the email address of the other person that I wanted to give access to the bucket, and his canonical ID was filled in as well.  Now we both have access.

However...  When we view the permissions of the S3 bucket, we only see canonical IDs.  There's no indication to whom each of the IDs refer!  That's not a useful UI!  It really looks lazy.

So, how can I tell which canonical ID goes with each person?"

Amazon Simple Storage Service (S3)	"Re: where do I get the canonical user id
Hello,
How can I find another user Canonical ID?
I created new IAM user and want him to have access to S# bucket.
Thank you!"

Amazon Simple Storage Service (S3)	"Copy from source bucket to dest bucket - GetObject() stream problem
Hi all,
My name is Eliran and i new in aws.
my goal is to copy from one bucket (Ireland) to another bucket (N.Virginia)
i will explain my work flow:
1) i use the CLI command - aws s3 sync s3://sorce-bucket/ s3://dest-bucket/ --exclude ""logs/*"".
the sync completed after some time...
2)in my app in .NET i use the AWS SDK and use the command GetObject() like this:
AmazonS3Client s3client = new AmazonS3Client(Globals.AWSAccessKey,Globals.AWSSecretKey, RegionEndpoint.USEast1);
Stream rs = s3client.GetObject(new GetObjectRequest
{
BucketName = SourceContainer,
Key = key}).ResponseStream;

its work fine but the ResponeStream for some objects is MD5Stream (that what i need) and for some objects is CachingWarpperStream.... (its not good for me)

if i use the source bucket from Ireland so all the request with GetObject on the same objects (like above) will return ResponeStream MD5Stream! 

*the settings and policies is the same in both buckets.

what goes wrong? and how i can get always MD5Stream from my new bucket in N.Virginia.

Thanks a lot,
Eliran Kasif."

