label	description
Amazon Sumerian	"Wrong push
sorry for push this wrong message.

How should I delete this?

Edited by: CYL on Jan 28, 2019 1:01 AM"
Amazon Sumerian	"File import error
Hi, this error will happen when I am trying to import my ""FBX"" file to Amazon Sumerian.

Here is the error message:
Segment Scale Compensate nodes found in ""Filename"" are not supported in Sumerian and may lead to unexpected scaling results. This import was aborted. Please disable this inheritance attribute from the following nodes and re-import: FirstBone, SecondBone, ...., LastBone.

But it doesn't happen on the other development platform, e.g. Unity or  Unreal Engine. 

Is ""disable this inheritance attribute from the following nodes and re-import"" the only way to fix this problem?

Thanks.

Edited by: CCL on Jan 27, 2019 7:56 PM"
Amazon Sumerian	"Marker Based AR in Sumerian
Hi,

I want to make an Augmented Reality application using Sumerian. But having trouble about how to add a marker entity to the scene. I can only found some official tutorials about using Sumerian for Augmented Reality that uses ARCore & ARKit (markerless).

Does marker based Augmented Reality currently not supported by Sumerian? 
Thank you in advance."
Amazon Sumerian	"Running AR on the Browser
Hi, I just created a simple AR App. Building it with Xcode works fine. But i am truly interested in running it on the browser. I have tried with the recommended Browser Apps, FireFox and Chrome (on my ipad pro ), but i get a black screen (camera probably not working). On both browser i still get the ""not fully compatible browser"" warning message. But those are the last versions on the app store. 

Is it possible to run Sumerian AR apps on the browser, if yes what i am doing wrong?

this is my scene

https://us-west-2.sumerian.aws/e02048f665e342dc844faa38ee7e5474.scene"
Amazon Sumerian	"Re: Running AR on the Browser
Hi MouseOverU, thanks for your question. AR support is limited to scenes launched from within the mobile apps - it’s currently not possible to access the device’s AR APIs from mobile browsers. From your question and what I think you are asking, support would become available with WebXR when that’s implemented in browsers."
Amazon Sumerian	"Re: Running AR on the Browser
Thanks for the info!"
Amazon Sumerian	"Re: Running AR on the Browser
Hi!
aftre some months....
8th Wall  (https://8thwall.com/) runs on Amazon sumerian, and they offer now AR on the web, and itworks pretty fine. Is it now possible to develope Web Apps with Amazon Sumerian?

thanks!"
Amazon Sumerian	"Queries on Sumerian AR Capabilities
Hi,
I had a couple of questions on AR capabilities provided by Sumerian.

1. Do the AR apps created on Sumerian run from browsers?
2. Does Sumerian provide feature for AR Image Recognition. If yes, is the recognition done on device or on cloud. Also is there a tutorial on this?

--Abhishek"
Amazon Sumerian	"Removing/Replacing the AWS Logo
Is it possible to remove/replace the AWS logo when Sumerian loads?"
Amazon Sumerian	"Re: Removing/Replacing the AWS Logo
Currently, to replace the AWS logo and customize the look and feel of your scene, you have to use the new publish via Amplify workflow. 

For more information on publishing and getting started with Amplify, check out the AWS Amplify Quickstart Guide: https://docs.sumerian.amazonaws.com/articles/amplify-quickstart/"
Amazon Sumerian	"Colors Overexposed
I import to Sumerian from ArchiCAD using Twinmotion FBX files. 

https://eu-west-2.sumerian.aws/15dacd907e3c4692bb4ac8fe9bdc48dd.scene

I see that it's very overexposed, things that doesn't have a texture and only color. Is it supposed to be like this? I have to use textures?

Also, floor texture is missing, but I see it underneath it. It seems there is some normals problems here. 

I've tried to show the normals inside Sumerian, but it seems to treat the whole object, which is a big room, as one. Can I select individual surfaces and show their normals?"
Amazon Sumerian	"Re: Colors Overexposed
I would try exporting a simpler object first and verifying your particular export settings are correct.  It sounds like when you export you are creating a single poly for the room.  I'm not sure why the textures aren't appearing correctly.  Can you post a sample file so we can take a look?"
Amazon Sumerian	"Is Sumerian Dead?
This forum seems very low activity; are there any other places with activity? I found several subreddits, but they're equally dead"
Amazon Sumerian	"Re: Is Sumerian Dead?
Hi famadorian,

While we do check the AWS forums, we have a more active community on Slack.  Please join us at https://amazonsumerian.slack.com/"
Amazon Sumerian	"Re: Is Sumerian Dead?
Please join us in Slack:  https://amazonsumerian.slack.com/"
Amazon Sumerian	"Re: Is Sumerian Dead?
Hi, James and thank you. 

It says: 

Contact the workspace administrator for an invitation"
Amazon Sumerian	"Re: Is Sumerian Dead?
So I need an invitation here?"
Amazon Sumerian	"Re: Is Sumerian Dead?
The slack channel is really active. You shouldn't need an invitation, you should just be able to join via the slack channel link. If it isn't working for you let me know and I can send you a invite."
Amazon Sumerian	"Re: Is Sumerian Dead?
Thank you.

Please send an invite, cause it's not working for me."
Amazon Sumerian	"Re: Is Sumerian Dead?
Apologies, the link to join is http://slack.sumerian.world/ its available in the help drop down inside the editor. You shouldn't require an invite if you use the above link."
Amazon Sumerian	"Navigation
When I'm inside Sumerian, I seem to zoom in from infinity. Is it not possible to rotate around the point in space where you actually think you are, instead of from afar?

I can't see anything here:

https://docs.aws.amazon.com/sumerian/latest/userguide/editor-shortcuts.html

I'm having problems rotating inside a room, cause when I try to rotate, my view leaves the room."
Amazon Sumerian	"Re: Navigation
The origin point of the object may be offset from the object. Before exporting from a 3D package, you should put the object close to 0,0,0 and freeze transforms in your 3D editor, THEN try exporting/importing.  Once in the editor you should be able to select the entity in the left hand entity panel and press 'f' to focus the camera on that entity."
