label	description
Amazon WorkSpaces	"Unable to Register Directory with Workspaces
I created a new AD connector. All checks on it pass according to AWS console, but if I try to register it with WorkSpaces, the option to Register is just greyed out no matter what options I choose on that page. See attached.

Edited by: mmartinez85aws on Feb 27, 2019 1:32 PM"
Amazon WorkSpaces	"Self-Service Portal - how to deploy solution?
Hello all,
I'd love to implement the self-service portal as documented on this AWS blog: https://aws.amazon.com/blogs/desktop-and-application-streaming/automate-amazon-workspaces-with-a-self-service-portal/

But there are no full instructions or details. How do I go about deploying this solution?

For reference, I have deployed the ""cost optimizer"" solution, and it was beautifully documented and the ""deploy solution"" button totally worked: https://aws.amazon.com/answers/account-management/workspaces-cost-optimizer/"
Amazon WorkSpaces	"Re: Self-Service Portal - how to deploy solution?
Still hoping for a shining light here."
Amazon WorkSpaces	"Re: Self-Service Portal - how to deploy solution?
Anyone got any hints?"
Amazon WorkSpaces	"Trigger Lambda on WorkSpaces Start/Stop
I am trying to trigger one or more Lambda functions when a WorkSpace is started or stopped.  Right now I have a CloudWatch rule that detects and triggers the functions when users start or stop WorkSpaces using the Console or CLI, but it does not detect when a WorkSpace is AutoStopped after the defined period or the WorkSpace is started when a client logs in and the service brings up the WorkSpace automatically.  I took a look at Config as well, WorkSpaces is not a service the can be monitored.

What are my options here?"
Amazon WorkSpaces	"WorkSpaces and Azure MFA
Has anyone gotten WorkSpaces to work with Azure MFA?  I have tried and cannot figure out the correct NPS/Radius configuration  to trigger the allow.

I am using an AD connector and pointing to an internal NPS (Microsoft Radius) server that has the Network Policy Server (NPS) extension installed and setup. 

Cannot find any documentation out there on what the correct Radius settings are and nothing I have tried has worked.

I need MFA and want to avoid another different MFA solution (Okta) in my environment as we already use Azure MFA .

Anyone done this?"
Amazon WorkSpaces	"Re: WorkSpaces and Azure MFA
Hi,
Did you ever get this working?
Thanks,"
Amazon WorkSpaces	"Re: WorkSpaces and Azure MFA
Not yet. 

Okta looks promising, it installs a local agent on your DC. But they also charge per user and have a $1500 minimum. I'd like the functionality of Okta, but would prefer to keep it to AWS, and cheaper."
Amazon WorkSpaces	"Re: WorkSpaces and Azure MFA
FYI, got it working ok. The things that got me were that every time i made a change to the nps server policy the service needs to be restarted. I wasn't doing this. Also when logging on on the workspaces client you need to re-enter your password in the mfa code box. Will only work with app notifications on azure mfa."
Amazon WorkSpaces	"Re: WorkSpaces and Azure MFA
additional info: https://forums.aws.amazon.com/thread.jspa?threadID=298763&tstart=0"
Amazon WorkSpaces	"Re: WorkSpaces and Azure MFA
Hello,

Some notes on ""Will only work with app notifications on azure mfa.""
If Azure MFA will provide RADIUS service itself You can use not only applicaton:
These options works:
Microsoft authenticator App
Phone Call
Phone Call with PIN"
Amazon WorkSpaces	"Cannot search Users from trusted forest - Invalid access token
I cannot search users by pushing ""Show All Users"" button on ""Launch WorkSpaces"". 
I got the following message on pushing the button.

An Error Has Occurred
Invalid access token. Request id: {Request-ID}

- My Environment
1. Server-A: AWS managed Microsoft AD
   ... belonging to Domain-A
2. Server-B: On-Premise Microsoft AD (Win 2012 R2) in my local network.
   ... belonging to Domain-B

- Circumstance (working as planned)
3. Server-A and Server-B can communicate with each other via ""Site-to-Site VPN Connections"".

AWS instances cannot access to my local network from other than ""Site-to-Site VPN Connections"".

4. Domain-A has out-going trust to Domain-B.
    * Domain-B (On-premise) domain users can use their Domain-B authentication on Domain-A also.
     But, Domain-A (AWS maneged MS AD) users cannot use their Domain-A authentication on Domain-B.
     (I can do RDP login to a _Domain-A_'s EC2 instance with Domain-B user account.)
5. Launching a WorkSpaces instance can be done with Domain-A user.
    The WorkSpaces instance is available. (Tested: access from client, browsing...)

Thanks in advance,
N.U

Edited by: nueh-0227 on Feb 26, 2019 4:53 PM

Edited by: nueh-0227 on Feb 26, 2019 4:54 PM"
Amazon WorkSpaces	"Workspaces Arduino usb - possible?
Greetings community,

I understand that there are significant limitations to what USB devices workspaces support officially.

I have a windows Workspaces scenario where I am trying to get an Arduino https://www.sparkfun.com/products/13975 to communicate bi-directionally with the Arduino programming software in a Workspace via the client install on windows, chromeos, or ideally zeroclient(s).  

It uses https://www.ftdichip.com/Drivers/VCP.htm drivers and seems to recognize the device, but not be able to transmit.  -- This may just not currently be possible, but I'd like to see if I can make it work.

Ideas, guidance, links to existing posts I haven't found are appreciated."
Amazon WorkSpaces	"Workspaces MFA by SMS
Hello,
I set up Azure MFA for AWS Workspaces. I tested authentication process with Microsoft Authenticator App and it works fine:
1. Open Workspaces client
2. Enter credentials:
   2.a UserName -> my Azure account
   2.b Password -> my Azure pass
   2.c MFA Code -> my Azure pass 
3. Push is received on my Microsoft Authenticator App - I click ""Approve""
4. Logging into Workspace.

Now we need to move from Microsoft Authenticator App to One-way SMS.
And I cannot understand where I need to enter SMS code. If I enter code in ""MFA Code"" field - nothing happens.
All instructions on Internet say that first I enter login/password then MFA Code. But Workspaces client don't allow me to start login without ""MFA code"". 

Does any bode set up mfa with one-way sms?
Thanks.

Answer:

I think I figure it out.
In Application model, no ""Challenge / Response"" is used. AWS (I am using AD Connector) send Access-request RADIUS message. Then MFA server send push notification to App, receive it and answer to AWS with Accept\Denied RADIUS Message.

In one-way sms. AWS  send Access-request RADIUS message. Then MFA server send sms AND Challenge RADIUS message back to AWS. But AWS Ignores it, because:
""AWS Directory Service does not support RADIUS Challenge/Response authentication""*


- https://docs.aws.amazon.com/directoryservice/latest/admin-guide/ms_ad_mfa.html


""That's all folks""

Edited by: Scullone on Feb 19, 2019 10:22 AM"
Amazon WorkSpaces	"Re: Workspaces MFA by SMS
Hi Scullone -

Not related to your original question, just out of curiosity on your overall setup, are you using the NPS extension to use Azure MFA?

Thanks,"
