label	description
Amazon Fulfillment Web Service	"How do you calculate the ""Signature"" value for an Amazon MWS query in VB6
Please help!

I'm trying to submit queries to Amazon's servers to get information on our orders and I know nothing about HMAC, SHA-256, etc. I've managed to get everything set up in a Visual Basic 6 program in order to submit the XML queries, but I get an error message from the Amazon server saying that the ""Signature"" parameter is required. Does anyone know how you can use VB6 to come up with this value and for that matter, what information does Amazon want me to feed into a function in order to come up with the value? 

I've read the Amazon MWS Orders API Section Reference manual, but it seems to make a lot of assumptions about the signature value without spelling it out.

Thanks,

Alan Denke
Blue Jeans Cable"
Amazon Fulfillment Web Service	"Re: How do you calculate the ""Signature"" value for an Amazon MWS query in VB6
Well first start with the MWS API for guidance.

Docs are here:
https://developer.amazonservices.com/gp/mws/docs.html

Also...... don't know of anything for VB6 but maybe this will help:

https://images-na.ssl-images-amazon.com/images/G/01/mwsportal/doc/en_US/fba/inventory/v20101001/MWSDeveloperGuide.V175102177.pdf

Creating an Amazon MWS Request

Amazon MWS supports query requests for calling web service actions. Query requests are simple HTTP requests, using the GET or POST method with query parameters in the URL or HTTP body, respectively. Amazon MWS requires the use of HTTPS to prevent third party eavesdropping on your communication with Amazon.

Each of the HTTP header lines must be terminated with a carriage return and a line feed. Query requests must contain an Action parameter to indicate the action to be performed. The response is an XML document.

The Amazon MWS Developer Guide goes into detail on how to create a valid HTTP query request. Note that Amazon MWS Scratchpad is a helpful tool for understanding how to create correctly formed HTTP query requests. Amazon MWS Scratchpad automatically generates and displays many of the inputs that are required in a HTTP query request to Amazon MWS. Examining the Amazon MWS responses that Amazon MWS Scratchpad displays for each of your query requests can help you build successful parsing logic.

Edited by: oneida_books on Sep 9, 2011 4:48 PM"
Amazon Fulfillment Web Service	"Re: How do you calculate the ""Signature"" value for an Amazon MWS query in VB6
Thank you for the reply. I appreciate the help.

Let me make myself clear.

I already know how to submit queries to Amazon. I'm am 99% of the way there - I have submitted queries and received an error message from the Amazon server stating that the ""Signature"" field is required. 

I have further (since my last post) gathered some informatiion on SHA-256 encryption and I believe that I have the VB code that I need in order to generate the signature.

I can't TEST that my code works because I have no idea what Amazon wants me to use as a ""key"" (I've assumed that this is either my AWS Access Key ID or my Secret Key, but I can't find anywhere in the documentation that tells me what to use) and further, I don't know what the string is that I'm supposed to submit for encryption.

I have already used the MWS Scratchpad (again, before writing my first inquiry) and because of that, I know that the Signature value changes even if you are requesting the same data, so I'm assuming that whatever this elusive string is that I submit for encryption to create the Signature value also changes, presumably because the timestamp is part of the string.

Is that clearer?

Let's pretend that I already have a simple function like:

Signature=(""key"", ""message"")

that did the encryption using SHA-256 and further conversion to Base 64 HMAC (please forgive me if I've worded something strangely - this is new territory for me). I may actually have this now, but I don't have any way to test it BECAUSE...

My problem right now is that I have no idea what to use instead of ""key"" or ""message"" in order to arrive at the Signature. Anyone who could at least tell me WHERE in the many Amazon manuals I can find the section on what these two pieces are would be my friend for life and could have Christmas dinner at my house.

Thanks,

Alan Denke
Blue Jeans Cable"
Amazon Fulfillment Web Service	"Re: How do you calculate the ""Signature"" value for an Amazon MWS query in VB6
I can't TEST that my code works because I have no idea what Amazon 
wants me to use as a ""key"" (I've assumed that this is either my AWS Access Key ID 
or my Secret Key, but I can't find anywhere in the documentation that tells me what to use)
and further, I don't know what the string is that I'm supposed to submit for encryption.

SSssssooooooo ... you didn't follow the link to MWSDeveloperGuide and read page 12 ..... did you? ; )

Pg 12

Creating a query request

To create an Amazon MWS query request, you first construct a query string with the query information.

You then sign this query string and include it in the request submission. Note that the query string cannot contain white space or line breaks. The string consists of:

• The HTTP action. This value is most often POST.
• The domain name of the request, such as https://mws.amazonservices.com/. For a list of endpoints for each Amazon marketplace, see the Amazon MWS Endpoints section in this guide. After the endpoint is a forward slash (/), which separates the endpoint from the parameters.
• AWSAccessKeyId (click to get one)—Your Amazon MWS account is identified by your Access Key ID, which Amazon MWS uses to look up your Secret Access Key.
• Action—The action you want to perform on the endpoint, such as the operation
GetFeedSubmissionResult.
• Parameters—Any required and optional request parameters.
• Marketplace—Your Marketplace ID.
• Merchant or SellerId—Your Merchant ID.
• SignatureMethod—The HMAC hash algorithm you are using to calculate your signature, either SHA256 or SHA1.
• SignatureVersion—Which signature version is being used. This is Amazon MWS-specific information that tells Amazon MWS the algorithm you used to form the string that is the basis of the signature. For Amazon MWS, this value is currently SignatureVersion=2.
• Timestamp—Each request must contain the timestamp of the request. Depending on the API function you're using, you can provide an expiration date and time for the request instead of or in addition to the timestamp.
• Version—The version of the API section being called.
The following example is a query string for a GetFeedSubmissionResult request.
Note: The example query string contains line breaks and white space which are shown for ease of reading. The actual query string cannot contain white space or line breaks. All query string examples in this guide are formatted for readability.

Example I will UNformat):
POST
mws.amazonservices.com
/ 
AWSAccessKeyId=AKIAFJPPO5KLY6G4XO7Q&Action=GetFeedSubmissionResult&FeedSubmissionId=4321011681&Marketplace=ATVPDKIKX0DER&Merchant=A3F1LGRLCQDI4D&SignatureMethod=HmacSHA256&SignatureVersion=2&Timestamp=2011-02-04T23%3A08%3A19Z&Version=2009-01-01


I have already used the MWS Scratchpad

Click on Request Detail see see the string also....

Edited by: oneida_books on Sep 9, 2011 6:30 PM

PS - What's little momma cooking anyway?"
Amazon Fulfillment Web Service	"Re: How do you calculate the ""Signature"" value for an Amazon MWS query in VB6
All right, either I'm really dim (the most likely case) or you're not understanding my question. Yes, I've read that part of the manual. As far as I can tell it says NOTHING about how to calculate the signature value. I'm sure it's in there, but it's not in the stuff you posted on this thread and not in anything I've been able to find.

The sample in your reply is much like the one's I've sent to Amazon - it does NOT contain the parameter (which I am assuming is just part of the submission string) &Signature=(whateverthe signature is). When I post queries to Amazon that are similar to the one you listed as an example, it comes back with an error saying that the Signature parameter is required.

I've also found nothing in the Amazon manual that says what is used to create the Signature value. I need to encrypt something with a key value using HMAC-SHA-256 -  what is that string that I need to encrypt and what do I use for the key value?"
Amazon Fulfillment Web Service	"Re: How do you calculate the ""Signature"" value for an Amazon MWS query in VB6
Maybe I'm getting this now. Is the manual saying that the string to encrypt is:

AWSAccessKeyId=&ltAccess Key Removed>&Action=GetFeedSubmissionResult&FeedSubmissionId=4321011681&Marketplace=ATVPDKIKX0DER&Merchant=A3F1LGRLCQDI4D&SignatureMethod=HmacSHA256&SignatureVersion=2&Timestamp=2011-02-04T23%3A08%3A19Z&Version=2009-01-01

in the example?

If so, how do you then send the Signature parameter? Do you add it onto this string? Do you send it instead of this string?"
Amazon Fulfillment Web Service	"Re: How do you calculate the ""Signature"" value for an Amazon MWS query in VB6
Blue Jeans Cable wrote:
Maybe I'm getting this now. Is the manual saying that the string to encrypt is:

AWSAccessKeyId=&ltAccess Key Removed>&Action=GetFeedSubmissionResult&FeedSubmissionId=4321011681&Marketplace=ATVPDKIKX0DER&Merchant=A3F1LGRLCQDI4D&SignatureMethod=HmacSHA256&SignatureVersion=2&Timestamp=2011-02-04T23%3A08%3A19Z&Version=2009-01-01

in the example?

If so, how do you then send the Signature parameter? Do you add it onto this string? Do you send it instead of this string?

SSssssssooooooooooo  CCCCcccllllllllloooooosssssseeeee ...LOL

I think some of the confusion is in looking closely at the ScratchPad I don't see where they show you the signed URL. It might be in a different version I have.

Also let me add in here that I'm still not sure about how to do what exactly because I'm not a programmer.

I just know that basics.................

Look at my post with ""Example I will UNformat):""

THAT whole thing is the string to (sign) encrypt......... as noted in the Developer Guide top of page 13.

If you look at the tab in ScratchPad, ""Request Details"", towards the bottom in a blue bar it says ""String to sign"" and has:

POST
mws.amazonservices.com
/ 
AWSAccessKeyId=********&Action=GetFeedSubmissionResult&FeedSubmissionId=4371429174&Merchant=****&SignatureMethod=HmacSHA256&SignatureVersion=2&Timestamp=2011-09-12T18%3A57%3A05Z&Version=2009-01-01


So you do something like a ...
HmacSHA256 (
POST
mws.amazonservices.com
/ 
AWSAccessKeyId=********&Action=GetFeedSubmissionResult&FeedSubmissionId=4371429174&Merchant=****&SignatureMethod=HmacSHA256&SignatureVersion=2&Timestamp=2011-09-12T18%3A57%3A05Z&Version=2009-01-01)


Then take that signature and do the HTTP post or add it to the URL ... A completed one looks like this and is at the bottom of page 14 / top 15.

https://mws.amazonservices.com/AWSAccessKeyId=********
&Action=GetFeedSubmissionResult
&FeedSubmissionId=**** 
&Merchant=ANZE9ULNDLIJJ
&SignatureMethod=HmacSHA256
&SignatureVersion=2
&Timestamp=2011-09-12T18%3A57%3A05Z
&Version=2009-01-01
&Signature=******************
1HTTP/1.1Host:mws.amazonservices.comX-Am
azon-User-Agent:AmazonJavascriptApp/1.0(Language=Javascript)Content-Type:text/xml


Not exactly sure about that 1HTTP/ ... copied from example but the 1 may not go in there.

After that you're on your own.... Base 64? MD5 ??? Not much of a clue.

I've got it working in Java but I got away from the signed request and went to opening/connecting to the WebServiceClient .....not even 100% on how I did that...LOL

Edited by: oneida_books on Sep 12, 2011 3:27 PM"
Amazon Fulfillment Web Service	"Re: How do you calculate the ""Signature"" value for an Amazon MWS query in VB6
Hi,
I AM PROVIDING THIS DETAIL IN C SHARP. BUT WITH FEW LITTLE CHANGES YOU WILL GET IDEA WHAT ACTUALLY IS HAPPENING:
The authorization header for calling AWS API end point consists of Signature Key.
Your authorization header will look like 
 var authorization_header = ""AWS4-HMAC-SHA256""+ ' ' + ""Credential="" + access_key + '/' + credential_scope + "", "" + ""SignedHeaders="" + signed_headers + "", "" + ""Signature="" + signature;

access_key => Will be provided when making connection if is dosen't provided please raise a concern for it.
var signed_headers = ""cache-control;content-length;content-type;host;x-amz-date;x-amz-target"";
Please refer complete 

public static string Post(string readTextFile)
        {
            var method = ""POST"";
            var service = ConfigurationManager.AppSettings;
            var host = ConfigurationManager.AppSettings;
            var region = ConfigurationManager.AppSettings;
            var endpoint = ConfigurationManager.AppSettings;
            var content_type = ConfigurationManager.AppSettings;
            var amz_target = ConfigurationManager.AppSettings;
            var datas = ""{   \""MLModelId\"": \""ml-OuAtnihixZl\"",    \""Record\"": {       \""clean ocr\"" : \""{0}\""    }}\n"";
            var request_parameters = datas.Replace(""{0}"", readTextFile);

            var access_key = ConfigurationManager.AppSettings;
            var secret_key = ConfigurationManager.AppSettings;

            var t = DateTime.UtcNow;
            var amz_date = t.ToString(""yyyyMMddTHHmmss"") + ""Z"";
            var date_stamp = t.ToString(""yyyyMMdd"");

            var canonical_uri = ""/"";
            var canonical_querystring = """";

            var canonical_headers = ""cache-control:"" + ""no-cache"" + '\n' + ""content-length:"" + request_parameters.Length + '\n' + ""content-type:"" + content_type + '\n' + ""host:"" + host + '\n' + ""x-amz-date:"" +
                                    amz_date + '\n' + ""x-amz-target:"" + amz_target + '\n';
            var signed_headers = ""cache-control;content-length;content-type;host;x-amz-date;x-amz-target"";

            var payload_hash = HexEncode(Hash(ToBytes(request_parameters)));
            var canonical_request = method + '\n' + canonical_uri + '\n' + canonical_querystring + '\n' +
                                    canonical_headers + '\n' + signed_headers + '\n' + payload_hash;

            var algorithm = ConfigurationManager.AppSettings;
            var credential_scope = date_stamp + '/' + region + '/' + service + '/' + ""aws4_request"";

            var string_to_sign = algorithm + '\n' + amz_date + '\n' + credential_scope + '\n' +
                                 HexEncode(Hash(ToBytes(canonical_request)));
            var signing_key = GetSignatureKey(secret_key, date_stamp, region, service);

            var signature = HexEncode(HmacSHA256(string_to_sign, signing_key));

            var authorization_header = algorithm + ' ' + ""Credential="" + access_key + '/' + credential_scope + "", "" +
                                       ""SignedHeaders="" + signed_headers + "", "" + ""Signature="" + signature;

            HttpWebRequest webRequest = WebRequest.Create(endpoint) as HttpWebRequest;
            webRequest.Host = host;
            webRequest.ServicePoint.Expect100Continue = false;
            webRequest.KeepAlive = false;
            webRequest.Accept = ""/"";

            webRequest.Timeout = 20000;
            webRequest.Method = method;
            webRequest.Headers.Add(""cache-control"", ""no-cache"");
            webRequest.ContentLength = request_parameters.Length;
            webRequest.ContentType = content_type;
            webRequest.Headers.Add(""X-Amz-Date"", amz_date);
            webRequest.Headers.Add(""X-Amz-Target"", amz_target);
            webRequest.Headers.Add(""accept-encoding"", ""gzip, deflate"");
            webRequest.Headers.Add(""Authorization"", authorization_header);

            ASCIIEncoding encoding = new ASCIIEncoding();
            byte[] data = encoding.GetBytes(request_parameters);
            ServicePointManager.ServerCertificateValidationCallback = delegate
            {
                return true;
            };
            Stream newStream = webRequest.GetRequestStream();
            newStream.Write(data, 0, data.Length);
            HttpWebResponse response = (HttpWebResponse)webRequest.GetResponse();
            if (response.StatusCode == HttpStatusCode.OK)
            {
                Stream receiveStream = response.GetResponseStream();

                // Pipes the stream to a higher level stream reader with the required encoding format. 
                StreamReader readStream = new StreamReader(receiveStream, Encoding.UTF8);

                // Console.WriteLine(""Response stream received."");
                var res = readStream.ReadToEnd();
                return res;
            }
            else
            {
                return string.Empty;
            }
        }

        static bytehttps://forums.aws.amazon.com/ key)
        {
            String algorithm = ""HmacSHA256"";
            KeyedHashAlgorithm kha = KeyedHashAlgorithm.Create(algorithm);
            kha.Key = key;

            return kha.ComputeHash(Encoding.UTF8.GetBytes(data));
        }

        static byte[] GetSignatureKey(String key, String dateStamp, String regionName, String serviceName)
        {
            byte[] kSecret = Encoding.UTF8.GetBytes((""AWS4"" + key).ToCharArray());
            byte[] kDate = HmacSHA256(dateStamp, kSecret);
            byte[] kRegion = HmacSHA256(regionName, kDate);
            byte[] kService = HmacSHA256(serviceName, kRegion);
            byte[] kSigning = HmacSHA256(""aws4_request"", kService);

            return kSigning;
        }

        private static byte[] ToBytes(string str)
        {
            return Encoding.UTF8.GetBytes(str.ToCharArray());
        }

        private static string HexEncode(byte[] bytes)
        {
            return BitConverter.ToString(bytes).Replace(""-"", string.Empty).ToLowerInvariant();
        }

        private static bytehttps://forums.aws.amazon.com/ bytes)
        {
            return SHA256.Create().ComputeHash(bytes);
        }

readTextFile => Is my requirement no need may not required in your case.
I Hope is will help you . All the best.

Edited by: Vinaa007 on Aug 23, 2018 11:17 PM"
Amazon Fulfillment Web Service	"Hei, error Merchant ID provided in feed does not match Merchant ID used to
error Merchant ID provided in feed does not match Merchant ID used to generate the request ?? 

what 

begin:
     use MarketplaceWebService_Model_SubmitFeedRequest 
     FeedType _POST_FBA_INBOUND_CARTON_CONTENTS_ 
     (sumbit carton http://docs.developer.amazonservices.com/en_US/fba_guide/FBAGuide_SubmitCartonContentsFeed.html )

then:
     FeedResult: Merchant ID provided in feed does not match Merchant ID used to generate the request. (FBA_INBOUND_CARTON_004)"
Amazon Fulfillment Web Service	"Testing if the authentication information provided is correct or not
Hi ,

I am writing a connector which connects to Amazon web services like MWS.
I am asking the user to enter authentication information like ""AWSAccessKeyId, SellerId, SecretKey, MarketPLaceId"" for MWS.

Does Amazon Webservice provide an API which authenticates the user?

Which means I need to check if the information entered by the user is correct or not.

Can someone give me pointers as to how I can authenticate the user and what all permissions the user has?

Thanks,
Asawari"
