label	description
Web Services Feature Requests	"Power Search doesnt work with or
Hi,
I have a Power Search to get all book by salesrank. if i enter power=publisher: little brown or time warner i always get only book s for the last (her time warner) if i turn around power=publisher: time warner or little brown in only get little brown
here ar my testurls
http://webservices.amazon.com/onca/xml?Service=AWSECommerceService&AWSAccessKeyId=KEY&Operation=ItemSearch&SearchIndex=Books&Power=publisher:Time+warner+or+Little+brown&sort=salesrank&ResponseGroup=Largehttp://webservices.amazon.com/onca/xml?Service=AWSECommerceService&AWSAccessKeyId=KEY&Operation=ItemSearch&SearchIndex=Books&Power=publisher:Little+brown+or+Time+warner&sort=salesrank&ResponseGroup=Large
 
Please check.
Thanks
Tobias"
Web Services Feature Requests	"Power Search doesnt work with or
You're searching for a publisher named ""Time Warner or Little Brown.""   Try changing Power to something like ""(publisher:Time+warner)+or+(publisher:Little+Brown)"".
Also, please use a valid AWSAccessKeyId in example queries.  It's really annoying to try to help someone only to discover they've made it harder than it should be.
-- Roger"
Web Services Feature Requests	"Power Search doesnt work with or
Hi,lots of thanks this works perfectly.
I'm sorry if you got confused because of the missing AWSAccesKeyID. Next time I will state more clear that I took it out of test requests.<FONT face=""Times New Roman"" size=""2"">
But I have followed the guideline from Amazon Documents:Note: Please take care not to post Your Access Key ID Here to the Discussion Board.Lots of thanks
Tobias</FONT>"
Web Services Feature Requests	"Power Search doesnt work with or
Please include your AWS Access key in example queries.  It's not secret (look at the URLs returned by AWS) and leaving it out just makes it harder for others to help you.
I don't recall anyone from Amazon suggesting that you shouldn't use your key in this forum.  In fact, representatives from Amazon have used their own keys in posts.
There may be some confusion because AWS recently introduced a ""secret key"" that you really should keep secret since it gives you access to paid services.  But the secret key never appears in URLs.
-- Roger"
Web Services Feature Requests	"Power Search doesnt work with or
The question of whether it is secure or not aside... the question of whether to post it or not was specifically asked in one of the chats because of the constant back-and-forth and it was the recommendation of the Web Services people that one ""not"" post their subscription id.   I agree it is easier to help people when they do but that is not Amazon's recommendation.Jim"
Web Services Feature Requests	"Missing Merchant Name for OffersFull
Hi,
I'm using ECS's OffersFull response group.
I've noticed that for some merchants, their Name do not appear in the XML markup. As a result, I'm unable to show my customers who they are buying from, which isn't good for trust.
For example, try this Asin: B000CFK07Q
please assist.
Thanks"
Web Services Feature Requests	"Error al recibir XML
Hola, he tenido buen tiempo usando el webservice de alexa, y todo ha estado funcionado ok, pero ahora me sale esto:
No se puede mostrar la p��gina XML 
No se puede ver la entrada XML con la hoja de estilo XSL. Corrija el error y haga clic en el bot��n <FONT color=""#800080"">Actualizar</FONT>, o int��ntelo de nuevo m��s tarde. 
<HR />

S��lo se admite un elemento de nivel superior en un documento XML. Error al procesar el recurso http://......<PRE style=""FONT-WEIGHT: normal; FONT-SIZE: 10pt; LINE-HEIGHT: 12pt; FONT-STYLE: normal; FONT-VARIANT: normal""><FONT color=""blue""><?xml version=""1.0"" encoding=""UTF-8""?><UrlInfoResponse xmlns=""http://webservices.amazon.com/AWSAlexa/2005-07-11"">...</FONT></PRE>"
Web Services Feature Requests	"TimeoutError
I'm receiving the following error message,
<BLOCKQUOTE dir=""ltr"" style=""MARGIN-RIGHT: 0px"">
AWS.AlexaWebInfoService.TimeoutError
Timeout waiting for data.</BLOCKQUOTE>
for most of my AWIS requests today. My website can be found at http://www.citcat.com . This is the first time i'm experiencing the problem since raising a similar bug report over a week ago.

<TABLE cellSpacing=""0"" cellPadding=""0"" width=""100%"" align=""center"" border=""0"">
<TBODY>
<TR>
<TD colSpan=""2"" height=""15"">
One more thing, when it does seem to retrieve search results, they appear like this, with a 'number' replacing the accompanying description:
 </TD></TR>
<TR>
<TD colSpan=""2"">
<BLOCKQUOTE dir=""ltr"" style=""MARGIN-RIGHT: 0px"">
<FONT color=""#0000ff"">watch Importers, buyers, buyer, distributors, importer, Wholesalers, agents</FONT>  [<FONT color=""#0000ff"">View Original</FONT>]</BLOCKQUOTE></TD></TR>
<TR>
<TD class=""context"" colSpan=""2"">
<BLOCKQUOTE dir=""ltr"" style=""MARGIN-RIGHT: 0px"">
1650603</BLOCKQUOTE></TD></TR>
<TR>
<TD class=""url"" colSpan=""2"">
<BLOCKQUOTE dir=""ltr"" style=""MARGIN-RIGHT: 0px"">
http://www.alibaba.com/hot_buys/10c6p8888h/nocountry/watch.html</BLOCKQUOTE></TD></TR></TBODY></TABLE>
Can anyone help with this? Thank you.

<hr size='1' /><span class='wintiny'>Edited 1/31/2006 5:38 am ET by <i>matix-</i> <!-- A33TTITAWAKO --></span>"
Web Services Feature Requests	"TimeoutError
I've been getting the exact same error.  I noticed it yesterday occurring about 2/3 of the time.  Today it seems to be happening about 1/3 of the time.  The message says ""Timeout waiting for data"", but it happens instantaneously, so I'm not sure why they call it a timeout.  I hope they get this fixed.  Here it is in its entirety: <UrlInfoResponse>- <OperationRequest><RequestId>&ltAccess Key Removed></RequestId></OperationRequest>- <UrlInfoResult>- <Request><IsValid>True</IsValid></Request>- <Errors>- <Error><Code>AWS.AlexaWebInfoService.TimeoutError</Code><Message>Timeout waiting for data.</Message></Error></Errors></UrlInfoResult></UrlInfoResponse>"
Web Services Feature Requests	"TimeoutError
I can confirm that I've been getting the AWS.AlexaWebInfoService.TimeoutError in the last 2-3 days. It appears to be a global issue, and I hope the group moderators will post a comment soon.
Anatoly"
Web Services Feature Requests	"TimeoutError
Me sumo al problema chicos, este error ha estado apareciendo desde hace unos d��as atr��s.
A ver si alguien de alexa soluciona el problema, ya que nos est�� perjudicando."
Web Services Feature Requests	"TimeoutError
Hi,
I've been getting the same error. I just noticed it happening last night.
In my reports, it looks like I've been getting charged for this as well.
In the downloadable reports, it still shows my normal UsageValue's over each hour throughout the past couple of days, but i'm not getting any results.
It's pretty hard to write applications that depend on this information if it's not reliable!
Is there anything we can do to fix it?
Matt"
Web Services Feature Requests	"WishListRequest Bug?
A couple of days ago wishlist search requests started generating the wishlist items in reverse order. therefore I'm getting the last page when I ask for page 1.Bug or feature? Is there a new parameter for ordering and the default order is descending?"
Web Services Feature Requests	"WishListRequest Bug?
anyone???"
Web Services Feature Requests	"WishListRequest Bug?
Same ""problem"" here.
Seems as if DateAdded does not work by now, nor the other sort-Parameters."
Web Services Feature Requests	"WishListRequest Bug?
Should one just give up using AWS altogether, then?I've missed count on how many times I've seen this bug popping up and staying that way for a long time before it's corrected.I think I would find less trouble parsing the whole thing via http."
Web Services Feature Requests	"New Account Problem
Hi There,
I just received my AWS email saying that I need to obtain an access key ID and to go to this link: <FONT size=""2"">
</FONT><U><FONT color=""#0000ff"" size=""2"">http://aws-portal.amazon.com/gp/aws/developer/account/index.html?action=access-key</FONT></U> 
However, once I get there and enter my password I always get a page cannot be displayed error. My account name is jeff.daniels@danielstechnologies.com - I have amazon.com in my trusted list. Is there anything else I need to do? I've tried both the secure and unsecure sites without any luck. 
Thanks,
Jeff"
Web Services Feature Requests	"New Account Problem
I have the same problem. my account is: pascal.meyer@dplanet.ch . Can anybody help please?"
Web Services Feature Requests	"New Account Problem
We are researching this issue right now. Thanks for report!
-elena"
Web Services Feature Requests	"Data issue: ASIN 0312321074
The book with ASIN 0312321074 seems to be returning the description of another book. Obviously this is just a minor data issue and not a major bug, but couldn't think of anywhere  else to report it."
Web Services Feature Requests	"MTurk: Problems with Selections
My selection-based question forms validate successfully, but I can't make them work correctly for Qualifications OR HITs. At best, selecting nothing allows them to be submitted, even when MinSelectionCount is set to 1. As a rule, the Qualifications go into infinite loops and the HITs say ""Your selection does not match the choices provided.""I've tried this with QuestionForms built by hand as well as those built at the ScratchPad. None of them work.I have no trouble at all with free text."
Web Services Feature Requests	"MTurk: Problems with Selections
Can you post a bit more details? Perhaps example of the form you built?
-elena"
