label	description
AWS Hackathons	"SimpleQueue and ReadCount
Hello!I am currently using Amazon Simple Queue in a test application.One operation reads items from the queue.I want to read all items of the queue. (There are 10 items in the queue)I set the ReadCount to 25 and the ReadLockTimeoutSeconds to 0My Query for Reading the Queue looks like htis:http://webservices.amazon.com/onca/xml?Service=AWSSimpleQueueService    &AWSAccessKeyId=xyz1234    &Operation=Read    &QueueName=myQueueName    &ReadCount=25    &ReadLockTimeoutSeconds=0Now i would expect i can read all 10 items (as i set ReadCount to 25) in one request, but the request only returns 2-4 items once.Does anybody have an idea what could be wrong?Greetz          fitzecarraldo"
AWS Hackathons	"Mass Ban?
Looks like I have been banned a long with most other users.  Is this true?  I know that I have not been using any bots or anything that violates the TOS to my knowledge and would like to shed some light on this issue.  I also had about $170 on my dashboard waiting to be sent to the 'my account' page that I can no longer access.  I hope that this can be resolved and I can get back to my account and continue turking soon.  Thanks."
AWS Hackathons	"Mass Ban?
I have similar concerns. My approval rate was roughly 87% and suddenly the site started putting me into the infinite forward loop mode. I've been trying as hard as I can to get the right artist, fix up the accented characters if they were missing, etc.I have spoken to other people, and lots of them seen to suffer these symptoms?"
AWS Hackathons	"Mass Ban?
HOLD ME"
AWS Hackathons	"Mass Ban?
Same for me.I've not violated the TOS nor have I automated the script in any way...What's up Amazon? I hope this is just a site error!"
AWS Hackathons	"Mass Ban?
I hear you...same thing happened to me. Was waiting on over $100 to transfer over so I could use it."
AWS Hackathons	"Mass Ban?
Yep, at about 6:00, there were a LOT of people banned, including me."
AWS Hackathons	"Mass Ban?
I just want whats owed, :retard:"
AWS Hackathons	"Mass Ban?
If they re-instate our accounts or fix the error, I better get the $100+ I earned"
AWS Hackathons	"Mass Ban?
QFT!!"
AWS Hackathons	"Mass Ban?
I also, am not able to log in.  I didn't even do that many hits!  I did about 1,000, but it was over 4 hours!  And of course i wasn't using a bot, or else i wouldn't be upset about this.  I saw every artist name put into the box and submitted it and got another and just kept going!  Its upsetting because i was owed another 55 dollars, and i spent a lot of my own time  working on this so i could buy people christmas presents ON AMAZON!"
AWS Hackathons	"Mass Ban?
I was banned as well and i was doing everything right. PLEASE unban us!"
AWS Hackathons	"Mass Ban?
Go to requestor.mturk.com, you can still get your monies out that way <3"
AWS Hackathons	"Mass Ban?
I know that....that's my main source of hope that this is just some server issue that'll be fixed"
AWS Hackathons	"Login Screen Error
Heyhttp://www.mturk.com/mturk/beginsigninCan't access the login page, comes back with a cookie errorWhats up?

<hr size='1' /><span class='wintiny'>Edited 12/4/2005 9:45 pm ET by <i>Kent A wilson</i> <!-- A23VOUH7VUH9 --></span>"
AWS Hackathons	"Login Screen Error
I am also having this problem, as are many people that I know. None of us have been using bots, either."
AWS Hackathons	"Login Screen Error
I have been having similar problems with logging in to mturk.amazon.com that indicate I was banned.  I too, however, have never used an automated script or bot to complete any of my HITs.  I am aware this is not the proper place to raise such an issue, but there is seemingly no way to raise a customer service issue such as this through mturk.amazon.com (except through an automated email form that redirects you to itself).Can you either give me an email address to send my concerns to, or address them here?  Thanks in advance."
AWS Hackathons	"Login Screen Error
this is so ridiculous!  how do we get un banned?"
AWS Hackathons	"Turk Requester Toolkit
Problems building Mechanical Turk Requester Toolkit. Got following error  in connection with [generate-axis] target of build.xml script:
'The <urn:maven-artifact-ant:dependencies> type doesn't support the nested ""dependency"" element. '
My Windows 2000 system has JDK 5.0, Ant 1.6.1, JWSDP 1.6, and Axis 1.2.1 installed, with their environment variables set as per docs.
I want JAXB binding, so I first ran ant as follows:
G:\mech_turk_src> ant -Djwsdp.dir=F:\Sun\jwsdp-1.6 prepare-jaxb
Build failed with error: 'The <urn:maven-artifact-ant:dependencies> type doesn't support the nested ""pom"" element.'
As a workaround, I copied JAXB-related .jar files (8) to the \binding\jaxb\pom folder, which helped get me past the [prepare-jaxb] target. I've studied the build.xml and rtk-with-jaxb.pom files, and they both show nested <dependency> elements. Is this caused by Ant or  the Maven (maven-artifact-ant-2.0-dep.jar  not handling the <urn:maven-artifact-ant:dependencies> namespace for the nested <dependency> elements?"
AWS Hackathons	"Turk Requester Toolkit
Just wanted to let you know that your message has been seen.  We'll get someone to respond to this very soon."
