label	description
AWS Certificate Manager	"Intermediate Certificate missing from ACM
Hi All, 

I created a SSL/TLS certificate using AWS Certificate Manager.  Assigned that certificate to an Application Load Balancer.  I checked the URLs through online ssl certificate checker https://www.digicert.com/help/ and noticed at the bottom of page error ""the server is not sending the required intermediate certificate"".  Is there a way to configure/use AWS Certificate Manager to include the intermediate certificate?  Thanks! 

Thanks, 
John"
AWS Certificate Manager	"Re: Intermediate Certificate missing from ACM
John -

The SSL certificate checker you are using appears to expect certain intermediates when they are not required. For example, the endpoint acm.us-east-1.amazonaws.com has a correct vended chain, yet the checker says that you need to include DigiCert's intermediate certificate. ACM certificates do not chain to a DigiCert intermediate! I would suggest that you try an agnostic checker such as https://www.ssllabs.com/ssltest/.

Regards,

Dave B"
AWS Certificate Manager	"Re: Intermediate Certificate missing from ACM
www.aibmsdatasecurity.com (AIB Merchant service ) is saying the same thing. Our website is running on AWS certificate and Application load balancer. AND PCI DSS scan is failed due to CA SSL certificate in the certificate chain has been signed using a weak hashing algorithm.

See :
RESULT:
The following known CA certificates were part of the certificate
chain sent by the remote host, but contain hashes that are considered
to be weak.
|-Subject : C=US/O=Starfield Technologies, Inc./OU=Starfield Class 2 Certification Authority
|-Signature Algorithm : SHA-1 With RSA Encryption
|-Valid From : Jun 29 17:39:16 2004 GM"
AWS Certificate Manager	"DNS Validation for GoDaddy domain with ACM
I have a domain that is managed by GoDaddy. I requested a new certificate for this domain via ACM and am attempting to validate the GoDaddy domain via DNS. 

I've added a DNS CNAME record in GoDaddy using the values provided in the ACM dashboard...but the ACM dashboard is stuck on pending. Have tried doing this multiple times, yet nothing seems to work. 

Any bright ideas?"
AWS Certificate Manager	"Re: DNS Validation for GoDaddy domain with ACM
I am having the same issue!"
AWS Certificate Manager	"Re: DNS Validation for GoDaddy domain with ACM
Hi there,

Thank you for writing into AWS Forums. I understand that your ACM certificate is in “Pending Validation” status for your domain and have opted for the DNS validation [1] to verify the ownership of your domain. 

First of all, I apologize for any inconvenience this may have caused to you. Pleas note that DNS validation may take sometime to get the certificate “Issued”. It also depends upon the DNS service provider as how fast it propagates the CNAME record which you created in order to verify the ownership of your domain. I reproduced the same scenario in my environment (using Route 53 as the DNS service provider) and it is usually fast to propagate the CNAME record (my certificate was issued in between 3 to 4 minutes). I am not sure about the other DNS service providers as how fast they propagate the CNAME records. If your certificate is still in the “Pending Validation” Status, please private message me the ARN of the certificate and I would be happy to look into it further.

I hope this helps!

Best regards,
Krish

Reference:
[1] Use DNS to Validate Domain Ownership: https://docs.aws.amazon.com/acm/latest/userguide/gs-acm-validate-dns.html"
AWS Certificate Manager	"Re: DNS Validation for GoDaddy domain with ACM
I'm still seeing the same issue even after it's already propagated btw. I think there's either some major issue or some serious misstep in the documentation somewhere.

Jacks-MacBook-Pro:~ juminoz$ dig TXT +short +noshort _8b5b7f441c9efa6c1eed3186e44fe8a2.tokayme.com.
_8b5b7f441c9efa6c1eed3186e44fe8a2.tokayme.com. 120 IN CNAME apps-1720509775.us-east-1.elb.amazonaws.com.

Any idea?"
AWS Certificate Manager	"Re: DNS Validation for GoDaddy domain with ACM
I just lost several hours trying to solve the ""validation pending"" problem so I'm spamming comment this everywhere to help others:

Assuming your domain is example.com, you get these CNAME values from Amazon:

NAME: _ho9hv39800vb302vejvnw3vnewoib3u.example.com.
VALUE: _cjhwou20vhu20uvoneouw20vuyb2ovb9.j9s73ucn9vy.acm-validations.aws.

So you go to you domain name manager, log in, navigate to the DNS settings, create a new CNAME record, and add the above fields (maybe your domain provider labels the fields ""host"" and ""target"" instead of ""name"" and ""value"", respectively), set the minimum TTL value, and save the record. Now you wait a while (2 mins up to a few hours) and it still says ""validation pending"".

Here's what might have happened: Some domain name providers will automatically add example.com on to the end of the name/host field. So if you enter _xx.example.com, they'll ""silently"" change it to _xx.example.com.example.com

This is currently the case with namecheap, as I've painfully learned. I think it may actually be an error on their part because apparently if you end your DNS value in a period/dot (and I did), this specifies that the domain shouldn't be added to the end. So namecheap is not respecting this dot. https://help.directadmin.com/item.php?id=541"
AWS Certificate Manager	"Re: DNS Validation for GoDaddy domain with ACM
@joe12345.  Thank you!  Exactly my problem on GoDaddy.

I pasted in the Name-Value pairs generated by AWS.  I noticed that GoDaddy did not persist the '.' at the end of the name.  I allowed the name to remain.  The validation request failed after 72 hours.

I generated a new certificate request.  This time I only entered the host name (not the 'example.com.' portion).  AWS validated within minutes.

Thanks again!"
AWS Certificate Manager	"Re: DNS Validation for GoDaddy domain with ACM
Omg, thank you so much!! I struggled with this issue for 3 weeks, and now that its connected i am so grateful to you!"
AWS Certificate Manager	"Re: DNS Validation for GoDaddy domain with ACM
Thanks for the great info!

This is the exact problem that I had with GoDaddy. For everyone else out there, if you get the following from AWS:

RECORD NAME: _ho9hv39800vb302vejvnw3vnewoib3u.example.com.
RECORD VALUE: _cjhwou20vhu20uvoneouw20vuyb2ovb9.j9s73ucn9vy.acm-validations.aws.

use the following for GoDaddy:

NAME: _ho9hv39800vb302vejvnw3vnewoib3u
VALUE: _cjhwou20vhu20uvoneouw20vuyb2ovb9.j9s73ucn9vy.acm-validations.aws.

Be sure to only remove your apex domain name (last part) and not your sub-domains (if you specified any) before you trim it.

Cheers!"
