label	description
AWS Key Management Service	"IAM Policy to enforce tagging on EC2 instance not working on marketplace
I am using the policies described in the blog post below to enforce tagging on ec2 instances before they are launched. The policy works great for quick start ami, but does not work when using an ami from the market place. It seems that the marketplace does not include the tags in the api call when running an instance. Has anyone run into this problem before or know a solution?

Blog Post: https://aws.amazon.com/premiumsupport/knowledge-center/iam-policy-tags-restrict/"
AWS Key Management Service	"AWS Educate starter accounts
I am trying to support students who have AWS Educate starter accounts (I have a regular account and things work as expected on my account but not on theirs).

Specifically, my students need to be able to generate an access key id and secret access key token so that they can login via AWS CLI.  However, they don't appear to have ""My Security Credentials"" on their management console and when they go to IAM in order to create a new IAM user with credentials, they find that they do not have the permissions necessary to do this. 

How then can they gain programmatic access to their AWS services?  They can fire up an EC2 instance (and download an RSA key pair which enables them to ssh into it) but they don't appear to be able to do much else.  I would like them to be able to use tools such as AWS CLI (and ultimately flintrock and python / pyspark) which require an access key id and secret access key to access resources.

All of the tutorials / documentation that I / they can find just refer to the way of doing it using IAM - which works fine for me but not for them.  Can anybody help?

Thanks."
AWS Key Management Service	"VPC Lockdown Template
Hi,

So I have been attempting to amend the template from this guide https://aws.amazon.com/blogs/security/how-to-automate-restricting-access-to-a-vpc-by-using-aws-iam-and-aws-cloudformation/ to lockdown access to a VPC rather than grant access. In our subscription, we have 3 VPC's, but want to limit access to this to a select list of users.

I've tried several permutations of the template (amending to deny) but cant seem to get it to work. Is it feasible to do from this template? If so, can you point me in the right direction? 

Thanks"
AWS Key Management Service	"Advance AWS IAM Policies - Tags and Variables
Hello,

Is it possible to have a condition in an IAM policy that test the value of SAML2 federated aws:userid against the value of a resource tag (e.g., in order to grant permissions to administrate ec2 instances only if the user role equals a tag attached to an EC2 instance)? How?

Thanks,
Yossi C."
AWS Key Management Service	"IAM Policy SFTP
Reading this doc - Link: https://docs.aws.amazon.com/transfer/latest/userguide/monitoring.html

So, i have created 1 policy and attached it to new role.

When i want to create second role i have the error:
This policy contains the following error: Has prohibited field Principal For more information about the IAM policy grammar, see AWS IAM Policies

{
  ""Version"": ""2012-10-17"",
  ""Statement"": [
    {
      ""Effect"": ""Allow"",
      ""Principal"": {
        ""Service"": ""transfer.amazonaws.com""
      },
      ""Action"": ""sts:AssumeRole"",
      ""Condition"": {}
    }
  ]
}"
AWS Key Management Service	"Re: IAM Policy SFTP
it's not policy, it's relationship button, fixed"
AWS Key Management Service	"Can we set account password policy for set of users?
Hello,

I am looking for a way to set a IAM account password policy to only set of users in the account, is this possible with IAM?

For example,
I want developers to have minimum 10 letters password,
I want testes to have minimum 12 letters password.

Creating new account for different teams is not an option."
AWS Key Management Service	"Cross-Account Bucket Permissions for Root Account
i am trying to the following as described here

https://docs.aws.amazon.com/AmazonS3/latest/dev/example-walkthroughs-managing-access-example2.html#access-policies-walkthrough-cross-account-permissions-acctB-tasks

in this case I am AccountB and customer is AccountA
the owner of accountA have told us they have granted my account root user permission to their bucket. The principle they have granted permission to is

 ""AWS"": ""arn:aws:iam::123456789:root""

However, when I login to my account with my root user credentials, the principal that I see is the email address i used to login

 ""AWS"": ""arn:aws:iam::123456789:user@example.com""

So the actual user is not root. Will this still work? even though the principal ARN does not match exactly?"
AWS Key Management Service	"Re: Cross-Account Bucket Permissions for Root Account
Hi,

Let me explain this. You are Account B with Account number- 222222222222 and the bucket is in Account A- 1111111111111. If the owner of Account A grants access to arn:aws:iam::222222222222:root, it means the customer is trusting the entire Account-222222222222. Now users in Account- 222222222222 should have IAM permission policies attached to them which allow access to the bucket in 1111111111111. 

Therefore you will be able to access the bucket in the other account if you have a policy attached to your user which grants access to the bucket.

Hope this helps.

Thanks."
AWS Key Management Service	"Need help in how to create a limited administrator?
I'm trying to create a student administrator, who has the power to create users, groups, and policies, but has no ability to affect the current administrators, or to increase his or her own authority. 

This means I don't want them to be able to attach/detach anyone to/from the AdminGroup group, nor to attach/detach the policies AdministratorAccess or IAMFullAccess, nor take any put/update/delete actions with respect to the administrators master.admin and leader.admin. 

I tried using the attached policy and attaching this policy to the student.admin, but it's not working as I would have expected. Although, for instance, it does prevent student.admin from attaching to the AdminGroup, it doesn't prevent student.admin from attaching the AdministratorAccess policy directly. Similarly, it will prevent student.admin from creating a new user into the AdminGroup, but is perfectly fine with attaching the AdministratorAccess policy to that new user.

Also, it doesn't prevent adding groups to the administrators master.admin and leader.admin. Nor does it prevent the creation of new groups with the AdministratorAccess policy, and then attaching that group to the student.admin or any other user.

I have looked at https://aws.amazon.com/blogs/security/how-to-create-a-limited-iam-administrator-by-using-managed-policies/, but that doesn't seem to have helped either.

I'm sure I'm missing something here, but I am at a loss at the moment. Any thoughts would be appreciated.

Edited by: CharlieL on Jan 29, 2019 2:20 PM

Edited by: CharlieL on Jan 29, 2019 7:29 PM"
