label	description
AWS Backup	"Bugs affecting the console use of AWS Backup
I have just created our first backup service plan, hoping to decommision the old EFS-EFS CloudFormation-based backup solution that we have used for years. The backup has not run yet, so I am only sharing the first experience of creating the plan.

I have encountered several issues and bugs, and I would like to share those in hope someone at AWS wants to know of them to fix them:

1. IAM default roles were not created automatically. I had to create them manually, for which I have used the existing AWS-provided policies.

2. Two AWS KMS keys seem to have been created. One is called aws/cryotest and the other one is called aws/backup. This seems odd, especially the use of what looks like a codename (cryotest).

3. It is not possible to create a new backup vault using the aws/backup KMS key. The only appearing in the drop-down list is aws/cryotest, which, again, seems oddly named.

4. The UI for creating a backup rule ""recommends"" using a backup window. There is no reference anywhere in the UI to the window. Further, selecting the option seems to cause it to deselect itself upon a further visit to the plan and a time of 10pm is selected instead.

5. Setting one's own backup window, saving it, then produces ""NaN hours NaN minutes"" output in the console, see attached screenshot.

6. There are weird behaviours when trying to edit a rule while creating a plan, seems like the UI is out of synch with the options being selected. I recommend more thorough testing of the console.]

7. Selecting AWS Backup in the Console's ""Services"" pull-down menu brings a sales-y page suggesting I create a new backup plan, even though one already exists. It should take me straight to the list of the existing plans, in line with other AWS resources.

On another note, it would be good if the documentation was a little clearer about:
A. The purposes of the AWS Backup IAM role
B. Storage requirements considering having multiple backup rules. Specifically, do I double my storage requirements by having both a daily and a monthly rule in a single plan, or do they share a base snapshot of some sort and merely add their delta each time they run (EFS). This will have a considerable impact on the cost of using the service.

Overall, this console UI experience makes one concerned about the actual reliability of the backup itself, so I would recommend further, more intensive, testing on AWS side. After all, this is not a free and open source project—but I also hope that the API behind the scenes is more robust than the UI makes it seem.

Many thanks for introducing a potentially very useful service.

Rafal Lukawiecki
Ireland

Edited by: RafalLukawiecki on Feb 20, 2019 6:56 AM"
AWS Backup	"Re: Bugs affecting the console use of AWS Backup
Hello and thank you for the detailed feedback. The AWS Backup team is investigating the items you raised."
AWS Backup	"AWS Backup Failed to create default role
I am eager to try out AWS Backup, but when I try to assign resources the default role fails to create.  The default role radio button is greyed out and has a red error saying ""Failed to create default role.""  

Any info on possible causes, or a list of policies/access needed for a manually created role?

Thanks!"
AWS Backup	"Re: AWS Backup Failed to create default role
Only an account administrator has the authority to create a role in a customer’s account.  The logged on user should ask the Account admin for Assistance in creating this role.  The Account Administrator can easily do this by using the AWS Backup Console and traversing to the “Create an on-demand backup” page.

Note, that the user who wants to initiate a backup or add a selection must have permission to pass this role to backup.amazonaws.com. We will be creating Managed Polices for BackupAdmins and BackupOperators to make this easier."
AWS Backup	"Re: AWS Backup Failed to create default role
This happened to me. Mine failed after several consecutive attempts, and then it worked on the nth-attempt (I was using the root account).

Edited by: areca on Feb 18, 2019 1:50 PM"
AWS Backup	"AWS Backup & AWS PowerShell Module
Will cmdlets for the AWS Backup service be added to the AWS PowerShell module soon?"
AWS Backup	"Re: AWS Backup & AWS PowerShell Module
Hello - Yes AWS Backup will be added to the AWS PowerShellModule in the coming weeks."
AWS Backup	"Re: AWS Backup & AWS PowerShell Module
AWS Backup has been added to the AWS PowerShell module."
AWS Backup	"Feeling like an idiot...how to run a backup?
Hi all,

I'm feeling like an idiot here, but I need help with running a scheduled backup policy. It seems to run, but it's not backing up anything. Any assistance is greatly appreciated. 

I have attached screenshots of the policy here. Let me know if you need further clarification.

Pete

Edited by: Pete2 on Feb 6, 2019 1:42 PM"
AWS Backup	"Re: Feeling like an idiot...how to run a backup?
Your backup plan's last run time was on Feb 6th, so it is running.  

Your resource assignment is based on tags and I have no way of checking that the tags match anything.  If my understanding is correct, the volumes you are trying to backup need to match the tags of your resource assignment.  I don't think it is enough to just match a tag on the ec2 instance.

Hope it helps."
AWS Backup	"Stored Gateway - Stored Volume - AWS Backups
Hi - 

I posted this query in the storage gateway forum, but got no answers.

Can AWS Backup manage backups for a storage gateway  ""STORED"" volume.
A Stored  volume already  implements a forced daily snapshot.   I wonder if
AWS Backup manages this, does it create a separate snapshot stream or does it
use the existing snapshots being made.

thanks, Steve"
AWS Backup	"Re: Stored Gateway - Stored Volume - AWS Backups
Hi Steve,

AWS Backup can backup both cached and stored volumes of Volume Gateway. The default stored volume snapshot scheme remains in place. So if you create an AWS backup policy that backs up stored volumes, they will operate independently of Volume Gateway schedule. You will be able to see the snapshots created by AWS Backup in the EBS console and the snapshots created by AWS Backup of volume gateway volumes can only be managed from AWS Backup (and not from EBS console). 

Hope this helps. If you have any other questions please let us know.

Regards,
Bhavin"
AWS Backup	"AWS Backup endpoints not available
I attempted to hit the US based endpoints for backup and they do not appear to be available.  Any idea when these will be available?

awsbackup.us-east-1.amazonaws.com
awsbackup.us-east-2.amazonaws.com"
AWS Backup	"Re: AWS Backup endpoints not available
Can you please specify how you are hitting the endpoints?"
AWS Backup	"Re: AWS Backup endpoints not available
I'm using API gateway.  If you can verify the endpoints are live, ill debug further."
AWS Backup	"Re: AWS Backup endpoints not available
All AWS Backup endpoints are live. Please try debugging further."
AWS Backup	"Re: AWS Backup endpoints not available
The AWS documentation has been updated to the following addresses.  These work

backup.us-east-2.amazonaws.com
backup.us-east-1.amazonaws.com"
AWS Backup	"Aurora clusters support
Hi,

Is there any ETA to support Aurora Clusters? 

RDS Client: The specified instance is a member of a cluster and a snapshot cannot be created directly. Please use the CreateDBClusterSnapshot API instead.

Edited by: serje on Jan 17, 2019 2:09 AM"
AWS Backup	"Re: Aurora clusters support
Thank you for the feedback. We will be adding support for additional AWS resource types in the future, including types like Aurora clusters. We will prioritize resource types based on customer feedback, so your input is helpful."
AWS Backup	"Re: Aurora clusters support
Hi,

I think there are two things to address here:

1) Aurora clusters should ideally be supported

2) The AWS Backup Console interface when you add a resource of type RDS auto lists out Aurora servers. So the AWS Backup Console very much implies and suggests that it will work - which makes it doubly confusing ( especially as there is no error visible until you find in CloudTrail )
Getting the console and API sorted out initially to inform that Aurora Clusters ( and I am guessing other RDS types ) would be a big help.

Regards"
AWS Backup	"Re: Aurora clusters support
Both points have been raised to the team and will be addressed. Thank you for the feedback!"
AWS Backup	"Re: Aurora clusters support
+1"
AWS Backup	"AWS backup - backup vault notifications not working
Hi,
For some odd reason backup vault notifications can be configured via the CLI but the actual notifications are not generated.
No notifications are received on the SNS endpoint.

I'd also like to propose the following enhancements:
*Backup/Restore to separate AWS Account;
*Backup restore to another AWS region;
*Single file restore from EBS volume;
*Integration with CloudWatch for Backup/Restore monitoring and reporting;

Cheers,"
AWS Backup	"Re: AWS backup - backup vault notifications not working
Hello - have you added AWS Backup as a trusted entity in the resource-based policy of the SNS topic? See an example of the statement that should be added to your SNS topic below. Ensure that you use the relevant region (the example below is for us-west-

And thank you for your feedback on the features. We have taken these as feature requests. 

    {
      ""Sid"": ""__console_pub_0"",
      ""Effect"": ""Allow"",
      ""Principal"": {
        ""Service"": ""backup.amazonaws.com""
      },
      ""Action"": ""SNS:Publish"",
      ""Resource"": ""arn:aws:sns:us-west-2:{accountId}:test""
    }"
