label	description
FPGA Development	"AXI master address width
Hello,
I seem to have a design that is barely routable. I found that if I reduce the AXI master address width to 16 bits it routes (but does not function). At 64 bits it does not route. 

I only need to transfer 528 bytes of data to/from the kernel.

Is it possible to restrict memory to a much smaller address space? I know the documentation says 64 bits is required but want to see if there are any workarounds. 

I don't think using scalars would work because they cannot be read back. 

Thanks!"
FPGA Development	"Synthesis fails for axi_register_slice
My synthesis runs have been working fine until a recent set of innocuous modifications to the source. All of a sudden I'm getting errors in synthesis that have to do with an axi_register_slice I have in my cl_top.sv. I've triple checked the source is there and deleted the encrypted output. Has anyone else run into this problem? Does anyone have any ideas I can try? I'm unfortunately not able to share my source.

The errors happen in RTL Elaboration and look like the following:

INFO: https://forums.aws.amazon.com/ synthesizing module 'axi_register_slice_v2_1_15_axic_register_slice' [/home/centos/aws-fpga/hdk/common/shell_v04261818/design/ip/src_register_slice/hdl/axi_register_slice_v2_1_vl_rfs.v:189]
        Parameter C_FAMILY bound to: virtexuplus - type: string 
        Parameter C_DATA_WIDTH bound to: 109 - type: integer 
        Parameter C_REG_CONFIG bound to: 1 - type: integer 
ERROR: https://forums.aws.amazon.com/ failed synthesizing module 'axi_register_slice_v2_1_15_axic_register_slice' [/home/centos/aws-fpga/hdk/common/shell_v04261818/design/ip/src_register_slice/hdl/axi_register_slice_v2_1_vl_rfs.v:189]
ERROR: https://forums.aws.amazon.com/ failed synthesizing module 'axi_register_slice_v2_1_15_axi_register_slice' [/home/centos/aws-fpga/hdk/common/shell_v04261818/design/ip/src_register_slice/hdl/axi_register_slice_v2_1_vl_rfs.v:2300]
ERROR: https://forums.aws.amazon.com/ failed synthesizing module 'axi_register_slice' [/home/centos/aws-fpga/hdk/common/shell_v04261818/design/ip/axi_register_slice/synth/axi_register_slice.v:58]
ERROR: https://forums.aws.amazon.com/ Error generated from encrypted envelope. [/home/centos/cl_base/build/src_post_encryption/cl_top.sv:17]

Thanks in advance,

-Jack"
FPGA Development	"Re: Synthesis fails for axi_register_slice
Hello JWadden,
Could you please let us know which HDK version you are using ?

You mentioned ""recent set of innocuous modifications to the source"", is it possible that after reverting these changes you are able to synthesize successfully ?

--Thanks
Siddharth"
FPGA Development	"Re: Synthesis fails for axi_register_slice
I just updated to HDK 1.4.7 and got the same synthesis errors. It attempted to install patch AR71715. Vivado's output looks like the following:

INFO: Setting up environment variables
INFO: Base vivado version is Vivado v2018.2_AR71275_op (64-bit) ; Checking if patch AR71715 needs to be installed
INFO:  SDX patch AR71715 is valid for Vivado v2018.2_AR71275_op (64-bit)
INFO: Using Vivado v2018.2_AR71275_op (64-bit)
VIVADO_TOOL_VERSION is v2018.2
INFO: Using HDK shell version shell_v04261818
INFO: HDK shell is up-to-date
INFO: HDK shell is up-to-date
INFO: HDK shell is up-to-date
INFO: DDR4 model files in /home/centos/r/aws-fpga/hdk/common/verif/models/ddr4_model/ were built with Vivado v2018.2_AR71275_op (64-bit)
INFO: CL_DIR is /home/centos/r/cl_basedir
INFO: AWS HDK setup PASSED.
 


I just clarified with a collaborator that we actually did not change the source before synthesis stopped working. Any thoughts?

-Jack"
FPGA Development	"Re: Synthesis fails for axi_register_slice
Hey,
We have run synthesis on cl_dram_dma example and do not see any issue with axi_register_slice_v2_1_15_axic_register_slice.

Is is possible to share your synthesis log file with us ? We will have a look at it.

-Thanks
awsSiddharth"
FPGA Development	"Re: Synthesis fails for axi_register_slice
This was resolved. Thanks for the response!"
FPGA Development	"Looking for the SDE Micro-architecture Specification
The SDE Hardware Guide https://github.com/aws/aws-fpga/blob/master/sdk/apps/virtual-ethernet/doc/SDE_HW_Guide.md mentions the SDE Micro-architecture Specification, but does not provide a link to. I neither could find it in aws-fpga github.

Where can I find the SDE Micro-architecture Specification?

Thanks"
FPGA Development	"Re: Looking for the SDE Micro-architecture Specification
Hello Gabima,
We are updating the README and working on the Spec. We will update the community when the spec is available.

Regards
Bala"
FPGA Development	"Re: Looking for the SDE Micro-architecture Specification
Great, thanks"
FPGA Development	"Re: Looking for the SDE Micro-architecture Specification
Hi Bala,
I was thinking... can you send me a preliminary version for the SDE spec?
I can borrow the SDE interconnect from the Virtual Ethernet design example, but still I have no clue how the descriptors are defined/configured, etc.
Thanks"
