label	description
General	"Free tier
Would have been nice if you guys had a 5 secret free tier to encourage smaller customers to use this instead of the parameter store. Secret rotation is a worthwhile benefit, but I feel like there are some people who won't want to try it out."
General	"Not being able to connect to instance
my instance is i-0c1c6cf2afd55845b. i added my ip to the security group but am still not able to connect to the instance. I have been using remote desktop to connect to my other servers but just not able to connect to EC2. any solutions? Thanks"
General	"Unexpected charges
I am using Free Tier service. Now every month I am getting unexpected charges. I am using (Windows on m4.xlarge)
I was using auto backup on server. Which was exceed my storage.And on my bill was showing following cost.
Amazon RDS Service=$505.32
Amazon Elastic Compute Cloud =$333.59

Now I stop auto backup for my database. But still everyday My bill increase with 20 to 30 $. How can I stop this."
General	"AWS free tier utilization
Hi All,

Is there any way that free tier usages can got with charges.I am using one free tier instances from couple of months back,recently I got usages bill for this although the amount is very minimum but my concern is on what condition this free tier get usages bill.

Thanks
Baharul Islam"
General	"Re: AWS free tier utilization
Yes, you will be charged for usage that isn't covered by or goes beyond the free tier. You can set up a billing alarm to be notified when your upcoming bill exceeds a certain amount, which could very well be set to $0. That way you can quickly act on potentially unwanted charges, but there is unfortunately no way to automatically stay inside the free tier so to speak."
General	"Re: AWS free tier utilization
Hi,
Is this billing alarm is free or chargeable and how can I set the same.
Can you please help for the same.

Thank!"
General	"Re: AWS free tier utilization
Sure! Here's the relevant documentation (you won't be charged):
http://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/free-tier-alarms.html"
General	"Request for increase limit of query timeout
HI all,
I would increase query timeout of Athena but i can't found option in AWS support center. 
Could anyone let me know how to request increase limit ? 
Thanks,
David"
General	"Re: Request for increase limit of query timeout
Hello David,

I’ve sent you more details via the Support Center on case 1980420341.

Please follow the link provided: http://amzn.to/1Nsiekn

Kind regards 
Shaun C"
General	"Re-create deleted Default VPC
Hi,

When you guys have a moment could you re-created the default VPC in eu-west-1 ?
Thanks in advance, I know it's one request that keeps you busy.

Thanks
B"
General	"Re: Re-create deleted Default VPC
Hello Nux,

Thanks for reaching out. 

Please select a contact option via the Support Center and I will gladly assist further: http://amzn.to/1pAUHYo

Regards 
Shaun C"
General	"Would like to reinstate AWS Support (Basic)
Would like to reinstate AWS Support (Basic)

Currently getting this message:
""Authentication failed because your account has been suspended. Please contact AWS customer support. Contact Us"""
General	"Re: Would like to reinstate AWS Support (Basic)
Hi,
This forum is dedicated to AWS Quick Starts (http://aws.amazon.com/quickstart).

For general questions, please use the AWS forums located here:
https://forums.aws.amazon.com/category.jspa?categoryID=3

Thanks,
AWS Quick Start reference team"
