label	description
AWS Batch	"Determine which instances can be used in the compute environment
I'm trying to find which instances I can use in the batch compute environment. 

When trying to create a computer environment with for example t3.small using the cli I get the error:

 An error occurred (ClientException) when calling the CreateComputeEnvironment operation: Error executing request, Exception : Instance type can only be one of [r3.8xlarge, r3, r4, r5, optimal, r5d.24xlarge, etc....


How can I find these instances types out before?"
AWS Batch	"Job Queue priorities not working as documented
We have a number of job queues with different priorities in us-east-2 that share a compute environment.  These queues all have runnable jobs.  All jobs have equivalent vcpu and memory requirements.  When resources become available, jobs are not assigned to resources based on the priority of their job queue.  We cannot determine any logic to the assignment ordering.

Example 1:
Queues A, B and C have increasing priorities: pA > pB > pC
Queues A, B and C share a single compute environment
Queues A, B and C all have both running and runnable jobs.
A spot instance spins up.
Some jobs in queues B and C start running.
Afterwards, A, B and C all still have runnable jobs.

Example 2:
Queues A, B and C have increasing priorities: pA > pB > pC.
Queues A, B and C share a single compute environment.
Queues A and B both have running and runnable jobs.
A new job arrives in queue C.
A running job finishes.
The new job from queue C is scheduled ahead of both A and B.

Many other examples.  Every scheduling interval brings new examples of unexpected behavior."
AWS Batch	"Re: Job Queue priorities not working as documented
Hi,

Are you seeing this when there's no additional room in the CE? That is, desired is equal to or close to max vCPU?"
AWS Batch	"Re: Job Queue priorities not working as documented
Yes.  We haven't seen a situation where priority-based assignment appears to work as documented.  Regarding the saturation level of the CE, we are seeing this behavior both (1) when a CE is not saturated - desired much below max vCPUs - and new resources become available to a CE (e.g. example 1 from the original post where the CE had none or insufficient resources and many otherwise identical jobs were submitted to job queues with different priorities, the jobs assigned to these new resources are not selected based on the priority of their job queues) and also (2) when there is no additional room in the CE (e.g. example 2 in the original post where the CE is completely saturated - at max vCPUs - and runnable jobs are available in job queues with different priorities.  Once a running job finishes there is space for another - that next job is not often selected from the highest priority queue with runnable jobs).

Just to make sure there isn't a misunderstanding... this isn't something that is usually working as expected and occasionally behaves differently.   We have yet to see any evidence that it works as documented in any situation.  The CE has all the same machine types. The jobs themselves all use the same job definition and have identical vCPU and memory requirements.  The only relevant difference between jobs is the job queue to which they have been assigned.  These queues all share the same CE and all have different queue priorities."
AWS Batch	"""CannotPullContainerError: error pulling image configuration"" Error
Hello,

My team and I have been running batch jobs for a while now and just in the past week I have been receiving this error randomly:

CannotPullContainerError: error pulling image configuration: Get https://prod-us-east-1-starport-layer-bucket.s3.amazonaws.com/9e9f-970539778329-ceace685-8632-b8f9-cc32-a3bbf2dfdfaa/aa64a117-6148-4133-8e60-25a4d0e9b5ac

We run a job at least once an hour and this error seems to happen once a day for the past 4 or 5 days. Any help or insight into why this started happening would be very helpful. Thanks!

Job ID's are:

bfece7ba-9f9e-4683-98ee-ca8da45de5af
f3e1501f-e67c-4d69-82dd-888473d639b8"
AWS Batch	"Re: ""CannotPullContainerError: error pulling image configuration"" Error
Hey there, 

Did you ever find a solution to this issue?"
AWS Batch	"Re: ""CannotPullContainerError: error pulling image configuration"" Error
Similar issue during a docker-compose pull:

$ docker-compose pull app
Pulling app ... pull complete
 
ERROR: for app  error pulling image configuration: Get https://prod-us-east-1-starport-layer-bucket.s3.amazonaws.com/.../...?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=...&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Credential=...%2F20190221%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=...: EOF"
AWS Batch	"Long running ec2 instances are slower than fresh instances.
Hello 

I have many jobs that should roughly take about 10mins. Initially, on a fresh ec2 instance they do take 10 mins, but as that instance is reused for hours, jobs start taking 30mins. When I increased the compute environment size and new instances are created, their jobs are back down to 10 mins.

When looking at old vs new instances, the new instances use about 90% of the cpu, while the older on is maybe 20%.

Any idea, what is going on? and how I can fix this without shutting down running instances?"
AWS Batch	"Container Security Issue (CVE-2019-5736) and AWS Batch
Just wanted to double-check my interpretation of what I need to do to fix AWS Batch for this issue (https://aws.amazon.com/security/security-bulletins/AWS-2019-002/). The brief states that ""An updated Amazon ECS Optimized AMI is available as the default Compute Environment AMI. As a general security best practice we recommend that Batch customers replace their existing Compute Environments with the latest AMI available.""

When I create my compute environment for AWS batch I let AWS manage the AMI i.e. I don't check the ""Enable user-specified Ami ID"" option. As per the wording next to the option, ""By default, AWS Batch managed compute environments use a recent, approved version of the Amazon ECS-optimized AMI for compute resources.""

So am I right to assume that if I just create a new compute environment for my queue that it will use an AMI with the fix to CVE-2019-5736 automatically applied?

Edited by: GraemeLudwig on Feb 19, 2019 8:52 AM"
AWS Batch	"Startup time?
Any thoughts on how to make the job startup time more consistent?

Here's the result of a super quick experiment:

2CPU, 2000MB of RAM with 1 free host and no pending jobs
Created at 10:40:35 pm 12/15/16
Started at 10:40:49 pm 12/15/16

2 CPU, 2000MB of RAM with 1 free host and no pending jobs

Created at 10:49:27 pm 12/15/16
Started at 10:51:07 pm 12/15/16

Why'd it take 1.5min to start in the second case?"
AWS Batch	"Re: Startup time?
Thank you for contacting us!

You are seeing behavior that is a result of the scheduling frequency of AWS Batch jobs.  The AWS Batch Scheduler periodically evaluates jobs in the queue and moves them forward as appropriate. As you submit more jobs, you will see that the AWS Batch Scheduler evaluates and operates upon many jobs at once with each scheduling interval.  

For example, if you submit a hundred jobs to AWS Batch, the Scheduler will transition all of these from SUBMITTED to RUNNABLE or PENDING in about a minute.  RUNNABLE jobs should transition to STARTING and RUNNING fairly quickly assuming you have sufficient resources in your compute environment.

Best regards,

Jamie"
AWS Batch	"Re: Startup time?
Thanks, that's useful. Is there any way to increase that frequency?"
AWS Batch	"Re: Startup time?
Not at this time.  Could you share some information regarding your use case and desired scheduling frequency?

Thanks,

Jamie"
AWS Batch	"Re: Startup time?
Jamie,
It's been a few months since this issue came up and I'm a different user, but I have the same concern. I have one particular type of batch job that only takes maybe 10 seconds per job. If the scheduling frequency is once per minute, the instances are idle for the majority of the time. Is there a way to increase the scheduling frequency, or is this just not a good use case for Batch?

Thanks,
Tim"
AWS Batch	"Re: Startup time?
I am having the same issue here.  My cluster is about 10% utilized as jobs aren't started fast enough but the cluster is fully scaled out based on the number of submitted jobs.  Any thoughts here on how to better fully utilize the cluster?"
AWS Batch	"Re: Startup time?
I got complete silence from this post for 2 months so I just decided to pool my short-running jobs together into longer-running jobs. We first did some profiling to determine how long each type of job took, then put them together into groups that run about a half hour per job. It seems like Batch is more suited for jobs that are much longer than the scheduling interval (60 sec?).

It meant restructuring our workflow a little, but we are getting better utilization now. I just wish we could get more insight into the scheduling, or have some settings to tweak how it works."
AWS Batch	"Re: Startup time?
Hello, i have similar issues with job startup time. 
A job that take a few seconds to complete in my old setup ( ecs + sqs, see my post https://forums.aws.amazon.com/thread.jspa?threadID=258172&tstart=0), now in batch takes ~30 seconds or more. The task is executed in same times in both setup, but in aws batch it takes too much time to get executed from the job queue.
My jobs can takes from a few seconds to a few minutes to complete. For first case this configuration of aws batch is not good, and i need faster startup time.
I hope new settings are added to the job queue for better configure this aspect of aws batch.
In my previous setup i have a task that periodically fetch from sqs queues to start jobs, and i can tweak this aspect changing the parameter WaitTimeSeconds of sqs.receiveMessage() function."
