label	description
AWS CodeCommit	"Codecommit assume role error ?
Hi,

This is my codecommit role with policy .

{
    ""AWSTemplateFormatVersion"": ""2010-09-09"",
    ""Description"": ""Cross Account Role to Allow Access to CodePipeline in Tools Account"",
    ""Parameters"": {
        ""ToolsAccount"": {
            ""Description"": ""AWS AccountNumber for tools account"",
            ""Type"": ""Number""
        },
        ""CMKARN"": {
            ""Description"": ""ARN of the KMS CMK creates in Tools account"",
            ""Type"": ""String""
        }
    },
    ""Resources"": {
        ""Role"": {
            ""Type"": ""AWS::IAM::Role"",
            ""Properties"": {
                ""RoleName"":""CodePipelineCodeCommitRole""
                },
                ""AssumeRolePolicyDocument"": {
                    ""Version"": ""2012-10-17"",
                    ""Statement"": [
                        {
                            ""Effect"": ""Allow"",
                            ""Principal"": {
                                ""Service"": [
                                    ""codepipeline.amazonaws.com""
                                ]
                            },
                            ""Action"": [
                                ""sts:AssumeRole""
                            ]
                        }
                    ]
                },
                ""Path"": ""/""
            }
        },
        ""Policy"": {
            ""Type"": ""AWS::IAM::Policy"",
            ""Properties"": {
                ""PolicyName"":""CodePipelineCodeCommitPolicy""
                },
                ""PolicyDocument"": {
                    ""Version"": ""2012-10-17"",
                    ""Statement"": [
                        {
                            ""Effect"": ""Allow"",
                            ""Action"": [
                                ""codecommit:BatchGetRepositories"",
                                ""codecommit:Get*"",
                                ""codecommit:GitPull"",
                                ""codecommit:List*"",
                                ""codecommit:CancelUploadArchive"",
                                ""codecommit:UploadArchive"",
                                ""s3:*""
                            ],
                            ""Resource"": ""*""
                        },
                        {
                            ""Effect"": ""Allow"",
                            ""Action"": [
                                ""kms:*""
                            ],
                            ""Resource"": {
                                ""Ref"": ""CMKARN""
                            }
                        }
                    ]
                },
                ""Roles"": [
                    {
                        ""Ref"": ""Role""
                    }
                ]
            }
        }
    }
}


I am using this role in my codepipeline source stage

{
                        ""Name"": ""Source"",
                        ""Actions"": [
                            {
                                ""Name"": ""App"",
                                ""ActionTypeId"": {
                                    ""Category"": ""Source"",
                                    ""Owner"": ""AWS"",
                                    ""Version"": 1,
                                    ""Provider"": ""CodeCommit""
                                },
                                ""Configuration"": {
                                    ""RepositoryName"": {
                                        ""Ref"": ""ProjectName""
                                    },
                                    ""BranchName"": ""master""
                                },
                                ""OutputArtifacts"": [
                                    {
                                        ""Name"": ""SourceArtifact""
                                    }
                                ],
                                ""RunOrder"": 1,
								""RoleArn"": {
                    ""Fn::GetAtt"": [
                        ""Role"",
                        ""Arn""
                    ]
                },
                            }
                        ]
                    }
					


When i tried to run this in cloudformation it is throwing error like this

 arn:aws:iam::123456789:role/sample-lambda-codepipeline-role is not a
uthorized to perform AssumeRole on role arn:aws:iam::123456789:role/Codecommi
tRole

why is it coming?
ANy help is appreciated."
AWS CodeCommit	"how resolve the merging issue
Hi,
Using Code Commit console when I am trying to merge the branch I get the following error.

There are conflicts between branch and master that cannot be merged in the AWS CodeCommit console. Merge conflicts must be resolved locally before merging.

what step do I need to take to resolve the issue.  I am new to code commit."
AWS CodeCommit	"Re: how resolve the merging issue
Hi bshah,

Sorry you are having problems merging branches in CodeCommit console. Don't worry if you are new, we can help you.

CodeCommit supports only merging branches by Fast Forward, which means that merging is only possible if the branch you are trying to merge into (destination) has not advanced - don't have any new commit - after the branch you are using as source was created.

If you are seeing that error message, it means that destination branch has indeed advanced and now you need to manually resolve that conflict.

To resolved it, you need to fetch the Pull Request branch, rebase it with the destination branch and push the result back to CodeCommit, updating the Pull Request branch. After that, console should say the pull request is mergeable.

There are more information here: https://docs.aws.amazon.com/codecommit/latest/userguide/how-to-close-pull-request.html?icmpid=docs_acc_console_pr#why-git-merge"
AWS CodeCommit	"image links busted
In the old console image links presented a warning and required you to accept image links.  New console does not ask and shows busted links.

Trying to add a badge to a README.md, which seems to me to be what the badge is for? and yet CodeCommit will not display images.  What am I missing here?"
AWS CodeCommit	"Re: image links busted
Support indicates that image links are indeed busted in the new console."
AWS CodeCommit	"Re: image links busted
Hi,

We are aware of this issue, I have passed your feedback to our console team and they will prioritize this issue. Your feedback is very appreciated!

Thanks,
Diane"
AWS CodeCommit	"No access over IPv6
I'm trying to use CodeBuild in a VPC without a NAT gateway (in order to save costs). This means that my build can only access IPv6 addresses on the internet. 
Unfortunately, this seems to mean that the build cannot access CodeCommit in order to check out my code. In the DNS, there is no AAAA record for git-codecommit.eu-central-1.amazonaws.com.
This also means that I cannot pull or push code from my laptop when I'm connected via an IPv6-only network.
Are there any plans to enable IPv6 access to CodeCommit?"
AWS CodeCommit	"Re: No access over IPv6
Hi,

CodeCommit doesn't support IPv6 access right now. Thank you for this feature request, I have passed it to the team for further review and consideration. Your feedback is very much appreciated.

Best,
Diane"
AWS CodeCommit	"Notification Event Format
Regarding the Notification Event Format for when a lambda function is triggred by a code change, I have several questions:
{
  ""Records"": [
    {
      ""awsRegion"": ""us-east-1"",
      ""codecommit"": {
        ""references"": [
          {
            ""commit"": ""971ec583f069a614f67fc71a36db909b65572665"",
            ""ref"": ""refs/heads/master""
          }
        ]
      },
      ""customData"": """",
      ""eventId"": ""1bcbcb91-3113-4194-a01f-651c99f9c3f6"",
      ""eventName"": ""ReferenceChanges"",
      ""eventPartNumber"": 1,
      ""eventTotalParts"": 1,
      ""eventSource"": ""aws:codecommit"",
      ""eventSourceARN"": ""arn:aws:codecommit:us-east-1:***:***"",
      ""eventTime"": ""2016-03-10T00:20:34.828+0000"",
      ""eventTriggerConfigId"": ""914d66cf-f1aa-4efd-a93d-3f7857ffca3b"",
      ""eventTriggerName"": ""test"",
      ""eventVersion"": ""1.0"",
      ""userIdentityARN"": ""arn:aws:iam::***:user/***""
    }
  ]
}


1. What are the possible values for `eventName`?
2. What is the purpose of `eventPartNumber` and `eventTotalParts`? 
3. Will I ever receive multiple records in the `Records` array?"
AWS CodeCommit	"Re: Notification Event Format
1. What are the possible values for `eventName`?
TriggerEventTest (used when you test a trigger in the console or call the TestRepositoryTriggers API), ReferenceChanges (used when there is a push to the repo)

2. What is the purpose of `eventPartNumber` and `eventTotalParts`?
The event may be split into multiple messages due to payload size restrictions in SNS and Lambda. For example, this would happen when pushing more than 20 branches or tags in a single ""git push"", or when migrating a repository to CodeCommit that has many branches and tags. All messages for the same event will share the same ""eventId"", and can be re-assembled using ""eventPartNumber"" and ""eventTotalParts"".

3. Will I ever receive multiple records in the `Records` array?
We do not currently send multiple records in the Records array, but the format allows us to do so in the future."
AWS CodeCommit	"Re: Notification Event Format
How can I get the custom data from the CodeCommitEvent.Record in java. This field is not present in the class."
AWS CodeCommit	"Commit has the wrong Author
Hello,

A commit to CodeCommit repository has an Author an IAM user X (the one used to initialize eb cli), while it has been pushed using the credentials of another IAM user Y which is the one having ""AWSCodeCommitFullAccess"" permission.

I guess I am missing something here.
Does anybody have a clue?"
AWS CodeCommit	"Re: Commit has the wrong Author
Hi,

Git commits have two identifying pieces of information(author, and committer). In the AWS console, we (currently) only display the 'committer' value, (which is confusingly labeled as 'author'). I suspect your commit has differing author and committer values.

To validate these values with CodeCommit, you can call our 'get-commit' api directly from the AWS CLI. To do this, first configure your system with the AWS CLI (follow instructions on https://aws.amazon.com/cli/), and configure the CLI with credentials to access your AWS account where your CodeCommit repository lives.

Provide the repository name and 40-character SHA-1 of the commit to the api input:
 aws codecommit get-commit --repository-name <repository-name> --commit-id <c2c67acfe...> 


The output should contain both Author and Committer information, and you should be able to validate the author and committer are as you expect. More information on 'get-commit' can be found on the get-commit cli documentation page: https://docs.aws.amazon.com/cli/latest/reference/codecommit/get-commit.html

I have also filed an issue internally to display both Author and Committer values through the AWS Console page when the values differ. Thanks for your feedback!"
AWS CodeCommit	"Re: Commit has the wrong Author
Hi David,

Thank you for your reply.
The API has returned the same user for Author and Committer: the user that initialized the EB CLI and the local git repository.

The thing that I was confused about is the following:
the commit had been pushed using the Git Credentials of another user which has the ""AWS CodeCommit Managed Policy"", which I thought would make this user to show as Committer in CodeCommit.

Could you please provide some links or information on how to have two committers (IAM users) in AWS cloud9 environment? So eventually in CodeCommit, we will see the two IAM users show, each one for his own commits."
AWS CodeCommit	"Re: Commit has the wrong Author
For future inquirers, CodeCommit console does show the author of the commit.
If more than one developer are committing to the repository, the author of a commit can be set in a convenient way while committing like the following:

git commit --author=""NAME <EMAIL>"" -m ""commit label"""
AWS CodeCommit	"Slow clone speed using CodeBuild
Hi, we've recently started using CodeBuild and the `DOWNLOAD_SOURCE` step which clones from CodeCommit is very slow.

For a branch that has not been built before it can take between 4 and 6 minutes to clone the repository, which is a huge proportion of the total build time. Building the same branch repeatedly speed things up, and after 10 builds it can be down to ~45 seconds. Pushing a single commit will reset things back up to the 5 minute mark.

Our repository is ~600mb, with a ~250mb .git folder, and we are using a clone depth of 1.

Generally we find all git operations are slow with CodeCommit - 45 second pull / push times for a commit are common, which is significantly slower than any other git hosting service."
AWS CodeCommit	"Re: Slow clone speed using CodeBuild
Hi dig412

Would you be able to Private Message me the project/repository name of your repository and the build Ids of the builds that were slow?"
AWS CodeCommit	"Re: Slow clone speed using CodeBuild
Hello yilun@AWS,

We're encountering the same issue. 
Clone a CodeCommit repository from CodeBuild takes a very long time: about ~15min for 700 Mo, which is unusable.
I can give you a build Id.

Thank you in advance,
Mathieu"
AWS CodeCommit	"New UI broke more then fixed
Here is a list of thinks which got broken due to new UI.

1. It is not possible to get link to the line of code in file
2. Triggers are unavailable in new UI
3. (SNS) Notifications are messed up(it would be much better to forward JSON to sns rather than text) 4. URL in notifications points to the OLD UI! 
https://us-east-1.console.aws.amazon.com/codecommit/home?region=us-east-1#/repository/..

 instead of NEW which broke my integrations
https://us-east-1.console.aws.amazon.com/codesuite/codecommit/repositories/


Edited by: jan-1oglop1-gazda on Jan 30, 2019 9:08 AM"
AWS CodeCommit	"Re: New UI broke more then fixed
Hi, I'm sorry to hear about your issues with the new UI. I will pass this feedback internally to the right team so that they can address these issues."
AWS CodeCommit	"Ohh my blob, what the bloomin blobbinstock is blobbin on here?
""AWS CodeCommit could not find the blob 306516727acee6e6cc626e3cb3bc2cdb3220eee5 in the repository.""

https://imgur.com/a/dsPRf58
then we get,
https://imgur.com/a/GFws31C

We're creating a new repo because we think this particular repo might have got blorpinblobbed, but I was wondering if there is a better way to do it that wouldn't destroy commit history >.>

If it helps, the blob 306516727acee6e6cc626e3cb3bc2cdb3220eee5 is a composer ID.

Edited by: mvetbrandon on Jan 28, 2019 6:32 AM"
AWS CodeCommit	"Re: Ohh my blob, what the bloomin blobbinstock is blobbin on here?
Hi, I'm sorry to hear about this issue. Let's see if we can figure out what's going on here; agree that it's not a great experience to re-create the repository and lose the commit history. A few questions for you:

1. Can you confirm there weren't any concurrent operations, like a DeleteFile or a GitPush (that deletes the blob), that may have deleted the blob inadvertently?
2. Has this occurred just once or every time you re-create the repo with the same blob?
3. If possible, can you try using a different branch and then view the blob?"
AWS CodeCommit	"PR merge via CodeCommit UI does NOT trigger my Lambda?
Hi All,
I've configured my repo to trigger a lambda on ALL repo events and branches. When I push any branch, I can see my Lambda being invoked.

When I create a Pull Request using the UI and then merge it into master, my lambda is NOT invoked. Anyone know why that is?

The only policy work I had to do thus far was to give codecommit permission to execute the lambda - am I missing something, or is this a weakness of CodeCommit itself?

Thanks in advance,
Scott"
AWS CodeCommit	"Re: PR merge via CodeCommit UI does NOT trigger my Lambda?
Hi Scott,

You have found a bug - we are currently not emitting Trigger events on Merge Pull Request. We are working to enable this feature. However, in the meantime, you can consider using Cloudwatch Events (CWE) to enable the expected behavior.

To do this:
1. Create a CloudWatch Events Rule.
    Service Name: CodeCommit
    Event Type: CodeCommit Repository State Change

You can specify ""Any resource by ARN"", or select specific repositories by choosing ""Specific resource(s) by ARN"" and supplying the ARN of your CodeCommit repository(ies).
2. On your CWE Rule, select the 'Targets'. These are the service(s) which will be notified about the events. In your case, you would likely want to select 'Lambda function'.

You can choose your existing Lambda function - or write a new one. The thing to note is that the payload from CWE about repository events is not the same format as the one used with Triggers, so it won't map 1:1 with your existing function.

This rule will publish CodeCommit repository events (such as referenceCreated, referenceUpdated, referenceDeleted) to your CWE Rule targets. This includes events from Pull Request merges, in addition to reference updates directly from Git pushes.

Here is some documentation on the CodeCommit event type payloads, which should help with modifying/creating a new lambda function: http://docs.aws.amazon.com/AmazonCloudWatch/latest/events/EventTypes.html#codecommit_event_type"
AWS CodeCommit	"Re: PR merge via CodeCommit UI does NOT trigger my Lambda?
Is there any update on this bug, looks like open for long time."
AWS CodeCommit	"Re: PR merge via CodeCommit UI does NOT trigger my Lambda?
Use the notifications to trigger the lambda on PRs"
AWS CodeCommit	"Code Commit Branching Error
Hello, I hope someone can help, we keep going into AWS Commit Visualiser and there is a big black line going up through the middle (for which i think is the master branch), however we have two branches, branch a seems to generate a new line from the master branch of a different colour and goes back in like we expect, however branch b does not.

Here is the visualiser, it shows branch a working fine however its not showing it on branch b.
https://pasteboard.co/HXFoUro.png 

Is it something we are doing? Here are our steps:

Change to Branch
Make Changes
Commit Changes
Push To Origin
Change To Master
Merge Branch we made the changes on into Master."
