label	description
AWS CodeStar	"AccessDeniedException using GetParameters operation for SSM param.
Hello,

The following python snippet works fine using python unit tests and when the lambda is called using Postman after the command ""sam local start-api"":
ssm = boto3.client('ssm', 'us-west-2')
 
def get_ssm_value(str_param_name):
    response = ssm.get_parameters(
        Names=[str_param_name], WithDecryption=True)
    for parameter in response['Parameters']:
        return parameter['Value']


However once I push to codecommit and try to test using the lambda dashboard I get the following error (with some identification hidden):
an error occurred (AccessDeniedException) when calling the GetParameters operation: User: arn:aws:sts::<XXX>:assumed-role/CodeStar-<myproject>-Execution/awscodestar-<myproject>-lambda-<myfunction>-YYYY is not authorized to perform: ssm:GetParameters on resource: arn:aws:ssm:us-west-2:ZZZZZ:parameter/<myparam>


Below the role part of my template.yml:
LambdaExecutionRole:
    Description: Creating service role in IAM for AWS Lambda
    Type: AWS::IAM::Role
    Properties:
      RoleName: !Sub 'CodeStar-${ProjectId}-Execution${Stage}'
      AssumeRolePolicyDocument:
        Statement:
        - Effect: Allow
          Principal:
            Service: [lambda.amazonaws.com]
          Action: sts:AssumeRole
      Path: / 
      ManagedPolicyArns:
        -  arn:aws:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole
        -  arn:aws:iam::aws:policy/AmazonSSMReadOnlyAccess
      PermissionsBoundary: !Sub 'arn:${AWS::Partition}:iam::${AWS::AccountId}:policy/CodeStar_${ProjectId}_PermissionsBoundary'


What should I do to get this working?

Thank you"
AWS CodeStar	"Re: AccessDeniedException using GetParameters operation for SSM param.
After a couple of tries and errors I ended up getting this to work.

First I had to edit the inline policy for CodeStarWorker-<myproject>-CloudFormation role and added full access to IAM.

Next I stopped editing the template.yml in VSCode and started using the CloudFormation designer (e.g. https://us-west-2.console.aws.amazon.com/cloudformation/designer/home?region=us-west-2) to make sure my edits are correct (hit the ""refresh"" and then the ""tick"" buttons to validate). This is due to the fact that the slightest empty space can be considered an error in the template. Just need to get used to it. 

Another thing was that I had to remove the 'PermissionBoundary' in order for the custom policies to work. I plan to get back to this later and edit the boundaries as well since I'm still starting up on the AWS world and found it all a bit overwhelming.

Below the end result that allowed me to read the SSM param:
LambdaExecutionRole:
    Description: Creating service role in IAM for AWS Lambda
    Type: AWS::IAM::Role
    Properties:
      RoleName: !Sub 'CodeStar-${ProjectId}-Execution${Stage}'
      AssumeRolePolicyDocument:
        Statement:
        - Effect: Allow
          Principal:
            Service: [lambda.amazonaws.com]
          Action: sts:AssumeRole
      Path: / 
      ManagedPolicyArns:
        -  arn:aws:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole
        -  arn:aws:iam::aws:policy/AmazonSSMReadOnlyAccess
      Policies:
          -
            PolicyName: LambdaCustomPolicySSM
            PolicyDocument:
              Statement:
                - Effect: Allow
            Action: ssm:GetParameter
            Resource:
              - arn:aws:ssm:us-west-2:ZZZZ:parameter/*


Cheers"
AWS CodeStar	"Change CodePipeline in CodeStar
Hi everyone,

How can I change the name of the CodePipeline in my CodeStar Dashboard?

Here is some context to my question:

I have created a CodeStar project and then I realised that I would like to change the name of the CodePipeline. So I did the change through a new CloudFormtaion change set and now I can see that this change was not automatically reflected in my CodeStar project. Which is to be expected, to a certain extend, as CodeStar is not part of my CloudFormation so probably it does not know of any changes to my CloudFromation defined infrastructure. I looked at the CodeStar's cli but I could not find a way to change the CodePipeline ARN to the new one. When I look at the Project Resources of my CodeStar dashboard I still see the old CodePipeline name and ARN. Recreating everything from scratch just because of that is rather bad experience.

Thank you.

Edited by: amea on Jan 31, 2019 11:43 AM

Edited by: amea on Jan 31, 2019 11:47 AM"
AWS CodeStar	"Re: Change CodePipeline in CodeStar
Hello, 

Thank you for your question about pipeline names within AWS CodeStar projects. The CodeStar project name and the pipeline name cannot be changed after the project resources are created. When you create your AWS CodeStar project, the pipeline name is automatically generated based on the project name. For example, for a project named “MyProject”, your pipeline will be named “MyProject-Pipeline” and cannot be edited. I am sorry for the frustration you experienced with this. 


Darla"
AWS CodeStar	"Codestar Jira integration is broken on the atlassian side
The procedure for Atlassian Jira Integration isn't possible now because authentication factors have changed on their side and they are now asking for ""Request Token URL"". See attached graphic. This procedure could use a review.

Edited by: douglasgoodall on Feb 16, 2019 12:03 PM"
AWS CodeStar	"Re: Codestar Jira integration is broken on the atlassian side
Hello,

On the ""Link applications"" modal on JIRA's webpage, only provide a value for the ""Application Name"" field and then click on the bottom checkbox for ""Create incoming link"". Leave all other fields empty on this modal. Clicking on ""Continue"", should open another modal where only ""Consumer Key"", ""Consumer Name"" and ""Public Key"" are required as input. You should find this information on our set up page.

Let us know if this helps."
AWS CodeStar	"AccessDeniedException when trying to test lambda using the dashboard.
Using the CodeStar Python webservice as starting point I have created a lambda function to write data to DynamoDB.

Using ""sam local start-api"" CLI the tests go well and the items appear on the DynamoDB (checking with the dashboard).

However when I try to test the lambda function from the dashboard (Services > Lambda > Functions > ""<MyLambda>"" > Test) I get an AccessDeniedException in the form:

""An error occurred (AccessDeniedException) when calling the PutItem operation: User: arn:aws:sts::xxx:assumed-role/CodeStar-<myproject>-Execution/awscodestar-<myproject>-lambda-<mylambda> is not authorized to perform: dynamodb:PutItem on resource: arn:aws:dynamodb:us-west-2:<mytable>""

Here is part of my modified template.yml:

LambdaExecutionRole:
    Description: Creating service role in IAM for AWS Lambda
    Type: AWS::IAM::Role
    Properties:
      RoleName: !Sub 'CodeStar-${ProjectId}-Execution${Stage}'
      AssumeRolePolicyDocument:
        Statement:
        - Effect: Allow
          Principal:
            Service: http://lambda.amazonaws.com
          Action: sts:AssumeRole
      Path: /
      ManagedPolicyArns:
        -  arn:aws:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole
        -  arn:aws:iam::aws:policy/AWSLambdaInvocation-DynamoDB
        -  arn:aws:iam::aws:policy/AmazonDynamoDBFullAccess
      PermissionsBoundary: !Sub 'arn:${AWS::Partition}:iam::${AWS::AccountId}:policy/CodeStar_${ProjectId}_PermissionsBoundary'

Can someone help?"
AWS CodeStar	"Re: AccessDeniedException when trying to test lambda using the dashboard.
Turns out that what I was doing wrong was creating the DynamoDB in the dashboard.

Once I deleted it and used the Cloudformation template associated to the CodeStar project to create it as well the lambda started to work.

If someone is having the same difficulty, use the role provided above and make sure the db is also created from template.yml, like below:

...
Resources:
  RawRequests:
    Type: AWS::DynamoDB::Table
    Properties: 
      AttributeDefinitions: 
        - AttributeName: TimeStamp
          AttributeType: S
      KeySchema: 
        - AttributeName: TimeStamp
          KeyType: HASH
      ProvisionedThroughput: 
        ReadCapacityUnits: 1
        WriteCapacityUnits: 1
      TableName: RawRequests
...

Cheers"
AWS CodeStar	"How to create a lambda layer for a CodeStar project?
Hello everyone,

I have created a CodeStar project (Python Webservice) and I am using vscode to edit it.

So far I have customized the CodeStar generated project to:

buildspec.yml
functions/lambda1
functions/lambda2
template-configuration.json
template.yml


It builds using ""sam local build"", and when changes are pushed to CodeCommit as well.

However, I did not managed to reuse code between ""lambda1"" and ""lambda2"". If I try to add a ""Layer"" using the ""Lambda Dashboard"" it rewrites the code I have added using git.

Any suggestions on how to re-use code in a CodeStar project?

Edited by: robsondepaula on Feb 11, 2019 11:32 AM"
AWS CodeStar	"CodeStar CLI - Create CodeStar Project without creating GitHub Repo
Hello,

As of the moment, aws codestar create-project --cli-input-json creates a GitHub repo every time, would be good to have an option to reuse an existing repo. Is there a way I can do that?"
AWS CodeStar	"Re: CodeStar CLI - Create CodeStar Project without creating GitHub Repo
Hello,

Today, you cannot create a CodeStar project using an existing GitHub repository from either our CLI or the console.
Thank you for your interest. We have received multiple requests for this feature. Your interest helps us prioritize our work. 

Suket"
AWS CodeStar	"Re: CodeStar CLI - Create CodeStar Project without creating GitHub Repo
Thank you, is there a public roadmap (or can you share one) to know more or less when this feature could potentially be implemented?

Edited by: amea on Feb 11, 2019 2:37 AM"
AWS CodeStar	"Use CodeStar with an existing Github Repo
Hello,

I've just been playing around with AWS CodeStar. I have a number of repo's in Github, is there anyway to connect CodeStar to an existing repo or will it always create a new one.

Regards,
Steve"
AWS CodeStar	"Re: Use CodeStar with an existing Github Repo
Anyone got any ideas on this ?

Edited by: juststeve1 on Feb 26, 2018 1:56 AM"
AWS CodeStar	"Re: Use CodeStar with an existing Github Repo
Is there any updates on this?"
AWS CodeStar	"Re: Use CodeStar with an existing Github Repo
Hello,

Today, you cannot create a CodeStar project using an existing GitHub repository from either our CLI or the console.
Thank you for your interest. We have received multiple requests for this feature. Your interest helps us prioritize our work."
AWS CodeStar	"GitHub Repository Rename
Hi everyone,

If I rename a GitHub repository then the GitHub Issues extension in CodeStar brakes. I don't find a way to update the CodeStar project, which I created using the aws codestar cli. Could you please advise what I can do without recreating the whole project?

Thank you"
AWS CodeStar	"CodeStar: Custom Tiles & Extensions - Feature Request
Hi everyone,

I am huge fan of CodeStar and I believe it has a big potential. Therefore I would like to ask if you plan to add a Custom Tiles & Extensions feature, so that people can bring their own graphical representations (Graphs, Text, Images ) from with their project resources (maybe via S3 or Lambda) and also from 3^rd party services, such as SonarCloud or Sentry, etc."
AWS CodeStar	"Re: CodeStar: Custom Tiles & Extensions - Feature Request
Hi,
Thank you for this feature request, I have passed it to the team for further review and consideration. Your feedback is very much appreciated!"
AWS CodeStar	"Select subnet at create time of project
Hello all,

I have create a CodeStar project using EBS. But, the subnet selected is wrong and EBS say me
The EC2 instances failed to communicate with AWS Elastic Beanstalk


It's right, because subnet is private subnet.

If I want change subnet in EBS console> MyApp > Configuration > Network
I can't cause application state
Must be Ready.


I don't have right to create changeset in CloudFormation to change subnet.

How can I choice subnet at create time ?

Regards,"
