label	description
AWS Data Pipeline	"ShellCommandActivity timedout before reaching terminateAfter
Based of our requirements we need to pull 3rd party API to retrieve data and as number of calls per second and amount of data per call limited, i do it in cycle inside python script. My estimation job should run for about 3 hours, but it's getting TIMEDOUT in about 1,5 hours. Setting on Ec2Resource 'terminateAfter' set to 6 hours. 

PipelineId df-0294889QJXIOPTDILRQ

Thanks,
Sergei"
AWS Data Pipeline	"Re: ShellCommandActivity timedout before reaching terminateAfter
My recent reruns shows that it can TIMEDOUT in less than 45 minutes and unfortunately Stdout log not collected in full, i assume just some buffer got coppied to S3.

That's beg the question - what are triggers and controls TIMEDOUT for ShellCommandActivity.

Recreated pipeline id df-046239115F6OM7BE8JE5

Sergei"
AWS Data Pipeline	"Re: ShellCommandActivity timedout before reaching terminateAfter
Hi Team,

I am also facing this issue:

My EC2 ""Terminate After"" set to 2 hours.
But my Shell Command Activity Failed with Status ""TIMEDOUT"" in 20-30 mins only.

Also as per the documentation: https://docs.aws.amazon.com/datapipeline/latest/DeveloperGuide/dp-pipeline-status.html 
TIMEDOUT
The resource exceeded the terminateAfter threshold and was stopped by AWS Data Pipeline. After the resource reaches this status, AWS Data Pipeline ignores the actionOnResourceFailure, retryDelay, and retryTimeout values for that resource. This status applies only to resources.

Then why it is creating problem in shell command Activity.

Please help me to resolve this issue

PIPELINE ID: df-05597142MC6XESXMKWFH"
AWS Data Pipeline	"Datapipline : from rds to s3 (csv with headers)
Hi, 

Currently I have created a data pipeline for data transfer from rds to s3. It works fine i.e. it transfers the data in the csv file. But the headers are repeated 3 times and they are not the first record. They appear in between and at different row positions. 

What i require is that the header,  to be the first row and rest of the 2 rows should not exist. Is there a property which handles this?

Thanks
Prachin Soparkar"
AWS Data Pipeline	"Error migrating data from Dynamo DB to S3
I need to export data from Dyanmo DB to S3, however always encounter this error

errorMsg :	at org.apache.hadoop.mapreduce.JobSubmitter.writeSplits(JobSubmitter.java:322)
	at org.apache.hadoop.mapreduce.JobSubmitter.submitJobInternal(JobSubmitter.java:198)
	at org.apache.hadoop.mapreduce.Job$11.run(Job.java:1341)
	at org.apache.hadoop.mapreduce.Job$11.run(Job.java:1338)
	at java.security.AccessController.doPrivileged(Native Method)
	at javax.security.auth.Subject.doAs(Subject.java:422)
	at org.apache.hadoop.security.UserGroupInformation.doAs(UserGroupInformation.java:1836)
	at org.apache.hadoop.mapreduce.Job.submit(Job.java:1338)
	at org.apache.hadoop.mapred.JobClient$1.run(JobClient.java:575)
	at org.apache.hadoop.mapred.JobClient$1.run(JobClient.java:570)
	at java.security.AccessController.doPrivileged(Native Method)
	at javax.security.auth.Subject.doAs(Subject.java:422)
	at org.apache.hadoop.security.UserGroupInformation.doAs(UserGroupInformation.java:1836)
	at org.apache.hadoop.mapred.JobClient.submitJobInternal(JobClient.java:570)
	at org.apache.hadoop.mapred.JobClient.submitJob(JobClient.java:561)
	at org.apache.hadoop.mapred.JobClient.runJob(JobClient.java:870)
	at org.apache.hadoop.dynamodb.tools.DynamoDbExport.run(DynamoDbExport.java:79)
	at org.apache.hadoop.util.ToolRunner.run(ToolRunner.java:76)
	at org.apache.hadoop.dynamodb.tools.DynamoDbExport.main(DynamoDbExport.java:30)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:498)
	at org.apache.hadoop.util.RunJar.run(RunJar.java:234)
	at org.apache.hadoop.util.RunJar.main(RunJar.java:148)

How do I debug this, or proceed. Any help will be appreciated"
AWS Data Pipeline	"Re: Error migrating data from Dynamo DB to S3
Hello,

Thank you for reaching out to us. 

Can you please provide the Data Pipeline ID in order to investigate the exact cause and provide a resolution.

Alternatively, you would consider opening a support case for prompt response.

Thanks,
Snehal"
AWS Data Pipeline	"Re: Error migrating data from Dynamo DB to S3
Thank you,

It turns out that tables with on demand capacity are not yet supported by Data Pipeline.
So to resolve it, I got to manually assign the read throughput"
AWS Data Pipeline	"IAM role instead of IAM user
Hi,
  Is it possible to user the IAM role of the EC2 instance running TaskRunner instead of entering an IAM user access key and secret?

Thanks"
AWS Data Pipeline	"Re: IAM role instead of IAM user
Hi,

Yes, it is possible to make use of EC2 instance role instead of configurations i.e. IAM user access key and secret key.

Steps -

Launch a fresh instance with the correct role - ""DataPipelineDefaultResourceRole"", and then downloaded the Taskrunner jar.

$  java -jar TaskRunner-1.0.jar --workerGroup=wg-xxxxx --region=eu-west-1 & disown

The IAM role on the instance should be: ""DataPipelineDefaultResourceRole""

Sample is here:
 https://docs.aws.amazon.com/datapipeline/latest/DeveloperGuide/dp-iam-roles.html 

Please let me know if this is working on your side. 

I hope above helps. If you are facing and further issue, you can definitely contact AWS Support for more in-depth investigation."
AWS Data Pipeline	"Record status of Pipeline and individual activity
I am looking for a way to record the status of the pipeline in a DB table. Assuming this is a very common use case.
Is there any way where I can record 
1. status and time of completion of the complete pipeline.
2. status and time of completion of selected individual activities.
3. the ID of individual runs/execution.

The only way I found was using SQLActivity that is dependent on an individual activity but even there I cannot access the status of the parent/node.

I am using a jdbc connection to connect to a remote SQLServer. And the pipeline is for coping S3 files into the SQLServer DB."
AWS Data Pipeline	"Unable to validate an instance profile with the role DataPipelineDefault
Hi,
I am facing a weird issue while trying to set up a DataPipeline via Cloudformation.

The Cloudformation yaml file is used to create the two needed Roles ( DataPipelineDefaultRole and DataPipelineDefaultResourceRole ) and its DataPipeline as described in the AWS doc : https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/aws-resource-datapipeline-pipeline.html

I am using exactly that example including the creation of two Roles by strictly following this AWS tutorial : https://docs.aws.amazon.com/datapipeline/latest/DeveloperGuide/dp-iam-roles.html

To make it short:

If I create the two roles via AWS Web Console and then run the CloudFormation process, everything works as expected (datapipeline and all needed resources are properly created).

But if I try to include the creation of the roles into the CloudFormation file and skip the Web Console, then I get the below error :
Pipeline Definition failed to validate because of following Errors: [{ObjectId = 'EmrClusterForBackup', errors = [Unable to validate an instance profile with the role name'DataPipelineDefaultResourceRole'.Please create an EC2 instance profile with the same name as your resource role]}] and Warnings: [{ObjectId = 'Default', warnings = ['pipelineLogUri'is missing. It is recommended to set this value on Default object for better troubleshooting.]}]


So, I have spent hours today trying to debug this issue and can guarantee that the generated Roles are identical either using the Web Console or the CloudFormation definition. I have extracted their json definition via iam get-role command in both cases and they are indeed the same.

Can someone help out here ?
Best,
M.

Edited by: tundraspar on Feb 6, 2019 1:22 PM"
AWS Data Pipeline	"Re: Unable to validate an instance profile with the role DataPipelineDefault
just compared the Roles details and noticed the one created via CF automation has an extra line (Sid:) which is empty anyway:

Role generated via Web Console
{
    ""Role"": {
        ""RoleName"": ""DataPipelineDefaultRole"",
        ""CreateDate"": ""2019-02-06T17:22:13Z"",
        ""RoleId"": ""AROAI2B7HMTSEAUOGJOK4"",
        ""Path"": ""/"",
        ""Arn"": ""arn:aws:iam::429416768433:role/DataPipelineDefaultRole"",
        ""AssumeRolePolicyDocument"": {
            ""Version"": ""2012-10-17""
            ""Statement"": [
                {
                    ""Effect"": ""Allow"",
                    ""Principal"": {
                        ""Service"": [
                            ""elasticmapreduce.amazonaws.com"",
                            ""datapipeline.amazonaws.com""
                        ]
                    },
                    ""Action"": ""sts:AssumeRole""
                }
            ],
        },
    }
}


Role generated via CF
{
    ""Role"": {
        ""RoleName"": ""DataPipelineDefaultRole"",
        ""CreateDate"": ""2019-02-06T17:46:25Z"",
        ""RoleId"": ""AROAJGHEOSAQTO6DWRNWY"",
        ""Path"": ""/"",
        ""Arn"": ""arn:aws:iam::429416768433:role/DataPipelineDefaultRole"",
        ""AssumeRolePolicyDocument"": {
            ""Version"": ""2012-10-17"",
            ""Statement"": [
                {
                    ""Effect"": ""Allow"",
                    ""Principal"": {
                        ""Service"": [
                            ""datapipeline.amazonaws.com"",
                            ""elasticmapreduce.amazonaws.com""
                        ]
                    },
                    ""Action"": ""sts:AssumeRole"",
                    ""Sid"": """"
                }
            ]
        }
    }
}


Can it interfere somehow ?"
AWS Data Pipeline	"Re: Unable to validate an instance profile with the role DataPipelineDefault
After having spent hours on this, I found out that there is a need to create the instanceProfile (manually or via CM if you use any automation tools like ansible, terraform or chef).

The AWS documentation was a bit misleading as the Emr cluster definition field specifies to provide the resourceRole whereas the instanceProfile previously created was meant to be set there.

Here is my terraform procedure :
data ""aws_iam_policy_document"" ""ec2_assume_role"" {
  statement {
    effect = ""Allow""
    principals {
      type        = ""Service""
      identifiers = [""ec2.amazonaws.com"",""datapipeline.amazonaws.com"",""elasticmapreduce.amazonaws.com""]
    }
    actions = [""sts:AssumeRole""]
  }
}
 
resource ""aws_iam_role"" ""emr_ec2_instance_profile"" {
  name               = ""MyInstanceProfile""
  assume_role_policy = ""${data.aws_iam_policy_document.ec2_assume_role.json}""
}
 
resource ""aws_iam_role_policy_attachment"" ""emr_ec2_instance_profile1"" {
  role       = ""${aws_iam_role.emr_ec2_instance_profile.name}""
  policy_arn = ""arn:aws:iam::aws:policy/service-role/AmazonElasticMapReduceforEC2Role""
}
 
resource ""aws_iam_role_policy_attachment"" ""emr_ec2_instance_profile2"" {
  role       = ""${aws_iam_role.emr_ec2_instance_profile.name}""
  policy_arn = ""arn:aws:iam::aws:policy/service-role/AmazonEC2RoleforDataPipelineRole""
}
 
resource ""aws_iam_instance_profile"" ""emr_ec2_instance_profile"" {
  name = ""${aws_iam_role.emr_ec2_instance_profile.name}""
  role = ""${aws_iam_role.emr_ec2_instance_profile.name}""
}
 

In short :

create the Policy Document
a IAM Role
Two Policies attachment MapReduce and DataPipeline (perhaps the first one not needed though)
The most important => attach them together with the instanceProfile


Let me know if you need more help or get stuck
Hope it helps!
Best"
AWS Data Pipeline	"AWS Data Pipeline future?
Out of curiosity, for any AWS people monitoring this forum, what are the plans, if any, for further evolving the AWS Data Pipeline service. I assume since there has been very little activity over the last several years that there are not further plans to iterate or improve this service?

For instance, are there any plans to add CloudWatch events and monitoring for pipeline specific activities and events? Any plans for integrating with other future/current data stores (e.g. Aurora Serverless via SQL Activity) and EC2 generations?"
AWS Data Pipeline	"Aurora Serverless Integration
Are there any plans to add Aurora Serverless integration with the AWS Data Pipeline? 

Right now, it does not appear to be supported for the ""SQLActivity"" and ""RdsDatabase"" for example."
AWS Data Pipeline	"Re: Aurora Serverless Integration
Could you post the exception/error detail ?
 you can try jdbcdatabase instead of rdsinstance 

https://docs.aws.amazon.com/datapipeline/latest/DeveloperGuide/dp-object-jdbcdatabase.html"
AWS Data Pipeline	"Re: Aurora Serverless Integration
I needed to use the ""LOAD"" command and Aurora Serverless does not support LOAD DATA FROM S3. I used the ShellActivity to stage the data and ""LOAD DATA FROM INFILE"" as a workaround."
