label	description
AWS Lambda	"Check the invocation type for a lambda function
Is there a way to tell if the lambda function code running is the result of a RequestResponse
 type or an Event
 type.

In the later I'd like to write the payload I would have returned from the former to a key in S3. It would be easier than passing in a custom parameter. I don't see any part of the context
 object that would hint at what the invocation type is though."
AWS Lambda	"Re: Check the invocation type for a lambda function
If the requests are coming from a supported Event Source for AWS Lambda, you can identify the source of the request since all event sources have standard event payload structure. You can view the sample event data at http://docs.aws.amazon.com/lambda/latest/dg/eventsources.html. Based on the event source, you can determine if the request was RequestResponse or Event.

If the requests are coming directly from a custom client, then you control the event payload and can insert a parameter in the event based on the invocation type. Hope this helps."
AWS Lambda	"Re: Check the invocation type for a lambda function
In my world functions are most often called by my code directly (i.e. I control the client). It's continuing to be a pain in the shorts (going on three years?) for me to add a redundant property to all payloads just to know if the function needs to return a result (RequestResponse) or send the result via other channels (Event).  A specific use case for this is handling UDP traffic, where there may be two response channels based on the client's needs.  In such a case, a RequestResponse invocation indicates the need for synchronous processing and the client is taking responsibility for the return communication of the result.  By contrast, an Event invocation indicates that the client is delegating the return response to the lambda (or downstream).  

I'm not sure why this is difficult to add to the Lambda context -- seems like a gimme to me. Further, AWS seems to agree: The documented behavior of the Lambda service itself relies on this distinction in determining how to communicate error information. See https://docs.aws.amazon.com/lambda/latest/dg/dotnet-exceptions.html:

The method in which error information is conveyed depends on the invocation type

So, is this going to be fixed at some point? Any update here? Or is this yet another ""we decided and we aren't going to fix it"" situation?"
AWS Lambda	"How can I have Lambda read the APP ID and therefore customize it's response
I have a few skills that are using the same lambda function but I'd like to have some customization for each application.  Bear with me as I am a newbie to javascript and coding so this may be a simple answer.  I know the appID is sent in the JSON from Alexa to Lambda, but not sure how to read that portion of the JSON.  Any advice appreciated. Thank you."
AWS Lambda	"Best practice for creating truly serverless AWS dynamic web application
What is AWS's advice on best practices regarding the development of a truly serverless multi-page dynamic web application? By truly serverless, I mean that the web pages themselves (and not just the Lambdas behind them) are managed without explicitly having to configure an EC2 instance.

I've done some research but haven't found a clear-cut answer. Yes, static websites can be hosted serverlessly in S3. I also accept that a truly serverless dynamic website can be created in AWS, with the HTML dynamically generated by invoking a Lambda function, but is this an official recommended practice? Googling the subject shows that there are many developers that think it is a poor approach.

Can an AWS representative please advise whether a purely serverless architecture is suitable for multi-page dynamic web application?

Thank you"
AWS Lambda	"Re: Best practice for creating truly serverless AWS dynamic web application
I do not work for AWS, so apologies for that in advance.

Generally, the advice is to have your static website in S3, with the dynamic bits handled via calls to a separate service composed of API Gateway and Lambda.

Here's an example blog post from AWS detailing a contact form using this setup. https://aws.amazon.com/blogs/architecture/create-dynamic-contact-forms-for-s3-static-websites-using-aws-lambda-amazon-api-gateway-and-amazon-ses/"
AWS Lambda	"Re: Best practice for creating truly serverless AWS dynamic web application
Thanks, Ellison. The article you reference shows how to bring dynamic behaviour to a static web page. I'm seeking guidance on the serverless generation of a dynamic web page - i.e. a page for which an html fragment such as a div block can be selectively included or excluded based on the value of a session variable.

I suspect that the answer to my question is ""no, there is no official AWS guidance for this scenario""."
AWS Lambda	"Recommended Lambda function size
What is the best recommended memory size of the lambda function if we have to respond to 50,000 users at the same time ?
In my case, right now lambda function uses maximum of 80 to 100MB of memory for single request.

Edited by: awsIsg on Feb 26, 2019 5:09 AM"
AWS Lambda	"Re: Recommended Lambda function size
The concurrency of the function is not related to the memory size of the function. The Lambda infrastructure will create multiple instances of your function to handle multiple requests, and each instance will have a seperate block of memory of the configured size.

If you're aiming for 50,000 though, you will have other problems, the first of which being the default concurrency limit in lambda being 1000 (https://docs.aws.amazon.com/lambda/latest/dg/limits.html)."
AWS Lambda	"Re: Recommended Lambda function size
Thanks Ellison, it's really useful."
AWS Lambda	"Lambda function doesnt work sequentially?
I'm trying to implement a function which is called by API Gateway. It gets passed a email address+password, then checks if the Email address is already in use. If thats not the case it should be put in my dynamo DB table.

When testing it with an Email address which is already in use, the put operation is still executed, eventhough the boolean should be set to false.


'use strict';

var AWS = require('aws-sdk'),
    uuid = require('uuid'),
    documentClient = new AWS.DynamoDB.DocumentClient();

exports.handler = function(event, context, callback) {

    if (event.body !== null && event.body !== undefined) {

        let body = JSON.parse(event.body);
        let eMailAddress = body.mail;
        let password = body.password;
        var EmailInUse = Boolean(false);

        var paramsScan = {
            TableName: ""accounts""
        };
        documentClient.scan(paramsScan, function(err, data) {
            for (var i in data.Items) {
                i = data.Items;
                if (i.EmailAddress == eMailAddress) {
                    console.log(""already used"");
                    callback(err, ""Email Address already in Use!"");
                    EmailInUse = true;
                }
            }

        });

        console.log(EmailInUse);
        if (EmailInUse == false) {
            console.log(""should not enter if email used"");
            var params = {
                Item: {
                    ""AccountID"": uuid.v1(),
                    ""Password"": password,
                    ""EmailAddress"": eMailAddress
                },
                TableName: ""accounts""
            };

            documentClient.put(params, function(err, data) {
                if (err) {
                    callback(err, null);
                }
                else {
                    const response = { statusCode: ""200"", ""headers"": {}, body: JSON.stringify(params), ""isBase64Encoded"": ""false"" };
                    callback(null, response);
                }
            });

        }
    }
};

this is my Cloudwatch log for calling it 2 times with the same parameters:

12:54:01
START RequestId: 281b0eda-950b-40fc-a2e2-d326cd04f8a4 Version: $LATEST
12:54:01
2019-02-26T12:54:01.434Z 281b0eda-950b-40fc-a2e2-d326cd04f8a4 false
12:54:01
2019-02-26T12:54:01.471Z 281b0eda-950b-40fc-a2e2-d326cd04f8a4 should not enter if email used
12:54:01
END RequestId: 281b0eda-950b-40fc-a2e2-d326cd04f8a4
12:54:01
REPORT RequestId: 281b0eda-950b-40fc-a2e2-d326cd04f8a4 Duration: 320.98 ms Billed Duration: 400 ms Memory Size: 128 MB Max Memory Used: 31 MB
12:54:47
START RequestId: b9df94ce-0d59-4dfb-8b61-8098db566431 Version: $LATEST
12:54:47
2019-02-26T12:54:47.591Z b9df94ce-0d59-4dfb-8b61-8098db566431 false
12:54:47
2019-02-26T12:54:47.591Z b9df94ce-0d59-4dfb-8b61-8098db566431 should not enter if email used
12:54:47
2019-02-26T12:54:47.812Z b9df94ce-0d59-4dfb-8b61-8098db566431 already used
12:54:47
END RequestId: b9df94ce-0d59-4dfb-8b61-8098db566431
12:54:47
REPORT RequestId: b9df94ce-0d59-4dfb-8b61-8098db566431 Duration: 311.87 ms Billed Duration: 400 ms Memory Size: 128 MB Max Memory Used: 31 MB"
AWS Lambda	"[OT] Just ignore
Just ignore

Edited by: Cvele on Feb 25, 2019 2:25 PM

Edited by: Cvele on Feb 25, 2019 2:26 PM"
AWS Lambda	"Concept of Lambda triggers/events and Web App request-response integration
While concept of events and triggers for invoking Lambda are the great, I simply cannot see way how to integrate this with standard HTTP request-response sequence which happens during the usual web application scenario.

Consider a classic example, file processing. 
So, user of the web app can upload file to some S3 bucket.
As a response, user gets HTTP status 200, so file upload was successful.

On the other side,  we have Lambda function attached to S3Event, which does some business related to that file. Now, suppose we have a business rule  which can be disturbed - wrong file type, wrong file content, simply runtime error etc.. Out Lambda can check for that and throw appropriate exception. And here is a problem: there is no way to  notify the user that's something goes wrong. Because of execution of our lambda is completely unrelated to user's  original HTTP request (notify user about problem via email using SNS is unacceptable). And here is no way to track what's going on with that Lambda

So, how are you doing  this?"
