label	description
AWS Schema Conversion Tool	"SCT SQL Server connection error
Anyone having issue to connect to a local instance of SQL server? I have tried every single combination
1. .\
2. localhost
3. ipaddress
4. computer name

None of them worked.

'A connection error occurred. For details, see the log file.  Connection wasn't established. Check connection properties.'

Edited by: keeyu on Feb 14, 2019 5:59 AM"
AWS Schema Conversion Tool	"Re: SCT SQL Server connection error
I got it work

Go to Start->All Programs-> Microsoft SQL Server 2017--> Click SQL Server Configuration Manager -> Expand SQL Server Network Configuration-> Protocol ->Enable TCP/IP Right box

Restart the SQL service--> the connection name 127.0.0.1 --> port 1433

Edited by: keeyu on Feb 14, 2019 6:55 AM"
AWS Schema Conversion Tool	"AWS SCT - Uploading statistics file
Hi, Is there a specific format for the statistics file that we can upload(which is not generated with SCT tool)? Noticed that SCT tool is taking long time to generate statistics. Not sure if we can use the statistics generated with DBCC SHOW_STATISTICS from SQL server to upload to SCT. Please advise. Thanks."
AWS Schema Conversion Tool	"Re: AWS SCT - Uploading statistics file
Hi
I am not able to migrate SQL SERVER store procedure using sct,need help"
AWS Schema Conversion Tool	"Problems with Oracle Extension Pack
I have some issues and questions when converting Oracle RDS to AWS Aurora database. I am using SCT build 622. I appreciate all your help and advice.
My first step is to decide whether to convert it to MySQL compatible or PostgreSQL compatible. It seems it much easier to convert to PostgreSQL. 

1. When choosing PostgreSQL, Oracle functions TO_DATE, TO_CHAR and TO_NUMBER are created in aws_oracle_ext schema correctly. But, when choosing MySQL, these functions are failed, thus not created. The error messages look like ""ERROR: executing statement  ext_pack/mysql/oracle/functions/aws_oracle_ext.to_date.sql. Cause: You have an error in your SQL syntax;""   Do you know what could be wrong? Where are the script actually located?

2. In both cases, Oracle scheduler jobs are not converted. Do I need to apply extension pack manually to implement Lambda functions?  SCT manual reads ""The AWS SCT extension pack contains Lambda functions that provide email, job scheduling, and other features to databases hosted on the Amazon EC2 platform"", but I am not using EC2 platform.

3.  In one project, Oracle function TO_DATE in DDL, such as VIEW definitions, is converted to aws_oracle_ext.TO_DATE().  But in another project, it is converted to aws_oracle_ext.TO_DATE(JSON_OBJECT()). Why there are such kind of random things? I don't think I have different settings among the two projects.

Appreciate any advice.

Gary

Edited by: gy on Jan 30, 2019 4:12 PM

Edited by: gy on Jan 30, 2019 4:13 PM"
AWS Schema Conversion Tool	"Convert table ORACLE => ORACLE(RDS)
Hi There,

I'm facing some issues to convert tables that are using diferent tablespaces for DATA, INDEX and LOBs.

1. All table spaces was correct created on target. OK.

2. SCP identify that lobs should use specific tablespaces OK. First image in attach

3. All LOBs are being created using default table tablespace. Second image in attach

Edited by: RafaelAlmeida on Dec 10, 2018 5:39 AM"
AWS Schema Conversion Tool	"Replication 1 month old data in sql server using DMS
Hi all,

SQl server 2014 data was migrated from on -prem to cloud EC2 using native backup tools and the database was open post recovery.
Can DMS be used to replicate the delta changes from source to target database if the target database is already in  open mode?

Regards,
Yasir"
AWS Schema Conversion Tool	"Not able to see Menu Item Database Migration View (Local & DMS) in SCT Tool
Hi All , 
I am not able to see the menu Item Database Migration View (Local & DMS) it just appears as Database migration View , Please let me know if"
AWS Schema Conversion Tool	"AWS SCT Profile Error
Hello:

I am creating new AWS Service Profiles in SCT and i am getting error as shown in attached screenshot.

Any help is greatly appreciated.

FYI....... my Access Key & Secret Key is working one. I did with & without S3 Bucket folder and same error.

Thanking in advance
Jugal"
AWS Schema Conversion Tool	"Re: AWS SCT Profile Error
faced with similar issue"
AWS Schema Conversion Tool	"Re: AWS SCT Profile Error
Hi, 

I have got a similar error when I tested a new AWS Service Profile.
OS: RHEL6
Internet access: The machine have internet access
AK & SK: Provided the correct ones. Even aws cli commands are working fine with same AK/SK.
S3 Bucket & Region: My bucket is in ap-south-1 region. With or without s3 bucket name, the connection test is failing.

Log Error snippet from the AWS SCT UI tool:

2018-04-15 18:03:13.218 https://forums.aws.amazon.com/     GENERAL INFO    Attached GC listener to PS Scavenge
2018-04-15 18:03:13.218 https://forums.aws.amazon.com/     GENERAL INFO    Attached GC listener to PS MarkSweep
2018-04-15 18:03:16.104 https://forums.aws.amazon.com/     GENERAL INFO    Error getting HTML code from https://d15coatskj6gs5.cloudfront.net/?versionNumber=0&buildNumber=0. No connection.
2018-04-15 18:03:16.104 https://forums.aws.amazon.com/     GENERAL INFO    Unable to get server version list. Check your internet connection
2018-04-15 18:03:16.104 https://forums.aws.amazon.com/     GENERAL INFO    Server version list is empty. Can't get last remote version
2018-04-15 18:03:36.015 https://forums.aws.amazon.com/     GENERAL INFO    Fire event update dms global settings
2018-04-15 18:03:36.032 https://forums.aws.amazon.com/          UI INFO    incorrect S3 bucket name
2018-04-15 18:04:10.945 https://forums.aws.amazon.com/          UI INFO    UI.Taskcom.amazon.sct.handler.dms.GlobalEnvironmentHandler
2018-04-15 18:04:12.744 https://forums.aws.amazon.com/          UI INFO    UI.Callback com.amazon.sct.handler.dms.GlobalEnvironmentHandler
2018-04-15 18:04:20.306 https://forums.aws.amazon.com/          UI INFO    UI.Taskcom.amazon.sct.handler.dms.GlobalEnvironmentHandler"
AWS Schema Conversion Tool	"Re: AWS SCT Profile Error
If you haven't done so, please try to use the latest build of SCT.  It should have more information on which components are having a problem and we can take a look at diagnosing the issue."
AWS Schema Conversion Tool	"Re: AWS SCT Profile Error
Hello Jugal,

Sorry to hear that you are facing issues while creating Profile in AWS Schema Conversation Tool. Would you be able to share log which you are seeing?

Are you following below steps listed on our public documentation? Please give me some more details and I would be able to help you resolve the issue.

https://docs.aws.amazon.com/SchemaConversionTool/latest/userguide/CHAP_UserInterface.html#CHAP_UserInterface.Profiles

Thanks,
Mahesh Kansara"
AWS Schema Conversion Tool	"Re: AWS SCT Profile Error
Hello, 

I had the same issue today , i had to do the following workaround to make this work:

1- go to global settings and create first profile that have your aws access/secret keys.
2- go to global settings and create second profile that have dummy/invalid aws access/secret keys. use this one as default in global !!
3- go to project settings and use the first profile as default and then try to create DMS task from UI.

this is how it worked for me .. 

Thanks,
Hussein"
