label	description
AWS X-Ray	"X-Ray can't poll SampleRules
Hi, I deployed my Java application using as an ECS Task. My task definition creates a task definition for xray daemon as specified in the documentation with port mappings as udp 2000. Also I've set the environment variable 'AWS_XRAY_DAEMON_ADDRESS' as 'xray-daemon:2000' and docker containers are linked using 'links' attribute. Added servlet filter to my webapp thats running on tomcat. Also added servletContextListener with following:

        AWSXRayRecorderBuilder builder = AWSXRayRecorderBuilder.standard().withPlugin(new ECSPlugin());
        AWSXRayRecorder recorder = builder.build();
        recorder.setContextMissingStrategy(new LogErrorContextMissingStrategy());
        AWSXRay.setGlobalRecorder(recorder);

I can see traces being generated in AWS XRay console. I've not created any rules yet so it should be using default ones. But there are also exceptions appearing in my application logs as following. Any idea how can I fix the exceptions? It seems its trying to connect to xray daemon using HTTP at 2000 port but in task definition I've specified protocol as 'udp' as specified in the documentation could that be an issue?

20 Feb 2019 09:41:23,747 https://forums.aws.amazon.com/ INFO com.amazonaws.xray.strategy.sampling.pollers.RulePoller - Polling sampling rules.
20 Feb 2019 09:41:24,578 https://forums.aws.amazon.com/ ERROR com.amazonaws.xray.strategy.sampling.pollers.RulePoller - Encountered error polling GetSamplingRules:
com.amazonaws.SdkClientException: Unable to execute HTTP request: Connect to aws-xray-daemon:2000 http://aws-xray-daemon/172.17.0.2 failed: Connection refused (Connection refused)
at com.amazonaws.http.AmazonHttpClient$RequestExecutor.handleRetryableException(AmazonHttpClient.java:1134) ~aws-java-sdk-core-1.11.398.jar:?
at com.amazonaws.http.AmazonHttpClient$RequestExecutor.executeHelper(AmazonHttpClient.java:1080) ~aws-java-sdk-core-1.11.398.jar:?
at com.amazonaws.http.AmazonHttpClient$RequestExecutor.doExecute(AmazonHttpClient.java:745) ~aws-java-sdk-core-1.11.398.jar:?
at com.amazonaws.http.AmazonHttpClient$RequestExecutor.executeWithTimer(AmazonHttpClient.java:719) ~aws-java-sdk-core-1.11.398.jar:?
at com.amazonaws.http.AmazonHttpClient$RequestExecutor.execute(AmazonHttpClient.java:701) ~aws-java-sdk-core-1.11.398.jar:?
at com.amazonaws.http.AmazonHttpClient$RequestExecutor.access$500(AmazonHttpClient.java:669) ~aws-java-sdk-core-1.11.398.jar:?
at com.amazonaws.http.AmazonHttpClient$RequestExecutionBuilderImpl.execute(AmazonHttpClient.java:651) ~aws-java-sdk-core-1.11.398.jar:?
at com.amazonaws.http.AmazonHttpClient.execute(AmazonHttpClient.java:515) ~aws-java-sdk-core-1.11.398.jar:?
at com.amazonaws.services.xray.AWSXRayClient.doInvoke(AWSXRayClient.java:1257) ~aws-java-sdk-xray-1.11.398.jar:?
at com.amazonaws.services.xray.AWSXRayClient.invoke(AWSXRayClient.java:1226) ~aws-java-sdk-xray-1.11.398.jar:?
at com.amazonaws.services.xray.AWSXRayClient.invoke(AWSXRayClient.java:1215) ~aws-java-sdk-xray-1.11.398.jar:?
at com.amazonaws.services.xray.AWSXRayClient.executeGetSamplingRules(AWSXRayClient.java:568) ~aws-java-sdk-xray-1.11.398.jar:?
at com.amazonaws.services.xray.AWSXRayClient.getSamplingRules(AWSXRayClient.java:539) ~aws-java-sdk-xray-1.11.398.jar:?
at com.amazonaws.xray.strategy.sampling.pollers.RulePoller.pollRule(RulePoller.java:65) ~aws-xray-recorder-sdk-core-2.2.0.jar:?
at com.amazonaws.xray.strategy.sampling.pollers.RulePoller.lambda$start$0(RulePoller.java:46) aws-xray-recorder-sdk-core-2.2.0.jar:?
at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:515) https://forums.aws.amazon.com/
at java.util.concurrent.FutureTask.runAndReset(FutureTask.java:305) https://forums.aws.amazon.com/
at java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.run(ScheduledThreadPoolExecutor.java:305) https://forums.aws.amazon.com/
at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1128) https://forums.aws.amazon.com/
at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:628) https://forums.aws.amazon.com/
at java.lang.Thread.run(Thread.java:834) https://forums.aws.amazon.com/
Caused by: org.apache.http.conn.HttpHostConnectException: Connect to aws-xray-daemon:2000 http://aws-xray-daemon/172.17.0.2 failed: Connection refused (Connection refused)
at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect(DefaultHttpClientConnectionOperator.java:159) ~httpclient-4.5.6.jar:4.5.6
at org.apache.http.impl.conn.PoolingHttpClientConnectionManager.connect(PoolingHttpClientConnectionManager.java:373) ~httpclient-4.5.6.jar:4.5.6
at jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~https://forums.aws.amazon.com/
at jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) ~https://forums.aws.amazon.com/
at jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~https://forums.aws.amazon.com/
at java.lang.reflect.Method.invoke(Method.java:566) ~https://forums.aws.amazon.com/
at com.amazonaws.http.conn.ClientConnectionManagerFactory$Handler.invoke(ClientConnectionManagerFactory.java:76) ~aws-java-sdk-core-1.11.398.jar:?
at com.amazonaws.http.conn.$Proxy126.connect(Unknown Source) ~https://forums.aws.amazon.com/
at org.apache.http.impl.execchain.MainClientExec.establishRoute(MainClientExec.java:394) ~httpclient-4.5.6.jar:4.5.6
at org.apache.http.impl.execchain.MainClientExec.execute(MainClientExec.java:237) ~httpclient-4.5.6.jar:4.5.6
at org.apache.http.impl.execchain.ProtocolExec.execute(ProtocolExec.java:185) ~httpclient-4.5.6.jar:4.5.6
at org.apache.http.impl.client.InternalHttpClient.doExecute(InternalHttpClient.java:185) ~httpclient-4.5.6.jar:4.5.6
at org.apache.http.impl.client.CloseableHttpClient.execute(CloseableHttpClient.java:83) ~httpclient-4.5.6.jar:4.5.6
at org.apache.http.impl.client.CloseableHttpClient.execute(CloseableHttpClient.java:56) ~httpclient-4.5.6.jar:4.5.6
at com.amazonaws.http.apache.client.impl.SdkHttpClient.execute(SdkHttpClient.java:72) ~aws-java-sdk-core-1.11.398.jar:?
at com.amazonaws.http.AmazonHttpClient$RequestExecutor.executeOneRequest(AmazonHttpClient.java:1256) ~aws-java-sdk-core-1.11.398.jar:?
at com.amazonaws.http.AmazonHttpClient$RequestExecutor.executeHelper(AmazonHttpClient.java:1072) ~aws-java-sdk-core-1.11.398.jar:?
... 19 more
Caused by: java.net.ConnectException: Connection refused (Connection refused)
at java.net.PlainSocketImpl.socketConnect(Native Method) ~https://forums.aws.amazon.com/
at java.net.AbstractPlainSocketImpl.doConnect(AbstractPlainSocketImpl.java:399) ~https://forums.aws.amazon.com/
at java.net.AbstractPlainSocketImpl.connectToAddress(AbstractPlainSocketImpl.java:242) ~https://forums.aws.amazon.com/
at java.net.AbstractPlainSocketImpl.connect(AbstractPlainSocketImpl.java:224) ~https://forums.aws.amazon.com/
at java.net.SocksSocketImpl.connect(SocksSocketImpl.java:403) ~https://forums.aws.amazon.com/
at java.net.Socket.connect(Socket.java:591) ~https://forums.aws.amazon.com/
at org.apache.http.conn.socket.PlainConnectionSocketFactory.connectSocket(PlainConnectionSocketFactory.java:75) ~httpclient-4.5.6.jar:4.5.6
at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect(DefaultHttpClientConnectionOperator.java:142) ~httpclient-4.5.6.jar:4.5.6
at org.apache.http.impl.conn.PoolingHttpClientConnectionManager.connect(PoolingHttpClientConnectionManager.java:373) ~httpclient-4.5.6.jar:4.5.6
at jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~https://forums.aws.amazon.com/
at jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) ~https://forums.aws.amazon.com/
at jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~https://forums.aws.amazon.com/
at java.lang.reflect.Method.invoke(Method.java:566) ~https://forums.aws.amazon.com/
at com.amazonaws.http.conn.ClientConnectionManagerFactory$Handler.invoke(ClientConnectionManagerFactory.java:76) ~aws-java-sdk-core-1.11.398.jar:?
at com.amazonaws.http.conn.$Proxy126.connect(Unknown Source) ~https://forums.aws.amazon.com/
at org.apache.http.impl.execchain.MainClientExec.establishRoute(MainClientExec.java:394) ~httpclient-4.5.6.jar:4.5.6
at org.apache.http.impl.execchain.MainClientExec.execute(MainClientExec.java:237) ~httpclient-4.5.6.jar:4.5.6
at org.apache.http.impl.execchain.ProtocolExec.execute(ProtocolExec.java:185) ~httpclient-4.5.6.jar:4.5.6
at org.apache.http.impl.client.InternalHttpClient.doExecute(InternalHttpClient.java:185) ~httpclient-4.5.6.jar:4.5.6
at org.apache.http.impl.client.CloseableHttpClient.execute(CloseableHttpClient.java:83) ~httpclient-4.5.6.jar:4.5.6
at org.apache.http.impl.client.CloseableHttpClient.execute(CloseableHttpClient.java:56) ~httpclient-4.5.6.jar:4.5.6
at com.amazonaws.http.apache.client.impl.SdkHttpClient.execute(SdkHttpClient.java:72) ~aws-java-sdk-core-1.11.398.jar:?
at com.amazonaws.http.AmazonHttpClient$RequestExecutor.executeOneRequest(AmazonHttpClient.java:1256) ~aws-java-sdk-core-1.11.398.jar:?
at com.amazonaws.http.AmazonHttpClient$RequestExecutor.executeHelper(AmazonHttpClient.java:1072) ~aws-java-sdk-core-1.11.398.jar:?"
AWS X-Ray	"Re: X-Ray can't poll SampleRules
Hey,

it looks like this issue might be happening because the IP address of the daemon is set literally as ""aws-xray-daemon"" instead of its IP address, which should be ""127.0.0.1"" if the Daemon is running on the same machine. I would recommend checking your configuration to make sure this is set properly

In your case, try setting the environment variable 'AWS_XRAY_DAEMON_ADDRESS' as '127.0.0.1:2000'

Let me know if this helps!

Thanks,
Chan Chiem Jeffery Saeteurn"
AWS X-Ray	"Re: X-Ray can't poll SampleRules
Thanks for the reply. Forgot to mention that my ECS cluster runs with EC2 launch type. Anyway I changed address to 127.0.0.1:2000 but that didn't work. Got same exception:

22 Feb 2019 10:20:21,096 https://forums.aws.amazon.com/ ERROR com.amazonaws.xray.strategy.sampling.pollers.RulePoller - Encountered error polling GetSamplingRules: 
com.amazonaws.SdkClientException: Unable to execute HTTP request: Connect to 127.0.0.1:2000 [/127.0.0.1] failed: Connection refused (Connection refused)

I followed the documentation from here: https://docs.aws.amazon.com/xray/latest/devguide/xray-daemon-ecs.html
And my task definition looks like following (some parts omitted):

 {
    ""name"": ""aws-xray-daemon"",
    ""image"": ""${repository_url}/aws-xray-daemon:latest"",
    ""cpu"": 32,
    ""memory"": 256,
    ""portMappings"": [
      {
        ""hostPort"": 2000,
        ""containerPort"": 2000,
        ""protocol"": ""udp""
      }
    ],
    ""logConfiguration"":  {
      ""logDriver"":  ""awslogs"",
      ""options"":  {
        ""awslogs-region"":  ""${region}"",
        ""awslogs-group"":  ""${environment}/xxx"",
        ""awslogs-stream-prefix"": ""xray-daemon""
      }
    }
  },
  {
    ""name"": ""xxx"",
    ""image"": ""${repository_url}/xxx:${image_tag}"",
    ""cpu"": ${cpu},
    ""memory"": ${memory},
    ""environment"": [
      {
        ""name"": ""AWS_XRAY_DAEMON_ADDRESS"",
        ""value"": ""127.0.0.1:2000""
      }
    ],
    ""portMappings"": [
      {
        ""hostPort"": 0,
        ""containerPort"": ${port},
        ""protocol"": ""tcp""
      }
    ],
  ""logConfiguration"":  {
      ""logDriver"":  ""awslogs"",
      ""options"":  {
        ""awslogs-region"":  ""${region}"",
        ""awslogs-group"":  ""${environment}/xxx"",
        ""awslogs-stream-prefix"": ""tomcat""
      }
    },
    ""links"": [
      ""aws-xray-daemon""
    ],
    ""essential"":  true
  }

Any more ideas?"
AWS X-Ray	"Re: X-Ray can't poll SampleRules
It looks like this error is happening when the internal poller's attempts to call getSamplingTargets and fails, most likely because the Daemon isn't serving the request. The call to GetSamplingTargets sends an HTTP call to the Daemon. Since it's an HTTP call, it's utilizing TCP. What I think is happening on your end is your configuration for the TCP port mappings in your container might be redirecting the call to a wrong port:

""portMappings"": [
{
""hostPort"": 0,
""containerPort"": ${port},
""protocol"": ""tcp""
}

By default, the Daemon serves both TCP and UDP on port 2000. Try setting both the hostPort to 2000 and containerPort to 2000 for your TCP port mapping just like how you did with the UDP. So the configuration looks like this:

""portMappings"": [
{
""hostPort"": 2000,
""containerPort"": 2000,
""protocol"": ""tcp""
}"
AWS X-Ray	"Re: X-Ray can't poll SampleRules
Thanks for your reply. I changed my x-ray daemon container definition to have 2000 port for tcp as well:
{
    ""name"": ""aws-xray-daemon"",
    ""image"": ""${repository_url}/aws-xray-daemon:latest"",
    ""cpu"": 32,
    ""memory"": 256,
    ""portMappings"": [
      {
        ""hostPort"": 2000,
        ""containerPort"": 2000,
        ""protocol"": ""udp""
      },
      {
        ""hostPort"": 2000,
        ""containerPort"": 2000,
        ""protocol"": ""tcp""
      }
    ],
    ""logConfiguration"":  {
      ""logDriver"":  ""awslogs"",
      ""options"":  {
        ""awslogs-region"":  ""${region}"",
        ""awslogs-group"":  ""${environment}/xxx"",
        ""awslogs-stream-prefix"": ""xray-daemon""
      }
    }
  }

No difference, still get the exact same connection error. Doesn't matter if I mention AWS_XRAY_DAEMON_ADDRESS to 127.0.0.1:2000 or aws-xray-daemon:2000."
AWS X-Ray	"Re: X-Ray can't poll SampleRules
Hmm this is very strange. It looks like the port mappings are correct and the container links that you had configured in the beginning looks correct. 

So everything seems to function correctly except for the log errors? If that is the case, then the link that you used to locate the Daemon from your other container seems to work fine. This means that the traces are sent and received through port 2000 using UDP. 

The issue here is seems is that the HTTP (TCP) requests aren't going through to the Daemon or the container isn't receiving a response back. Are you able to look at the Daemon's logs and see if it is encountering any issues?"
AWS X-Ray	"Re: X-Ray can't poll SampleRules
Thanks, functionality looks fine. I can see traces in xray console. No errors in daemon logs either. Its just that exception in logs is annoying and create lots of noise."
AWS X-Ray	"Re: X-Ray can't poll SampleRules
What version of the Daemon are you using? Make sure you have the latest version of the Daemon which is 3.x."
AWS X-Ray	"Re: X-Ray can't poll SampleRules
XRay daemon version is 3.0.0. Thanks"
AWS X-Ray	"Integration with opentracing?
Is there any plan for x-ray to adhere to open tracing specification? so that any application with Open Tracing implementation move to AWS"
