label	description
Amazon Aurora PostgreSQL-compatible Edition	"why can't modify gtid-mode on aws rds
I create an RDS flower guide by 
https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/mysql-replication-gtid.html

but in my parameter group, the 'gtid-mode' and 'enforce_gtid_consistency'  modifiable is false, even I copy to my own parameter group, they value can't modify.

How can I solve this problem?"
Amazon Aurora PostgreSQL-compatible Edition	"Read Only node connection when there is a failure
I have a Postgres Aurora cluster with an app with a connection to the cluster for ""write"" operations and another connection for ""read"" operations.

Everything works great.

Now, I am curious as to what happens if the ""read"" replica goes down. (planned)  Will the ""read"" connections automatically begin to read from the ""write"" node?

Unfortunately, I am not able to just take it down and see what happens.  Anyone have any insight on this?

Thanks"
Amazon Aurora PostgreSQL-compatible Edition	"Aurora PostgreSQL performance issue with pgstatindex() and pgstattuple()
While migrating our large client data from RDS PostgreSQL to RDS Aurora PostgreSQL we found performance issues with pgstatindex() and pgstattuple() on Aurora.  They are running more than 5 times slower.  On some large table indexes, more than 10x slower.
For example:
6,503,016 row table:  pgstatindex() for one index takes under 7 Seconds on PostgreSQL but now takes over 38 seconds on Aurora PostgreSQL.  
15,880,436 row table:  pgstatindex() for one index takes 11 Seconds on PostgreSQL but now takes  87 seconds on Aurora PostgreSQL.  
I tried using pgstattuple() as a substitute but it actually runs even slower.  
This is counter intuitive since our PostgreSQL database was using standard SSD (Not provisioned IOPS) and Aurora has far more IOPS available to it.  (These functions are I/O intensive.) The instances sizes are the same.

Naturally, we have multiple indexes and lots of tables larger than the above examples so the total analysis that use to take minutes now runs for hours.

Why we use pgstatindex():
Due to high update frequency against large tables we monitor the indexes using pgstatindex() automatically at regular intervals to identify when the indexes get too fragmented so we can rebuild the index to keep the database performing well.  

Is there anything on the Aurora road map to address this issue?

Thanks,
-Rob D."
Amazon Aurora PostgreSQL-compatible Edition	"Aurora Postgres cluster is constantly restarting
On the last 2 weeks, our aurora postgresql compatible instance is constantly restarting with no apparent reason"
Amazon Aurora PostgreSQL-compatible Edition	"How to migrate from Aurora PostgreSQL 9.6.9 to 10.4
Region : Oregon
I see PostgreSQL 10.4 DB version in the drop down while creating a new database. But when i modify any existing instance with version 9.6.9, i dont see this option to migrate to 10.4. I dont see any clear documentation around the migration if it requires any steps. Please guide.
https://forums.aws.amazon.com/servlet/JiveServlet/download/26214/Screen%20Shot%202018-10-21%20at%2012.25.50%20PM.png
https://forums.aws.amazon.com/servlet/JiveServlet/download/26242/Screen%20Shot%202018-10-21%20at%2012.26.08%20PM.png"
Amazon Aurora PostgreSQL-compatible Edition	"Re: How to migrate from Aurora PostgreSQL 9.6.9 to 10.4
We are actively working on major version upgrade for Aurora-PostgreSQL. Meanwhile, pg_dump functionality can be used to upgrade to version 10. We would suggest testing the upgrade on an imported / cloned cluster using pg_dump, and then performing the actual upgrade."
Amazon Aurora PostgreSQL-compatible Edition	"Re: How to migrate from Aurora PostgreSQL 9.6.9 to 10.4
Any idea when there will be the option to upgrade major version from 9.6.9 to 10.4 without the workaround that was suggested?"
Amazon Aurora PostgreSQL-compatible Edition	"Re: How to migrate from Aurora PostgreSQL 9.6.9 to 10.4
I am anxiously awaiting this as well."
Amazon Aurora PostgreSQL-compatible Edition	"Invoking a Lambda Function from Aurora Postgresql
Is this a feature in the works?

It has been in the MySQL version for awhile now.

https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/AuroraMySQL.Integrating.Lambda.html

Thanks"
Amazon Aurora PostgreSQL-compatible Edition	"Is There a Way to Manually Invoke an Aurora Software Update?
We recently received an email from AWS indicating that  one of our cluster had pending updates available. I can see the update is listed as 'Upgrade to Aurora PostgreSQL 1.3.1'. 

Can such update be done via 'modify cluster'? All I see is 'DB ENGINE VERSION' in the 'modify cluster/instnace' screen?

Furthermore, my cluster sits at 9.6.9 and I know 9.6.11 is out. However, the 'modify cluster/instance' screen has one entry in the 'db engine version' dropdown box.

I assume this is because I have to update to Aurora 1.3.1 first before I see 9.6.11 listed?

Thanks"
Amazon Aurora PostgreSQL-compatible Edition	"Enable Performance Insight for existing cluster
Is it possible to enable performance insight for an existing cluster?"
Amazon Aurora PostgreSQL-compatible Edition	"Re: Enable Performance Insight for existing cluster
Hi,

Yes, you can enable performance insights for each instance in the cluster via the Instance Actions > Modify wizard.

Once in the modify wizard there is a section titled ""Performance Insights"" you can enable or disable Performance Insights from here.

If you are actively troubleshooting I would also recommend enabling Enhanced Monitoring with a 1 second interval as this provides detailed OS level metrics in addition to the Performance Insights and normal Cloudwatch data."
Amazon Aurora PostgreSQL-compatible Edition	"Re: Enable Performance Insight for existing cluster
How about from cloudformation? Could not find a way to enable insight from cloudformation template."
Amazon Aurora PostgreSQL-compatible Edition	"Re: Enable Performance Insight for existing cluster
Currently enable/disable of Performance Insights is only available through the console and API calls to create and/or modify an instance. We are working toward providing this ability through CloudFormation as well.

Kyle"
Amazon Aurora PostgreSQL-compatible Edition	"Re: Enable Performance Insight for existing cluster
Has there been any update on this? We would like to use CF to manage our Performance Insights configuration"
Amazon Aurora PostgreSQL-compatible Edition	"Re: Enable Performance Insight for existing cluster
Hi Kyle,

We would also like to set performance insights with cloudformation. Is there a time line or bug/featureRequest which I can track?"
Amazon Aurora PostgreSQL-compatible Edition	"Re: Enable Performance Insight for existing cluster
Cloudformation support for Performance Insights has now been released.

Kyle"
Amazon Aurora PostgreSQL-compatible Edition	"Re: Enable Performance Insight for existing cluster
Thanks a lot!"
Amazon Aurora PostgreSQL-compatible Edition	"Re: Enable Performance Insight for existing cluster
Hi

I have a instance db.m1.large with MySQL 5.6.34 and i cant find the way to enable performance insight, is this service compatible with my cluster?

Also, i hear performance insights is not compatible con Aurora serverless, is going to be compatible soon?"
Amazon Aurora PostgreSQL-compatible Edition	"Re: Enable Performance Insight for existing cluster
Performance Insights is available for RDS for MySQL 5.6.41 and higher:

https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_PerfInsights.html

We are working on adding support for Performance Insights to Aurora Serverless, but we don't have a date to communicate yet.

Thanks for using RDS and Aurora!"
Amazon Aurora PostgreSQL-compatible Edition	"Support for kmeans and quantile extensions
Hi,
Just submitting a request here for AWS to please prioritize adding kmeans and quantile extensions to Aurora PostgreSQL?  These are the only extensions keeping us from migrating to Aurora.

Thanks!
Salle Ingle"
Amazon Aurora PostgreSQL-compatible Edition	"Re: Support for kmeans and quantile extensions
Hello,

Thanks for your request. Could you provide your use cases for using those extensions? 

Thanks
Sridhar"
Amazon Aurora PostgreSQL-compatible Edition	"Re: Support for kmeans and quantile extensions
Hi Sridhar,

K-Means is a complex algorithm used in data mining and cluster analysis.  We have a postgres/postGIS database of geography points; our application uses the kmeans extension to group, count and analyze geospatial data based on proximity.  

More info in these links and a screenshot of our app to give a better idea below:
https://en.wikipedia.org/wiki/K-means_clustering
https://pgxn.org/dist/kmeans/doc/kmeans.html
https://github.com/umitanuki/kmeans-postgresql"
Amazon Aurora PostgreSQL-compatible Edition	"Re: Support for kmeans and quantile extensions
There has been no maintenance of kmeans since it was created in 2011, despite an apparently serious bug being reported 5 years ago (https://github.com/umitanuki/kmeans-postgresql/issues/7).  This is the kind of situation that keeps AWS from enabling a larger set of extensions in its managed database offerings.

Someone, and now that AWS has gotten pretty active in open source projects it could be an AWS person, is going to have to take on active maintenance of kmeans if it is going to be enabled in RDS or Aurora PostgreSQL."
Amazon Aurora PostgreSQL-compatible Edition	"Aurora PostgreSQL breaking sequences (data corruption)
We've restored our PostgreSQL RDS database snapshot to Aurora and started testing our API with some traffic. Soon, we've ran into errors such as ERROR: duplicate key value violates unique constraint ""custom_activities_id_pkey"" - many unique constraint violations while inserting new records on primary key columns.

First, we've discovered the sequence's last_value is a lower number than max primary key value in many tables. At this point the main suspicion was our fault while using the sequences or broken restore...

But then, while inspecting sequence values we ran into this:

SELECT last_value FROM custom_activities_id_seq;
Result: 3205664
 
SELECT nextval('custom_activities_id_seq');
Result: 3205665


So far all seems to be OK. Another call for ""last_value"" returns 3205665 which is correct. But... About ~10 mins later I ran a query like this again:

SELECT last_value FROM custom_activities_id_seq;
Result: 3205664 (WRONG!!!)


It seems that after a few minutes no updates to the sequence are visible anymore!

I've replicated this multiple times using the following approach:

SELECT last_value FROM custom_activities_id_seq;
SELECT nextval('custom_activities_id_seq');
 
Wait for ~10 minutes and execute the two queries above again.


It is a cluster with a single Aurora instance (meaning there shouldn't be any replication issues, etc.).

(Copied from https://forums.aws.amazon.com/thread.jspa?threadID=274626, hopefully a correct forum now.)

Edited by: JanJakes on Feb 27, 2018 11:31 PM"
