label	description
Amazon DevPay	"Bugs affecting the console use of AWS Backup
I have just created our first backup service plan, hoping to decommision the old EFS-EFS CloudFormation-based backup solution that we have used for years. The backup has not run yet, so I am only sharing the first experience of creating the plan.

I have encountered several issues and bugs, and I would like to share those in hope someone at AWS wants to know of them to fix them:

1. IAM default roles were not created automatically. I had to create them manually, for which I have used the existing AWS-provided policies.

2. Two AWS KMS keys seem to have been created. One is called aws/cryotest and the other one is called aws/backup. This seems odd, especially the use of what looks like a codename (cryotest).

3. It is not possible to create a new backup vault using the aws/backup KMS key. The only appearing in the drop-down list is aws/cryotest, which, again, seems oddly named.

4. The UI for creating a backup rule ""recommends"" using a backup window. There is no reference anywhere in the UI to the window. Further, selecting the option seems to cause it to deselect itself upon a further visit to the plan and a time of 10pm is selected instead.

5. Setting one's own backup window, saving it, then produces ""NaN hours NaN minutes"" output in the console, see attached screenshot.

6. There are weird behaviours when trying to edit a rule while creating a plan, seems like the UI is out of synch with the options being selected. I recommend more thorough testing of the console.]

7. Selecting AWS Backup in the Console's ""Services"" pull-down menu brings a sales-y page suggesting I create a new backup plan, even though one already exists. It should take me straight to the list of the existing plans, in line with other AWS resources.

On another note, it would be good if the documentation was a little clearer about:
A. The purposes of the AWS Backup IAM role
B. Storage requirements considering having multiple backup rules. Specifically, do I double my storage requirements by having both a daily and a monthly rule in a single plan, or do they share a base snapshot of some sort and merely add their delta each time they run (EFS). This will have a considerable impact on the cost of using the service.

Overall, this console UI experience makes one concerned about the actual reliability of the backup itself, so I would recommend further, more intensive, testing on AWS side. After all, this is not a free and open source project—but I also hope that the API behind the scenes is more robust than the UI makes it seem.

Many thanks for introducing a potentially very useful service.

Rafal Lukawiecki
Ireland

Edited by: RafalLukawiecki on Feb 20, 2019 6:56 AM"
Amazon DevPay	"Re: Bugs affecting the console use of AWS Backup
Hello and thank you for the detailed feedback. The AWS Backup team is investigating the items you raised."
Amazon DevPay	"AWS Backup Failed to create default role
I am eager to try out AWS Backup, but when I try to assign resources the default role fails to create.  The default role radio button is greyed out and has a red error saying ""Failed to create default role.""  

Any info on possible causes, or a list of policies/access needed for a manually created role?

Thanks!"
Amazon DevPay	"Re: AWS Backup Failed to create default role
Only an account administrator has the authority to create a role in a customer’s account.  The logged on user should ask the Account admin for Assistance in creating this role.  The Account Administrator can easily do this by using the AWS Backup Console and traversing to the “Create an on-demand backup” page.

Note, that the user who wants to initiate a backup or add a selection must have permission to pass this role to backup.amazonaws.com. We will be creating Managed Polices for BackupAdmins and BackupOperators to make this easier."
Amazon DevPay	"Re: AWS Backup Failed to create default role
This happened to me. Mine failed after several consecutive attempts, and then it worked on the nth-attempt (I was using the root account).

Edited by: areca on Feb 18, 2019 1:50 PM"
Amazon DevPay	"AWS Backup & AWS PowerShell Module
Will cmdlets for the AWS Backup service be added to the AWS PowerShell module soon?"
Amazon DevPay	"Re: AWS Backup & AWS PowerShell Module
Hello - Yes AWS Backup will be added to the AWS PowerShellModule in the coming weeks."
Amazon DevPay	"Re: AWS Backup & AWS PowerShell Module
AWS Backup has been added to the AWS PowerShell module."
Amazon DevPay	"Feeling like an idiot...how to run a backup?
Hi all,

I'm feeling like an idiot here, but I need help with running a scheduled backup policy. It seems to run, but it's not backing up anything. Any assistance is greatly appreciated. 

I have attached screenshots of the policy here. Let me know if you need further clarification.

Pete

Edited by: Pete2 on Feb 6, 2019 1:42 PM"
Amazon DevPay	"Re: Feeling like an idiot...how to run a backup?
Your backup plan's last run time was on Feb 6th, so it is running.  

Your resource assignment is based on tags and I have no way of checking that the tags match anything.  If my understanding is correct, the volumes you are trying to backup need to match the tags of your resource assignment.  I don't think it is enough to just match a tag on the ec2 instance.

Hope it helps."
Amazon DevPay	"Stored Gateway - Stored Volume - AWS Backups
Hi - 

I posted this query in the storage gateway forum, but got no answers.

Can AWS Backup manage backups for a storage gateway  ""STORED"" volume.
A Stored  volume already  implements a forced daily snapshot.   I wonder if
AWS Backup manages this, does it create a separate snapshot stream or does it
use the existing snapshots being made.

thanks, Steve"
Amazon DevPay	"Re: Stored Gateway - Stored Volume - AWS Backups
Hi Steve,

AWS Backup can backup both cached and stored volumes of Volume Gateway. The default stored volume snapshot scheme remains in place. So if you create an AWS backup policy that backs up stored volumes, they will operate independently of Volume Gateway schedule. You will be able to see the snapshots created by AWS Backup in the EBS console and the snapshots created by AWS Backup of volume gateway volumes can only be managed from AWS Backup (and not from EBS console). 

Hope this helps. If you have any other questions please let us know.

Regards,
Bhavin"
