label	description
Amazon DocumentDB	"Compression
I'm considering a move from a self-managed set of MongoDB clusters.  When calculating DB storage and backup storage, do I assume compressed or uncompressed?  If compressed, is there a guideline I should use for estimation?"
Amazon DocumentDB	"Re: Compression
Currently, use uncompressed. For more information on pricing, please see: https://aws.amazon.com/documentdb/pricing/"
Amazon DocumentDB	"Index Creation fails after 2h with ""operation was interrupted"" code 11601
I'm trying to create a few indices on a large collection, that I was able to create on MongoDB without problems on the same instance type. Each index took 6-7h to generate. Amazon DocumentDB seems to kill the index creation exactly after 2h with the following response: { ""ok"" : 0, ""errmsg"" : ""operation was interrupted"", ""code"" : 11601 }


Does Amazon DocumentDB impose a 2h limit for index creations?

Deniz"
Amazon DocumentDB	"Re: Index Creation fails after 2h with ""operation was interrupted"" code 11601
We've identified the issue and are working on a fix. We will post an update to this thread once the fix is rolled out. Thanks for bringing this to our attention."
Amazon DocumentDB	"Query with $in doesn't use index
Hi,
Is there a reason why queries with $in use COLLSCAN and not IXSCAN if the array passed to $in is larger than 1?
Here is an example (assuming there is a collection test_coll and array list_of_ids with few ids):
db.test_coll.find({_id: {$in: list_of_ids.slice(0,1)}}).explain()

The call above (with just 1 item in $in) has winningPlan:
{
      ""stage"": ""IXSCAN"",
      ""indexName"": ""_id_"",
      ""direction"": ""forward""
}


But if there are even 2 items in $in, like this:
db.test_coll.find({_id: {$in: list_of_ids.slice(0,2)}}).explain()

The winningPlan is this:
{
      ""stage"": ""COLLSCAN""
}"
Amazon DocumentDB	"Re: Query with $in doesn't use index
We've identified the issue and are working on a fix. We will post an update to this thread once the fix is rolled out. Thanks for bringing this to our attention."
Amazon DocumentDB	"DocumentDB + AppSync ...coming?
Hi, 

is it possible // are there plans to hook DocumentDB into AppSync?  Is there some base reason not to that I'm missing?

Our use case:
we currently use a MongoDB server on EC2 for our mobile app.  We're contemplating adding AppSync for various feature benefits.  However we're not seeing options (did we miss them?) to support that use of our existing EC2-hosted DB out of the box, so thinking we'll need to move the MongoDB from EC2 to something else. At the moment that something else is DynamoDB, but DocumentDB looks like it might be a better home for a MongoDB?  I'm not against changing the DB type, but if we don't have to, why make more work.  

Thoughts y'all?"
Amazon DocumentDB	"Re: DocumentDB + AppSync ...coming?
+100 for this."
Amazon DocumentDB	"Re: DocumentDB + AppSync ...coming?
Thank you for the feedback. We hear you loud and clear about the integration with AppSyn, this functionality is not currently supported today. As a general rule, we don't comment on the future direction of the service. For future feature releases for Amazon DocumentDB, please continue to follow: https://aws.amazon.com/new/"
Amazon DocumentDB	"Shutting down DocumentDB instances
Hi, I am just beginning to develop an application using DocumentDB, but during development my usage is going to be pretty sporadic. Is there any way to shutdown a DocumentDB instance when it is not in use and restart it for development? Or is the best way to achieve this to use a Cloudformation stack to create and delete the cluster/instances using a snapshot?"
