label	description
Amazon EC2	"c4.xlarge cant recover from reboot
I'm constantly experiencing a problem with server reboots. The instance doesn't boot.
I see Initializing for ~15 min. Then 1/2 checks passed. The server isn't reachable via SSH.

My business is down suffer losses since i-05e6ee2a is down"
Amazon EC2	"Re: c4.xlarge cant recover from reboot
Hello,

Thanks for posting. I've reviewed instance i-05e6ee2a, but it currently is in a stopped state. Unfortunately this reduces our visibility into this instance. I did look at the items that were available and I see no issue with the CPU or Networking portion of this instance. I am suspicious of the amount of IO you are pushing to the root EBS volume. The root volume is 16GB which gives you a baseline of 48 IOPS. If you look at the following CloudWatch metric you'll see that you depleted your burst credits and were being throttled to the baseline IOPS starting on 6/12/2015 at 21:55 UTC:

https://console.aws.amazon.com/cloudwatch/home?region=us-east-1#metrics:graph=!NS0!MN1!ST2!ET3!SS4!PD5!D06!E07!VAAWS/EBS~VolumeWriteOps~2015-06-12T10%3A25%3A46Z~2015-06-17T21%3A25%3A46Z~Average~600~VolumeId~vol-ec1fc5a2 

I suspect that the throttling of your volume is also impacting it's ability to reboot and if you were to start this instance again at a later time when you've accumulated burst credits you'll find it will boot normally. 

http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/EBSVolumeTypes.html#EBSVolumeTypes_gp2

I do see another instance under your account i-4801a0a1 that appears to be similar to this stopped instance. Currently I see that write IOPS are around 184/s. If this continues and you deplete your burst credits this instance may experience the same behavior. This issue may also reduce your ability to SSH to the instance itself. I would look into either increasing the size of the volume to bring the baseline within the expected IO you are pushing to this volume or use another volume type.

Regards,
Brandon"
Amazon EC2	"Cannot SSH after Launching a duplicate instance using ""Launch Like This""
Hey,

I have just duplicated an EC2 m3.xlarge instance into a m3.large instance using Launch More Like This, setting the same security group and the same key pair. However, I am not able to ssh to the instance using the pem file, nor password with a reply:
Permission denied (publickey,gssapi-keyex,gssapi-with-mic).

I have tried with both public IP and public DNS. As well as sshing through an instance in the VPC.
I am able to SSH into the previous one with both pem and password.

The OS is Centos7.

What might the problem be?

Edited by: rt-zed on Jun 17, 2015 4:56 AM"
Amazon EC2	"Re: Cannot SSH after Launching a duplicate instance using ""Launch Like This""
Hey there,

So ""Launch More Like This"" will launch another instance using the same AMI that the instance was launched with.
Any changes made to the instance since launch will not make it to the new instance (You would have to create an AMI and launch it manually).

So with this in mind;
1) Are you correctly connecting with the correct user -- centOS uses, I believe, ""root"" as the default user.
2) Are you using the correct .pem with the correct user? So in this case, the user root would use the key associated with the user."
Amazon EC2	"Re: Cannot SSH after Launching a duplicate instance using ""Launch Like This""
I have tried both centos and root users. It didn't work. I spent an hour trying to figure it out with the ssh -vvv and still to no avail. I removed the instance and its volume and created created a new one, and ssh-ing worked.

I seriously have no idea what happened. Hope it won't happen again."
Amazon EC2	"instance was rebooted, logs not showing why
At Jun 17 05:10:41 UTC my instance (i-ac816867) was rebooted for unknown reasons.

Was there anything going on with the host at that time?"
Amazon EC2	"Re: instance was rebooted, logs not showing why
Hello,

Thanks for posting. I've reviewed the instance and the underlying host and from my investigation it appears the underlying host had an issue around 5:09:14 UTC on 2015-06-17. The underlying host is marked healthy at this time. You can stop and start this instance to move it to a different underlying host if you are concerned with this. I would also recommend looking into building a fault tolerant solution if this is a major concern. 

http://media.amazonwebservices.com/AWS_Building_Fault_Tolerant_Applications.pdf

Regards,
Brandon"
Amazon EC2	"Re: instance was rebooted, logs not showing why
Thanks Brandon,

This instance was just one member of the pool so we didn't have any service disruption, but I was just unable to find the cause of a reboot and in the past they were typically due to host problems.  I just wanted to confirm that was the case also.

Thanks again for checking."
Amazon EC2	"ec2-create-instance-export-task returned error
Hi,

I am try to export the EC2 using the ec2-create-instance-export-task cmd.

when run the command i got the error as 

Client.InvalidParameterValue: Could not read the ACL associated with the S3 bucket.

please any of them help me solve this problem.

Thanks in Advance,
Mike"
Amazon EC2	"Re: ec2-create-instance-export-task returned error
Hi All,

I'm also stuck on export command but with different error.

I run command as like

ec2-create-instance-export-task <instance-id> -e vmware -c ova -b <http://s3-ap-southeast-2.amazonaws.com/bucketname>

It give below error.
Client.InvalidParameterValue: s3-bucket must conform to S3 restrictions on character set and length (Service: AmazonEC2; Status Code: 400; Error Code: InvalidParameterValue; Request ID: 6d705923-ef4d-449b-b77f-0a9711c47fa3)"
