label	description
Amazon Elasticache	"ElastiCache | Restricting some users to perform GET operation only
We've a requirement where data will be written to ElastiCache with one specifc user where as other users can only READ data using GET.

In the Actions of ElastiCache didn't find any documentation related to this. 
1. Is there such support exists?
2. If Yes, please point to documentation or a sample example?

User A **** PUT key=>Value (succeed)
User B **** GET key ==> Value (Succeed)
User B **** PUT key=>value2 (Authorization Failure).

In this scenario, I need ""User B"" to be readOnly."
Amazon Elasticache	"Re: ElastiCache | Restricting some users to perform GET operation only
While researching found below reference which guided me to use Replication and restrict other users by pointing to ReplicaUrl.
https://stackoverflow.com/questions/26226861/solutions-for-a-secure-distributed-cache

1. Is this the correct way of doing?
2. If it correct way,  it solves for One User Writing and Others are Reading. However, When We've few users where they need to write and specific users should read only part.
  A -> Write <-Read<- C
  B -> Write <-Read<- D
In this case A&B should Write where as C&D can read. If I need to make C to Read what A has written and D to Read what B has written instead of creating new cluster.

What's the correct way of handling? Using Sharding We can partition. Can We restrict shard clusters to specific users?"
Amazon Elasticache	"setting key using PHP
I am able to connect to my elasticache cluster like so:
$awsElasticache = new ElastiCacheClient(CredentialProvider::atsDefaultConfigConstructor(false, false));
$clusterResult = $awsElasticache->describeCacheClusters(array('CacheClusterId'=>'my_cluster'));


When I print $clusterResult
, I get info about the cluster, good.

But how can I actually interact with the endpoint to set key/value pairs?

I am trying this without success:
 $this->mem = new Memcached();
$this->mem->addServer($this->endPoint,11211);
$this->mem->set('myKey','myValue',3600);
$result = $this->mem->get('myKey');
echo $result;


I get nothing printed from $result
.
I am confused about which object to use to set and get key/value pairs.

Do I have to install the Elasticache PHP client?

Edited by: infosys-admin on Mar 8, 2019 11:39 AM"
Amazon Elasticache	"Redis evicting almost all keys from cache in LRU
We have an application that makes use of a Redis AWS Elasticache instance for speeding up data access by the application. In it, we are storing data that is frequently used by this application. Since we don’t expect all data to fit in available Redis memory, we are attempting to use LRU technique in order to keep the most relevant data in cache, while evicting data that is less relevant when we reach a max memory event. We are using allkeys-lru for maxmemory-policy (and default value of 3 for maxmemory-samples), and none of the keys are set with a TTL.

We are observing some odd behavior with the LRU evictions. While keys are being evicted in max memory events, the algorithm is very aggressive and evicts almost all of the data in memory. While the eviction begins on a steady pace, it starts ramping up very quickly (much faster than the rate of SET operations) and leaves the memory with only a small fraction of the original items (see images with Elsaticache graphs below).

Eviction rate ramp up: https://i.stack.imgur.com/G20a6.png

Evicted items: https://i.stack.imgur.com/kvjLH.png

After this ""eviction event"" ends, evictions come to a complete stop. The cycle then repeats itself once the server hits max memory again - on average once every 24 hours. The problem with this is that while this ""mass eviction"" event is underway, Redis performance is severely compromised and response times suffer significantly. Plus, it has no relevant data to offer until the caches rebuilds. Another problem with these eviction events is that all of the replicas become completely unresponsive to queries while they are underway - effectively preventing their use.

So my questions are:


Why do we see this ramp-up in eviction rate once evictions start?
Is there a way to configure Redis so that the eviction rate is comparable with the set rate, so that the flow of keys coming in and out are equal?
Why do the replicas became unresponsive when eviction events occur?


The Redis version being used is 2.8.24. Any help or insight is highly appreciated."
Amazon Elasticache	"Can't connect to ElastiCache Redis from EB Amazon EC2 Instance
I can connect to an ElastiCache Redis cluster without a password but not one with a password (Redis AUTH i.e. with the ""-a PASSWORD"" redis-cli option) using the redis cli from the EC2 instance (ssh'd in, following https://docs.aws.amazon.com/AmazonElastiCache/latest/red-ug/GettingStarted.ConnectToCacheNode.html) it gives me a
Error: Connection timed out


Weirdly enough telnetting into the cluster
telnet master.....cache.amazonaws.com 6379

works but I can't run any Redis commands"
Amazon Elasticache	"Re: Can't connect to ElastiCache Redis from EB Amazon EC2 Instance
Hello,

You need to authorize the access to your redis. Here is a link to help with that:
https://docs.aws.amazon.com/AmazonElastiCache/latest/red-ug/GettingStarted.AuthorizeAccess.html

Ciao"
Amazon Elasticache	"Re: Can't connect to ElastiCache Redis from EB Amazon EC2 Instance
Hi There,
Try with this command:
openssl s_client -connect <NodeEndpoint>:<Redis Port>
Then in that shell run:
AUTH <Password>

Then try to run the commands (SET and GET) and let us know if this works.
Looking forward to the reply

Edited by: SatyamSinha-AWS on Feb 27, 2019 11:06 PM"
Amazon Elasticache	"How to debug error message re: snapshots without access to Redis logs
I just started getting this error on my staging application server:

22:41:05 [INFO] [ERROR]: ERR MISCONF Redis is configured to save RDB snapshots, but it is currently not able to persist on disk. Commands that may modify the data set are disabled, because this instance is configured to report errors during writes if RDB snapshotting fails (stop-writes-on-bgsave-error option). Please check the Redis logs for details about the RDB error.


I haven't had an problems with Redis recently and I haven't changed anything in the app related to Redis or in Elasticache. Is there a way to see the Redis logs, or another way to figure out what's behind this error?"
Amazon Elasticache	"Re: How to debug error message re: snapshots without access to Redis logs
It turned out this error was NOT from an ElastiCache Redis server, but from a Redis server spun up in the Docker image of a service that the application was dependent on (Faktory, a background job runner). The Redis error message was just propagated up from the service to the app."
Amazon Elasticache	"Redis - Recovering cache nodes leads to data loss
Hello, we lost all our Redis data and found these events in our Redis:
cache-cluster | Monday, January 7, 2019 at 7:24:37 AM UTC+1 | Finished recovery for cache nodes 0001
cache-cluster | Monday, January 7, 2019 at 7:18:34 AM UTC+1 | Recovering cache nodes 0001
cache-cluster | Monday, January 7, 2019 at 7:13:13 AM UTC+1 | Recovering cache nodes 0001


According to FAQ (Q: How does Amazon ElastiCache respond to node failure? https://aws.amazon.com/elasticache/faqs/):
The service will detect the node failure and react with the following automatic steps: Amazon ElastiCache will repair the node by acquiring new service resources, and will then redirect the node's existing DNS name to point to the new service resources. For VPC installations, ElastiCache will ensure that both the DNS name and the IP address of the node remain the same when nodes are recovered in case of failure. For non-VPC installations, ElastiCache will ensure that the DNS name of a node is unchanged; however, the underlying IP address of the node can change.

Is there some way to:
Find out what happened to our Redis node?
Prevent similar failure and data loss in future?

Eg. Do you recommend us to configure minimum of 2 replica nodes in the cluster with multi-az and automatic failover enabled?

Thanks"
