label	description
Amazon Elastic MapReduce	"ERMFS consistent view S3 error
Hi,

we have a large ETL process running on an EMR cluster that reads and writes large number of parquet files to into S3 buckets

Here is the code:

//////////////////////////////////////////////////////////////////////

a = spark.read.parquet(path1)
a.registerTempTable('a')
b = spark.read.parquet(path2)
b.registerTempTable('b')
c = spark.read.parquet(path3)
c.registerTempTable('c')

sql = '''
select
   a.col1,
   a.col2,
   b.col1,
   b.col2,
   c.col1,
   c.col2,
   a.dt
from
   a
join 
   b
on
   a.dt = b.dt
join
   c
on
   a.dt = c.dt
''''

df_out = spark.sql(sql)

df_out.repartition('dt').write.parquet( path_out, partitionBy='dt', mode='overwrite')

//////////////////////////////////////////////////////////////////////

We recently had to switch to transient clusters and thus had to start using consistent view. I am positing our ERMFS site setup below:

 {
                    ""fs.s3.enableServerSideEncryption"": ""true"",
                    ""fs.s3.consistent"": ""false"",
                    ""fs.s3.consistent.retryPeriodSeconds"": ""10"",
                    ""fs.s3.serverSideEncryption.kms.keyId"": ""xxxxxx"",
                    ""fs.s3.consistent.retryCount"": ""5"",
                    ""fs.s3.consistent.metadata.tableName"": ""xxxxx"",
                    ""fs.s3.consistent.throwExceptionOnInconsistency"": ""true""
                }

Running the same code wit the same spark configuration - that works on the permanent cluster - on the transient cluster with consistent view enabled results in an error.

...
19/02/25 23:01:23 DEBUG S3NativeFileSystem: getFileStatus could not find key 'xxxxxREDACTEDxxxx'
19/02/25 23:01:23 DEBUG S3NativeFileSystem: Delete called for 'xxxxxREDACTEDxxxx' but file does not exist, so returning false
19/02/25 23:01:23 DEBUG DFSClient: DFSClient writeChunk allocating new packet seqno=465, src=/var/log/spark/apps/application_1551126537652_0003.inprogress, packetSize=65016, chunksPerPacket=126, bytesCurBlock=25074688
19/02/25 23:01:23 DEBUG DFSClient: DFSClient flush(): bytesCurBlock=25081892 lastFlushOffset=25075161 createNewBlock=false
19/02/25 23:01:23 DEBUG DFSClient: Queued packet 465
19/02/25 23:01:23 DEBUG DFSClient: Waiting for ack for: 465
19/02/25 23:01:23 DEBUG DFSClient: DataStreamer block BP-75703405-10.13.32.237-1551126523840:blk_1073741876_1052 sending packet packet seqno: 465 offsetInBlock: 25074688 lastPacketInBlock: false lastByteOffsetInBlock: 25081892
19/02/25 23:01:23 DEBUG DFSClient: DFSClient seqno: 465 reply: SUCCESS downstreamAckTimeNanos: 0 flag: 0
Traceback (most recent call last):
  File ""xxxxxREDACTEDxxxx"", line 112, in <module>
    main()
  File ""xxxxxREDACTEDxxxx"", line xxxxxREDACTEDxxxx, in main
    xxxxxREDACTEDxxxx
  File ""xxxxxREDACTEDxxxx"", line 70, in main
    partitionBy='dt', mode='overwrite')
  File ""/usr/lib/spark/python/lib/pyspark.zip/pyspark/sql/readwriter.py"", line 691, in parquet
  File ""/usr/lib/spark/python/lib/py4j-0.10.4-src.zip/py4j/java_gateway.py"", line 1133, in __call__
  File ""/usr/lib/spark/python/lib/pyspark.zip/pyspark/sql/utils.py"", line 63, in deco
  File ""/usr/lib/spark/python/lib/py4j-0.10.4-src.zip/py4j/protocol.py"", line 319, in get_return_value
py4j.protocol.Py4JJavaError: An error occurred while calling o232.parquet.
: org.apache.spark.SparkException: Job aborted.
	at org.apache.spark.sql.execution.datasources.FileFormatWriter$$anonfun$write$1.apply$mcV$sp(FileFormatWriter.scala:215)
	at org.apache.spark.sql.execution.datasources.FileFormatWriter$$anonfun$write$1.apply(FileFormatWriter.scala:173)
	at org.apache.spark.sql.execution.datasources.FileFormatWriter$$anonfun$write$1.apply(FileFormatWriter.scala:173)
	at org.apache.spark.sql.execution.SQLExecution$.withNewExecutionId(SQLExecution.scala:65)
	at org.apache.spark.sql.execution.datasources.FileFormatWriter$.write(FileFormatWriter.scala:173)

I suspect that the error is due to the setup of EMRFS but I was not able to find any EMRFS setting that would work. The only thing that results in this error not being thrown while I am running the code above is increasing the number of node to double the normal number. The error also isn't thrown if I decrease the amount of data.

Changing the output commuter and spark speculation does not help either.

Thanks a lot. I will be great full for any ideas / suggestions."
Amazon Elastic MapReduce	"EMR with the postgresql catalog
I am trying to execute PostgreSQL queries using presto-cli. I have configured EMR with the PostgreSQL catalog as described at
https://docs.aws.amazon.com/emr/latest/ReleaseGuide/presto-adding-db-connectors.html

I am able to use the PostgreSQL queries for selecting schema, listing tables etc. But not able to run a select query. Attaching the error screenshot with this post.

The PostgreSQL db reside in another ec2 machine, other than the emr and I am not using the RDS also as that is the requirement."
Amazon Elastic MapReduce	"Provisioning issue with Spark cluster, nginx is missing
Greetings,

I'm having problems with recently created Spark clusters. Starting from Friday last week, 12/7/2018, all new clusters are provisioned without nginx running on master node. This means there is no HTTPS proxy for Livy, port 18888, so Jupyter Notebook cannot access the cluster:

The code failed because of a fatal error:
        Error sending http request and maximum retry encountered..


I dug it down to Puppet logs and I see that nginx installation is being skipped for some reason.

For AWS support, here is Puppet log from a good cluster from early last week:
s3://aws-logs-585894574098-us-west-2/elasticmapreduce/j-27C6BFPFRYSRH/node/i-0bf126943f7111485/provision-node/apps-phase/puppet.log.gz

And here is the bad one:
s3://aws-logs-585894574098-us-west-2/elasticmapreduce/j-3TI2EC16CWI7D/node/i-07a3ec5d3acf6e2a6/provision-node/apps-phase/puppet.log.gz

So far I was able to work this around with custom bootstrap action, but it would be great to have it fixed, or point me where I'm doing something wrong."
Amazon Elastic MapReduce	"Re: Provisioning issue with Spark cluster, nginx is missing
Looks like this is not an issue any longer. Both emr-5.20.0 and emr-5.21.0 are now initializing with Nginx properly configured on master node. Something got fixed, I didn't change anything in my cluster initialization code.

Edited by: vk357745 on Feb 25, 2019 5:53 PM"
Amazon Elastic MapReduce	"(Help) java.io.FileNotFoundException: /stderr (Permission denied)
I've spent days trying to fix this and see if I can get any result, with no success!

here's my aws command (broken down for quick reading):
aws emr create-cluster --name ""<APP_Name>"" --termination-protected --applications Name=Spark --release-label emr-5.19.0 --ec2-attributes 
'{""KeyName"":""emr_ec2_cluster"",""InstanceProfile"":""EMR_EC2_DefaultRole""}' 
--instance-groups '[{""InstanceCount"":1,""InstanceGroupType"":""MASTER"",""InstanceType"":""c5d.xlarge"",""Name"":""Master - 1""},
{""InstanceCount"":10,""EbsConfiguration"":{""EbsBlockDeviceConfigs"":[{""VolumeSpecification"":{""SizeInGB"":32,""VolumeType"":""gp2""},""VolumesPerInstance"":1}]},""InstanceGroupType"":""CORE"",""InstanceType"":""m4.xlarge"",""Name"":""Core - 2""}
,{""InstanceCount"":20,""EbsConfiguration"":{""EbsBlockDeviceConfigs"":[{""VolumeSpecification"":{""SizeInGB"":32,""VolumeType"":""gp2""},""VolumesPerInstance"":1}]},""InstanceGroupType"":""TASK"",""InstanceType"":""m4.large"",""Name"":""Task - 3""}]' 
--auto-terminate --auto-scaling-role EMR_AutoScaling_DefaultRole --ebs-root-volume-size 10 --service-role EMR_DefaultRole 
--enable-debugging --log-uri 's3://<my-S3-bucket>/' 
--name ""<Name>"" --scale-down-behavior TERMINATE_AT_TASK_COMPLETION --region eu-west-2 
--steps '[{""Args"":[""spark-submit"",""--deploy-mode"",""cluster"", ""--conf"", ""spark.driver.extraJavaOptions=-Dlog4j.configuration=s3://<my-S3-bucket>/log4j.properties"",
""--class"",""Work"",""s3://<my-S3-bucket>/Work-assembly-1.0.jar"",""s3://<my-S3-bucket>/output""],
""Type"":""CUSTOM_JAR"",""ActionOnFailure"":""CONTINUE"",""Jar"":""command-runner.jar"",""Properties"":"""",""Name"":""<Application_Name>""}]'


I created an empty spark.log
 file in s3://<my-S3-bucket>/log/spark.log

and here's how the s3://<my-S3-bucket>/log4j.properties
 looks:
log4j.rootLogger=TRACE, stdout, stderr
log4j.appender.file_appender.File=s3://<myS3-bucket>/log/spark.log
# configure stdout
# set the conversion pattern of stdout
# Print the date in ISO 8601 format
log4j.appender.stdout = org.apache.log4j.ConsoleAppender
log4j.appender.stdout.Threshold = TRACE
log4j.appender.stdout.Target = System.out
log4j.appender.stdout.layout = org.apache.log4j.PatternLayout
log4j.appender.stdout.layout.ConversionPattern = %-5p %d [%t][%F:%L] : %m%n
log4j.appender.stdout.filter.filter1=org.apache.log4j.varia.LevelRangeFilter
log4j.appender.stdout.filter.filter1.levelMin=TRACE
log4j.appender.stdout.filter.filter1.levelMax=INFO
 
# configure stderr
# set the conversion pattern of stdout
# Print the date in ISO 8601 format
log4j.appender.stderr = org.apache.log4j.ConsoleAppender
log4j.appender.stderr.Threshold = WARN
log4j.appender.stderr.Target = System.err
log4j.appender.stderr.layout = org.apache.log4j.PatternLayout
log4j.appender.stderr.layout.ConversionPattern = %-5p %d [%t][%F:%L] : %m%n


and that fails with this stderr:
log4j:ERROR setFile(null,true) call failed.
java.io.FileNotFoundException: /stderr (Permission denied)
 
/* at ... */
 
log4j:ERROR Either File or DatePattern options are not set for appender [DRFA-stderr].
log4j:ERROR setFile(null,true) call failed.
java.io.FileNotFoundException: /stdout (Permission denied)
 
/* at ... */
 
log4j:ERROR Either File or DatePattern options are not set for appender [DRFA-stdout].
Warning: Skip remote jar s3://<my-S3-bucket>/Work-assembly-1.0.jar.
18/11/24 20:23:54 INFO RMProxy: Connecting to ResourceManager at ip-172-**-**-***.eu-west-2.compute.internal/172.31.47.167:8032
18/11/24 20:23:54 INFO Client: Requesting a new application from cluster with 10 NodeManagers
18/11/24 20:23:54 INFO Client: Verifying our application has not requested more than the maximum memory capability of the cluster (12288 MB per container)
18/11/24 20:23:54 INFO Client: Will allocate AM container, with 1408 MB memory including 384 MB overhead
18/11/24 20:23:54 INFO Client: Setting up container launch context for our AM
18/11/24 20:23:54 INFO Client: Setting up the launch environment for our AM container
18/11/24 20:23:54 INFO Client: Preparing resources for our AM container
18/11/24 20:23:56 WARN Client: Neither spark.yarn.jars nor spark.yarn.archive is set, falling back to uploading libraries under SPARK_HOME.
18/11/24 20:23:57 INFO Client: Uploading resource file:/mnt/tmp/spark-407ac6a1-09f1-46f5-815e-ca3b454a8274/__spark_libs__3854848073942710726.zip -> hdfs://ip-172-**-**-***.eu-west-2.compute.internal:8020/user/hadoop/.sparkStaging/application_154**********_0001/__spark_libs__3854848073942710726.zip
18/11/24 20:24:00 INFO Client: Uploading resource s3://<my-S3-bucket>/Work-assembly-1.0.jar -> hdfs://ip-172-**-**-***.eu-west-2.compute.internal:8020/user/hadoop/.sparkStaging/application_154**********_0001/Work-assembly-1.0.jar
18/11/24 20:24:00 INFO S3NativeFileSystem: Opening 's3://<my-S3-bucket>/Work-assembly-1.0.jar' for reading
18/11/24 20:24:05 INFO Client: Uploading resource file:/mnt/tmp/spark-407ac6a1-09f1-46f5-815e-ca3b454a8274/__spark_conf__719902015654753080.zip -> hdfs://ip-172-**-**-***.eu-west-2.compute.internal:8020/user/hadoop/.sparkStaging/application_154**********_0001/__spark_conf__.zip
18/11/24 20:24:05 INFO SecurityManager: Changing view acls to: hadoop
18/11/24 20:24:05 INFO SecurityManager: Changing modify acls to: hadoop
18/11/24 20:24:05 INFO SecurityManager: Changing view acls groups to: 
18/11/24 20:24:05 INFO SecurityManager: Changing modify acls groups to: 
18/11/24 20:24:05 INFO SecurityManager: SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(hadoop); groups with view permissions: Set(); users  with modify permissions: Set(hadoop); groups with modify permissions: Set()
18/11/24 20:24:05 INFO Client: Submitting application application_154**********_0001 to ResourceManager
18/11/24 20:24:05 INFO YarnClientImpl: Submitted application application_154**********_0001
18/11/24 20:24:06 INFO Client: Application report for application_154**********_0001 (state: ACCEPTED)
18/11/24 20:24:06 INFO Client: 
	 client token: N/A
	 diagnostics: AM container is launched, waiting for AM container to Register with RM
	 ApplicationMaster host: N/A
	 ApplicationMaster RPC port: -1
	 queue: default
	 start time: 1543091045737
	 final status: UNDEFINED
	 tracking URL: http://ip-172-**-**-***.eu-west-2.compute.internal:20888/proxy/application_154**********_0001/
	 user: hadoop
18/11/24 20:24:07 INFO Client: Application report for application_154**********_0001 (state: ACCEPTED)
18/11/24 20:24:08 INFO Client: Application report for application_154**********_0001 (state: ACCEPTED)
18/11/24 20:24:09 INFO Client: Application report for application_154**********_0001 (state: ACCEPTED)
18/11/24 20:24:10 INFO Client: Application report for application_154**********_0001 (state: ACCEPTED)
18/11/24 20:24:11 INFO Client: Application report for application_154**********_0001 (state: ACCEPTED)
18/11/24 20:24:12 INFO Client: Application report for application_154**********_0001 (state: ACCEPTED)
18/11/24 20:24:13 INFO Client: Application report for application_154**********_0001 (state: ACCEPTED)
18/11/24 20:24:14 INFO Client: Application report for application_154**********_0001 (state: RUNNING)
18/11/24 20:24:14 INFO Client: 
	 client token: N/A
	 diagnostics: N/A
	 ApplicationMaster host: 172.31.42.105
	 ApplicationMaster RPC port: 0
	 queue: default
	 start time: 1543091045737
	 final status: UNDEFINED
	 tracking URL: http://ip-172-**-**-***.eu-west-2.compute.internal:20888/proxy/application_154**********_0001/
	 user: hadoop
18/11/24 20:24:15 INFO Client: Application report for application_154**********_0001 (state: ACCEPTED)
18/11/24 20:24:15 INFO Client: 
	 client token: N/A
	 diagnostics: AM container is launched, waiting for AM container to Register with RM
	 ApplicationMaster host: N/A
	 ApplicationMaster RPC port: -1
	 queue: default
	 start time: 1543091045737
	 final status: UNDEFINED
	 tracking URL: http://ip-172-**-**-***.eu-west-2.compute.internal:20888/proxy/application_154**********_0001/
	 user: hadoop
18/11/24 20:24:16 INFO Client: Application report for application_154**********_0001 (state: ACCEPTED)
18/11/24 20:24:17 INFO Client: Application report for application_154**********_0001 (state: ACCEPTED)
18/11/24 20:24:18 INFO Client: Application report for application_154**********_0001 (state: ACCEPTED)
18/11/24 20:24:19 INFO Client: Application report for application_154**********_0001 (state: ACCEPTED)
18/11/24 20:24:20 INFO Client: Application report for application_154**********_0001 (state: ACCEPTED)
18/11/24 20:24:21 INFO Client: Application report for application_154**********_0001 (state: ACCEPTED)
18/11/24 20:24:22 INFO Client: Application report for application_154**********_0001 (state: ACCEPTED)
18/11/24 20:24:23 INFO Client: Application report for application_154**********_0001 (state: ACCEPTED)
18/11/24 20:24:24 INFO Client: Application report for application_154**********_0001 (state: FINISHED)
18/11/24 20:24:24 INFO Client: 
	 client token: N/A
	 diagnostics: User class threw exception: java.lang.ExceptionInInitializerError
	at Work.main(Work.scala)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:498)
	at org.apache.spark.deploy.yarn.ApplicationMaster$$anon$4.run(ApplicationMaster.scala:721)
Caused by: java.lang.NullPointerException
	at Work$.javaURL2string(Work.scala:13)
	at Work$.<init>(Work.scala:66)
	at Work$.<clinit>(Work.scala)
	... 6 more
 
	 ApplicationMaster host: 172.31.42.66
	 ApplicationMaster RPC port: 0
	 queue: default
	 start time: 1543091045737
	 final status: FAILED
	 tracking URL: http://ip-172-**-**-***.eu-west-2.compute.internal:20888/proxy/application_154**********_0001/
	 user: hadoop
Exception in thread ""main"" org.apache.spark.SparkException: Application application_154**********_0001 finished with failed status
 
/* at ... */
 
18/11/24 20:24:24 INFO ShutdownHookManager: Shutdown hook called
18/11/24 20:24:24 INFO ShutdownHookManager: Deleting directory /mnt/tmp/spark-6710b057-c032-46bc-9e29-cc5c9876c04c
18/11/24 20:24:24 INFO ShutdownHookManager: Deleting directory /mnt/tmp/spark-407ac6a1-09f1-46f5-815e-ca3b454a8274
Command exiting with ret '1'

The cluster id is j-2RRZD00BBIVOH
any help is greatly appreciated.

Edited by: 7kemZmani on Nov 24, 2018 12:54 PM"
Amazon Elastic MapReduce	"Re: (Help) java.io.FileNotFoundException: /stderr (Permission denied)
We have also run into this problem and it is an issue with the `/etc/spark/conf/log4j.properties` file where it defines these DailyRollingFileAppender loggers (DRFA). This file is out of spec when you compare them to the log4j.properties.template file that is sourced from the master spark repo, meaning these are created by AWS for EMR specifically. The problem is that the variable being referenced in these loggers `${spark.yarn.app.container.log.dir}` is evaluating to an empty string, so the path winds up being simply `/stderr` and `/stdout` instead of what you would actually want to see here if that variable evaluated properly like `/mnt/var/log/hadoop-yarn/containers/<app_id>/<container_id>/(stdout|stderr)`.

We need some response from the AWS EMR team as to why they made that change and for what instances it would actually work properly, but it does not appear to work by default on any use-case I've come across while using 5.18 and 5.19 so far.

According to your description, that logger is being used regardless of you using your own spark-submit option. I'm not sure why that is not being respected but I do not have any experience defining the logging using the java args for spark-submit.

Our only solution thus far has been to revert back to the standard template file. In addition, one of the side-effects of AWS choosing to go with a non standard properties file is that we have to manipulate that file post-boot. Our application configuration provided at boot time with the `--configurations` parameter would not be respected once we copy the base template over the AWS-version of the log4j.properties file. Our workaround there has been to use sed on the file and recreate our configurations there. So to put all of that together, we copy a script to the master node and then run that script as a part of the cluster creation process. The script contains a few commands to ""fix"" the log4j config for us so it has what we want. For example, we previously used the configuration for spark-log4j

{
      ""Classification"": ""spark-log4j"",
      ""Properties"": {
        ""log4j.rootCategory"":""ERROR,console""
      }
}


Now, in the script we run this on the master:

sudo cp /etc/spark/conf/log4j.properties.template /etc/spark/conf/log4j.properties
sudo sed -i 's/log4j.rootCategory=INFO, console/log4j.rootCategory=ERROR,console/' /etc/spark/conf/log4j.properties"
Amazon Elastic MapReduce	"Re: (Help) java.io.FileNotFoundException: /stderr (Permission denied)
We are seeing this breaking change as well, after upgrading from 5.17 to 5.19.  Could someone from the EMR team take a look at this issue?  Thanks.

In the meantimes, someone has posted a solution here https://yohei-a.hatenablog.jp/entry/20181123/1542978165

Edited by: yuj on Dec 5, 2018 2:56 PM"
Amazon Elastic MapReduce	"Re: (Help) java.io.FileNotFoundException: /stderr (Permission denied)
yuj wrote:
In the meantimes, someone has posted a solution here https://yohei-a.hatenablog.jp/entry/20181123/1542978165

I believe this sets the log directory statically for logs so you will no longer have organization by app and container IDs if you require those. Removing the DRFA sections does still allow for the app and container log directories to be created as they have in the past."
Amazon Elastic MapReduce	"Re: (Help) java.io.FileNotFoundException: /stderr (Permission denied)
The same issue still happens in the latest EMR release 5.20.0.  Could the EMR team acknowledge this bug and get it fixed asap?  Thanks."
Amazon Elastic MapReduce	"Re: (Help) java.io.FileNotFoundException: /stderr (Permission denied)
I would upvote this rather than adding a ""me too"" but I don't see an up-vote method.
Yes it bit us as well."
