label	description
Amazon Lightsail	"Support Tier Scope
I have a Lightsail instance running a Bitnami LAMP stack, and need support for the instance (site down, connectivity/throughput issues, etc.) and for the LAMP stack (configuration help mostly)... just the basic hosting-provider type support found at most hosting companies (Bluehost, Dreamhost, etc.).

I've seen the premium support plan comparison at https://aws.amazon.com/premiumsupport/plans/  and am considering the Developer or Business tier, but the tier descriptions aren't quite clear about which components are covered. Can anyone fill me in a bit on what's covered by those plans?"
Amazon Lightsail	"Re: Support Tier Scope
Well since you are considering both plans anyway you could just start with Developer and upgrade if necessary, but based on your description that should be enough.

According to the comparison chart the only relevant differences are response times/channel and Third-Party Software Support, meaning that as long as your support request relates to troubleshooting a base image (it does, no third-party software) then it's covered."
Amazon Lightsail	"Proof Point blocking in IP range of 3.0.0.0 - 3.127.255.255
Hello,
I have a Lightsail server that I have attached an Amazon static IP in the 3.0.0.0 - 3.127.255.255  range.  Proof Point keeps blocking and doesn't respond even after 5 or so requests over 2-3 week time frame. 

I have the email server locked down with a Sovereign email config (uses ansible) and it is not listed on any block lists.

Does anyone have a strategy to get this resolved or is be better to move off of Lightsail or any other strategy that wouldn't be block on Amazon?

Thanks,
-gillhamg"
Amazon Lightsail	"Re: Proof Point blocking in IP range of 3.0.0.0 - 3.127.255.255
Thanks for using Lightsail. I think the ip address is just temporary blocked by ProofPoint. It is probably because you are either sending too many mails. If you have the ip address handy, you can verify with ProofPoint using the link below.

https://ipcheck.proofpoint.com/"
Amazon Lightsail	"Re: Proof Point blocking in IP range of 3.0.0.0 - 3.127.255.255
Thanks Steve for the reply. I thought the same thing you just mentioned but has not helped contacting Proof Point.
1)  I have used the Proof Point page you listed and submitted requests over a three week period so it doesn't' seem temporary. As you know, the Proof Point web page doesn't list anything about the IP you are requesting to be unblocked. It just says thanks and our team is investigating the IP.

2) Sending too many emails doesn't seem like the issue as I've sent 41 messages since Dec 21, 2018 so I don't think that would be too many and only about half are to companies using Proof Point that are then getting blocked.  

3) When I use Abuse IP DB or MX Toolbox, the IP address is good, my domain is good, I have a DMARC entry to Quarantine.

4) Since all of the above items show that my server is fine and I have low email volume, and I don't send many messages to Proof Point customers, then there must be an issue between this block of IPs and Proof Point? Is there anything AWS can do to either check or make sure Proof Point isn't blocking AWS IPs without a reason?

Thanks,
-Greg

MX Toolbox info - (some delay but my server is also looking up reputations so may delay).
6.781 seconds - Warning on Connection time
24.313 seconds - Not good! on Transaction Time
220-<hostname removed> ESMTP Postfix
220 <hostname removed> ESMTP Postfix https://forums.aws.amazon.com/
EHLO keeper-us-east-1c.mxtoolbox.com
250-<hostname removed>
250-PIPELINING
250-SIZE 51200000
250-ETRN
250-STARTTLS
250-ENHANCEDSTATUSCODES
250-8BITMIME
250 DSN https://forums.aws.amazon.com/
MAIL FROM:<supertool@mxtoolbox.com>
250 2.1.0 Ok https://forums.aws.amazon.com/
RCPT TO:<test@mxtoolboxsmtpdiag.com>
554 5.7.1 <test@mxtoolboxsmtpdiag.com>: Relay access denied https://forums.aws.amazon.com/

LookupServer 27082ms

OK - Reverse DNS is a valid Hostname
OK - Reverse DNS matches SMTP Banner
OK - Supports TLS.
OK - Not an open relay.
DMARC Record found

mail.log
postfix/smtpdhttps://forums.aws.amazon.com/: NOQUEUE: reject: RCPT from keeper-us-east-1c.mxtoolbox.comhttp://18.205.72.90: 554 5.7.1 <test@mxtoolboxsmtpdiag.com>: Relay access denied; from=<supertool@mxtoolbox.com> to=<test@mxtoolboxsmtpdiag.com> proto=ESMTP helo=<keeper-us-east-1c.mxtoolbox.com>

Edited by: gillhamg on Feb 26, 2019 5:39 AM

Edited by: gillhamg on Feb 26, 2019 5:40 AM"
Amazon Lightsail	"Re: Proof Point blocking in IP range of 3.0.0.0 - 3.127.255.255
Do you have a PTR record setup for your IP?

https://lightsail.aws.amazon.com/ls/docs/en/articles/amazon-lightsail-configuring-reverse-dns

That goes a long way to allowing your instance to send email."
Amazon Lightsail	"Failure to Show Console
I have created Ubuntu server in lightsail and enabled iptables for allowing ssh from office ip address only as followings. 

iptables -F
iptables -X
iptables -Z
iptables -P INPUT DROP
iptables -P OUTPUT DROP
iptables -P FORWARD DROP
iptables -A INPUT -p tcp -s x.x.x.x --dport 22 -j ACCEPT
iptables -A INPUT -i lo -j ACCEPT
iptables -A OUTPUT -p tcp -s any/0 -j ACCEPT

Still, the console in aws panel can only shows black screen now. Could anyone suggest some solutions?

Edited by: simonleung on Feb 25, 2019 10:51 PM"
Amazon Lightsail	"Re: Failure to Show Console
Looks like you've blocked all SSH except the one IP (including the internal web client).

I would suggest recovering from a previous snapshot.

As far as restricting SSH access, I would suggest disabling password authentication (require key sets) and not worrying about restricting based on IP address.

For most situations, key set authentication is more than sufficient.

david"
Amazon Lightsail	"Re: Failure to Show Console
The web console is an SSH client that connects to port 22. If you limit access to that port, or you have SSH listening on a different port, you won't be able to use it, unfortunately. So if you ever lock yourself out of SSH, e.g. if your office IP changes, the console won't be of any help to you.

You may be able to find out what the IP (range) used by the console and then allow that in iptables."
Amazon Lightsail	"Feature Request - Power Off Option
Would be nice if there was an option to power off a server (hard shutdown).

Currently there is a ""Stop"" button, but this is akin to a graceful shutdown, and if a server has become unresponsive it can take a long time before the server stops all services.

Being able to simply power off (i.e. pull the plug) the server would be really useful!"
