label	description
Amazon MQ	"CloudWatch does not have Destination (Queue and Topic) Metrics
I'm trying to retrieve the QueueSize from CloudWatch but can only see Broker level fields. i.e.

All Metrics -> AmazonMQ -> 13 Metrics

(instead of 28 Metrics which is shown in https://docs.aws.amazon.com/amazon-mq/latest/developer-guide/amazon-mq-accessing-metrics.html)

Is there any other setting that I need to enable for the Destination (Queue and Topic) Metrics to appear?

Thanks!"
Amazon MQ	"How to do Content based Routing in Amazon MQ?
Hi, 

Let's assume, we have three queues, INQueue_Student, OUTQueue_FemaleStudent, OutQueue_MaleStudent on Amazon MQ. Publisher publishes XML body to INQueue_Student and two Consumer's Consumes from OUTQueue_*.  

If Message body has ""<StudentGender>Female</StudentGender>"", then it has to be routed to OUTQueue_FemaleStudent. If it has <StudentGender>Male</StudentGender>"", then it has to be routed to OUTQueue_MaleStudent. 

How can I achieve this routing? 

Thanks,
Srithi"
Amazon MQ	"Question about CloudWatch and QueueSize
I am trying to determine the size of a Queue using CloudWatch. Based on a previous question it sounded like jmx was not supported so the only way to get this information would be to use a jms QueueBrowser and count the messages (seems inefficient) or use the CloudWatch metrics.  I am use the java sdk and I am having some issues understanding how to form the request properly.  I think I should create a GetMetricStatisticsResult like the below, but I am unsure of what to put in for the StartTime, EndTime, statistics, and Period.  Any input would be appreciate.

Also we are using (Active/Passive) is there an elegant way to know which broker is active?

Thank you

Sample Request:

GetMetricStatisticsRequest request = new GetMetricStatisticsRequest()
	.withNamespace(""AWS/AmazonMQ"")
	.withStartTime(new Date(new Date().getTime() - durationMillis))
	.withMetricName(""QueueSize"")
	.withPeriod(durationSeconds)
	.withStatistics(""Minimum"", ""Maximum"", ""Average"", ""Sum"")
	.withDimensions(new Dimension().withName(""Broker"")
	.withValue(ACTIVE_BROKER_NAME), 
		new Dimension().withName(""Queue"").withValue(queueName))
	.withEndTime(new Date());"
Amazon MQ	"Re: Question about CloudWatch and QueueSize
Sorry for the delayed response.

The sample request is correct. You cannot get the current queue size via CloudWatch because there is a delay for metrics to be sampled and then propagated through CloudWatch. The QueueSize metric in CloudWatch is aggregated by the minute, and you can usually query for data up to about 1-3 minutes ago.

If real-time size is not required, then request data from 10 minutes ago up until the current time, and then in your application code select the most recent datapoint returned by CloudWatch.
If real-time size is required, then the ActiveMQ console will show it. But the only way to query that programmatically is to scrape the ActiveMQ console web page. JMX access is not supported.

The Sum metric would not be very useful (if you aggregate over 5min or 1hour periods, then it would be summing the size for each of the 1min buckets making up that period). Rather fetch Minimum and Maximum stats."
Amazon MQ	"Re: Question about CloudWatch and QueueSize
bbillows wrote:
Also we are using (Active/Passive) is there an elegant way to know which broker is active?

Sorry, there is currently no easy way to determine that."
Amazon MQ	"Re: Question about CloudWatch and QueueSize
Thank you for your responses."
Amazon MQ	"Re: Question about CloudWatch and QueueSize
Instead of starting a new topic, I thought it's best to ask here since my query is somewhat related. I'm trying to retrieve the QueueSize from CloudWatch but can only see Broker level fields. i.e.

All Metrics -> AmazonMQ -> 13 Metrics

(instead of 28 Metrics which is shown in https://docs.aws.amazon.com/amazon-mq/latest/developer-guide/amazon-mq-accessing-metrics.html)

Is there any other setting that I need to enable for the Destination (Queue and Topic) Metrics to appear?"
Amazon MQ	"ActiveMQ lost messages if there is no commit pending on MDB with XA and RA
Hi, we are facing some strange behavior with ActiveMQ with Message Driven Beans. We migrate from Artemis to use AmazonMQ.

Basically, when some application fails, we realize that some messages are lost. We made some tests to identify if there is some configuration issue with ack type, message persistence, etc. But in the end, the conclusion we came, and the test scenario we get, is that when we have a MDB processing the message and there is no transaction with a pending commit, when the application dies, the message is lost, the broker removes it from the pending messages.

But, if we do have a transaction with a pending commit, the broker keeps it, and soon the application starts the message can be processed again. 

We are using XA and Resource Adapter with a WildFly Swarm application. Looks like as soon a transaction starts from the MDB and there is a commit pending, the application notifies the broker to hold the message even if the consumer dies. If there is no transaction, as soon the broker identifies that the consumer has lost connection, the messages are removed from the queue.

Some infos:


Even defining with transaction required and container management, the same occurs
With auto or dups ack, the same occurs
The messages are persistent


We are missing some configuration with activeMQ? We don't find any other property saying something about this kind of behavior with MDBs and transactions. What tells the broker that he should hold the messages with going transactions? There is a way to keep all the messages in case of failure using MDBs and XA?

Here is a simple MDB code with the test scenario:

@MessageDriven(activationConfig = {
        @ActivationConfigProperty(propertyName = ""acknowledgeMode"", propertyValue = ""Auto-acknowledge""),
        @ActivationConfigProperty(propertyName = ""destination"", propertyValue = ""task-processor""),
        @ActivationConfigProperty(propertyName = ""destinationType"", propertyValue = ""javax.jms.Queue""),
        @ActivationConfigProperty(propertyName = ""maxSessions"", propertyValue = ""20"")
})
@ResourceAdapter(""activemq-rar.rar"")
public class MyMDB implements MessageListener {
 
    @Inject
    private CartaoService service;
 
    @Override
    public void onMessage(Message message) {
 
        try {
            // 0 - No transaction
            // 1 - Will be a transaction with a pending commit
            int t = new Random().nextInt(2);
 
           // Just a entity to persist and have a pending commit
            Cartao c = new Cartao();
            c.setIdBoard(1l);
            c.setNome(((TextMessage) message).getText());
            c.setStatus(""ON"");
            c.setTempo(10l);
 
            // Prints the message id and if there is a transaction
            System.out.println(((TextMessage) message).getJMSMessageID() + "" - "" + t);
 
            // Sometimes we will have a commit pending
            if (t == 1)
               service.insert(c);
            TimeUnit.SECONDS.sleep(30);
            System.out.println(""END"");
        } catch (Exception e) {
            e.printStackTrace();
        }
 
    }
 
 
}


Please let me know if there is a more additional info"
Amazon MQ	"Re: ActiveMQ lost messages if there is no commit pending on MDB with XA and RA
Please provide more details on what happens inside your CartaoService::insert() method.
Are you making calls to the MessageDrivenContext interface?"
Amazon MQ	"Re: ActiveMQ lost messages if there is no commit pending on MDB with XA and RA
Thank you for the reply.

In the insert method we just call a persist from EntityManager.

  @TransactionAttribute(TransactionAttributeType.REQUIRED)
    public T insert(@Valid T bean) { 
       em.persist(bean);
       return bean;
    }


The strange thing is, if the consumer dies before calling this method, the message is always dequeued and never will be processed again, but if this method is call, the message stays there after the consumer dies. Look's like the MDB says something to the broker after having a transaction with a pending commit.

By the documentation, I believe that the correct behavior would be the message stays enqueued to be processed again as soon a new consumer is available.

And we don't do any call to MessageDrivenContext.

Edited by: brunobluiz on Dec 18, 2018 2:51 AM"
