label	description
Amazon Managed Streaming for Kafka (Amazon MSK)	"Timeout creating topic - Step 5 Getting Started Guide
I have not been able to get past step 5 in the getting started guide as am getting a session time out.

https://docs.aws.amazon.com/msk/latest/developerguide/create-topic.html

bin/kafka-topics.sh --create --zookeeper <replaced with zookeeperconnection string> --replication-factor 3 --partitions 1 --topic AWSKafkaTutorialTopic

https://forums.aws.amazon.com/ WARN Client session timed out, have not heard from server in 10011ms for sessionid 0x0 (org.apache.zookeeper.ClientCnxn)

Any suggestions on how to increase timeout or how to troubleshoot.  No issues up to this step."
Amazon Managed Streaming for Kafka (Amazon MSK)	"Re: Timeout creating topic - Step 5 Getting Started Guide
Hello. Could you confirm that your cluster shows up as Active? The session timeout is indicative that something with the VPC setup is not correctly set up. I'd double check that part first and if nothing shows up, we'd be happy to check your configs if you'd like to share them. Thanks."
Amazon Managed Streaming for Kafka (Amazon MSK)	"Re: Timeout creating topic - Step 5 Getting Started Guide
Hello,

Along with the suggestion of checking the state of the cluster (by viewing the cluster in the MSK console or by using the CLI), another thing to check would be the rules on the Security Group applied to the nodes in the cluster. For that, you can try - 

1) Go to the EC2 Console. Under Network & Security, look at Network Interfaces. 
2) Find any of the ENIs attached to your cluster. They have a description such as ""Amazon MSK network interface for cluster <cluster_arn>""
3) When you select one of the ENIs with that description, in the bottom pane you will see the Security Group associated with that ENI. Check it's inbound and outbound rules. At the very minimum, you want to allow traffic from the instance where you are running your kafka create topic scripts. (https://docs.aws.amazon.com/msk/latest/developerguide/create-client-machine.html explains how to setup a more permissive rule). 

Note that we are working on fixing the MSK CLI and Console to make it easier to find out which Security Group to edit to allow traffic. This is applicable to clusters created from the console or from the CLI using a default Security Group."
Amazon Managed Streaming for Kafka (Amazon MSK)	"How can I access my AWS MSK managed kafka queue from my local machine/EC2
I'm setting up a managed kafka queue on AWS MSK. I can't seem to get the security to work when connecting from a local machine and I can't work out if I can use security groups from one region to another.

I've gone through the information on setting up the security groups on the main documentation here https://docs.aws.amazon.com/msk/latest/developerguide/create-vpc.html. I still can't seem to connect to the broker though. I'm currently using kafka scripts from my local machine in the following way:

bin/kafka-console-producer.sh --broker-list ""my-broker-ip:9092"" --topic ""some-topic""


but keep getting the result

 [2019-01-28 12:06:13,278] WARN [Producer clientId=console-producer] Connection to node -1 could not be established. Broker may not be available. (org.apache.kafka.clients.NetworkClient)

I've associated my local IP with all the ports on the security group that I set up with my VPC and associated with the kafka queue but it doesn't seem to have helped. I also don't see how I can associate my boxes with the kafka queue as they are in different regions. Is this possible?

Edited by: TomUrbanTide on Jan 28, 2019 6:10 AM"
Amazon Managed Streaming for Kafka (Amazon MSK)	"Re: How can I access my AWS MSK managed kafka queue from my local machine/EC2
Hello. Is the local client machine set up according to the instructions in https://docs.aws.amazon.com/msk/latest/developerguide/create-client-machine.html. I'm double checking since unless it is part of the right VPC the client will not be able to communicate with the brokers. 

For connecting across regions, there is some documentation here: https://aws.amazon.com/answers/networking/aws-multiple-region-multi-vpc-connectivity/. 

Thank you"
Amazon Managed Streaming for Kafka (Amazon MSK)	"Unable to connect to MSK cluster from EC2 instance
I created an MSK cluster and then spun up an EC2 instance and installed Kafka 1.1.1.  I can access the cluster via the AWS cli to get the bootstrap brokers and Zookeeper connect string, but when I try to list topics from my EC2 instance, I get a timeout.

The EC2 instance is in the same VPC, but I don't see any way to set a specific security group in MSK.  Any idea how to fix this or at least get more debugging information?"
Amazon Managed Streaming for Kafka (Amazon MSK)	"Re: Unable to connect to MSK cluster from EC2 instance
Step 3 in the getting started guide shows one example of specifying the security groups: https://docs.aws.amazon.com/msk/latest/developerguide/create-cluster.html. Could you confirm those steps work for you?
Thank you"
Amazon Managed Streaming for Kafka (Amazon MSK)	"Re: Unable to connect to MSK cluster from EC2 instance
Thanks for the pointer.  I created the cluster from the AWS console.  Is there no way of updating the security group of an existing cluster?  If not, allowing a cluster to be created from the console is worse than useless."
Amazon Managed Streaming for Kafka (Amazon MSK)	"Re: Unable to connect to MSK cluster from EC2 instance
Unfortunately there is no way to update the security group right now but we're working on it for GA. Thank you."
Amazon Managed Streaming for Kafka (Amazon MSK)	"Re: Unable to connect to MSK cluster from EC2 instance
Hello,

You can also try to change the inbound/outbound rules of the Security Group you already have on the cluster - switching to a new SG isn't the only option. You can edit the SG from the EC2 Console, under the Network and Security menu options.

-Varun

Edited by: varun@AWS on Jan 29, 2019 10:28 AM"
