label	description
Amazon Neptune	"Connect to Neptune SPARQL Endpoint from local machine
Hello,

Is it possible to connect to the Neptune SPARQL endpoint straight from a local machine? Currently, I can only send SPARQL queries to my endpoint from my EC2 via SSH, which is not really convenient as I would like to automatize SPARQL querying from an external service (not in AWS).

Thanks,

MT"
Amazon Neptune	"Re: Connect to Neptune SPARQL Endpoint from local machine
Hi MT,

The reference architectures has some options for connecting from outside of the VPC:  https://github.com/aws-samples/aws-dbs-refarch-graph/tree/master/src/connecting-using-a-load-balancer. These approaches use a reverse proxy or API Gateway to connect to your Neptune instance from within the VPC.

For client access, you can also look at VPC peering or VPC VPN client options.

Thanks, --Brad

Edited by: bradbataws on Jan 24, 2019 8:22 AM"
Amazon Neptune	"Re: Connect to Neptune SPARQL Endpoint from local machine
bradbataws wrote:
The reference architectures has some options for connecting from outside of the VPC:  https://github.com/aws-samples/aws-dbs-refarch-graph/tree/master/src/connecting-using-a-load-balancer. These approaches use a reverse proxy or API Gateway to connect to your Neptune instance from within the VPC.

Still quite impractical for development/casual use cases… Anything quicker to set up using a single instance? Maybe using Internet/VPC gateways?"
Amazon Neptune	"Re: Connect to Neptune SPARQL Endpoint from local machine
If you have an EC2 host within your VPC, one approach that I use is to configure ssh port forwarding for local machine access.

Edited by: bradbataws on Feb 27, 2019 4:00 AM"
Amazon Neptune	"Tagging AWS  Neptune Snapshot through UI
I have a lambda which captures a snapshot of the current status of our Neptune cluster and it tags the snapshot. I went through the ui to see if the tags were there and correct, but the tags section of the snapshot page was stuck loading. I tried to add a tag via UI and it responded with the following 
Unable to find a snapshot matching the resource name: arn:aws:rds:us-east-1:$accountnumber$:snapshot:snapshot-20190205 (Service: AmazonRDS; Status Code: 400; Error Code: InvalidParameterValue; Request ID: $request-id-uuid$)


When I use the cli to inspect the tags, they are all present. 
aws neptune list-tags-for-resource --resource-name arn:aws:rds:us-east-1:$accountnumber$:cluster-snapshot:snapshot-20190205


Is this an account specific bug or are there plans to fix this?"
Amazon Neptune	"Re: Tagging AWS  Neptune Snapshot through UI
This seems to have been fixed."
Amazon Neptune	"Neptune Gremlin CSV, Load and Vertex Property Cardinality
I am currently loading Gremlin CSV data into Neptune and on query I am running into an issue where multiple vertex properties are returned when I expect only one. Does the CSV header not inform the loader what the property cardinality should be?

Here is data that is has the same structure as what I am loading:

~id,~label,personName:String,height:Int
person-406005,person,John,70

If we load another CSV such as

~id,~label,personName:String,height:Int
person-406005,person,John,69

Then I find that the person-406005 vertex ends up having two properties for height and personName.

As a backup I could set the fields with gremlin but would prefer to use the S3 -> neptune loader path. Any advice on how I can specify the correct property cardinality would be appreciated. 

Thanks,

Martin"
Amazon Neptune	"Re: Neptune Gremlin CSV, Load and Vertex Property Cardinality
Hi Martin,
We currently do not support bulk-loading with single-cardinality for Vertex properties in Neptune. 

Thanks,
Yigit"
Amazon Neptune	"Re: Neptune Gremlin CSV, Load and Vertex Property Cardinality
Is there any plan to implement this or does there have to be essentially an application to clean up the properties to single cardinality?"
Amazon Neptune	"Re: Neptune Gremlin CSV, Load and Vertex Property Cardinality
We are looking at this as a future feature, but don't yet have firm plans. Currently, you can load or create single cardinality properties using the Gremlin interface directly rather than the bulk loader."
Amazon Neptune	"Re: Neptune Gremlin CSV, Load and Vertex Property Cardinality
If you need to load large amounts of data transactionally in order to meet your property cardinality constraints, you may want to look at using the reference architecture that we've developed that leverages Kinesis and Lambda to write data to Neptune.  This will still give you high throughput, and will allow you to load the data using Gremlin transactionally.

https://github.com/aws-samples/aws-dbs-refarch-graph/tree/master/src/writing-from-amazon-kinesis-data-streams"
Amazon Neptune	"Defining unique constraint on schema for AWS Neptune.
We are doing a POC on Neptune. In our use case we will be receiving data through stream which can duplicate vertices and edges. In graph we need to maintain the data sanity and have only one vertex against the unique id that we have.

Approaches tried: 

1. Through Gremlin API using fold() and coalesce() methods, but there was significant performance hit and it taking more than 5 sec to persist single vertex.
The CPU usage was high too (found a issue logged against it in neptune: https://forums.aws.amazon.com/thread.jspa?threadID=294780&tstart=0 ) 
g.V().has(GraphConstants.METRIC_VERTEX_LABEL, GraphConstants.DOC_FIELD_QNAME,
                ""1.1.1.1"").
                fold().coalesce(unfold(), addV(GraphConstants.METRIC_VERTEX_LABEL)
                .property(GraphConstants.DOC_FIELD_QNAME, ""1.1.1.1""))
                .next();


2. Through define ""id"" property in addV() method, though this didn't resulted in unique vertices and there were duplicate nodes against the same id.
 g.addV(GraphConstants.MOB_VERTEX_LABEL)
            .property(""id"",
                ""1.1.1.1"")).next();


Please let us know if there is a way we can achieve uniqueness with Neptune either by defining a constraint or unique index on a property of a vertex/edge."
Amazon Neptune	"Re: Defining unique constraint on schema for AWS Neptune.
Is it possible for you to define the id of the vertex as your unique value? If so, it should be more performant, rather than scanning for a certain value in the properties. 

Also, I do not believe you can set an index or constraint yourself.

g.V(""1.1.1.1"")
  .fold()
  .coalesce(
    unfold(),
    addV(GraphConstants.METRIC_VERTEX_LABEL).property(T.id,""1.1.1.1""))
  .next()"
Amazon Neptune	"Re: Defining unique constraint on schema for AWS Neptune.
What version of Neptune are you running? We have made significant improvements to the .fold().coalesce(unfold(), <mutate>()) pattern recently and this query should not be taking 5 seconds to run."
Amazon Neptune	"Query orderBy performance degrading over time
Problem
We have a query that contains an oderBy clause, which orders a set of vertices / edges that accumulates over time. We use gremlin to access Neptune.

We accumulate about 2000 nodes of the particular type in the graph over a week and the query seems to accumulate about 200ms on average. I suspect the performance impact that we see is due to the nature of the index that Neptune is created. ie: It might not be a sorted index on the filed that we use for orderBy.

Questions
1. What would be the cause for the degrading performance?
2. Is there a way to

sample query (in gremlin-scala):

Query
 graph.V(vertex.id)
          .hasLabel(Parent)
          .in()
          .hasLabel(Child)
          .has(End)
          .order(By(End, Order.decr))
          .take(5)


Stats:
Engine: Neptune 1.0.1.0
total vertices:  ~12000
vertex of type Parent: 7
vertex of type Child: ~12000
vertices selected in (Parent) --> (Child) : ~12000/7  = ~1700
Query time at 95th percentile: 250ms

Tried running a gremlin profile query but all I see is:
Step                             Count  Traversers       Time (ms)    % Dur
============================================================================
NeptuneGraphQueryStep(Edge)         5           5       237.165   100.00
          TOTAL                     -           -       237.165        -


Edited by: paul-vital on Jan 20, 2019 1:47 PM"
Amazon Neptune	"Re: Query orderBy performance degrading over time
Hi Paul,

Thank you for reaching out to the Amazon Neptune team.

In general, orderBy queries will take longer the more items there are to sort. 

That being said, could you open a support ticket via AWS console so we can provide support over a secure communications channel? This is a public forum and we'd advise against posting potentially sensitive info such as your instance ID, s3 bucket name, arns, etc.

We'd be happy to further investigate this case with you. Thanks!

-Rahul"
Amazon Neptune	"Re: Query orderBy performance degrading over time
Thanks Rahul, created a support ticket from console."
Amazon Neptune	"Mix-up between Neptune APIs to RDS APIs
Hi
I had been posting this with all possible forums and no one can answer this. maybe here I'll get clear answer.

How come calling RDS describeDBClusters returns Neptune DBClusters?
The same goes for all RDS/Neptune types (e.g. Neptune DBInstance and RDS DBInstance)

Is this expected? 
Can I use RDS apis to discover all Neptune assets? 
and if so, why having Neptune API at all!"
Amazon Neptune	"Re: Mix-up between Neptune APIs to RDS APIs
Hi,

Please see the  https://aws.amazon.com/neptune/faqs/ Amazon Neptune FAQ on ""Why are Amazon RDS permissions and resources required to use Amazon Neptune?"". The Amazon Neptune APIs are the officially supported ones.

Thanks, --Brad"
Amazon Neptune	"Re: Mix-up between Neptune APIs to RDS APIs
Hi
I'm sorry but this still not clearing the confusion why RDS API returns the same as Neptune APIs
I want to have one code that discover (describe) RDS & Neptune at the same time. And now I get things twice
What I'm trying to figure out, can I just use the RDS API to get both RDS & Neptune assets, and assume this will remain the situation at the future?"
Amazon Neptune	"Re: Mix-up between Neptune APIs to RDS APIs
The ""why"" is that because of sharing infrastructure the instance information is kept in a common database. Both APIs read from that database and, at least at present, they don't filter out instances of the wrong type. I don't know why they currently don't filter, but suspect that there were internal things that would have broken and they just haven't had time to clean all those up yet. I expect that in the future they will do the filtering (or other internal changes will have the same effect), with the RDS API only returning RDS instances and the Neptune API only returning Neptune instances."
Amazon Neptune	"On-demand (serverless) Neptune or smaller instance for development?
Hi, do you have plans for Neptune to be provided as serverless, or with a smaller instance?
GraphDB is our hot topic but the current instance size is too pricey for development purpose, as a result, we're setting up the near identical stack with EC2 + EBS.

It would be great if we could start developing with micro/nano instance, and it's awesome if you provide as serverless with the pay-per-request pricing model."
Amazon Neptune	"Re: On-demand (serverless) Neptune or smaller instance for development?
Do you mind providing us with some info on the size of graph that you're looking to use and the number of transactions/second?  It would be good for us to understand the use-case/pattern to see what type of resources may be needed to run this type of workload.

Also, if you're workload is periodic in nature, you can take advantage of the fact that Neptune clusters have decoupled compute and storage.  Via the Neptune API, you can create a cluster with zero compute instances (only storage) and add/remove instances to the cluster when you need to process queries/traversals."
Amazon Neptune	"Gremlin coalesce resulting 100% cpu usage
Hi,

Recently, we monitored that the query that's using coalesce (example below written in python-grem lin) cause AWS Neptune to consume 100% CPU. 

g.V().hasLabel('Brand').coalesce(__.identity()).V().profile().next()


Below are our AWS Neptune details:

Engine Version: Neptune 1.0.1.0
DB Instance Class: b.r4.large

Reference
1. Coalesce Step:http://tinkerpop.apache.org/docs/current/reference/#coalesce-step

Edited by: hishammuddin-sani on Dec 7, 2018 1:51 AM

Edited by: hishammuddin-sani on Dec 7, 2018 1:53 AM"
Amazon Neptune	"Re: Gremlin coalesce resulting 100% cpu usage
Hi there, happy to try and help.

Could you say a little more about what you are trying to achieve ? I ask as that query is going to find every vertex in the graph that has a 'Brand' label and then that number of times return every Vertex in the entire graph. So this will return a huge amount of data for a large graph and spawn a huge number of traversers which is why you are seeing it take a long time most likely.

If you could say a little more about the query you are trying to write I can try to help change the Gremlin a bit.

Here is an example from one of my graphs that I hope shows the massive fan out that this query will cause:

gremlin> :> g.V().count()
==>3664
gremlin> :> g.V().hasLabel('airport').coalesce(__.identity()).limit(5).V().count()
==>18320
gremlin> 3664*5
==>18320


Cheers
Kelvin

Edited by: Kelvin-AWS on Dec 7, 2018 10:45 AM

Edited by: Kelvin-AWS on Dec 7, 2018 10:49 AM"
Amazon Neptune	"Re: Gremlin coalesce resulting 100% cpu usage
Hi,

We use coalesce to create a node if it's not already created and just return the node if it's already there (using fold().coalesce(unfold())). Recently we realised that this query (using V().has(predicate)) traverse all vertices after we use coalesce. Sorry I dont have any gremlin query profiling screenshotted before the problem arise but here is the recent profiling done

The profiling result when we use coalesce can be found at attachment with-coalesce.png and without coalesce at without-coalesce.png. 

I hope the attachment can explain more

Edited by: hishammuddin-sani on Dec 7, 2018 4:24 PM"
Amazon Neptune	"Re: Gremlin coalesce resulting 100% cpu usage
Hi again, 

The coalesce is not really doing anything useful for you in that query but it will cause a lot more work to take place.

Are you eventually planning to use it to do an upsert in a way like this...

g.V().has('Tag','name','quality).fold().coalesce(unfold(),addV()...)


If so could you perhaps profile that pattern. You should see that that pattern generates improved results.

Cheers
Kelvin"
Amazon Neptune	"Re: Gremlin coalesce resulting 100% cpu usage
Hi hishammuddin-sani,

Just checking in to see if you had any followups on this thread. Let us know!

Karthik"
Amazon Neptune	"Creating a cluster using the console hangs forever
Hello,

I am trying to create a new cluster using the AWS Console. After filling in all the information, I click 'Create Database' and nothing happens. There are some errors in the browser console, but can't identify if they are the main cause.

Checking the console in another tab shows no new resources either."
Amazon Neptune	"Re: Creating a cluster using the console hangs forever
Hi,

I tried on my console and it looks good to me. I can create a Neptune instance successfully. Would you mind open the developer tools and tell me the error message you get? also, if you can provide more information, like what you change for creating a instance, it will be really helpful for me to understand which part of our console has issue.

Thanks!"
