label	description
Amazon Redshift	"Compare dc2.large and dc2.8xlarge
Hello,

I need to choose between cluster with 32 node of type dc2.large or cluster with 2 node of type dc2.8xlarge. So Which is better performance between them? I know the price of 2 node dc2.8xlarge is a little bit more expensive than 32 node of dc2.large. But i'm not sure if dc2.8xlarge has a better performance than dc2.large.  

Thank you."
Amazon Redshift	"Re: Compare dc2.large and dc2.8xlarge
Get the large nodes.

1. You get an 8x type leader node - this is important.
2. Network is slow.  It's much better to have as much data as possible on as few nodes as possible."
Amazon Redshift	"Re: Compare dc2.large and dc2.8xlarge
Additionally, you would be at the max size of your cluster with 32 dc2.large nodes. You wouldn't be able to add any more nodes. With the two dc2.8xlarge you can still add 126 more nodes."
Amazon Redshift	"Re: Compare dc2.large and dc2.8xlarge
Thank you guys, that very helpful."
Amazon Redshift	"A sane way to manage user permissions?
Hey everyone
Some early user-management design choices are coming back to bite me in the butt and I was wondering if anyway has a better way to do things.

Basically here's my situation:
1) We have many users access Redshift to run adhoc queries. They are all members of a group.
2) The group was given read privileges to all tables (including any future tables) in the primary schemas using default privileges.
3) Default privileges require a table owner reference (e.g. give these permissions to all future objects created-by and/or owned-by a specific user). Because of this, we have a single 'admin' user who has the proper default privileges who we use to create new tables, views, and udfs.

This works very well as long as we remember to switch the user to 'admin' before creating any new objects.
The issue I'm having is when a user needs to truncate a table. My specific reason for needing this is due to dimension table ETLs, which completely refresh the table with every load. Truncating a table requires that the current user is either the owner of the table, or a superuser. I'd prefer to not make the ETL user a superuser, so I have a dilemma.

My current solution to this is to just run a 'delete from table' statement to clear the table, but obviously this will have effects on sorting and will require a complete vacuum after every load.
Are there any better ways to manage users in a way that I can automatically give permissions to new objects and allow a user to truncate a table?
One idea I'm leaning toward it setting up a second set of default privileges for the ETL user, then changing the owner of the table to that same user, but I feel like adding more default privileges adds to the complexity of managing the users.

Is there is a better, non-obvious way of getting what I want?

Thanks!"
Amazon Redshift	"Re: A sane way to manage user permissions?
Hi mmasseth,

For exactly all the reasons you specify, we make the ELT/ETL user the schema owner and table owner so that it can exercise those DEFAULT permissions and execute those TRUNCATE statements without being a superuser.  We found that to be a much more automation friendly solution instead of having some other admin user be table and schema owner.

There's a nice side effect to this design in that it forces you to automate all DDL for the table and schema such that no other user should have to do any DDL on it.  Combine that with ""IF NOT EXISTS"" clauses in CREATE and DROP statement automation and you can build an idempotent DDL system.  The down side is that you need a metadata repository/source somewhere outside of the Redshift catalog that includes the Redshift specific bits, like DISTSTYLE, DISTKEY, SORTKEY, and ENCODEing, etc, to build you DDL statements.

I hope that helps or at least validates part of your approach,
-Kurt"
Amazon Redshift	"Re: A sane way to manage user permissions?
I personally wouldn't do a truncate because it will cause some downtime on your table, but you'd still end up with the table owner being the ETL user with my recommended method.

BEGIN;
CREATE new_table ...
INSERT INTO new_table ...
ALTER TABLE table RENAME TO old_table;
ALTER TABLE new_table RENAME TO table;
(optionally recreate any views on the old table to point to new table)
DROP TABLE IF EXISTS old_table CASCADE;
END;"
Amazon Redshift	"ORDER BY clause not working properly on one of Redshift cluster
Running a simple query with ORDER BY clause on one of our Redshift cluster does not seem to be working at all.  

select * from annual_float where order by asof desc;

Results is not sorted by column specified.  Adding "" limit "" does not work either as it still returns all data.   Seems to be happening only on one of our cluster.

Any idea what is going?"
Amazon Redshift	"Re: ORDER BY clause not working properly on one of Redshift cluster
Do you have primary key defined on this table? If so, please try the query after removing the PK. 

Redshift trusts the PK if it's defined and may skip certain checks."
Amazon Redshift	"Re: ORDER BY clause not working properly on one of Redshift cluster
thanks! Query working correctly after dropping the primary key.  Also tried re-creating the table (with primary key defined) and running unload/copy to new table.  Both cases the order by clause is working.

Edited by: rgarc on Aug 30, 2017 1:53 PM"
