label	description

Amazon S3 Batch Operations Preview	"Large batch operation gets stuck in Active state, near completion
Hi there, this concerns job 6733ac65-50c2-4332-a273-915e096b94c0 which I created on 7th February.

This job was still in the Active status until I manually update it with update-job-status.

You can see below that it was just 12 tasks away from completion – I'm not sure how long it had been at that level of completion, but a while. It's not that the job was about to complete – it was seemingly stalled at this point.

It's not a huge problem for us because we can manually cancel jobs or use priorities carefully, but is this expected behaviour?

  {
    ""Status"": ""Active"",
    ""ProgressSummary"": {
      ""NumberOfTasksFailed"": 0,
      ""TotalNumberOfTasks"": 230073882,
      ""NumberOfTasksSucceeded"": 230073870
    },
    ""Description"": ""user_inactive_6_months vangogh-composites"",
    ""CreationTime"": ""2019-02-07T00:29:13.488Z"",
    ""JobId"": ""6733ac65-50c2-4332-a273-915e096b94c0"",
    ""Priority"": 42,
    ""Operation"": ""S3PutObjectTagging""
  }"

Amazon S3 Batch Operations Preview	"Re: Large batch operation gets stuck in Active state, near completion
We'll take a look and get back to you."

Amazon S3 Batch Operations Preview	"Re: Large batch operation gets stuck in Active state, near completion
While it looks like the job has now been cancelled, we are doing further investigation to see why our retry logic was delayed in picking up the remaining objects in this job."

Amazon S3 Batch Operations Preview	"""Task target couldn't be URL decoded"" for CSV manifest
Hi there, this concerns jobs e622ad8d-44d1-4460-af06-afea56a35bba and 6aaefb2a-237b-4167-b341-f724eb65fae2.

After creating the jobs, they fall into the Failed status, with this error:

        ""FailureReasons"": [
            {
                ""FailureCode"": ""InvalidManifestContent"",
                ""FailureReason"": ""Failed to parse task from Manifest teespring-object-cleanup/usercontent.to-archive.csv at byte offset 139264. ErrorMessage: Task target couldn't be URL decoded""
            }
        ],


I don't see any problems with the manifest at the given location:
$ head -c 139280 usercontent.to-archive.csv| tail
teespring-usercontent,uk8jnb-uploads
teespring-usercontent,ae1d50-uploads
teespring-usercontent,e42b5u-uploads
teespring-usercontent,xxn5je-uploads
teespring-usercontent,6m5trx-uploads
teespring-usercontent,71le05-uploads
teespring-usercontent,4gktyu-uploads
teespring-usercontent,nr4hbl-uploads
teespring-usercontent,gczt0c-uploads
teespring-userconten⏎ 


Neither are there any blank lines (which might be a problem according to https://forums.aws.amazon.com/thread.jspa?threadID=295717&tstart=0).

$ grep -c '^$' usercontent.to-archive.csv
0


As the manifest file is quite large, I've emailed a link to the file to s3batchoperationspreview@amazon.com rather than attached it here."

Amazon S3 Batch Operations Preview	"Re: ""Task target couldn't be URL decoded"" for CSV manifest
Thanks for reaching out. We suspect the error is due to the manifest containing some rows where the bucket field is populated but the object key is blank. This was observed in the copy of the manifest you shared via email. 

We are also looking into the byte offset you shared from the error message and will continue to work to improve our error messages and make them more targeted during the course of the preview."

