label	description
Amazon Simple Queue Service	"SQS per message retention value
Hey,

i was reading through the SQS documentation looking for a possibility to set a retention value for single messages of a queue.
But so far i was only able to find the retention values for a whole queue.

So i guess, that it is not possible at the moment.
Or have i overlooked something?

Kind regards
Fabian"
Amazon Simple Queue Service	"What is the max filter policy limit on SNS
Hi 
   AWS filter policy documentation says 5 attributes. However, it allows more than 10 attributes in filter policy.

  How many attributes keys it can have in filter policy? 
  I understand combination of key and values should be less than 100."
Amazon Simple Queue Service	"Posting a daily summary into a Slack Channel
We have several e-commerce platforms and we would like to post a combined daily summary into a Slack Channel. So far, every sale from every e-commerce site gets posted directly into the online-sales Slack Channel separately as it happens, simply using Slack Incoming Webhooks. What i am thinking about is having the e-commerce sites posting transaction details into an SQS, having a Lambda function trigger on a daily scheduled basis to construct the summary (x sales from ABC site, y sales from EFG site...) and then post all that into Slack using the same incoming webhooks.
Can any one comment on such a solution, is there any better architecture or approach?"
Amazon Simple Queue Service	"Messages disappearing from SQS queue
Recently we have been experiencing some issues with SQS. The messages sent from our SQS queues are dropping before our apps could read them. These messages are sent from EC2 nodes and are read by our servers outside EC2 cluster.Not all the messages are disappearing which is why it is hard to find the cause.

We are trying to debug this issue and would like some help from AWS support. We have experienced this problem on 4/26/2012, 5/7/2012, 5/8/2012, 5/9/2012, 5/10/2012.

We have the message IDs for missing message and following information regarding these missing SQS messages will help us debug this further

Time when Message was put on SQS
Time for how long Message was on SQS
Time when Message was last seen on SQS
If possible who deleted the message

We would appreciate your help for determining the cause of this issue.
Thanks"
Amazon Simple Queue Service	"Re: Messages disappearing from SQS queue
""The messages sent from our SQS queues are dropping before our apps could read them"" - when you say they are dropping, do you mean that they are never delivered?

One reason messages may be sent to SQS but not delivered to consumers is because the messages expire.  This occurs when messages are not consumed before the Queue's MessageRetentionPeriod.  What is the MessageRetentionPeriod for your queue, and how long were the messages in the queue before the were ""dropped""?

Another reason messages may be sent to SQS but not delivered to consumers is if the Queue is deleted, and then recreated.  When a queue is deleted, any messages in the queue are deleted.  In your system, do you delete and recreate your queues?"
Amazon Simple Queue Service	"Re: Messages disappearing from SQS queue
By  ""messages are dropped"" I mean they appear for short duration of time in queue and disappear before our apps could read them. We have seen messages in queue for 2-3 minutes before they disappeared. We couldn't find them in our app logs where we usually log them. We do have message IDs for these messages if that helps.

The queues message retention period is 4 days. Also we are not deleting and recreating them. The queues were created on Dec 6, 2011. We have seen this problem surfacing only recently which is why it is odd for us."
Amazon Simple Queue Service	"Re: Messages disappearing from SQS queue
I've sent you a private message asking for specific information, once you reply to that I'll take a deeper dive."
Amazon Simple Queue Service	"Re: Messages disappearing from SQS queue
Thanks for the help! This helped us identify issue with our system and it proved that SQS was not dropping the messages."
Amazon Simple Queue Service	"Re: Messages disappearing from SQS queue
Hello,

I am facing this exact same problem -for some strange reason, messages in my queue get deleted before i can process them - I was under the impression that queue messages have to be manually deleted - but in this case they automatically disappear. 
My settings Details are as below
1. I receive message from SNS to my queue.
2. I know that the messages are received, but after a brief period of 1-2 minutes, they disappear. 
3. The following are my settings 
a.  *Default Visibility Timeout*- 1 minute
b. Message Retention Period: 4 days
c. Delivery Delay: 0 seconds
d. Receive Message Wait Time: 20 seconds

Many Thanks,"
Amazon Simple Queue Service	"Re: Messages disappearing from SQS queue
Send me a PM with the details of your queue (QueueURL is best), so I can take a closer look.

In the past we've seen that when customers are reporting this issue, they have a piece of code running on some forgotten or development machine that keeps receiving and deleting messages from their queue. Double check if you in fact have some code somewhere consuming messages."
Amazon Simple Queue Service	"Re: Messages disappearing from SQS queue
Hey,
That was an indeed the issue - we had set up a test server and that was consuming some of the messages.
Thanks for that. 

Is there any way that we can see a history of all messages that came to the queue ? Currently I realised that my messages were coming to the queue from sns properly but also creating another email subscription to the sns. This was I was able to figure out that sns was not the issue but sqs was the issue.

If we could see a history of each message, that will lead to easier debugging - Do let me know if it possible

Thanks."
Amazon Simple Queue Service	"Re: Messages disappearing from SQS queue
Hi there,

We are experiencing similar issues and could not find what is consuming the messages. Could you help find out the consumer history of recent messages? I can PM the queue ARN.

Thank you in advance!"
Amazon Simple Queue Service	"Re: Messages disappearing from SQS queue
Yes, please DM me the queue ARN.

You can also mitigate this yourself. Create an IAM user limited to access that queue, use this IAM user in your legitimate queue consumption code, set up a queue policy to allow receive calls only from that IAM user.

This would prevent any other user from consuming messages from that queue."
Amazon Simple Queue Service	"Re: Messages disappearing from SQS queue
Thanks for the suggestion! Will try that. 
But still it would be really helpful to see what has been consuming the messages"
Amazon Simple Queue Service	"Re: Messages disappearing from SQS queue
We got a similar case here.

Normally, the queue is processed by a daemon with several workers which is lead to a fast rate of consumption.

When the daemon is not running, I found out that looking at the messages status on the AWS console, the number of messages dropped at regular interval w/o having any consumer running.

Like already mentioned, it would be really nice to get some information about the consumer(s) of message(s).

Note: I will also DM you the ARN of our queue if you don't mind!"
Amazon Simple Queue Service	"SQS Lambda Trigger Polling Issue
Hello,

I have deployed several SQS queues that get populated with messages and have set it to trigger a Lambda function. My issue is that although I have configured long polling I still am receiving far too many NumberOfEmptyReceives requests. I do not know what I have configured wrong but in 4 days I have shot past the 1.000.000 Free Tier SQS requests and this is a real issue. Could somebody please point me in the right direction on how to solve it ?
Cloudwatch graph: http://oi64.tinypic.com/2n4p3a.jpg
SQS Configuration: http://oi64.tinypic.com/2ynfib8.jpg
Thanks,
Cris"
