label	description
Amazon Simple Workflow Service	"Sending signals to workflows under test
I'm designing a workflow that uses @Signal annotations and trying to unit test them, following the relevant guide in the Flow framework documentation, and I keep hitting the wall.

Basically I have a test implementation of my activity which sends it's Thread to sleep for 5000 millisec to simulate manual completion. In the test method, I try to wait for 1000 millisec before I invoke the signal-method on my workflow:

myWorkflowClient.executeWorkflow(myData);
Thread.sleep(1000);
System.out.println(""Send cancel signal"");
myWorkflowClient.mySignal();
...
public static class MyActivityImpl() {
    @Override
     public void doActivity() {
          System.out.println(""Starting activity"");
          Thread.sleep(5000);
          System.out.println(""Completed activity"");
     }
}


Note: pseudo-code, the mandatory ""try{...} catch (InterruptedException e){....}"" blocks are omitted

That fails because the test runner can't find the workflow execution. Interestingly, if I disable the line with ""mySignal"", I get the following output:

Send cancel signal
Starting activity
Completed activity


It seems to me that the workflow is ""not really"" executed asynchronously, so the first ""Thread.sleep()"" blocks the entire thread and the actual workflow get's executed only after the Thread awakes again. 

I tried to wrap the first ""Thread.sleep()"" into a new Thread, like this: 

Thread(new Runnable(){
     System.out.println(""Send cancel signal"");
     myWorkflowClient.mySignal();
}).start()) 


but the only result is:  ""Attempt to execute asynchronous code outside of AsyncScope.doAsync() method"", so I'm out of ideas now. I followed the guides in any respect, I'm using ""FlowBlockJUnit4ClassRunner"" and I have at least one test passing that is not relying on Signals, so I assume the general setup is correct.

Any ideas how I can test my Signals properly? 

Regards,

Joerg

Edited by: joerg_henning on Jan 20, 2013 10:52 PM

Edited by: joerg_henning on Jan 20, 2013 10:53 PM - formatting fixes"
Amazon Simple Workflow Service	"Re: Sending signals to workflows under test
Well, just a minute after my previous post I remembered the workflow recipes had a similar scenario and et voila, I found my answer there. The magic trick is 

Promise<?> runId = myClient.getRunId();


which becomes ready after the workflow execution has started, so I can safely send my signal exactly then. Never mind.

Edited by: joerg_henning on Jan 20, 2013 11:23 PM"
Amazon Simple Workflow Service	"Re: Sending signals to workflows under test
All workflow and activities code is executed by the same thread when AWS Flow Framework unit test integration is used. So Thread.sleep cannot be used anywhere in the test code including activities implementation. The code in @Test method is executed in a context of a dummy workflow. So such code should be asynchronous and follow the same rules and restrictions of any other workflow code. For example myWorkflowClient.executeWorkflow(myData) creates a child workflow of the dummy worklfow. Child workflow creation is an asynchronous operation. The workflow client getRunId method returns a Promise that becomes ready as soon as child workflow has started. So the following pattern should be used to send signal to a workflow under unit test:
@Test
public void testCancelSignal() {
  myWorkflowClient.executeWorkflow(myData);
  Promise<String> runId = myWorkflowClient.getRunId();
  sendCancelSignal(runId);
}
 
@Asynchronous
private void sendCancelSignal(Promise<String> runId) {
   myWorkflowClient.mySignal();
}

To delay signal sending the WorkflowClock timer should be used:
@Test
public void testCancelSignal() {
  myWorkflowClient.executeWorkflow(myData);
  Promise<String> runId = myWorkflowClient.getRunId();
  Promise<Void> delay = workflowClock.createTimer(1); // seconds
  sendCancelSignal(runId, delay);
}
 
@Asynchronous
private void sendCancelSignal(Promise<?>... waitFor) {
   myWorkflowClient.mySignal();
}

The above code is going to send signal to the tested workflow after workflow has started with at least one second delay. 

It is still not enough to test the activity cancellation as Thread.sleep is not allowed inside its test implementation. As activity implementation code is expected to be synchronous WorkflowClock.createTimer is also prohibited. The solution is to mock activity client directly instead of activity implementation. As client is executed in the context of a workflow it can use any asynchronous code including WorkflowClock.createTimer.

public class MyActivityClientTestImpl implements MyActivityClient {
 
    public Promise<Void> doActivity() {
          return workflowClock.createTimer(3);
    }
 
    ...
}
 
public class MyWorkfowImpl implements MyWorkflow {
     private MyActivityClient activity;
 
     // Constructor or setter used to set activity field
     // to MyActivityClientImpl or MyActivityClientTestImpl
     ...
 
}

To test scenarios that can take long time (some workflows are expected to run for months) it is possible to speed up WorkflowClock through WorkflowTest.setClockAccelerationCoefficient method. For example if you specify speed up of 1000 your unit test should complete in a few milliseconds instead of at least a second."
Amazon Simple Workflow Service	"Re: Sending signals to workflows under test
Wow. Good that I asked anyway.  That's much clearer to me now, thanks for the detailed explanation!"
Amazon Simple Workflow Service	"Re: Sending signals to workflows under test
Mmh, how can I inject my client directly into the workflow implementation? Seems to me that I can only register a workflow type with the TestWorkflow, but not a concrete instance. Do you suggest that I start the workflow execution synchronously, like this:

MyWorkflowImpl workflowImpl = new MyWorkflowIml(/* dependencies here */);
workflowImpl.executeWorkflow();


Seems odd to me, but so far I don't see another way..."
Amazon Simple Workflow Service	"Re: Sending signals to workflows under test
Your options are:


Extend your workflow class. The test  subclass can instantiate all necessary test dependencies. Register the subclass with the WorkflowTest.
Use Spring and SpringWorkflowTest to inject dependencies.
Instantiate workflow directly exactly as in your sample. Note that such approach can be used to test any part of a workflow not only its top level object."
Amazon Simple Workflow Service	"Re: Sending signals to workflows under test
Thanks for these examples.

We're following this pattern to unit test our deciders that support signals. It works well most of the time, but sometimes our unit tests fail because the runner seems to get interrupted:

[ERROR] Tests run: 537, Failures: 1, Errors: 0, Skipped: 0, Time elapsed: 5.155 s <<< FAILURE! - in TestSuite
[ERROR] <...>)(<test name>)  Time elapsed: 0.034 s  <<< FAILURE!
java.lang.InterruptedException: sleep interrupted


Do you know why this would be happening? We are using the FlowBlockJUnit4ClassRunner, and we're creating new workflow clients for each test in the @Before method."
Amazon Simple Workflow Service	"Re: Sending signals to workflows under test
Could it be the unit test timeout?"
Amazon Simple Workflow Service	"Manual approvals with serverless lambda functions made simple with Guflow
Latest release of Guflow: https://github.com/gurmitteotia/guflow will now let you easily implement support for manual approvals using serverless lambda functions. Here is a very simple example showing ""WaitForAnySignal"" API:
    [WorkflowDescription(""1.0"")]
    public class ExpenseWorkflow : Workflow
    {
        public ExpenseWorkflow()
        {
            ScheduleLambda(""ApproveExpense"")
              .OnCompletion(e=>e.WaitForAnySignal(""Accepted"", ""Rejected""))
              .WithInput(_=>new{Id});  //Send workflow id to lambda functions to send signals to this workflow.
            ScheduleLambda(""SubmitToAccount"").AfterLambda(""ApproveExpense"")
              .When(_=>Signal(""Accepted"").IsTriggered());
            ScheduleLambda(""SendRejectEmail"").AfterLambda(""ApproveExpense"")
              .When(_=>Signal(""Accepted"").IsTriggered());
        }
    }

Other APIs that you can use for waiting for signals are: WaitForAllSignals and WaitForSignal. These APIs will help you to move your workers from activities to serverless lambda functions. 

You can call these APIs anywhere in workflow e.g. in the following example ""ApproveExpense"" is a child workflow:
    [WorkflowDescription(""1.0"")]
    public class ExpenseWorkflow : Workflow
    {
        public ExpenseWorkflow()
        {
            ScheduleChildWorkflow<ApproveExpense>()
              .OnCompletion(e=>e.WaitForAnySignal(""Accepted"", ""Rejected""));
            ScheduleLambda(""SubmitToAccount"").AfterLambda(""ApproveExpense"")
              .When(_=>Signal(""Accepted"").IsTriggered());
            ScheduleLambda(""SendRejectEmail"").AfterLambda(""ApproveExpense"")
              .When(_=>Signal(""Accepted"").IsTriggered());
        }
    }

You can find the detailed document about signal supports in Guflow here: https://github.com/gurmitteotia/guflow/wiki/Workflow-signals

Other interesting examples of manual approvals using lambda functions can be found here: https://github.com/gurmitteotia/guflow-samples/tree/master/ServerlessManualApproval."
Amazon Simple Workflow Service	"activity timing out on large exception
As there is 32K limit on activity result I see activities just timing out when result is larger while it is OK for normal cases, in case when activity is throwing an exception I cannot see the error reason.

Specifically we are using SWF Java Flow Framework. Besides we use Hibernate with Spring. When data access layer throws  exception, its text (including all the stack) is longer than 32K. In this case we see no activity failure, but just timeout. We could resolve it using custom serializer, but I would prefer a solution using fewer custom components.

Is there such a solution?"
