label	description
Amazon SimpleDB	"Delete SimpleDB data from console?
How can I delete my SimpleDB data?  I don't even remember how to use it and there's no option in the console. I'm being charged for it every month, but can't get rid of it."
Amazon SimpleDB	"Re: Delete SimpleDB data from console?
You can use SDBExplorer. SDBExplorer provides a simplified way to edit and manage your data from Amazon SimpleDB. SDBExplorer displays the Amazon SimpleDB data in a table view and it allows you to edit the contents of a cell directly and within the table. In addition, it is so easy to add, delete, edit and update your data by using SDBExplorer. Using SDBExplorer you can Delete Domain, Empty your domain, Delete selected rows and delete attribute value pairs. 

You just need to download a SDBExplorer Version. http://www.sdbexplorer.com/simpledb-download.html

It's free for 30 days so you can give it try 

How to delete/update your data using SDBExplorer?

http://www.sdbexplorer.com/documentation/simpledb--how-to-delete-domain-and-item-rows.html
http://www.sdbexplorer.com/documentation/simpledb--add-delete-update-data-from-amazon-simpledb-using-sdbexplorer.html

Edited by: Ashish Pancholi on Oct 12, 2015 10:06 AM"
Amazon SimpleDB	"Re: Delete SimpleDB data from console?
You can't do it from the web-console. But I managed to do it from the AWS CLI:

$ aws sdb list-domains
{
    ""DomainNames"": [
        ""php-sdk-getting-started""
    ]
}
 
$ aws sdb delete-domain --domain-name php-sdk-getting-started
 
$ aws sdb list-domains
# Good - it's empty now"
Amazon SimpleDB	"SimpleDB signature not match error for GET
I am trying to perform a GET from SimpleDB by an Android app. I have gotten so far as to get the ""SignatureDoesNotMatch"" error. After reading, re-reading and re-re-reading over and over, I think I have tried just about every possible combination of Base64 and URL encodings and SHA256 HMACs as described in Making REST Requests and HMAC-SHA Signature.

As I was browsing the threads in this forum it appears that you might be able to give me some clue about what you are seeing on the server side it you have a RequestID.

My most recent attempt had the following ID:
<RequestID>3d87b3f1-b569-d70a-def6-d9c2bdd5f6b8

I would hugely appreciate any guidance you can give me."
Amazon SimpleDB	"Name Resolution Failure:   sdb.us-east-2.amazonaws.com
I am running the sample web console app and I get a NameResolutionFailure error on the last of these lines of code:

                // Print the number of Amazon SimpleDB domains.
                IAmazonSimpleDB sdb = new AmazonSimpleDBClient();
                ListDomainsRequest sdbRequest = new ListDomainsRequest();

                try
                {
                    ListDomainsResponse sdbResponse = sdb.ListDomains(sdbRequest);

The inner exception is:  ""The remote name could not be resolved: 'sdb.us-east-2.amazonaws.com'""

When I try to ping that name, I get ""Ping request could not find host sdb.us-east-2.amazonaws.com. Please check the name and try again.""

So why would the sample app be trying to reach an address that doesn't resolve?   Is this address expected to resolve, or should the app not be trying to reach it?"
Amazon SimpleDB	"Creating SimpleDB domain in Serverless framework using Serverless.yaml
We have a serverless application that creates a stack that contains services like Lambda, API gateway and Dynamo DB.
We now need to create SimpleDB domains to store some Logs. 
I cant seem to find any help on how to create a SimpleDB domain in serverless framework.

I am using the following code to create the domain

LogSimpleDBTable:
      Type: ""AWS::SDB::Domain""
      Properties:
        DomainName : ${self:provider.environment.SIMPLEDB}
        Description: ""SDB Domain to store data log""


And I have thee following variable defined in my serverless.yaml file as well

 SIMPLEDB: git-pushr-processing-${opt:stage, self:provider.stage} 


So when I deploy using the following command

 serverless deploy --stage staging --awsaccountid XXXXX 


The following domain gets created against my account

git-pushr-api-staging-LogSimpleDBTable-1P7CQH4SGAWGI


While I was expecting the following name
git-pushr-processing-staging


We are using the same principal to create our dynamodb table and they get are created with the right name.

Can anyone tell me what I am doing wrong ?"
Amazon SimpleDB	"Can't connect to MYSql server on RDS
I created a MySql DB instance on RDS. I checked the security group, it is default. It set the connection type as CIDR/IP. Instance is available. I tried to to access it from my desktop using this command

mysql -h airrtersvdb.ckkbqj0hqmxn.us-east-1.rds.amazonaws.com -P 3306 -u airrtersv -p

After few seconds I get the error message:

ERROR 2003 (HY000): Can't connect to MySQL server on 'airrtersvdb.ckkbqj0hqmxn.us-east-1.rds.amazonaws.com' (60)

Any help is greatly appreciated.

Thanks in advance."
Amazon SimpleDB	"Re: Can't connect to MYSql server on RDS
Please post your question on forum for Amazon RDS.  Here  is the path."
Amazon SimpleDB	"Re: Can't connect to MYSql server on RDS
I had the same problem, and found that I had to go to ""DB Security Groups"" in the Amazon RDS settings, and allow either my EC2 instances or specific IPs (through their CIDR/IP settings) access to the DBs. 

Looks like RDS by default denies access to any outside machines, including your own EC2 instance until you set up the security settings properly.

Also, if you are accessing RDS from an EC2 instance and specifying the IP address of the EC2 instance, make sure to specify the internal IP of the RDS instance, not the external one. You can find this info from the AWS console or typing ifconfig on your Linux EC2 instance shell. Add that IP address to the DB security group.

Edited by: srs201201 on Jan 9, 2012 9:03 AM"
Amazon SimpleDB	"Re: Can't connect to MYSql server on RDS
Adding the internal IP from ifconfig on the EC2 instance worked for me. Thanks!"
