label	description
Amazon WorkMail	"Archiving email
We note that AWS has a storage limit which we are well inside at the moment but in due course we may wish to archive older messages on local storage here.

What is the best way to do this?"
Amazon WorkMail	"Re: Archiving email
No one?  We were wondering if we could use IMAP in Thunderbird and then copy the folders down to local folders"
Amazon WorkMail	"Re: Archiving email
Hi,

It seems that nobody who reads the WorkMail forums has had the same problem as you want to solve. But using Thunderbird and IMAP with local folders should definitely be a good solution. Similarly Windows Outlook and a PST file should do the trick as well. 

Another solution that you can use is email journaling: https://docs.aws.amazon.com/workmail/latest/adminguide/journaling_overview.html.

Kind regards,
Robin"
Amazon WorkMail	"Re: Archiving email
The original question mentioned storage limits so I think it's as much a storage management question as a backup question.

Journaling can solve the backup problem, but it doesn't address the storage a management problem.  I really don't want to accumulate gigs and gigs of spam, or mailing list messages.  My previous solution provided retention rules by folder that helped to manage those things.   Right now in WorkMail if I want to find and delete everything in a folder more than a year old that would have to be done on the client side which is not at all optimal."
Amazon WorkMail	"Re: Archiving email
Hi,

I've checked with the service team and the feature to set retention policies is on the roadmap.

Kind regards,
Robin"
Amazon WorkMail	"2FA Support
Hi, 
Are there any plans to add 2FA to Workmail on the Public Roadmap?

Workmail is marketed as a ""secure"" solution, but it seems crazy not to have 2FA in 2018

Thanks"
Amazon WorkMail	"Re: 2FA Support
Hi,

Thank you for your question regarding 2FA authentication for WorkMail. I checked with the service team if this is on their roadmap and this feature request is indeed on their roadmap but the team cannot disclose any dates for this. 

Kind regards,
Robin"
Amazon WorkMail	"Re: 2FA Support
Any update to this from AWS?"
Amazon WorkMail	"Re: 2FA Support
My organization is very interested in 2FA support as well and would like to see it implemented as soon as possible, preferably within the next few months."
Amazon WorkMail	"Re: 2FA Support
Hello Everyone,

Thank you for you interest in WorkMail and the 2FA feature. I have checked with the service team and this is definitely on their roadmap, but cannot give you an ETA for this feature.

Kind regards,
Robin"
