label	description
C++ Development	"What policy is needed for managed blockchain?
I am unable to create a managed blockchain when following the instructions at https://docs.aws.amazon.com/managed-blockchain/latest/managementguide/get-started-create-network.html

I receive the following error:

An error occurred (AccessDeniedException) when calling the CreateNetwork operation: User: arn:aws:iam::1111111:user/myuser is not authorized to perform: managedblockchain:CreateNetwork on resource: arn:aws:managedblockchain:us-east-1:9999999:networks


I am able to get it working if I add the full Administrator policy to my user.  However, I'd like to only add the necessary policies.

Also, I am able to create the managed blockchain when I go through the UI, just not through the CLI."
C++ Development	"Hyperledger Composer on AWS Managed Blockchain
I have setup Hyperledger Fabric blockchain network using AWS Managed blockchain following this link  https://docs.aws.amazon.com/managed-blockchain/latest/managementguide/managed-blockchain-get-started-tutorial.html  , everything working perfectly fine, I can install and instantiate the chiancode, also succeeded to run sample provided for non-profit blockchian https://github.com/aws-samples/non-profit-blockchain/tree/master/ngo-chaincode . Now I want to create business network and network card with Hypderledger Composer but want to make sure that the blockchain network created by following AWS Managed blockchain, after Composer installation when I create the business network and network card it is using default Hyperledger fabric network not the one which was created using AWS Blockchain , is it possible to use Hyperledger Composer the way I want if yes then please let me know how? 

My Requirement is to create ""Create A Business Network Card"" using Amazon managed Blockchain network information.
e.g
MSPID, Orderer, Peers and CA

Thanks in Advance"
C++ Development	"How to add new minor nodes to Ethereum nw set up using the AWS template?
I've a private Ethereum network deployed using the AWS Blockchain Cloudformation templates and I was wondering if there's a way to add new minor nodes to the network, once the network is created. Any input will be appreciated.
Thank you."
C++ Development	"Create the Ethereum Network Failed using AWS Blockchain Template
Hello,
I am working on the AWS Blockchain Template and I am not able to pass the step Create the Ethereum Network . I am getting some error as shown below. Any help would be greatly appreciated and I am new on AWS

08:23:08 UTC-0500	DELETE_IN_PROGRESS	AWS::CloudFormation::Stack	EthereumCommonStack	
08:22:41 UTC-0500	ROLLBACK_IN_PROGRESS	AWS::CloudFormation::Stack	MyNATBCAWSEthereum	The following resource(s) failed to create: https://forums.aws.amazon.com/. . Rollback requested by user.
08:22:41 UTC-0500	CREATE_FAILED	AWS::CloudFormation::Stack	EthereumCommonStack	Embedded stack arn:aws:cloudformation:us-east-1:332195192401:stack/MyNATBCAWSEthereum-EthereumCommonStack-16L1AZSY8XKGD/f7dae130-efeb-11e8-ad11-0e7698e0f2e8 was not successfully created: The following resource(s) failed to create: https://forums.aws.amazon.com/.
08:22:19 UTC-0500	CREATE_IN_PROGRESS	AWS::CloudFormation::Stack	EthereumCommonStack	Resource creation Initiated
08:22:18 UTC-0500	CREATE_IN_PROGRESS	AWS::CloudFormation::Stack	EthereumCommonStack	
08:22:41 UTC-0500	ROLLBACK_IN_PROGRESS	AWS::CloudFormation::Stack	MyNATBCAWSEthereum	The following resource(s) failed to create: https://forums.aws.amazon.com/. . Rollback requested by user.
08:22:41 UTC-0500	CREATE_FAILED	AWS::CloudFormation::Stack	EthereumCommonStack	Embedded stack arn:aws:cloudformation:us-east-1:332195192401:stack/MyNATBCAWSEthereum-EthereumCommonStack-16L1AZSY8XKGD/f7dae130-efeb-11e8-ad11-0e7698e0f2e8 was not successfully created: The following resource(s) failed to create: https://forums.aws.amazon.com/."
C++ Development	"Failed to create EthereumStack
I'm getting the following error when I try to create an EthereumStack:

Embedded stack arn:aws:cloudformation:us-east-1:663588724267:stack/NarlycodeEthereumStack-EthereumCommonStack-11REPWKK6PVBG/a236b9b0-cb39-11e8-b425-500c219a98d2 was not successfully created: The following resource(s) failed to create: DockerLocalStack.

I'm sure I'm doing something wrong as I'm relatively new to this. Any thoughts on what I am doing incorrectly?

Thanks!
-Mark

Edited by: NarlyMark on Oct 8, 2018 4:59 PM

Edited by: NarlyMark on Oct 8, 2018 4:59 PM

Edited by: NarlyMark on Oct 8, 2018 4:59 PM

Edited by: NarlyMark on Oct 8, 2018 4:59 PM"
C++ Development	"Failed create stack : ServiceAutoScalingGroup create failed.
Hi all~

When I create stack for Ethereum network - https://forums.aws.amazon.com/, I got error message below :

ContainerInstances	Testing-EthereumCommonStack-1U4C6MT43JWCH-EthereumE-ServiceAutoScalingGroupStack-1464UCI4OQQB2-ContainerInstances-1SH4QC79G1QQK	AWS::AutoScaling::LaunchConfiguration	CREATE_COMPLETE	

ServiceAutoScalingGroup	Testing-EthereumCommonStack-1U4C6MT43JWCH-EthereumE-ServiceAutoScalingGroupStack-1464UCI4OQQB2-ServiceAutoScalingGroup-GOT2PKFW57VD	AWS::AutoScaling::AutoScalingGroup	CREATE_FAILED	Received 0 SUCCESS signal(s) out of 1. Unable to satisfy 100% MinSuccessfulInstancesPercent requirement

Anyone solve this problem?


I fixed it myself.

I found some problems when I build VPC and subnet. After fixit there are no problems.

Edited by: brandonchung on Apr 25, 2018 8:49 AM"
C++ Development	"Re: Failed create stack : ServiceAutoScalingGroup create failed.
I am not able to create the stack, getting the error, 
Embedded stack arn:aws:cloudformation:us-west-x:xxxxxxxxxxxx:stack/MyStackName-EthereumCommonStack-xxxxxxxxxx/xxx-xxxx-xxxx-xxx was not successfully created: The following resource(s) failed to create:  https://forums.aws.amazon.com/.

And the stack contents deleted/underwent rollback. 
Also, there was an error of Invalid IAM Profile or role.
I got ServiceAutoScalingGroup error too before other instances in stack rollbacked.

Can anyone please help in getting rid of this error?"
C++ Development	"Re: Failed create stack : ServiceAutoScalingGroup create failed.
Hi,
I am getting a similar error: 	Invalid IamInstanceProfile: arn:aws:iam::713774468243:role/EC2Role_MessageBank (Service: AmazonAutoScaling; Status Code: 400; Error Code: ValidationError; Request ID: 23ace586-b720-11e8-ade4-2b2b5832ec27)

Can you pls tell me what specifically you fixed in your VPC, Subnet settings?

Regards,
Tooraj"
C++ Development	"Re: Failed create stack : ServiceAutoScalingGroup create failed.
I fixed it myself. Note that the ARN for EC2 is that instance ARN: arn:aws:iam::713774468243:instance-profile/EC2Role_MBN

where the ECS ARN is for role:
arn:aws:iam::713774468243:role/ECS_Role_MBN"
C++ Development	"Using the Rpc url(created at end of aws ethereum templates) in metamask
Hi,
Tried to use the Rpc url(created at end of aws ethereum templates) in metamask/ remix ide(injected web3/ web3 provider).

Also, got 5 accounts addresses(from initial list of accounts while creating the ethereum stack in aws). But unable to use it in the Remix 

ethereum IDE(in web3 provider). 
1) Web3 provider(dropdown) in remix shows the account ID correctly(that I used in AWS stack creation), but the accounts drop down does not 

show any of my 5 accounts from AWS ethereum stack that was set up.
Stuck with this for a very long time.

2) Also in metamask while connecting to custom rpc, it gets connected, but shows a different account address which is not there in the AWS 

stack created before.
Is there a need to use import accounts explicity in metamask. 

3) Where can we get the private key that is mentioned in import accounts in metamask.

4) Also is there a need for the eth stats secret that we used in etheruem stack creation in aws, cross checked that there is no need so far.

5) How to deploy contracts and interact with them using both Remix and Metamask
Please let me know the issue.
Thanks in advance!
Regards,
Deepak."
